Years,Waste
id,snf
n_wf,60
name,uox
pkg_diameter,1.3141
pkg_length,4.8875
0.0,155142.14354569546
0.0027397260273972603,113094.28629358127
0.021917808219178082,64149.00821167535
0.10410958904109589,32032.249328304304
0.1863013698630137,23223.001626670895
1.0082191780821905,7158.524197985581
2.0082191780821907,4988.720378119284
3.0082191780821907,4185.198799446645
4.00821917808219,3713.2607417198983
5.00821917808219,3391.580652071281
5.108219178082191,3364.8815869888185
5.50821917808219,3265.937160440937
5.75821917808219,3209.8483766431946
6.00821917808219,3157.681504883219
8.008219178082188,2845.785535244013
10.008219178082188,2651.736180658005
11.508219178082188,2548.2741609884088
15.008219178082191,2376.7392135806076
20.008219178082193,2203.276082777556
23.008219178082193,2115.8438273349752
25.008219178082193,2061.5825716607205
30.008219178082193,1936.493512705917
35.00821917808219,1823.7270494159109
40.00821917808219,1721.3953377280218
45.00821917808219,1628.2722252993037
50.00821917808219,1543.3958110777896
60.008219178082214,1395.2321522462303
70.00821917808221,1271.4886082459232
80.0082191780822,1167.806447415985
90.00821917808221,1080.5974301810986
100.00821917808221,1006.8946559656973
125.00821917808221,866.7364779500101
150.00821917808221,769.2984610299725
175.0082191780822,698.1209554983949
200.0082191780822,643.5107446607392
225.0082191780822,599.7429089912265
250.00821917808216,563.384639675491
300.0082191780823,505.2199576731186
350.00821917808224,459.59908562943883
400.0082191780822,422.14595482177236
450.0082191780822,390.4775777446368
500.008219178082,363.1306865028065
600.0082191780821,317.8187749909708
700.0082191780822,281.42031733012243
800.0082191780822,251.3849772003145
900.0082191780822,226.2099102469391
1000.0082191780822,204.91837845790104
1250.0082191780823,164.52470343478808
1500.0082191780825,137.21129313109614
1750.0082191780825,118.57846752213106
2000.0082191780828,105.7542307572471
2250.008219178083,96.82610547905304
2500.008219178083,90.51452920786232
3000.008219178082,82.59512148152079
4000.008219178082,74.94066297183657
5000.00821917808,70.62389295573918
6000.008219178082,67.17267305102939
7000.008219178082,64.07162483657038
8000.008219178082,61.20158066586336
9000.008219178082,58.524730809232146
10000.008219178082,56.02100078917049
20000.008219178082,37.845035044567844
50000.00821917808,14.987218421281916
100000.0082191781,4.167720932110137
200000.0082191781,1.0952617352257275
500000.00821917807,0.8633295205764979
1000000.0082191781,0.699444106825788
