Days,Keff,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y)
0.0,1.3325358736821298,236.456692913386,0.0,95343.03351507435,56.945793654003495,7.303974651095998e-08,1.6157277258485088,0.004622721519227215,102260.20330411718,1000.0,2437024300.5716267
0.125,1.32883246619042,236.456692913386,0.004906230738356728,541490512891.6262,323417515.4270895,0.04495748397288009,994514.0394000747,60.57688350939513,1340034089.7532864,46491147900188.164,1.1330005719422812e+20
0.25,1.323453937086095,236.456692913386,0.009812461476713457,592623470978.8732,353957836.7573816,0.052395364718483106,1159048.9771058385,108.1198874274589,2391742964.3043942,251148090541353.88,6.120539996914426e+20
0.375,1.3155428677864813,236.456692913386,0.014718692215070188,633499147280.7375,378371763.42131335,0.05806124087215757,1284385.0253537889,151.0018514154123,3340343985.8560905,594198007527149.6,1.448074983694906e+21
0.5,1.3092473363325354,236.456692913386,0.019624922953426913,677085150627.5753,404404494.5111974,0.06319161952395409,1397875.219772318,190.6609994079618,4217652411.1458225,1030292481934362.4,2.510847815170295e+21
0.6666666666666666,1.3049828199553288,236.456692913386,0.02616656393790255,721244047719.7124,430779399.41077375,0.06820430262686743,1508761.8459882797,239.09634656001768,5289100999.660998,1699903257441131.8,4.1427055470049037e+21
0.8333333333333334,1.2997797196704999,236.456692913386,0.03270820492237819,761913106679.3586,455069919.17121696,0.07234510982525513,1600361.5203768562,283.89024379210673,6279996302.067817,2427083990275068.5,5.914862663828691e+21
1.0,1.2975358846371028,236.456692913386,0.03924984590685383,800935710826.636,478377056.3755453,0.07596608793734341,1680461.9452806273,325.98414936597345,7211164516.2775955,3185260826735881.5,7.762558038414211e+21
1.25,1.2958127736198264,236.456692913386,0.04906230738356728,849249882444.7484,507233793.423818,0.08019457472565839,1774001.198476686,384.83471221658806,8513010300.548768,4351536411475623.0,1.0604799979588348e+22
1.5,1.294416316561537,236.456692913386,0.05887476886028075,891641627725.867,532553226.74172246,0.08368363298610909,1851183.3963593831,439.62407749018644,9725017471.752611,5534019938923582.0,1.348654107100468e+22
1.75,1.29073896236366,236.456692913386,0.0686872303369942,935922551324.8718,559001014.7458553,0.0871556901794055,1927989.5100292733,491.52430410496265,10873113393.837055,6723596061736767.0,1.6385566989680187e+22
2.0,1.29122440372123,236.456692913386,0.07849969181370765,971146690178.5756,580039432.2248402,0.08988523846615434,1988370.4266755357,540.4024344918643,11954356884.213968,7916697123999129.0,1.9293183271451387e+22
2.5,1.2900694518683389,236.456692913386,0.09812461476713456,1038347580852.5363,620176691.4728332,0.09502099801317893,2101979.6530188066,631.112348130187,13960970125.304138,1.0308920287172976e+16,2.5123089252496376e+22
3.0,1.2881997439807824,236.456692913386,0.1177495377205615,1096235989640.6473,654751859.2671866,0.09945847944152891,2200142.1209792765,713.4495869425837,15782369650.548065,1.2707163545287722e+16,3.0967666351204087e+22
4.0,1.2876420634753332,236.456692913386,0.1569993836274153,1194574053128.78,713486502.6414623,0.10712079618991294,2369641.855110196,857.7653029545545,18974808216.87348,1.7520295298329678e+16,4.269738539522024e+22
7.0,1.2873526849983612,236.456692913386,0.2747489213479768,1382442586909.396,825695254.1813394,0.1227968123160219,2716414.3330513937,1174.668122696712,25985082714.199997,3.2090445375123224e+16,7.820519519534167e+22
14.0,1.2805996743288373,236.456692913386,0.5494978426959536,1579343814395.1587,943298987.3251085,0.14234044572143872,3148743.193231827,1586.1858202864273,35088352994.21491,6.685149632979021e+16,1.6291872108527364e+23
21.0,1.2771241191776426,236.456692913386,0.8242467640439304,1671215492999.6748,998171435.3643513,0.15329710590663528,3391117.7973285993,1809.7888956758952,40034724055.86072,1.0260150256352691e+17,2.500423550224771e+23
28.0,1.2724397821638387,236.456692913386,1.0989956853919072,1728793775495.172,1032561373.1821166,0.16066800375625068,3554170.9921837277,1951.252427937241,43164068860.42988,1.3924040379418674e+17,3.3933224766783884e+23
42.0,1.2668568270173903,236.456692913386,1.6484935280878608,1810703253759.997,1081483670.6548347,0.17065535511620641,3775103.310146385,2121.979049826764,46940748677.98599,2.148462861717223e+17,5.2358562028805304e+23
