,0.0
Discharge Step,53.0
Discharge Time,1273.8903518600782
Efficiency,0.33
Volume Model (cm3),0.441
SNF mass (t/GWe.y),22.12121212121212
SNF volume (m3/GWe.y),9.755454545454546
Volume Ueq,0.6636889619319588
Mass U,6.024397993167556
