,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y)
3.0,7.763790193035477,0.0,0.0,127.0
5.0,7.763790193035477,0.0,0.0,127.0
10.0,7.763790193035477,0.0,0.0,127.0
20.0,7.763790193035477,0.0,0.0,127.0
50.0,7.763790193035477,0.0,0.0,127.0
100.0,7.763790193035477,0.0,0.0,127.0
