Years,Waste
id,snf
n_wf,3
name,uox
pkg_diameter,0.82
pkg_length,5.0
0.0,358368.53757953714
0.00010958904109579074,286170.4442556099
0.002849315068493051,203184.55841512326
0.022027397260273873,106732.20820053898
0.10421917808219168,47107.284782255694
0.1864109589041095,31717.158985889393
1.0083287671232877,7051.335697663086
2.008328767123288,4498.259817784304
3.0083287671232877,3564.344838825203
4.008328767123287,3000.8556625223528
5.008328767123287,2618.059586340197
5.108328767123288,2586.5367183454086
5.508328767123287,2470.199963319193
5.758328767123287,2404.636557544009
6.008328767123287,2343.944089432304
8.008328767123288,1988.8347189087476
10.008328767123288,1778.3972608375395
11.508328767123288,1671.7284386747815
15.00832876712329,1506.9576734671762
20.00832876712329,1356.1724280123767
23.00832876712329,1284.5820208788966
25.00832876712329,1241.1989942100977
30.008328767123295,1143.6665913580277
35.008328767123295,1058.3637568498707
40.008328767123295,982.9709838056303
45.00832876712329,915.989346818237
50.00832876712329,856.2706404716189
60.0083287671233,755.0286668573419
70.0083287671233,673.3811151501425
80.0083287671233,607.0171736841677
90.00832876712332,552.6711042339714
100.00832876712332,507.827049725537
125.00832876712329,425.47387723860857
150.0083287671233,370.7110857697839
175.0083287671233,332.1529972690612
200.00832876712332,303.4534299486088
225.00832876712332,281.00960630909316
250.00832876712332,262.7258930931646
300.0083287671233,234.0884959249904
350.0083287671233,212.07994341061817
400.0083287671233,194.26318548630854
450.0083287671233,179.35292232376938
500.0083287671234,166.5777604336966
600.0083287671234,145.57934785489755
700.0083287671234,128.82275811257904
800.0083287671234,115.03783500526836
900.0083287671234,103.49471961570165
1000.0083287671232,93.73007756625965
1250.0083287671232,75.17095354108172
1500.0083287671234,62.56768327974672
1750.0083287671234,53.91849420085062
2000.0083287671234,47.91773602236245
2250.008328767123,43.69547630101199
2500.008328767123,40.66939173454011
3000.0083287671227,36.77346955103374
4000.0083287671227,32.764289211681074
5000.008328767123,30.344107063280504
6000.008328767123,28.380247119406135
7000.008328767123,26.631432085338247
8000.008328767123,25.03741114239967
9000.008328767124,23.575577111271304
10000.008328767124,22.231945465309774
20000.008328767122,13.317550750899729
50000.00832876712,4.750713045343698
100000.0083287671,1.492750890822871
200000.0083287671,0.5859505110432562
500000.0083287671,0.44797601798034703
1000000.0083287674,0.32599378057637757
