,Area per package (m2),Total area (km2),Required st (y),#packages per GWe.y
3.0,0.0,0.0,133.0,5.7206875106577195
5.0,0.0,0.0,133.0,5.7206875106577195
10.0,0.0,0.0,133.0,5.7206875106577195
20.0,0.0,0.0,133.0,5.7206875106577195
50.0,0.0,0.0,133.0,5.7206875106577195
100.0,0.0,0.0,133.0,5.7206875106577195
