,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y)
3.0,4.007465963987704,0.0,0.0,204.0
5.0,4.007465963987704,0.0,0.0,204.0
10.0,4.007465963987704,0.0,0.0,204.0
20.0,4.007465963987704,0.0,0.0,204.0
50.0,4.007465963987704,0.0,0.0,204.0
100.0,4.007465963987704,0.0,0.0,204.0
