name,mox
id,snf
pkg_diameter,0.72
pkg_length,5
n_wf,4
5,13784
5.1,13668
5.5,13264
5.75,13048
6,12856
8,11852
10,11288
11.5,10976
15,10408
20,9764
23,9428
25,9220
30,8736
35,8304
40,7920
45,7572
50,7256
60,6716
70,6264
80,5884
90,5560
100,5276
125,4716
150,4284
175,3939.6
200,3653.6
225,3410.8
250,3200.8
300,2855.2
350,2580.8
400,2356.8
450,2169.2
500,2008.8
600,1746.4
700,1538.8
800,1368.4
900,1226
1000,1106
1250,878
1500,723.6
1750,617.2
2000,543.6
2250,491.6
2500,454.4
3000,406
4000,355.52
5000,324.8
6000,299.92
7000,277.88
8000,258
9000,239.92
10000,223.44
20000,119.52
50000,38.284
100000,15.4
200000,10.22
500000,8.192
1000000,5.344
