,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
0.0,1.2720737611233934,0.0,250000,51826315420.80055,10640590.384833114,0.0021801912209089974,16578.5374089955,170.642231078496,1297591965.49273,999.9999999999999,560187123.5783734,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
0.25,1.2712993961593653,0.002977152536435971,250000,199798315433.50403,41021091.63744129,0.017191111103140734,130724.07401346599,201.2331526855137,1530210431.879427,266303321000002.97,1.4917969139035993e+20,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
6.25,1.2704566669916137,0.07442881341089928,250000,397382409793.7513,81587576.01077956,0.03725157012355756,283267.14781455224,496.8405426112001,3778058292.772667,2.9798305076363388e+16,1.669262680823885e+22,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
12.5,1.2719949523955618,0.14885762682179857,250000,452488150630.4313,92901473.4263104,0.042425213721021066,322608.3960035977,628.3014138613328,4777708667.903884,6.194948179954793e+16,3.4703302016459556e+22,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
25.0,1.2699036456416313,0.29771525364359713,250000,493063546913.33856,101232109.47564481,0.0472298185102149,359143.41158809245,745.6367947258834,5669946459.894738,1.2796853119700376e+17,7.168632339979889e+22,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
50.0,1.2701909504191617,0.5954305072871943,250000,527340736962.71216,108269645.05765682,0.05137810051294354,390687.63931717485,824.7497021315237,6271534193.291795,2.6513782495841914e+17,1.4852679551528309e+23,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
75.0,1.2700091923229908,0.8931457609307913,250000,544749571737.9818,111843896.4474544,0.053211489709045205,404629.03632919793,855.0672415212082,6502073815.734187,4.0679010798750086e+17,2.2787858049365404e+23,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
100.0,1.2700285570669665,1.1908610145743885,250000,556276713510.7056,114210562.74266674,0.05430183489092362,412920.20281639835,874.1694390234766,6647330109.241019,5.511067301962247e+17,3.087228939733058e+23,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
125.0,1.268748652734846,1.4885762682179855,250000,564662600355.1367,115932290.135414,0.05505569066744852,418652.64778372314,888.8955560623453,6759309957.557417,6.969983019669105e+17,3.9044947391785416e+23,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
150.0,1.2678897891844307,1.7862915218615827,250000,571219416988.3351,117278486.55041756,0.055623045434053484,422966.907988115,901.1997881881348,6852873389.347275,8.438243989308229e+17,4.726995628423076e+23,0.4,0.912,7.604166666666667,6.9350000000000005,53,9800.0,1504.0640578268658,20993.213896530953
