Days,Keff,Discharge Step,Discharge Time,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/GWe.y),Volume Ueq,Mass U
1219.0,0.8905452175843473,52,1219.0,236.4566929133858,47.845562160454776,2824996497948.2744,1687293362.8654697,0.2561283749537981,5665870.112614322,3672.3244694881514,81236268567.46516,9.29279663364113e+18,2.366653269353802e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
1273.8903518600782,0.0,52,1219.0,0.0,0.0,2866288687339.937,1711956061.43849,0.25968734607212834,5744598.867656173,3733.507144871229,82589703507.7575,9.77422490085058e+18,2.489261546223426e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
1273.9303518600782,0.0,52,1219.0,0.0,0.0,2185844608385.7983,1305545370.6449726,0.20736988714174626,4587273.261014387,3698.7960072315827,81821851069.0623,9.774609264945844e+18,2.48935943457486e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
1274.9303518600782,0.0,52,1219.0,0.0,0.0,1608607029390.011,960777107.5538522,0.1472351872573357,3257020.809025911,3285.827546616085,72686488152.41643,9.778364116840362e+18,2.490315705637538e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
1281.9303518600782,0.0,52,1219.0,0.0,0.0,716019322977.8745,427658813.8149669,0.07734217985546304,1710902.7664996372,2113.5599924388694,46754508923.64772,9.787031667452383e+18,2.4925231236842185e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
1311.9303518600782,0.0,52,1219.0,0.0,0.0,333411849842.6456,199137804.860562,0.03413571361033021,755123.3616830623,1229.166183958544,27190645887.567795,9.81260117733646e+18,2.4990350669181692e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
1341.9303518600782,0.0,52,1219.0,0.0,0.0,242389818482.6036,144772827.94824597,0.022983448540499565,508421.74044135405,1052.3353222418395,23278932885.95585,9.82637153125091e+18,2.502542047044455e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
1641.9303518600782,0.0,52,1219.0,0.0,0.0,70649589934.8096,42197073.26106356,0.005109663549031222,113031.95123614522,651.8501899179157,14419716322.426622,9.842409141256124e+18,2.5066264431254e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
2006.9303518600782,0.0,52,1219.0,0.0,0.0,43965759003.72136,26259548.786768127,0.003259608563611814,72106.49246777651,491.2672209957377,10867426403.845108,9.842441671056695e+18,2.5066347276883687e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
2371.930351860078,0.0,52,1219.0,0.0,0.0,32618662644.216347,19482237.59750013,0.0025828585788588423,57135.962502028946,407.8271174897985,9021630174.774332,9.842441254512347e+18,2.5066346216044765e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
2736.930351860078,0.0,52,1219.0,0.0,0.0,26518117052.03266,15838548.093804965,0.0021745330887843134,48103.3077215924,359.5432348134094,7953532164.05421,9.842440820279656e+18,2.506634511015785e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
3101.930351860078,0.0,52,1219.0,0.0,0.0,22913658533.22343,13685703.323934358,0.001897144627782751,41967.138735800254,329.24842785363376,7283374313.125838,9.842440386037277e+18,2.5066344004246262e+25,0.33,0.441,22.12121212121212,9.755454545454546,0.6636889619319588,6.024397993167556
