,0.0
Discharge Step,76.0
Discharge Time,3849.029061905309
Efficiency,0.33
Volume Model (cm3),21.8
SNF mass (t/GWe.y),13.825757575757574
SNF volume (m3/GWe.y),301.4015151515151
Volume Ueq,679.8543742278844
Mass U,9144.636574744076
