Days,Keff,Discharge Step,Discharge Time,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/GWe.y),Volume Ueq,Mass U
3849.0690619053094,0.0,76,3849.029061905309,0.0,0.0,1271115276328.4902,474501554.8567148,0.121967093982465,1686287.4736212017,2526.8086351149545,34935043629.430244,2.0594279247508443e+19,2.1168251192975327e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
3850.0690619053094,0.0,76,3849.029061905309,0.0,0.0,952193477996.9751,355449497.18409806,0.08891060243206074,1229256.4351402335,2305.243333327736,31871735479.72059,2.059685391813198e+19,2.117089762084217e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
3857.0690619053094,0.0,76,3849.029061905309,0.0,0.0,461974395901.6332,172452942.10646194,0.050431610229304515,697255.2171854601,1665.0467645284448,23020532918.669785,2.06034715017777e+19,2.1177699639559095e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
3887.0690619053094,0.0,76,3849.029061905309,0.0,0.0,237196903612.16736,88544525.95067836,0.025182585949924768,348168.32847433863,1158.7345811326168,16020383413.386559,2.062301487013847e+19,2.119778769050012e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
3917.0690619053094,0.0,76,3849.029061905309,0.0,0.0,181805225273.93884,67867064.20737375,0.01825707675052743,252417.9171947921,1047.9700577162328,14488979964.637308,2.063353984847188e+19,2.1208606004774907e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
4217.069061905309,0.0,76,3849.029061905309,0.0,0.0,72426952132.87102,27036652.01778196,0.005627770595900614,77808.19195089865,774.7914978893651,10712079421.576448,2.0645797319059415e+19,2.122120509665227e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
4582.069061905309,0.0,76,3849.029061905309,0.0,0.0,54160712196.34285,20217947.67783935,0.003921949982798179,54223.929686414216,662.6446449350317,9161564219.745703,2.0645821603421196e+19,2.1221230057830284e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
4947.069061905309,0.0,76,3849.029061905309,0.0,0.0,45736843838.9068,17073355.910319187,0.00329025062849579,45490.20755306679,601.5699297259614,8317160013.256663,2.0645820706068005e+19,2.1221229135467447e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
5312.069061905309,0.0,76,3849.029061905309,0.0,0.0,40679691498.8968,15185543.928849543,0.0029192301428615547,40360.56826304801,563.5248415319641,7791157846.938139,2.0645819795194876e+19,2.122122819920787e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
5677.069061905309,0.0,76,3849.029061905309,0.0,0.0,37280328932.042404,13916577.334290829,0.002666336990622076,36864.12884761582,537.5364435563553,7431848556.745063,2.064581888431417e+19,2.12212272629405e+25,0.33,21.8,13.825757575757574,301.4015151515151,679.8543742278844,9144.636574744076
