,Minimum,n_wf,#packages per GWe.y,Decay heat (W/Pkg)
Ref_PWR,0.0011404228051263,1,48.089591567852445,285.42354682385195
SPWR,0.0009578207969018,4,40.07465963987703,262.138866037352
HTGR,0.0007570398293358,42,31.578765227021044,329.1415194777318
HPR,0.0009515733376516,42,38.27729118426793,336.20009636585905
HTGR_FCM,0.0014722696663415,18,36.23102090083222,463.0187433233081
SFR,0.0008506713448462,3,25.74628971277016,299.242444906611
