isotope,ST1-charged (g),ST1-discharged (g), ST2-charged (g),ST2-discharged (g)
AS84,0.000E+00,3.905E-06,0.000E+00,6.199E-06
AS85,0.000E+00,1.168E-06,0.000E+00,9.487E-07
AS86,0.000E+00,1.569E-07,0.000E+00,1.574E-07
AS87,0.000E+00,2.052E-08,0.000E+00,0.000E+00
AS88,0.000E+00,2.500E-09,0.000E+00,0.000E+00
AS89,0.000E+00,3.075E-10,0.000E+00,0.000E+00
AS90,0.000E+00,5.816E-12,0.000E+00,0.000E+00
SE76,0.000E+00,1.549E+00,0.000E+00,8.444E-02
SE77,0.000E+00,4.137E+01,0.000E+00,4.874E+00
SE77M,0.000E+00,7.170E-08,0.000E+00,0.000E+00
SE78,0.000E+00,6.786E+01,0.000E+00,1.318E+01
SE79,0.000E+00,9.834E+01,0.000E+00,2.934E+01
SE79M,0.000E+00,1.669E-04,0.000E+00,7.805E-05
SE80,0.000E+00,1.519E+02,0.000E+00,5.134E+01
SE81,0.000E+00,1.899E-03,0.000E+00,8.543E-04
SE81M,0.000E+00,7.139E-04,0.000E+00,1.062E-04
SE82,0.000E+00,3.720E+02,0.000E+00,1.237E+02
SE83,0.000E+00,3.119E-03,0.000E+00,1.335E-03
SE83M,0.000E+00,1.115E-04,0.000E+00,1.069E-04
SE84,0.000E+00,9.847E-04,0.000E+00,8.067E-04
SE85,0.000E+00,1.168E-04,0.000E+00,8.635E-05
SE85M,0.000E+00,3.221E-05,0.000E+00,3.502E-05
SE86,0.000E+00,3.721E-05,0.000E+00,5.915E-05
SE87,0.000E+00,5.982E-06,0.000E+00,1.289E-05
SE88,0.000E+00,6.428E-07,0.000E+00,7.549E-07
SE89,0.000E+00,4.406E-08,0.000E+00,0.000E+00
SE90,0.000E+00,1.506E-08,0.000E+00,0.000E+00
SE91,0.000E+00,7.755E-10,0.000E+00,0.000E+00
SE92,0.000E+00,9.615E-11,0.000E+00,0.000E+00
SE93,0.000E+00,5.642E-12,0.000E+00,0.000E+00
BR79,0.000E+00,8.847E-02,0.000E+00,5.797E-04
BR79M,0.000E+00,5.371E-10,0.000E+00,0.000E+00
BR80,0.000E+00,9.423E-07,0.000E+00,0.000E+00
BR80M,0.000E+00,7.380E-06,0.000E+00,1.133E-07
BR81,0.000E+00,2.277E+02,0.000E+00,6.246E+01
BR82,0.000E+00,2.986E-02,0.000E+00,1.488E-02
BR82M,0.000E+00,6.576E-05,0.000E+00,1.780E-05
BR83,0.000E+00,3.648E-02,0.000E+00,2.203E-02
BR84,0.000E+00,1.068E-02,0.000E+00,8.117E-03
BR84M,0.000E+00,3.853E-04,0.000E+00,6.531E-05
BR85,0.000E+00,1.164E-03,0.000E+00,9.373E-04
BR86,0.000E+00,4.020E-04,0.000E+00,1.914E-04
BR86M,0.000E+00,1.093E-05,0.000E+00,1.567E-05
BR87,0.000E+00,3.373E-04,0.000E+00,3.597E-04
BR88,0.000E+00,8.196E-05,0.000E+00,1.147E-04
BR89,0.000E+00,1.147E-05,0.000E+00,1.654E-05
BR90,0.000E+00,1.884E-06,0.000E+00,3.526E-06
BR91,0.000E+00,1.482E-07,0.000E+00,2.023E-07
BR92,0.000E+00,1.824E-08,0.000E+00,0.000E+00
BR93,0.000E+00,2.292E-09,0.000E+00,0.000E+00
BR94,0.000E+00,8.799E-11,0.000E+00,0.000E+00
BR95,0.000E+00,1.961E-11,0.000E+00,0.000E+00
BR96,0.000E+00,5.607E-12,0.000E+00,0.000E+00
KR79,0.000E+00,2.850E-05,0.000E+00,0.000E+00
KR80,0.000E+00,1.613E-01,0.000E+00,2.115E-03
KR81,0.000E+00,8.615E-02,0.000E+00,1.869E-04
KR81M,0.000E+00,2.075E-09,0.000E+00,0.000E+00
KR82,0.000E+00,1.918E+01,0.000E+00,3.975E+00
KR83,0.000E+00,5.061E+02,0.000E+00,1.491E+02
KR83M,0.000E+00,2.806E-02,0.000E+00,1.692E-02
KR84,0.000E+00,1.030E+03,0.000E+00,4.614E+02
KR85,0.000E+00,2.056E+02,0.000E+00,9.394E+01
KR85M,0.000E+00,1.097E-01,0.000E+00,8.869E-02
KR86,0.000E+00,1.259E+03,0.000E+00,6.719E+02
KR87,0.000E+00,5.109E-02,0.000E+00,4.850E-02
KR88,0.000E+00,1.244E-01,0.000E+00,1.436E-01
KR89,0.000E+00,2.226E-03,0.000E+00,2.815E-03
KR90,0.000E+00,2.653E-04,0.000E+00,4.164E-04
KR91,0.000E+00,3.888E-05,0.000E+00,6.057E-05
KR92,0.000E+00,3.484E-06,0.000E+00,5.111E-06
KR93,0.000E+00,5.227E-07,0.000E+00,9.181E-07
KR94,0.000E+00,2.598E-08,0.000E+00,0.000E+00
KR95,0.000E+00,2.567E-09,0.000E+00,0.000E+00
KR96,0.000E+00,2.710E-10,0.000E+00,0.000E+00
KR97,0.000E+00,3.954E-11,0.000E+00,0.000E+00
KR98,0.000E+00,1.135E-11,0.000E+00,0.000E+00
RB85,0.000E+00,7.903E+02,0.000E+00,3.880E+02
RB86,0.000E+00,3.635E-01,0.000E+00,1.268E-01
RB86M,0.000E+00,2.962E-06,0.000E+00,1.154E-06
RB87,0.000E+00,1.611E+03,0.000E+00,9.274E+02
RB88,0.000E+00,1.459E-02,0.000E+00,1.552E-02
RB89,0.000E+00,1.435E-02,0.000E+00,1.538E-02
RB90,0.000E+00,1.298E-03,0.000E+00,2.170E-03
RB90M,0.000E+00,1.962E-03,0.000E+00,1.083E-03
RB91,0.000E+00,8.668E-04,0.000E+00,9.373E-04
RB92,0.000E+00,5.284E-05,0.000E+00,5.678E-05
RB93,0.000E+00,3.752E-05,0.000E+00,4.188E-05
RB94,0.000E+00,8.641E-06,0.000E+00,8.614E-06
RB95,0.000E+00,4.205E-07,0.000E+00,2.626E-07
RB96,0.000E+00,1.545E-08,0.000E+00,0.000E+00
RB97,0.000E+00,1.004E-08,0.000E+00,0.000E+00
RB98,0.000E+00,9.218E-10,0.000E+00,0.000E+00
RB99,0.000E+00,5.834E-11,0.000E+00,0.000E+00
RB100,0.000E+00,2.387E-11,0.000E+00,0.000E+00
RB101,0.000E+00,1.027E-11,0.000E+00,0.000E+00
SR86,0.000E+00,2.063E+01,0.000E+00,3.526E+00
