isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
KR90,0.00E+00,1.57E-04,0.00E+00,1.55E-04
KR91,0.00E+00,3.21E-05,0.00E+00,2.20E-05
KR92,0.00E+00,3.45E-06,0.00E+00,1.85E-06
KR93,0.00E+00,9.09E-07,0.00E+00,3.25E-07
RB85,0.00E+00,1.44E+02,0.00E+00,1.77E+02
RB86,0.00E+00,2.39E-02,0.00E+00,3.04E-02
RB86M,0.00E+00,8.89E-08,0.00E+00,3.96E-07
RB87,0.00E+00,3.56E+02,0.00E+00,4.17E+02
RB88,0.00E+00,4.28E-03,0.00E+00,5.93E-03
RB89,0.00E+00,4.71E-03,0.00E+00,5.82E-03
RB90,0.00E+00,7.81E-04,0.00E+00,8.13E-04
RB90M,0.00E+00,3.07E-04,0.00E+00,4.14E-04
RB91,0.00E+00,3.76E-04,0.00E+00,3.49E-04
RB92,0.00E+00,2.60E-05,0.00E+00,2.11E-05
RB93,0.00E+00,2.64E-05,0.00E+00,1.52E-05
RB94,0.00E+00,6.59E-06,0.00E+00,3.08E-06
RB95,0.00E+00,4.42E-07,0.00E+00,8.03E-08
RB96,0.00E+00,7.36E-08,0.00E+00,0.00E+00
SR86,0.00E+00,6.53E-01,0.00E+00,1.23E+00
SR87,0.00E+00,4.86E-03,0.00E+00,1.21E-02
SR87M,0.00E+00,4.38E-07,0.00E+00,7.63E-07
SR88,0.00E+00,5.09E+02,0.00E+00,5.67E+02
SR89,0.00E+00,2.36E+01,0.00E+00,2.81E+01
SR90,0.00E+00,7.62E+02,0.00E+00,6.78E+02
SR91,0.00E+00,2.37E-01,0.00E+00,2.36E-01
SR92,0.00E+00,7.49E-02,0.00E+00,6.85E-02
SR93,0.00E+00,3.99E-03,0.00E+00,3.31E-03
SR94,0.00E+00,6.46E-04,0.00E+00,4.67E-04
SR95,0.00E+00,2.11E-04,0.00E+00,1.08E-04
SR96,0.00E+00,2.31E-05,0.00E+00,9.74E-06
SR97,0.00E+00,6.26E-07,0.00E+00,1.82E-07
SR98,0.00E+00,1.06E-06,0.00E+00,1.86E-07
SR99,0.00E+00,1.91E-07,0.00E+00,0.00E+00
SR100,0.00E+00,6.91E-08,0.00E+00,0.00E+00
Y89,0.00E+00,6.39E+02,0.00E+00,6.28E+02
Y90,0.00E+00,1.97E-01,0.00E+00,1.75E-01
Y90M,0.00E+00,1.08E-06,0.00E+00,1.78E-06
Y91,0.00E+00,3.67E+01,0.00E+00,3.50E+01
Y91M,0.00E+00,1.20E-02,0.00E+00,1.19E-02
Y92,0.00E+00,9.79E-02,0.00E+00,8.99E-02
Y93,0.00E+00,3.30E-01,0.00E+00,2.78E-01
Y94,0.00E+00,1.07E-02,0.00E+00,8.31E-03
Y95,0.00E+00,6.46E-03,0.00E+00,4.21E-03
Y96,0.00E+00,1.37E-03,0.00E+00,7.74E-04
Y97,0.00E+00,9.72E-06,0.00E+00,4.53E-06
Y98,0.00E+00,1.91E-06,0.00E+00,6.46E-07
Y99,0.00E+00,2.99E-06,0.00E+00,7.45E-07
Y100,0.00E+00,1.29E-06,0.00E+00,2.12E-07
Y101,0.00E+00,5.47E-07,0.00E+00,5.53E-08
ZR90,0.00E+00,4.68E+01,0.00E+00,3.92E+01
ZR91,0.00E+00,8.25E+02,0.00E+00,6.67E+02
ZR92,0.00E+00,9.41E+02,0.00E+00,7.24E+02
ZR93,0.00E+00,1.06E+03,0.00E+00,7.74E+02
ZR94,0.00E+00,1.11E+03,0.00E+00,7.57E+02
ZR95,0.00E+00,5.96E+01,0.00E+00,3.85E+01
ZR96,0.00E+00,1.21E+03,0.00E+00,6.57E+02
ZR97,0.00E+00,6.66E-01,0.00E+00,3.68E-01
ZR98,0.00E+00,3.48E-04,0.00E+00,1.71E-04
ZR99,0.00E+00,2.73E-05,0.00E+00,1.18E-05
ZR100,0.00E+00,7.55E-05,0.00E+00,2.47E-05
ZR101,0.00E+00,2.32E-05,0.00E+00,5.32E-06
ZR102,0.00E+00,1.17E-04,0.00E+00,1.43E-05
ZR103,0.00E+00,2.76E-06,0.00E+00,6.03E-07
ZR104,0.00E+00,1.52E-06,0.00E+00,1.72E-07
NB93,0.00E+00,1.57E-04,0.00E+00,1.30E-04
NB93M,0.00E+00,1.03E-03,0.00E+00,7.45E-04
NB94,0.00E+00,9.91E-04,0.00E+00,2.50E-03
NB95,0.00E+00,3.34E+01,0.00E+00,2.16E+01
NB95M,0.00E+00,2.37E-02,0.00E+00,1.56E-02
NB96,0.00E+00,1.58E-03,0.00E+00,1.01E-03
NB97,0.00E+00,4.77E-02,0.00E+00,2.65E-02
NB97M,0.00E+00,6.22E-04,0.00E+00,3.44E-04
NB98,0.00E+00,3.19E-05,0.00E+00,1.61E-05
NB98M,0.00E+00,3.25E-04,0.00E+00,3.92E-04
NB99,0.00E+00,1.69E-04,0.00E+00,7.71E-05
NB99M,0.00E+00,7.04E-05,0.00E+00,4.78E-05
NB100,0.00E+00,1.58E-05,0.00E+00,6.14E-06
NB100M,0.00E+00,1.59E-05,0.00E+00,6.17E-06
NB101,0.00E+00,7.81E-05,0.00E+00,2.44E-05
NB102,0.00E+00,2.91E-05,0.00E+00,6.10E-06
NB103,0.00E+00,1.08E-04,0.00E+00,2.34E-05
NB104,0.00E+00,3.58E-06,0.00E+00,5.07E-07
NB105,0.00E+00,2.30E-06,0.00E+00,2.21E-07
NB106,0.00E+00,1.98E-07,0.00E+00,0.00E+00
MO95,0.00E+00,1.06E+03,0.00E+00,6.31E+02
MO96,0.00E+00,6.46E+01,0.00E+00,3.64E+01
MO97,0.00E+00,1.20E+03,0.00E+00,6.17E+02
MO98,0.00E+00,1.25E+03,0.00E+00,6.07E+02
MO99,0.00E+00,3.05E+00,0.00E+00,1.37E+00
MO100,0.00E+00,1.44E+03,0.00E+00,5.35E+02
MO101,0.00E+00,1.04E-02,0.00E+00,3.45E-03
MO102,0.00E+00,7.68E-03,0.00E+00,1.99E-03
MO103,0.00E+00,6.66E-04,0.00E+00,1.30E-04
MO104,0.00E+00,8.96E-04,0.00E+00,1.21E-04
MO105,0.00E+00,3.67E-04,0.00E+00,3.10E-05
MO106,0.00E+00,3.65E-05,0.00E+00,2.60E-06
MO107,0.00E+00,1.09E-05,0.00E+00,6.14E-07
MO108,0.00E+00,6.32E-07,0.00E+00,3.55E-08
MO109,0.00E+00,1.13E-07,0.00E+00,0.00E+00
