isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,8.429E-02,0.000E+00,3.663E-01
HE4,0.000E+00,9.091E-01,0.000E+00,7.939E+01
LI6,0.000E+00,1.838E-04,0.000E+00,0.000E+00
LI7,0.000E+00,1.532E-05,0.000E+00,0.000E+00
BE9,0.000E+00,2.946E-05,0.000E+00,0.000E+00
BE10,0.000E+00,1.969E-04,0.000E+00,0.000E+00
C14,0.000E+00,3.979E-05,0.000E+00,0.000E+00
CO72,0.000E+00,1.186E-12,0.000E+00,3.473E-13
CO73,0.000E+00,3.672E-13,0.000E+00,6.735E-15
CO74,0.000E+00,6.632E-14,0.000E+00,1.131E-14
CO75,0.000E+00,6.620E-15,0.000E+00,2.162E-15
NI72,0.000E+00,4.479E-10,0.000E+00,7.126E-10
NI73,0.000E+00,6.155E-11,0.000E+00,9.099E-12
NI74,0.000E+00,6.050E-11,0.000E+00,2.382E-11
NI75,0.000E+00,6.848E-12,0.000E+00,2.302E-12
NI76,0.000E+00,2.644E-12,0.000E+00,9.668E-13
NI77,0.000E+00,1.755E-13,0.000E+00,1.271E-13
NI78,0.000E+00,2.768E-14,0.000E+00,2.963E-14
CU66,0.000E+00,1.161E-13,0.000E+00,0.000E+00
CU67,0.000E+00,1.635E-16,0.000E+00,0.000E+00
CU72,0.000E+00,2.194E-09,0.000E+00,8.760E-09
CU73,0.000E+00,1.896E-09,0.000E+00,2.232E-09
CU74,0.000E+00,3.607E-10,0.000E+00,5.657E-10
CU75,0.000E+00,4.779E-10,0.000E+00,4.264E-10
CU76,0.000E+00,1.025E-10,0.000E+00,6.387E-11
CU77,0.000E+00,6.376E-11,0.000E+00,4.394E-11
CU78,0.000E+00,9.422E-12,0.000E+00,7.489E-12
CU79,0.000E+00,3.570E-12,0.000E+00,2.082E-12
CU80,0.000E+00,2.330E-13,0.000E+00,3.693E-13
CU81,0.000E+00,1.437E-14,0.000E+00,3.323E-14
ZN66,0.000E+00,5.330E-08,0.000E+00,0.000E+00
ZN67,0.000E+00,2.236E-09,0.000E+00,0.000E+00
ZN68,0.000E+00,5.307E-11,0.000E+00,0.000E+00
ZN69,0.000E+00,1.551E-17,0.000E+00,0.000E+00
ZN69M,0.000E+00,1.511E-17,0.000E+00,0.000E+00
ZN72,0.000E+00,7.234E-05,0.000E+00,3.774E-04
ZN73,0.000E+00,1.879E-08,0.000E+00,6.304E-08
ZN74,0.000E+00,1.419E-07,0.000E+00,5.235E-07
ZN75,0.000E+00,2.460E-08,0.000E+00,6.147E-08
ZN76,0.000E+00,2.449E-08,0.000E+00,4.583E-08
ZN77,0.000E+00,6.991E-09,0.000E+00,1.081E-08
ZN78,0.000E+00,1.171E-08,0.000E+00,1.061E-08
ZN79,0.000E+00,1.283E-09,0.000E+00,7.536E-10
