isotope,ST1-charged (g),ST1-discharged (g)
GD160,0.000E+00,3.193E+00
TB159,0.000E+00,7.308E+00
TB160,0.000E+00,1.350E-01
DY160,0.000E+00,6.019E-01
DY161,0.000E+00,1.088E+00
DY162,0.000E+00,6.855E-01
DY163,0.000E+00,4.928E-01
DY164,0.000E+00,1.281E-01
HO165,0.000E+00,1.657E-01
HO166M,0.000E+00,3.116E-06
ER166,0.000E+00,4.337E-02
ER167,0.000E+00,1.124E-03
ER168,0.000E+00,6.377E-03
ER170,0.000E+00,2.771E-04
RA223,0.000E+00,1.784E-10
RA224,0.000E+00,1.815E-07
RA225,0.000E+00,1.423E-10
RA226,0.000E+00,5.508E-07
AC227,0.000E+00,1.373E-07
TH227,0.000E+00,2.983E-10
TH228,0.000E+00,3.558E-05
TH229,0.000E+00,7.008E-06
TH230,0.000E+00,2.365E-02
TH232,0.000E+00,1.614E-03
TH233,0.000E+00,1.915E-09
TH234,0.000E+00,1.135E-05
PA231,0.000E+00,5.028E-03
PA232,0.000E+00,1.379E-05
PA233,0.000E+00,6.071E-05
U232,0.000E+00,4.317E-03
U233,0.000E+00,4.907E-03
U234,3.102E+03,1.866E+03
U235,1.548E+05,4.859E+04
U236,3.236E+02,1.961E+04
U237,0.000E+00,2.553E+01
U238,8.418E+05,7.822E+05
U239,0.000E+00,9.233E-01
U240,0.000E+00,1.169E-04
U241,0.000E+00,3.080E-10
NP235,0.000E+00,2.783E-09
NP236,0.000E+00,1.200E-03
NP237,0.000E+00,1.766E+03
NP238,0.000E+00,3.703E+00
NP239,0.000E+00,1.335E+02
PU236,0.000E+00,7.883E-10
PU237,0.000E+00,1.725E-04
PU238,0.000E+00,7.655E+02
PU239,0.000E+00,1.001E+04
PU240,0.000E+00,4.572E+03
PU241,0.000E+00,4.580E+03
PU242,0.000E+00,2.223E+03
PU243,0.000E+00,3.492E-01
PU244,0.000E+00,8.180E-02
AM241,0.000E+00,1.910E+02
AM242,0.000E+00,4.289E-01
AM242M,0.000E+00,6.789E+00
AM243,0.000E+00,4.384E+02
AM244,0.000E+00,1.181E-02
AM244M,0.000E+00,1.362E-02
CM241,0.000E+00,5.058E-07
CM242,0.000E+00,7.093E+01
CM243,0.000E+00,1.657E+00
CM244,0.000E+00,1.305E+02
CM245,0.000E+00,8.734E+00
