isotope,Charged (g),DF1 (g),FP1 (g),DF2 (g),FP2 (g),Losses (g)
MO110,0.00E+00,0.00E+00,1.74E-05,0.00E+00,0.00E+00,0.00E+00
MO111,0.00E+00,0.00E+00,1.10E-06,0.00E+00,0.00E+00,0.00E+00
MO112,0.00E+00,0.00E+00,1.86E-07,0.00E+00,0.00E+00,0.00E+00
MO113,0.00E+00,0.00E+00,2.14E-08,0.00E+00,0.00E+00,0.00E+00
MO114,0.00E+00,0.00E+00,1.26E-09,0.00E+00,0.00E+00,0.00E+00
MO115,0.00E+00,0.00E+00,4.96E-11,0.00E+00,0.00E+00,0.00E+00
TC98,0.00E+00,0.00E+00,1.07E-03,0.00E+00,0.00E+00,0.00E+00
TC99,0.00E+00,0.00E+00,1.03E+04,0.00E+00,0.00E+00,0.00E+00
TC99M,0.00E+00,0.00E+00,2.13E+03,0.00E+00,0.00E+00,0.00E+00
TC100,0.00E+00,0.00E+00,8.91E-04,0.00E+00,0.00E+00,0.00E+00
TC101,0.00E+00,0.00E+00,1.33E+02,0.00E+00,0.00E+00,0.00E+00
TC102,0.00E+00,0.00E+00,6.31E-01,0.00E+00,0.00E+00,0.00E+00
TC102M,0.00E+00,0.00E+00,4.71E-02,0.00E+00,0.00E+00,0.00E+00
TC103,0.00E+00,0.00E+00,4.32E+00,0.00E+00,0.00E+00,0.00E+00
TC104,0.00E+00,0.00E+00,5.50E+01,0.00E+00,0.00E+00,0.00E+00
TC105,0.00E+00,0.00E+00,1.15E+01,0.00E+00,0.00E+00,0.00E+00
TC106,0.00E+00,0.00E+00,4.44E-01,0.00E+00,0.00E+00,0.00E+00
TC107,0.00E+00,0.00E+00,1.25E-01,0.00E+00,0.00E+00,0.00E+00
TC108,0.00E+00,0.00E+00,1.98E-02,0.00E+00,0.00E+00,0.00E+00
TC109,0.00E+00,0.00E+00,1.26E-03,0.00E+00,0.00E+00,0.00E+00
TC110,0.00E+00,0.00E+00,5.23E-04,0.00E+00,0.00E+00,0.00E+00
TC111,0.00E+00,0.00E+00,3.82E-05,0.00E+00,0.00E+00,0.00E+00
TC112,0.00E+00,0.00E+00,7.02E-06,0.00E+00,0.00E+00,0.00E+00
TC113,0.00E+00,0.00E+00,1.07E-06,0.00E+00,0.00E+00,0.00E+00
TC114,0.00E+00,0.00E+00,2.03E-07,0.00E+00,0.00E+00,0.00E+00
TC115,0.00E+00,0.00E+00,4.18E-08,0.00E+00,0.00E+00,0.00E+00
TC116,0.00E+00,0.00E+00,3.90E-09,0.00E+00,0.00E+00,0.00E+00
TC117,0.00E+00,0.00E+00,1.68E-10,0.00E+00,0.00E+00,0.00E+00
TC118,0.00E+00,0.00E+00,2.00E-11,0.00E+00,0.00E+00,0.00E+00
RU99,0.00E+00,0.00E+00,3.26E-01,0.00E+00,0.00E+00,0.00E+00
RU100,0.00E+00,0.00E+00,3.69E+00,0.00E+00,0.00E+00,0.00E+00
RU101,0.00E+00,0.00E+00,2.77E+04,0.00E+00,0.00E+00,0.00E+00
RU102,0.00E+00,0.00E+00,2.14E+04,0.00E+00,0.00E+00,0.00E+00
RU103,0.00E+00,0.00E+00,1.39E+04,0.00E+00,0.00E+00,0.00E+00
RU104,0.00E+00,0.00E+00,8.96E+03,0.00E+00,0.00E+00,0.00E+00
RU105,0.00E+00,0.00E+00,4.09E+02,0.00E+00,0.00E+00,0.00E+00
RU106,0.00E+00,0.00E+00,2.28E+03,0.00E+00,0.00E+00,0.00E+00
RU107,0.00E+00,0.00E+00,1.33E+00,0.00E+00,0.00E+00,0.00E+00
RU108,0.00E+00,0.00E+00,1.06E+00,0.00E+00,0.00E+00,0.00E+00
RU109,0.00E+00,0.00E+00,7.11E-02,0.00E+00,0.00E+00,0.00E+00
RU110,0.00E+00,0.00E+00,2.27E-02,0.00E+00,0.00E+00,0.00E+00
RU111,0.00E+00,0.00E+00,1.99E-03,0.00E+00,0.00E+00,0.00E+00
RU112,0.00E+00,0.00E+00,7.58E-04,0.00E+00,0.00E+00,0.00E+00
RU113,0.00E+00,0.00E+00,1.34E-04,0.00E+00,0.00E+00,0.00E+00
RU114,0.00E+00,0.00E+00,2.91E-05,0.00E+00,0.00E+00,0.00E+00
RU115,0.00E+00,0.00E+00,1.04E-05,0.00E+00,0.00E+00,0.00E+00
RU116,0.00E+00,0.00E+00,2.05E-06,0.00E+00,0.00E+00,0.00E+00
RU117,0.00E+00,0.00E+00,2.30E-07,0.00E+00,0.00E+00,0.00E+00
RU118,0.00E+00,0.00E+00,4.44E-08,0.00E+00,0.00E+00,0.00E+00
RU119,0.00E+00,0.00E+00,3.76E-09,0.00E+00,0.00E+00,0.00E+00
RU120,0.00E+00,0.00E+00,4.28E-10,0.00E+00,0.00E+00,0.00E+00
RH102,0.00E+00,0.00E+00,2.01E-06,0.00E+00,0.00E+00,0.00E+00
RH103,0.00E+00,0.00E+00,3.65E+02,0.00E+00,0.00E+00,0.00E+00
RH103M,0.00E+00,0.00E+00,1.37E+01,0.00E+00,0.00E+00,0.00E+00
RH104,0.00E+00,0.00E+00,3.02E-04,0.00E+00,0.00E+00,0.00E+00
RH104M,0.00E+00,0.00E+00,1.41E-04,0.00E+00,0.00E+00,0.00E+00
RH105,0.00E+00,0.00E+00,2.25E+03,0.00E+00,0.00E+00,0.00E+00
RH105M,0.00E+00,0.00E+00,3.09E-01,0.00E+00,0.00E+00,0.00E+00
RH106,0.00E+00,0.00E+00,5.10E-02,0.00E+00,0.00E+00,0.00E+00
RH106M,0.00E+00,0.00E+00,1.34E+00,0.00E+00,0.00E+00,0.00E+00
RH107,0.00E+00,0.00E+00,7.72E+00,0.00E+00,0.00E+00,0.00E+00
RH108,0.00E+00,0.00E+00,6.51E-02,0.00E+00,0.00E+00,0.00E+00
RH108M,0.00E+00,0.00E+00,6.90E-05,0.00E+00,0.00E+00,0.00E+00
RH109,0.00E+00,0.00E+00,1.66E-01,0.00E+00,0.00E+00,0.00E+00
RH110,0.00E+00,0.00E+00,6.39E-03,0.00E+00,0.00E+00,0.00E+00
RH110M,0.00E+00,0.00E+00,1.11E-03,0.00E+00,0.00E+00,0.00E+00
RH111,0.00E+00,0.00E+00,1.28E-02,0.00E+00,0.00E+00,0.00E+00
RH112,0.00E+00,0.00E+00,2.42E-03,0.00E+00,0.00E+00,0.00E+00
RH113,0.00E+00,0.00E+00,1.58E-03,0.00E+00,0.00E+00,0.00E+00
RH114,0.00E+00,0.00E+00,5.36E-04,0.00E+00,0.00E+00,0.00E+00
RH115,0.00E+00,0.00E+00,1.71E-04,0.00E+00,0.00E+00,0.00E+00
RH116,0.00E+00,0.00E+00,3.81E-05,0.00E+00,0.00E+00,0.00E+00
RH117,0.00E+00,0.00E+00,1.10E-05,0.00E+00,0.00E+00,0.00E+00
RH118,0.00E+00,0.00E+00,2.01E-06,0.00E+00,0.00E+00,0.00E+00
RH119,0.00E+00,0.00E+00,8.60E-07,0.00E+00,0.00E+00,0.00E+00
RH120,0.00E+00,0.00E+00,9.91E-08,0.00E+00,0.00E+00,0.00E+00
RH121,0.00E+00,0.00E+00,2.79E-08,0.00E+00,0.00E+00,0.00E+00
RH122,0.00E+00,0.00E+00,1.18E-09,0.00E+00,0.00E+00,0.00E+00
PD102,0.00E+00,0.00E+00,2.02E-09,0.00E+00,0.00E+00,0.00E+00
PD104,0.00E+00,0.00E+00,4.32E-01,0.00E+00,0.00E+00,0.00E+00
PD105,0.00E+00,0.00E+00,1.79E+03,0.00E+00,0.00E+00,0.00E+00
PD106,0.00E+00,0.00E+00,1.89E+02,0.00E+00,0.00E+00,0.00E+00
PD107,0.00E+00,0.00E+00,1.06E+03,0.00E+00,0.00E+00,0.00E+00
PD107M,0.00E+00,0.00E+00,1.19E-07,0.00E+00,0.00E+00,0.00E+00
PD108,0.00E+00,0.00E+00,6.96E+02,0.00E+00,0.00E+00,0.00E+00
PD109,0.00E+00,0.00E+00,9.96E+01,0.00E+00,0.00E+00,0.00E+00
PD109M,0.00E+00,0.00E+00,2.00E-05,0.00E+00,0.00E+00,0.00E+00
PD110,0.00E+00,0.00E+00,3.66E+02,0.00E+00,0.00E+00,0.00E+00
PD111,0.00E+00,0.00E+00,1.65E+00,0.00E+00,0.00E+00,0.00E+00
PD111M,0.00E+00,0.00E+00,1.30E-01,0.00E+00,0.00E+00,0.00E+00
PD112,0.00E+00,0.00E+00,5.23E+01,0.00E+00,0.00E+00,0.00E+00
PD113,0.00E+00,0.00E+00,7.23E-02,0.00E+00,0.00E+00,0.00E+00
PD114,0.00E+00,0.00E+00,1.05E-01,0.00E+00,0.00E+00,0.00E+00
PD115,0.00E+00,0.00E+00,1.81E-02,0.00E+00,0.00E+00,0.00E+00
PD116,0.00E+00,0.00E+00,6.85E-03,0.00E+00,0.00E+00,0.00E+00
PD117,0.00E+00,0.00E+00,1.55E-03,0.00E+00,0.00E+00,0.00E+00
PD118,0.00E+00,0.00E+00,3.21E-04,0.00E+00,0.00E+00,0.00E+00
PD119,0.00E+00,0.00E+00,4.48E-05,0.00E+00,0.00E+00,0.00E+00
PD120,0.00E+00,0.00E+00,1.13E-05,0.00E+00,0.00E+00,0.00E+00
PD121,0.00E+00,0.00E+00,2.30E-06,0.00E+00,0.00E+00,0.00E+00
PD122,0.00E+00,0.00E+00,9.87E-07,0.00E+00,0.00E+00,0.00E+00
PD123,0.00E+00,0.00E+00,1.40E-07,0.00E+00,0.00E+00,0.00E+00
PD124,0.00E+00,0.00E+00,2.90E-08,0.00E+00,0.00E+00,0.00E+00
AG106,0.00E+00,0.00E+00,6.19E-14,0.00E+00,0.00E+00,0.00E+00
AG107,0.00E+00,0.00E+00,4.65E-07,0.00E+00,0.00E+00,0.00E+00
AG108,0.00E+00,0.00E+00,6.91E-10,0.00E+00,0.00E+00,0.00E+00
AG108M,0.00E+00,0.00E+00,2.54E-07,0.00E+00,0.00E+00,0.00E+00
AG109,0.00E+00,0.00E+00,2.73E+02,0.00E+00,0.00E+00,0.00E+00
AG109M,0.00E+00,0.00E+00,7.99E-02,0.00E+00,0.00E+00,0.00E+00
AG110,0.00E+00,0.00E+00,1.18E-04,0.00E+00,0.00E+00,0.00E+00
AG110M,0.00E+00,0.00E+00,1.74E-02,0.00E+00,0.00E+00,0.00E+00
AG111,0.00E+00,0.00E+00,1.81E+02,0.00E+00,0.00E+00,0.00E+00
AG111M,0.00E+00,0.00E+00,7.37E-02,0.00E+00,0.00E+00,0.00E+00
AG112,0.00E+00,0.00E+00,7.65E+00,0.00E+00,0.00E+00,0.00E+00
AG113,0.00E+00,0.00E+00,9.88E+00,0.00E+00,0.00E+00,0.00E+00
AG113M,0.00E+00,0.00E+00,5.13E-02,0.00E+00,0.00E+00,0.00E+00
AG114,0.00E+00,0.00E+00,3.41E-03,0.00E+00,0.00E+00,0.00E+00
AG115,0.00E+00,0.00E+00,9.64E-01,0.00E+00,0.00E+00,0.00E+00
AG115M,0.00E+00,0.00E+00,1.22E-03,0.00E+00,0.00E+00,0.00E+00
AG116,0.00E+00,0.00E+00,1.09E-01,0.00E+00,0.00E+00,0.00E+00
AG116M,0.00E+00,0.00E+00,7.26E-04,0.00E+00,0.00E+00,0.00E+00
AG117,0.00E+00,0.00E+00,4.15E-02,0.00E+00,0.00E+00,0.00E+00
AG117M,0.00E+00,0.00E+00,1.03E-03,0.00E+00,0.00E+00,0.00E+00
AG118,0.00E+00,0.00E+00,1.65E-03,0.00E+00,0.00E+00,0.00E+00
AG118M,0.00E+00,0.00E+00,3.82E-04,0.00E+00,0.00E+00,0.00E+00
AG119,0.00E+00,0.00E+00,8.40E-04,0.00E+00,0.00E+00,0.00E+00
AG120,0.00E+00,0.00E+00,1.48E-04,0.00E+00,0.00E+00,0.00E+00
AG121,0.00E+00,0.00E+00,5.94E-05,0.00E+00,0.00E+00,0.00E+00
AG122,0.00E+00,0.00E+00,7.05E-06,0.00E+00,0.00E+00,0.00E+00
AG123,0.00E+00,0.00E+00,2.83E-06,0.00E+00,0.00E+00,0.00E+00
AG124,0.00E+00,0.00E+00,9.93E-07,0.00E+00,0.00E+00,0.00E+00
AG125,0.00E+00,0.00E+00,3.01E-07,0.00E+00,0.00E+00,0.00E+00
AG126,0.00E+00,0.00E+00,8.18E-08,0.00E+00,0.00E+00,0.00E+00
AG127,0.00E+00,0.00E+00,1.61E-08,0.00E+00,0.00E+00,0.00E+00
AG128,0.00E+00,0.00E+00,1.86E-09,0.00E+00,0.00E+00,0.00E+00
CD108,0.00E+00,1.17E-09,3.66E-07,1.17E-09,0.00E+00,0.00E+00
CD109,0.00E+00,0.00E+00,6.60E-08,0.00E+00,0.00E+00,0.00E+00
CD110,0.00E+00,1.11E-03,3.45E-01,1.11E-03,0.00E+00,0.00E+00
CD111,0.00E+00,8.90E-02,2.76E+01,8.90E-02,0.00E+00,0.00E+00
CD111M,0.00E+00,0.00E+00,6.32E-05,0.00E+00,0.00E+00,0.00E+00
CD112,0.00E+00,2.49E-01,7.71E+01,2.49E-01,0.00E+00,0.00E+00
CD113,0.00E+00,1.36E-02,4.22E+00,1.36E-02,0.00E+00,0.00E+00
CD113M,0.00E+00,0.00E+00,1.19E+00,0.00E+00,0.00E+00,0.00E+00
CD114,0.00E+00,8.37E-01,2.59E+02,8.37E-01,0.00E+00,0.00E+00
CD115,0.00E+00,0.00E+00,9.45E+01,0.00E+00,0.00E+00,0.00E+00
CD115M,0.00E+00,6.91E-03,2.14E+00,6.91E-03,0.00E+00,0.00E+00
CD116,0.00E+00,4.50E-01,1.39E+02,4.50E-01,0.00E+00,0.00E+00
CD117,0.00E+00,0.00E+00,6.85E+00,0.00E+00,0.00E+00,0.00E+00
CD117M,0.00E+00,0.00E+00,8.20E-01,0.00E+00,0.00E+00,0.00E+00
CD118,0.00E+00,0.00E+00,2.69E+00,0.00E+00,0.00E+00,0.00E+00
CD119,0.00E+00,0.00E+00,1.15E-01,0.00E+00,0.00E+00,0.00E+00
CD119M,0.00E+00,0.00E+00,4.14E-02,0.00E+00,0.00E+00,0.00E+00
CD120,0.00E+00,0.00E+00,5.63E-02,0.00E+00,0.00E+00,0.00E+00
CD121,0.00E+00,0.00E+00,6.11E-03,0.00E+00,0.00E+00,0.00E+00
CD122,0.00E+00,0.00E+00,4.66E-03,0.00E+00,0.00E+00,0.00E+00
CD123,0.00E+00,0.00E+00,3.60E-04,0.00E+00,0.00E+00,0.00E+00
CD124,0.00E+00,0.00E+00,1.33E-04,0.00E+00,0.00E+00,0.00E+00
CD125,0.00E+00,0.00E+00,2.95E-05,0.00E+00,0.00E+00,0.00E+00
CD126,0.00E+00,0.00E+00,2.01E-05,0.00E+00,0.00E+00,0.00E+00
CD127,0.00E+00,0.00E+00,1.14E-05,0.00E+00,0.00E+00,0.00E+00
CD128,0.00E+00,0.00E+00,3.56E-06,0.00E+00,0.00E+00,0.00E+00
CD129,0.00E+00,0.00E+00,1.45E-05,0.00E+00,0.00E+00,0.00E+00
CD130,0.00E+00,0.00E+00,4.14E-05,0.00E+00,0.00E+00,0.00E+00
CD131,0.00E+00,0.00E+00,2.73E-06,0.00E+00,0.00E+00,0.00E+00
CD132,0.00E+00,0.00E+00,2.13E-09,0.00E+00,0.00E+00,0.00E+00
IN113,0.00E+00,7.12E-07,2.21E-04,7.12E-07,0.00E+00,0.00E+00
IN113M,0.00E+00,0.00E+00,4.09E-10,0.00E+00,0.00E+00,0.00E+00
IN114,0.00E+00,0.00E+00,3.28E-09,0.00E+00,0.00E+00,0.00E+00
IN114M,0.00E+00,0.00E+00,1.75E-05,0.00E+00,0.00E+00,0.00E+00
IN115,0.00E+00,1.00E-01,3.11E+01,1.00E-01,0.00E+00,0.00E+00
IN115M,0.00E+00,0.00E+00,7.47E+00,0.00E+00,0.00E+00,0.00E+00
IN116,0.00E+00,0.00E+00,2.90E-04,0.00E+00,0.00E+00,0.00E+00
IN116M,0.00E+00,0.00E+00,1.11E-01,0.00E+00,0.00E+00,0.00E+00
IN117,0.00E+00,0.00E+00,1.35E+00,0.00E+00,0.00E+00,0.00E+00
IN117M,0.00E+00,0.00E+00,4.15E+00,0.00E+00,0.00E+00,0.00E+00
IN118,0.00E+00,0.00E+00,4.47E-03,0.00E+00,0.00E+00,0.00E+00
IN118M,0.00E+00,0.00E+00,3.55E-04,0.00E+00,0.00E+00,0.00E+00
IN119,0.00E+00,0.00E+00,9.02E-02,0.00E+00,0.00E+00,0.00E+00
IN119M,0.00E+00,0.00E+00,5.10E-01,0.00E+00,0.00E+00,0.00E+00
IN120,0.00E+00,0.00E+00,3.55E-03,0.00E+00,0.00E+00,0.00E+00
IN120M,0.00E+00,0.00E+00,4.39E-03,0.00E+00,0.00E+00,0.00E+00
IN121,0.00E+00,0.00E+00,2.25E-02,0.00E+00,0.00E+00,0.00E+00
IN121M,0.00E+00,0.00E+00,7.42E-02,0.00E+00,0.00E+00,0.00E+00
IN122,0.00E+00,0.00E+00,1.84E-03,0.00E+00,0.00E+00,0.00E+00
IN122M,0.00E+00,0.00E+00,6.94E-03,0.00E+00,0.00E+00,0.00E+00
IN123,0.00E+00,0.00E+00,1.22E-02,0.00E+00,0.00E+00,0.00E+00
IN123M,0.00E+00,0.00E+00,2.51E-02,0.00E+00,0.00E+00,0.00E+00
IN124,0.00E+00,0.00E+00,3.40E-03,0.00E+00,0.00E+00,0.00E+00
IN125,0.00E+00,0.00E+00,3.02E-03,0.00E+00,0.00E+00,0.00E+00
IN125M,0.00E+00,0.00E+00,1.51E-02,0.00E+00,0.00E+00,0.00E+00
IN126,0.00E+00,0.00E+00,1.74E-03,0.00E+00,0.00E+00,0.00E+00
IN127,0.00E+00,0.00E+00,1.94E-03,0.00E+00,0.00E+00,0.00E+00
IN127M,0.00E+00,0.00E+00,6.05E-03,0.00E+00,0.00E+00,0.00E+00
IN128,0.00E+00,0.00E+00,5.79E-04,0.00E+00,0.00E+00,0.00E+00
IN129,0.00E+00,0.00E+00,1.57E-03,0.00E+00,0.00E+00,0.00E+00
IN130,0.00E+00,0.00E+00,1.70E-04,0.00E+00,0.00E+00,0.00E+00
IN131,0.00E+00,0.00E+00,5.85E-05,0.00E+00,0.00E+00,0.00E+00
IN132,0.00E+00,0.00E+00,7.93E-06,0.00E+00,0.00E+00,0.00E+00
IN133,0.00E+00,0.00E+00,5.10E-07,0.00E+00,0.00E+00,0.00E+00
IN134,0.00E+00,0.00E+00,1.29E-08,0.00E+00,0.00E+00,0.00E+00
SN114,0.00E+00,3.18E-08,9.84E-06,3.18E-08,0.00E+00,0.00E+00
SN115,0.00E+00,6.81E-03,2.11E+00,6.81E-03,0.00E+00,0.00E+00
SN116,0.00E+00,3.11E-02,9.63E+00,3.11E-02,0.00E+00,0.00E+00
SN117,0.00E+00,4.56E-01,1.41E+02,4.56E-01,0.00E+00,0.00E+00
SN117M,0.00E+00,0.00E+00,1.86E-01,0.00E+00,0.00E+00,0.00E+00
SN118,0.00E+00,5.12E-01,1.59E+02,5.12E-01,0.00E+00,0.00E+00
SN119,0.00E+00,6.18E-01,1.92E+02,6.19E-01,0.00E+00,0.00E+00
SN119M,0.00E+00,0.00E+00,1.69E-01,0.00E+00,0.00E+00,0.00E+00
SN120,0.00E+00,7.28E-01,2.26E+02,7.28E-01,0.00E+00,0.00E+00
SN121,0.00E+00,0.00E+00,1.01E+02,0.00E+00,0.00E+00,0.00E+00
SN121M,0.00E+00,0.00E+00,1.80E+01,0.00E+00,0.00E+00,0.00E+00
SN122,0.00E+00,1.34E+00,4.16E+02,1.34E+00,0.00E+00,0.00E+00
SN123,0.00E+00,3.68E-01,1.14E+02,3.68E-01,0.00E+00,0.00E+00
SN123M,0.00E+00,0.00E+00,5.01E+00,0.00E+00,0.00E+00,0.00E+00
SN124,0.00E+00,2.47E+00,7.64E+02,2.47E+00,0.00E+00,0.00E+00
SN125,0.00E+00,1.73E-01,5.34E+01,1.73E-01,0.00E+00,0.00E+00
SN125M,0.00E+00,0.00E+00,1.21E+00,0.00E+00,0.00E+00,0.00E+00
SN126,0.00E+00,7.47E+00,2.31E+03,7.47E+00,0.00E+00,0.00E+00
SN127,0.00E+00,0.00E+00,1.74E+02,0.00E+00,0.00E+00,0.00E+00
SN127M,0.00E+00,0.00E+00,2.00E+00,0.00E+00,0.00E+00,0.00E+00
SN128,0.00E+00,0.00E+00,1.44E+02,0.00E+00,0.00E+00,0.00E+00
SN129,0.00E+00,0.00E+00,6.37E+00,0.00E+00,0.00E+00,0.00E+00
SN129M,0.00E+00,0.00E+00,7.48E+00,0.00E+00,0.00E+00,0.00E+00
SN130,0.00E+00,0.00E+00,5.72E+00,0.00E+00,0.00E+00,0.00E+00
SN131,0.00E+00,0.00E+00,9.35E-01,0.00E+00,0.00E+00,0.00E+00
SN132,0.00E+00,0.00E+00,2.86E-01,0.00E+00,0.00E+00,0.00E+00
SN133,0.00E+00,0.00E+00,3.26E-03,0.00E+00,0.00E+00,0.00E+00
SN134,0.00E+00,0.00E+00,2.58E-04,0.00E+00,0.00E+00,0.00E+00
SN135,0.00E+00,0.00E+00,6.35E-06,0.00E+00,0.00E+00,0.00E+00
SN136,0.00E+00,0.00E+00,1.24E-07,0.00E+00,0.00E+00,0.00E+00
SB121,0.00E+00,0.00E+00,1.20E+02,0.00E+00,0.00E+00,0.00E+00
SB122,0.00E+00,0.00E+00,3.49E-01,0.00E+00,0.00E+00,0.00E+00
SB122M,0.00E+00,0.00E+00,3.57E-04,0.00E+00,0.00E+00,0.00E+00
SB123,0.00E+00,0.00E+00,4.92E+02,0.00E+00,0.00E+00,0.00E+00
SB124,0.00E+00,0.00E+00,6.72E-01,0.00E+00,0.00E+00,0.00E+00
SB125,0.00E+00,0.00E+00,1.15E+03,0.00E+00,0.00E+00,0.00E+00
SB126,0.00E+00,0.00E+00,8.14E+00,0.00E+00,0.00E+00,0.00E+00
SB126M,0.00E+00,0.00E+00,7.90E-02,0.00E+00,0.00E+00,0.00E+00
SB127,0.00E+00,0.00E+00,4.36E+03,0.00E+00,0.00E+00,0.00E+00
SB128,0.00E+00,0.00E+00,1.41E+03,0.00E+00,0.00E+00,0.00E+00
SB128M,0.00E+00,0.00E+00,2.48E+00,0.00E+00,0.00E+00,0.00E+00
SB129,0.00E+00,0.00E+00,1.45E+03,0.00E+00,0.00E+00,0.00E+00
SB130,0.00E+00,0.00E+00,1.22E+02,0.00E+00,0.00E+00,0.00E+00
SB130M,0.00E+00,0.00E+00,2.31E+01,0.00E+00,0.00E+00,0.00E+00
SB131,0.00E+00,0.00E+00,1.69E+02,0.00E+00,0.00E+00,0.00E+00
SB132,0.00E+00,0.00E+00,8.29E+00,0.00E+00,0.00E+00,0.00E+00
SB132M,0.00E+00,0.00E+00,7.16E+00,0.00E+00,0.00E+00,0.00E+00
SB133,0.00E+00,0.00E+00,8.57E+00,0.00E+00,0.00E+00,0.00E+00
SB134,0.00E+00,0.00E+00,5.89E-03,0.00E+00,0.00E+00,0.00E+00
SB134M,0.00E+00,0.00E+00,7.40E-02,0.00E+00,0.00E+00,0.00E+00
SB135,0.00E+00,0.00E+00,5.01E-03,0.00E+00,0.00E+00,0.00E+00
SB136,0.00E+00,0.00E+00,2.67E-04,0.00E+00,0.00E+00,0.00E+00
SB137,0.00E+00,0.00E+00,4.73E-05,0.00E+00,0.00E+00,0.00E+00
SB138,0.00E+00,0.00E+00,2.65E-07,0.00E+00,0.00E+00,0.00E+00
SB139,0.00E+00,0.00E+00,8.21E-09,0.00E+00,0.00E+00,0.00E+00
TE122,0.00E+00,0.00E+00,1.43E-01,0.00E+00,0.00E+00,0.00E+00
TE123,0.00E+00,0.00E+00,4.04E-05,0.00E+00,0.00E+00,0.00E+00
TE123M,0.00E+00,0.00E+00,1.25E-04,0.00E+00,0.00E+00,0.00E+00
TE124,0.00E+00,0.00E+00,1.36E-01,0.00E+00,0.00E+00,0.00E+00
TE125,0.00E+00,0.00E+00,9.10E-01,0.00E+00,0.00E+00,0.00E+00
TE125M,0.00E+00,0.00E+00,2.71E-01,0.00E+00,0.00E+00,0.00E+00
TE126,0.00E+00,0.00E+00,1.13E+01,0.00E+00,0.00E+00,0.00E+00
TE127,0.00E+00,0.00E+00,3.50E+02,0.00E+00,0.00E+00,0.00E+00
TE127M,0.00E+00,0.00E+00,6.07E+01,0.00E+00,0.00E+00,0.00E+00
TE128,0.00E+00,0.00E+00,7.28E+03,0.00E+00,0.00E+00,0.00E+00
TE129,0.00E+00,0.00E+00,3.93E+02,0.00E+00,0.00E+00,0.00E+00
TE129M,0.00E+00,0.00E+00,2.26E+02,0.00E+00,0.00E+00,0.00E+00
TE130,0.00E+00,0.00E+00,2.27E+04,0.00E+00,0.00E+00,0.00E+00
TE131,0.00E+00,0.00E+00,2.46E+02,0.00E+00,0.00E+00,0.00E+00
TE131M,0.00E+00,0.00E+00,5.80E+03,0.00E+00,0.00E+00,0.00E+00
TE132,0.00E+00,0.00E+00,3.90E+04,0.00E+00,0.00E+00,0.00E+00
TE133,0.00E+00,0.00E+00,1.28E+02,0.00E+00,0.00E+00,0.00E+00
TE133M,0.00E+00,0.00E+00,6.38E+02,0.00E+00,0.00E+00,0.00E+00
TE134,0.00E+00,0.00E+00,6.63E+02,0.00E+00,0.00E+00,0.00E+00
TE135,0.00E+00,0.00E+00,2.19E+00,0.00E+00,0.00E+00,0.00E+00
TE136,0.00E+00,0.00E+00,8.63E-01,0.00E+00,0.00E+00,0.00E+00
TE137,0.00E+00,0.00E+00,1.74E-02,0.00E+00,0.00E+00,0.00E+00
TE138,0.00E+00,0.00E+00,2.26E-03,0.00E+00,0.00E+00,0.00E+00
TE139,0.00E+00,0.00E+00,3.27E-05,0.00E+00,0.00E+00,0.00E+00
TE140,0.00E+00,0.00E+00,1.88E-05,0.00E+00,0.00E+00,0.00E+00
TE141,0.00E+00,0.00E+00,3.10E-07,0.00E+00,0.00E+00,0.00E+00
TE142,0.00E+00,0.00E+00,5.32E-09,0.00E+00,0.00E+00,0.00E+00
I127,0.00E+00,7.66E-01,8.20E+02,7.66E-01,0.00E+00,0.00E+00
I128,0.00E+00,0.00E+00,6.62E-02,0.00E+00,0.00E+00,0.00E+00
I129,0.00E+00,1.48E+01,1.59E+04,1.48E+01,0.00E+00,0.00E+00
I130,0.00E+00,1.24E-03,1.33E+00,1.24E-03,0.00E+00,0.00E+00
I130M,0.00E+00,0.00E+00,1.83E-01,0.00E+00,0.00E+00,0.00E+00
I131,0.00E+00,5.17E+00,5.53E+03,5.17E+00,0.00E+00,0.00E+00
I132,0.00E+00,0.00E+00,1.21E+03,0.00E+00,0.00E+00,0.00E+00
I133,0.00E+00,0.00E+00,2.50E+04,0.00E+00,0.00E+00,0.00E+00
I133M,0.00E+00,0.00E+00,1.93E-01,0.00E+00,0.00E+00,0.00E+00
I134,0.00E+00,0.00E+00,1.23E+03,0.00E+00,0.00E+00,0.00E+00
I134M,0.00E+00,0.00E+00,1.14E+01,0.00E+00,0.00E+00,0.00E+00
I135,0.00E+00,3.59E-01,3.84E+02,3.59E-01,0.00E+00,0.00E+00
I136,0.00E+00,0.00E+00,1.00E+01,0.00E+00,0.00E+00,0.00E+00
I136M,0.00E+00,0.00E+00,3.35E+00,0.00E+00,0.00E+00,0.00E+00
I137,0.00E+00,0.00E+00,2.71E+00,0.00E+00,0.00E+00,0.00E+00
I138,0.00E+00,0.00E+00,2.72E-01,0.00E+00,0.00E+00,0.00E+00
I139,0.00E+00,0.00E+00,3.80E-02,0.00E+00,0.00E+00,0.00E+00
I140,0.00E+00,0.00E+00,1.89E-03,0.00E+00,0.00E+00,0.00E+00
I141,0.00E+00,0.00E+00,1.37E-04,0.00E+00,0.00E+00,0.00E+00
I142,0.00E+00,0.00E+00,7.31E-06,0.00E+00,0.00E+00,0.00E+00
