isotope,Charged (g),DF1 (g),FP1 (g),DF2 (g),FP2 (g),Losses (g)
GE76,0.00E+00,1.04E+01,0.00E+00,1.04E+01,0.00E+00,0.00E+00
GE77,0.00E+00,1.75E-03,0.00E+00,1.75E-03,0.00E+00,0.00E+00
GE77M,0.00E+00,9.48E-08,0.00E+00,9.48E-08,0.00E+00,0.00E+00
GE78,0.00E+00,4.90E-04,0.00E+00,4.90E-04,0.00E+00,0.00E+00
GE79,0.00E+00,2.67E-06,0.00E+00,2.67E-06,0.00E+00,0.00E+00
GE80,0.00E+00,1.02E-05,0.00E+00,1.02E-05,0.00E+00,0.00E+00
GE81,0.00E+00,1.99E-06,0.00E+00,1.99E-06,0.00E+00,0.00E+00
GE82,0.00E+00,7.60E-07,0.00E+00,7.60E-07,0.00E+00,0.00E+00
GE83,0.00E+00,1.03E-07,0.00E+00,1.03E-07,0.00E+00,0.00E+00
GE84,0.00E+00,3.46E-08,0.00E+00,3.46E-08,0.00E+00,0.00E+00
GE85,0.00E+00,1.83E-09,0.00E+00,1.83E-09,0.00E+00,0.00E+00
GE86,0.00E+00,5.01E-09,0.00E+00,5.01E-09,0.00E+00,0.00E+00
GE87,0.00E+00,3.11E-11,0.00E+00,3.11E-11,0.00E+00,0.00E+00
GE88,0.00E+00,3.68E-13,0.00E+00,3.68E-13,0.00E+00,0.00E+00
AS75,0.00E+00,4.59E+00,0.00E+00,4.59E+00,0.00E+00,0.00E+00
AS76,0.00E+00,4.02E-04,0.00E+00,4.02E-04,0.00E+00,0.00E+00
AS77,0.00E+00,3.92E-03,0.00E+00,3.92E-03,0.00E+00,0.00E+00
AS78,0.00E+00,5.17E-04,0.00E+00,5.17E-04,0.00E+00,0.00E+00
AS79,0.00E+00,1.37E-04,0.00E+00,1.37E-04,0.00E+00,0.00E+00
AS80,0.00E+00,6.37E-06,0.00E+00,6.37E-06,0.00E+00,0.00E+00
AS81,0.00E+00,2.11E-05,0.00E+00,2.11E-05,0.00E+00,0.00E+00
AS82,0.00E+00,8.91E-06,0.00E+00,8.91E-06,0.00E+00,0.00E+00
AS82M,0.00E+00,3.95E-06,0.00E+00,3.95E-06,0.00E+00,0.00E+00
