isotope,ST1-charged (g),ST1-discharged (g)
H3,0.000E+00,5.097E-03
HE4,0.000E+00,9.288E+01
BE9,0.000E+00,4.768E+00
GE74,0.000E+00,1.929E+01
GE76,0.000E+00,9.058E+01
AS75,0.000E+00,1.969E+01
SE76,0.000E+00,1.340E+01
SE77,0.000E+00,5.088E+01
SE78,0.000E+00,2.259E+02
SE79,0.000E+00,1.370E+02
SE80,0.000E+00,9.332E+02
SE82,0.000E+00,1.499E+03
BR81,0.000E+00,3.818E+02
KR82,0.000E+00,1.130E+02
KR83,0.000E+00,2.389E+02
KR84,0.000E+00,6.887E+03
KR85,0.000E+00,4.298E+02
KR86,0.000E+00,7.716E+03
RB85,0.000E+00,4.508E+03
RB86,0.000E+00,2.219E+00
RB87,0.000E+00,9.819E+03
SR86,0.000E+00,7.497E+02
SR87,0.000E+00,4.558E+01
SR88,0.000E+00,1.459E+04
SR89,0.000E+00,5.227E+01
SR90,0.000E+00,1.019E+04
Y89,0.000E+00,1.610E+04
Y90,0.000E+00,2.909E+00
Y91,0.000E+00,6.697E+01
ZR90,0.000E+00,8.506E+03
ZR91,0.000E+00,1.599E+04
ZR92,0.000E+00,2.039E+04
ZR93,0.000E+00,1.559E+04
ZR94,0.000E+00,2.449E+04
ZR95,0.000E+00,8.436E+01
ZR96,0.000E+00,1.629E+04
NB95,0.000E+00,4.668E+01
MO95,0.000E+00,5.467E+03
MO96,0.000E+00,1.140E+04
MO97,0.000E+00,1.540E+04
MO98,0.000E+00,1.909E+04
MO99,0.000E+00,4.008E+00
MO100,0.000E+00,1.449E+04
TC99,0.000E+00,2.269E+03
RU99,0.000E+00,1.979E+01
RU100,0.000E+00,1.419E+04
RU101,0.000E+00,5.337E+03
RU102,0.000E+00,1.859E+04
RU103,0.000E+00,3.988E+01
RU104,0.000E+00,4.358E+03
RU106,0.000E+00,9.917E+01
RH103,0.000E+00,4.029E+02
RH105,0.000E+00,4.838E-01
PD104,0.000E+00,6.767E+03
PD105,0.000E+00,2.189E+03
PD106,0.000E+00,5.647E+03
PD107,0.000E+00,8.206E+02
PD108,0.000E+00,5.388E+02
PD110,0.000E+00,5.628E+02
AG109,0.000E+00,1.499E+02
AG111,0.000E+00,3.158E-01
CD110,0.000E+00,1.510E+03
CD111,0.000E+00,8.457E+02
CD112,0.000E+00,8.087E+02
CD113,0.000E+00,1.929E-01
CD114,0.000E+00,7.087E+02
CD116,0.000E+00,3.678E+02
IN115,0.000E+00,7.357E+00
SN116,0.000E+00,4.138E+02
SN117,0.000E+00,3.258E+02
SN118,0.000E+00,4.258E+02
SN119,0.000E+00,3.158E+02
SN120,0.000E+00,4.108E+02
SN122,0.000E+00,4.768E+02
SN123,0.000E+00,1.370E+00
SN124,0.000E+00,6.777E+02
SN125,0.000E+00,3.638E-01
SN126,0.000E+00,1.820E+03
SB121,0.000E+00,6.687E+01
SB123,0.000E+00,1.709E+02
SB124,0.000E+00,3.018E+00
SB125,0.000E+00,8.666E+01
SB126,0.000E+00,2.509E-01
TE122,0.000E+00,1.200E+02
TE123,0.000E+00,2.039E+00
TE124,0.000E+00,5.358E+02
TE125,0.000E+00,7.057E+02
TE126,0.000E+00,5.407E+02
TE128,0.000E+00,6.138E+03
TE130,0.000E+00,1.090E+04
TE132,0.000E+00,4.158E+00
I127,0.000E+00,6.847E+02
I129,0.000E+00,4.268E+03
I130,0.000E+00,4.838E-01
I131,0.000E+00,8.646E+00
I135,0.000E+00,4.178E-01
XE128,0.000E+00,2.419E+03
XE129,0.000E+00,1.789E+02
XE130,0.000E+00,3.968E+03
XE131,0.000E+00,5.898E+02
XE132,0.000E+00,3.269E+04
XE133,0.000E+00,1.209E+01
XE134,0.000E+00,2.608E+04
XE135,0.000E+00,1.240E-01
XE136,0.000E+00,3.728E+04
CS133,0.000E+00,2.689E+03
CS134,0.000E+00,1.279E+03
CS135,0.000E+00,1.179E+04
CS136,0.000E+00,2.538E+01
CS137,0.000E+00,1.599E+04
BA133,0.000E+00,2.839E+01
BA134,0.000E+00,1.519E+04
BA135,0.000E+00,2.219E+03
BA136,0.000E+00,1.599E+04
BA137,0.000E+00,1.179E+04
BA138,0.000E+00,2.639E+04
BA140,0.000E+00,2.329E+01
LA138,0.000E+00,1.939E+01
LA139,0.000E+00,2.269E+04
LA140,0.000E+00,5.847E+00
CE139,0.000E+00,3.558E+00
CE140,0.000E+00,3.288E+04
CE141,0.000E+00,6.797E+01
CE142,0.000E+00,2.749E+04
CE143,0.000E+00,2.589E+00
CE144,0.000E+00,4.188E+02
PR141,0.000E+00,2.099E+04
PR142,0.000E+00,1.719E+00
PR143,0.000E+00,2.538E+01
ND142,0.000E+00,7.986E+03
ND143,0.000E+00,2.079E+03
ND144,0.000E+00,4.278E+04
ND145,0.000E+00,3.218E+03
ND146,0.000E+00,2.639E+04
ND147,0.000E+00,1.109E+01
ND148,0.000E+00,4.908E+03
ND150,0.000E+00,2.009E+03
PM147,0.000E+00,1.769E+02
PM148,0.000E+00,1.859E+00
PM149,0.000E+00,1.259E+00
PM151,0.000E+00,2.699E-01
SM147,0.000E+00,9.864E+01
SM148,0.000E+00,4.717E+03
SM149,0.000E+00,2.538E+00
SM150,0.000E+00,1.049E+03
SM151,0.000E+00,3.288E+01
SM152,0.000E+00,2.359E+02
SM153,0.000E+00,3.239E+00
SM154,0.000E+00,2.749E+02
EU151,0.000E+00,1.750E-02
EU152,0.000E+00,2.848E-02
EU153,0.000E+00,4.038E+02
EU154,0.000E+00,8.746E+01
EU155,0.000E+00,2.778E+01
