isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,8.434E-02,0.000E+00,5.865E-01
HE4,0.000E+00,8.968E-01,0.000E+00,1.136E+02
LI6,0.000E+00,2.139E-04,0.000E+00,3.426E-03
LI7,0.000E+00,1.530E-05,0.000E+00,8.790E-05
BE9,0.000E+00,2.943E-05,0.000E+00,1.676E-04
BE10,0.000E+00,1.967E-04,0.000E+00,1.131E-03
C14,0.000E+00,3.975E-05,0.000E+00,2.287E-04
CO72,0.000E+00,1.168E-12,0.000E+00,0.000E+00
CO73,0.000E+00,3.616E-13,0.000E+00,0.000E+00
CO74,0.000E+00,6.493E-14,0.000E+00,0.000E+00
CO75,0.000E+00,6.482E-15,0.000E+00,0.000E+00
NI72,0.000E+00,4.458E-10,0.000E+00,0.000E+00
NI73,0.000E+00,6.083E-11,0.000E+00,0.000E+00
NI74,0.000E+00,5.970E-11,0.000E+00,0.000E+00
NI75,0.000E+00,6.757E-12,0.000E+00,0.000E+00
NI76,0.000E+00,2.604E-12,0.000E+00,0.000E+00
NI77,0.000E+00,1.726E-13,0.000E+00,0.000E+00
NI78,0.000E+00,2.722E-14,0.000E+00,0.000E+00
CU66,0.000E+00,1.237E-13,0.000E+00,0.000E+00
CU67,0.000E+00,1.478E-16,0.000E+00,0.000E+00
CU72,0.000E+00,2.202E-09,0.000E+00,0.000E+00
CU73,0.000E+00,1.888E-09,0.000E+00,0.000E+00
CU74,0.000E+00,3.593E-10,0.000E+00,0.000E+00
CU75,0.000E+00,4.752E-10,0.000E+00,0.000E+00
CU76,0.000E+00,1.017E-10,0.000E+00,0.000E+00
CU77,0.000E+00,6.304E-11,0.000E+00,0.000E+00
CU78,0.000E+00,9.291E-12,0.000E+00,0.000E+00
CU79,0.000E+00,3.507E-12,0.000E+00,0.000E+00
CU80,0.000E+00,2.289E-13,0.000E+00,0.000E+00
CU81,0.000E+00,1.409E-14,0.000E+00,0.000E+00
ZN66,0.000E+00,5.802E-08,0.000E+00,5.643E-07
ZN67,0.000E+00,2.432E-09,0.000E+00,1.382E-08
ZN68,0.000E+00,5.336E-11,0.000E+00,7.998E-11
ZN69,0.000E+00,1.434E-17,0.000E+00,0.000E+00
ZN69M,0.000E+00,1.395E-17,0.000E+00,0.000E+00
ZN72,0.000E+00,7.280E-05,0.000E+00,1.514E-10
ZN73,0.000E+00,1.885E-08,0.000E+00,0.000E+00
ZN74,0.000E+00,1.423E-07,0.000E+00,0.000E+00
ZN75,0.000E+00,2.461E-08,0.000E+00,0.000E+00
ZN76,0.000E+00,2.449E-08,0.000E+00,0.000E+00
ZN77,0.000E+00,6.989E-09,0.000E+00,0.000E+00
ZN78,0.000E+00,1.166E-08,0.000E+00,0.000E+00
ZN79,0.000E+00,1.262E-09,0.000E+00,0.000E+00
ZN80,0.000E+00,8.348E-10,0.000E+00,0.000E+00
ZN81,0.000E+00,3.576E-11,0.000E+00,0.000E+00
ZN82,0.000E+00,5.045E-12,0.000E+00,0.000E+00
ZN83,0.000E+00,2.976E-13,0.000E+00,0.000E+00
GA69,0.000E+00,1.136E-13,0.000E+00,4.981E-14
GA70,0.000E+00,3.686E-20,0.000E+00,0.000E+00
GA71,0.000E+00,1.433E-06,0.000E+00,5.547E-05
GA72,0.000E+00,2.216E-05,0.000E+00,6.586E-11
GA73,0.000E+00,1.488E-05,0.000E+00,0.000E+00
GA74,0.000E+00,7.825E-07,0.000E+00,0.000E+00
GA75,0.000E+00,3.787E-07,0.000E+00,0.000E+00
GA76,0.000E+00,1.897E-07,0.000E+00,0.000E+00
GA77,0.000E+00,1.622E-07,0.000E+00,0.000E+00
GA78,0.000E+00,1.051E-07,0.000E+00,0.000E+00
GA79,0.000E+00,7.156E-08,0.000E+00,0.000E+00
GA80,0.000E+00,4.063E-08,0.000E+00,0.000E+00
GA81,0.000E+00,1.002E-08,0.000E+00,0.000E+00
GA82,0.000E+00,8.342E-10,0.000E+00,0.000E+00
GA83,0.000E+00,2.256E-10,0.000E+00,0.000E+00
GA84,0.000E+00,2.094E-11,0.000E+00,0.000E+00
GE70,0.000E+00,5.738E-16,0.000E+00,1.109E-16
GE72,0.000E+00,3.317E-02,0.000E+00,7.400E-01
GE73,0.000E+00,6.698E-02,0.000E+00,1.034E+00
GE73M,0.000E+00,4.493E-10,0.000E+00,0.000E+00
GE74,0.000E+00,1.491E-01,0.000E+00,1.658E+00
GE75,0.000E+00,1.674E-05,0.000E+00,0.000E+00
GE75M,0.000E+00,7.582E-09,0.000E+00,0.000E+00
GE76,0.000E+00,7.517E-01,0.000E+00,5.748E+00
GE77,0.000E+00,2.362E-04,0.000E+00,0.000E+00
GE77M,0.000E+00,6.811E-07,0.000E+00,0.000E+00
GE78,0.000E+00,1.891E-04,0.000E+00,0.000E+00
GE79,0.000E+00,3.258E-06,0.000E+00,0.000E+00
GE80,0.000E+00,3.438E-06,0.000E+00,0.000E+00
GE81,0.000E+00,1.692E-06,0.000E+00,0.000E+00
GE82,0.000E+00,6.595E-07,0.000E+00,0.000E+00
GE83,0.000E+00,1.959E-07,0.000E+00,0.000E+00
GE84,0.000E+00,4.332E-08,0.000E+00,0.000E+00
GE85,0.000E+00,2.015E-09,0.000E+00,0.000E+00
GE86,0.000E+00,4.271E-10,0.000E+00,0.000E+00
GE87,0.000E+00,2.798E-11,0.000E+00,0.000E+00
GE88,0.000E+00,1.416E-12,0.000E+00,0.000E+00
AS75,0.000E+00,2.990E-01,0.000E+00,2.632E+00
AS76,0.000E+00,3.225E-05,0.000E+00,2.035E-16
AS77,0.000E+00,2.206E-03,0.000E+00,8.628E-11
AS78,0.000E+00,2.035E-04,0.000E+00,0.000E+00
AS79,0.000E+00,4.770E-05,0.000E+00,0.000E+00
AS80,0.000E+00,3.143E-06,0.000E+00,0.000E+00
AS81,0.000E+00,9.523E-06,0.000E+00,0.000E+00
AS82,0.000E+00,5.259E-06,0.000E+00,0.000E+00
AS82M,0.000E+00,1.389E-06,0.000E+00,0.000E+00
AS83,0.000E+00,5.932E-06,0.000E+00,0.000E+00
AS84,0.000E+00,2.118E-06,0.000E+00,0.000E+00
AS85,0.000E+00,4.231E-07,0.000E+00,0.000E+00
AS86,0.000E+00,9.858E-08,0.000E+00,0.000E+00
AS87,0.000E+00,1.557E-08,0.000E+00,0.000E+00
AS88,0.000E+00,6.385E-10,0.000E+00,0.000E+00
AS89,0.000E+00,6.956E-11,0.000E+00,0.000E+00
SE76,0.000E+00,1.239E-02,0.000E+00,1.651E-01
SE77,0.000E+00,1.502E+00,0.000E+00,1.025E+01
SE77M,0.000E+00,8.709E-10,0.000E+00,2.681E-17
SE78,0.000E+00,3.706E+00,0.000E+00,2.155E+01
SE79,0.000E+00,8.795E+00,0.000E+00,4.221E+01
SE79M,0.000E+00,2.070E-05,0.000E+00,0.000E+00
SE80,0.000E+00,1.998E+01,0.000E+00,7.054E+01
SE81,0.000E+00,3.581E-04,0.000E+00,0.000E+00
SE81M,0.000E+00,2.917E-05,0.000E+00,0.000E+00
SE82,0.000E+00,4.987E+01,0.000E+00,1.514E+02
SE83,0.000E+00,3.920E-04,0.000E+00,0.000E+00
SE83M,0.000E+00,2.938E-05,0.000E+00,0.000E+00
SE84,0.000E+00,2.346E-04,0.000E+00,0.000E+00
SE85,0.000E+00,2.625E-05,0.000E+00,0.000E+00
SE85M,0.000E+00,9.534E-06,0.000E+00,0.000E+00
SE86,0.000E+00,2.153E-05,0.000E+00,0.000E+00
SE87,0.000E+00,6.061E-06,0.000E+00,0.000E+00
SE88,0.000E+00,6.212E-07,0.000E+00,0.000E+00
SE89,0.000E+00,5.004E-08,0.000E+00,0.000E+00
SE90,0.000E+00,1.988E-08,0.000E+00,0.000E+00
SE91,0.000E+00,1.045E-09,0.000E+00,0.000E+00
SE92,0.000E+00,8.520E-11,0.000E+00,0.000E+00
BR79,0.000E+00,1.967E-04,0.000E+00,9.841E-04
BR79M,0.000E+00,6.450E-13,0.000E+00,0.000E+00
BR80,0.000E+00,6.687E-09,0.000E+00,0.000E+00
BR80M,0.000E+00,6.471E-08,0.000E+00,0.000E+00
BR81,0.000E+00,3.152E+01,0.000E+00,8.611E+01
BR82,0.000E+00,6.811E-03,0.000E+00,1.550E-11
BR82M,0.000E+00,8.019E-06,0.000E+00,0.000E+00
BR83,0.000E+00,6.266E-03,0.000E+00,0.000E+00
BR84,0.000E+00,2.358E-03,0.000E+00,0.000E+00
BR84M,0.000E+00,1.870E-05,0.000E+00,0.000E+00
BR85,0.000E+00,2.552E-04,0.000E+00,0.000E+00
BR86,0.000E+00,5.792E-05,0.000E+00,0.000E+00
BR86M,0.000E+00,4.753E-06,0.000E+00,0.000E+00
BR87,0.000E+00,1.354E-04,0.000E+00,0.000E+00
BR88,0.000E+00,4.101E-05,0.000E+00,0.000E+00
BR89,0.000E+00,7.668E-06,0.000E+00,0.000E+00
BR90,0.000E+00,1.692E-06,0.000E+00,0.000E+00
BR91,0.000E+00,2.293E-07,0.000E+00,0.000E+00
BR92,0.000E+00,1.508E-08,0.000E+00,0.000E+00
BR93,0.000E+00,1.735E-09,0.000E+00,0.000E+00
BR94,0.000E+00,8.299E-11,0.000E+00,0.000E+00
BR95,0.000E+00,7.636E-12,0.000E+00,0.000E+00
BR96,0.000E+00,2.910E-13,0.000E+00,0.000E+00
KR79,0.000E+00,1.357E-12,0.000E+00,3.834E-20
KR80,0.000E+00,3.513E-04,0.000E+00,2.569E-03
KR81,0.000E+00,4.407E-05,0.000E+00,2.375E-04
KR81M,0.000E+00,3.964E-12,0.000E+00,0.000E+00
KR82,0.000E+00,2.043E+00,0.000E+00,7.209E+00
KR83,0.000E+00,5.479E+01,0.000E+00,3.122E+02
KR83M,0.000E+00,4.823E-03,0.000E+00,0.000E+00
KR84,0.000E+00,1.739E+02,0.000E+00,5.584E+02
KR85,0.000E+00,3.378E+01,0.000E+00,1.159E+02
KR85M,0.000E+00,2.428E-02,0.000E+00,0.000E+00
KR86,0.000E+00,2.796E+02,0.000E+00,8.748E+02
KR87,0.000E+00,1.319E-02,0.000E+00,0.000E+00
KR88,0.000E+00,4.181E-02,0.000E+00,0.000E+00
KR89,0.000E+00,9.388E-04,0.000E+00,0.000E+00
KR90,0.000E+00,1.590E-04,0.000E+00,0.000E+00
KR91,0.000E+00,3.217E-05,0.000E+00,0.000E+00
KR92,0.000E+00,3.527E-06,0.000E+00,0.000E+00
