Years,Waste
id,snf
n_wf,78
name,uox
pkg_diameter,2.1068
pkg_length,4.8875
0.0,160366.52097800944
0.0027397260273972603,116491.11552768153
0.021917808219178082,66004.20425612193
0.10410958904109589,30173.285994176127
0.1863013698630137,20290.02508521502
1.0082191780821912,3861.616891450579
2.008219178082193,2416.0091164208525
3.008219178082193,1965.2205087592713
4.008219178082193,1706.1957326069457
5.008219178082193,1533.697241749513
5.108219178082193,1519.5534206223551
5.508219178082193,1467.3701157314636
5.758219178082193,1437.9486887857481
6.008219178082193,1410.685751158635
8.008219178082191,1249.5862206227282
10.008219178082191,1150.915789037544
11.508219178082191,1098.8482868056476
15.008219178082191,1013.5380691752383
20.008219178082193,928.4936869004049
23.008219178082193,885.9279305926776
25.008219178082193,859.5770225461403
30.008219178082197,799.0087753561019
35.0082191780822,744.6649384814831
40.0082191780822,695.6369430397668
45.008219178082214,651.3296355512477
50.008219178082214,611.2628218872484
60.00821917808219,542.2276172979587
70.00821917808219,485.6891768558402
80.00821917808219,439.3235740379302
90.00821917808219,401.21584832965124
100.00821917808219,369.7916680163337
125.00821917808219,312.6054463899172
150.00821917808221,275.4738605874793
175.00821917808221,250.05594548951905
200.00821917808224,231.5733830044112
225.00821917808224,217.3010255189794
250.00821917808227,205.6780662725451
300.0082191780823,187.13154960824176
350.0082191780823,172.2476437117756
400.00821917808213,159.59749365105358
450.00821917808213,148.5263174712225
500.00821917808213,138.6750934227144
600.0082191780821,121.7917190764892
700.0082191780821,107.80369455574515
800.0082191780818,96.05025000097903
900.0082191780818,86.09627762217892
1000.0082191780821,77.62800586159577
1250.0082191780823,61.48601412251837
1500.0082191780818,50.53740273872429
1750.0082191780818,43.056082390643205
2000.0082191780823,37.89892472720214
2250.0082191780825,34.30189478046875
2500.008219178083,31.75327401414348
3000.0082191780816,28.542636314786115
4000.008219178082,25.413430244907016
5000.008219178082,23.640760137651853
6000.008219178082,22.2330284367403
7000.008219178082,20.981773699922748
8000.008219178082,19.837292786100782
9000.00821917808,18.782649525821117
10000.008219178078,17.808187213965954
20000.008219178082,11.156084783063957
50000.00821917806,4.107273164793034
100000.00821917808,1.160418766890001
200000.0082191781,0.33895068700640213
500000.00821917807,0.2883088128026291
1000000.0082191777,0.24458447534656436
