Years,Waste
id,snf
n_wf,114
name,uox
pkg_diameter,2.1068
pkg_length,4.8875
0.0,224195.0370541623
0.0027397260273972603,163160.27432697327
0.021917808219178082,93023.13353783812
0.10410958904109589,42705.051483811396
0.1863013698630137,28749.79568944469
1.0082191780821912,5509.930884397022
2.00821917808219,3507.851765926122
3.00821917808219,2875.97629200769
4.00821917808219,2507.0884615207683
5.00821917808219,2259.6214574046485
5.10821917808219,2239.283111341079
5.50821917808219,2164.1914431607115
5.758219178082189,2121.818383111298
6.008219178082189,2082.531418496687
8.008219178082191,1849.903896642801
10.008219178082191,1706.8720449916375
11.508219178082191,1631.120022756796
15.008219178082188,1506.418905980852
20.008219178082193,1381.382148374468
23.008219178082186,1318.623229765687
25.008219178082186,1279.7371083556911
30.008219178082186,1190.2875548593854
35.008219178082186,1109.965041949479
40.008219178082186,1037.4503011797187
45.0082191780822,971.8764865579943
50.0082191780822,912.543118707372
60.00821917808219,810.2269467382496
70.00821917808219,726.345053421731
80.00821917808219,657.4907185535843
90.00821917808217,600.8504602262585
100.00821917808217,554.1066367826191
125.00821917808216,468.93867417680656
150.00821917808216,413.5505810875317
175.0082191780822,375.58640418560645
200.0082191780822,347.9545162223726
225.0082191780822,326.60490490201164
250.00821917808224,309.2145788380856
300.00821917808224,281.4705268953528
350.00821917808224,259.2212741818061
400.0082191780822,240.32726168366574
450.0082191780822,223.8045463704742
500.00821917808213,209.1122267496116
600.0082191780821,183.95086570596706
700.0082191780821,163.1190184535581
800.0082191780818,145.62285824350676
900.0082191780818,130.8098275330087
1000.0082191780822,118.21046543157202
1250.0082191780823,94.2005930655458
1500.0082191780823,77.92174935515187
1750.0082191780823,66.80322041081007
2000.0082191780825,59.14319091113198
2250.008219178082,53.80436862061835
2500.0082191780816,50.0250862981286
3000.0082191780816,45.27177181841662
4000.0082191780816,40.65444314209159
5000.008219178081,38.043230425320104
6000.008219178084,35.96371666946407
7000.008219178084,34.107006839939835
8000.008219178082,32.400372300935125
9000.008219178082,30.819718951282844
10000.008219178082,29.35167743456862
20000.00821917808,19.060120632924097
50000.00821917808,7.255993246431098
100000.00821917808,2.0030898079081774
200000.0082191781,0.52618212388004
500000.00821917807,0.44273463922623674
1000000.0082191781,0.381194939762809
