Years,Waste
id,snf
n_wf,3
name,uox
pkg_diameter,0.82
pkg_length,5.0
0.0,286170.4442556099
0.0027397260273972603,203184.55841512326
0.021917808219178082,106732.20820053898
0.10410958904109589,47107.284782255694
0.1863013698630137,31717.158985889393
1.0082191780821919,7051.335697663086
2.0082191780821925,4498.259817784304
3.0082191780821916,3564.344838825203
4.008219178082192,3000.8556625223528
5.008219178082192,2618.059586340197
5.108219178082192,2586.5367183454086
5.508219178082192,2470.199963319193
5.758219178082192,2404.636557544009
6.008219178082192,2343.944089432304
8.008219178082191,1988.8347189087476
10.008219178082191,1778.3972608375395
11.508219178082191,1671.7284386747815
15.008219178082195,1506.9576734671762
20.008219178082193,1356.1724280123767
23.008219178082193,1284.5820208788966
25.008219178082193,1241.1989942100977
30.0082191780822,1143.6665913580277
35.0082191780822,1058.3637568498707
40.0082191780822,982.9709838056303
45.00821917808219,915.989346818237
50.00821917808219,856.2706404716189
60.0082191780822,755.0286668573419
70.0082191780822,673.3811151501425
80.0082191780822,607.0171736841677
90.00821917808221,552.6711042339714
100.00821917808221,507.827049725537
125.00821917808219,425.47387723860857
150.0082191780822,370.7110857697839
175.0082191780822,332.1529972690612
200.0082191780822,303.4534299486088
225.0082191780822,281.00960630909316
250.0082191780822,262.7258930931646
300.0082191780822,234.0884959249904
350.0082191780822,212.07994341061817
400.0082191780823,194.26318548630854
450.0082191780823,179.35292232376938
500.00821917808236,166.5777604336966
600.0082191780823,145.57934785489755
700.0082191780823,128.82275811257904
800.0082191780823,115.03783500526836
900.0082191780823,103.49471961570165
1000.0082191780822,93.73007756625965
1250.0082191780823,75.17095354108172
1500.0082191780823,62.56768327974672
1750.0082191780823,53.91849420085062
2000.0082191780823,47.91773602236245
2250.008219178082,43.69547630101199
2500.008219178082,40.66939173454011
3000.0082191780816,36.77346955103374
4000.0082191780816,32.764289211681074
5000.008219178081,30.344107063280504
6000.008219178082,28.380247119406135
7000.008219178082,26.631432085338247
8000.008219178082,25.03741114239967
9000.008219178082,23.575577111271304
10000.008219178082,22.231945465309774
20000.00821917808,13.317550750899729
50000.00821917808,4.750713045343698
100000.00821917807,1.492750890822871
200000.0082191781,0.5859505110432562
500000.00821917807,0.44797601798034703
1000000.0082191783,0.32599378057637757
