name,uox
id,snf
pkg_diameter,0.31
pkg_length,5
n_wf,1
5,1696
5.1,1670
5.5,1578
5.75,1529
6,1484
8,1249
10,1122
11.5,1058
15,953.3
20,849.9
23,799
25,767.9
30,698
35,637.1
40,583.6
45,536.4
50,494.5
60,424.2
70,368.2
80,323.2
90,286.8
100,257.2
125,203.9
150,169.7
175,146.8
200,130.4
225,118.3
250,108.8
300,94.75
350,84.65
400,76.9
450,70.69
500,65.55
600,57.45
700,51.23
800,46.24
900,42.11
1000,38.64
1250,32.05
1500,27.55
1750,24.43
2000,22.22
2250,20.64
2500,19.47
3000,17.88
4000,16.04
5000,14.8
6000,13.75
7000,12.81
8000,11.96
9000,11.19
10000,10.48
20000,5.921
50000,2.064
100000,0.8361
200000,0.5464
500000,0.4355
1000000,0.2896
