isotope,ST1-discharged (g),ST2-discharged (g)
GA73,0.000E+00,1.650E-05
GA74,0.000E+00,7.930E-07
GA75,0.000E+00,3.730E-07
GA76,0.000E+00,1.740E-07
GA77,0.000E+00,1.380E-07
GA78,0.000E+00,8.400E-08
GA79,0.000E+00,6.060E-08
GA80,0.000E+00,2.950E-08
GA81,0.000E+00,7.100E-09
GA82,0.000E+00,6.190E-10
GA83,0.000E+00,1.700E-10
GA84,0.000E+00,1.870E-11
GA85,0.000E+00,0.000E+00
GE70,0.000E+00,6.370E-17
GE71,0.000E+00,0.000E+00
GE71M,0.000E+00,0.000E+00
GE72,0.000E+00,4.530E-02
GE73,0.000E+00,7.860E-02
GE73M,0.000E+00,4.970E-10
GE74,0.000E+00,1.520E-01
GE75,0.000E+00,1.650E-05
GE75M,0.000E+00,7.690E-09
GE76,0.000E+00,6.270E-01
GE77,0.000E+00,2.160E-04
GE77M,0.000E+00,5.990E-07
GE78,0.000E+00,1.810E-04
GE79,0.000E+00,3.030E-06
GE80,0.000E+00,2.850E-06
GE81,0.000E+00,1.270E-06
GE82,0.000E+00,4.610E-07
GE83,0.000E+00,1.310E-07
GE84,0.000E+00,3.680E-08
GE85,0.000E+00,1.430E-09
GE86,0.000E+00,3.010E-10
GE87,0.000E+00,1.710E-11
GE88,0.000E+00,1.220E-12
AS75,0.000E+00,2.890E-01
AS76,0.000E+00,2.600E-05
AS77,0.000E+00,1.970E-03
AS78,0.000E+00,1.950E-04
AS79,0.000E+00,4.370E-05
AS80,0.000E+00,2.780E-06
AS81,0.000E+00,8.070E-06
AS82,0.000E+00,3.960E-06
AS82M,0.000E+00,1.150E-06
AS83,0.000E+00,4.190E-06
AS84,0.000E+00,1.570E-06
AS85,0.000E+00,2.720E-07
AS86,0.000E+00,5.920E-08
AS87,0.000E+00,7.050E-09
AS88,0.000E+00,4.910E-10
AS89,0.000E+00,5.630E-11
AS90,0.000E+00,0.000E+00
SE74,0.000E+00,0.000E+00
SE75,0.000E+00,0.000E+00
SE76,1.240E-02,1.130E-02
SE77,1.530E+00,1.250E+00
SE77M,0.000E+00,6.940E-10
SE78,3.720E+00,3.380E+00
SE79,8.960E+00,7.510E+00
SE79M,0.000E+00,1.900E-05
SE80,2.040E+01,1.620E+01
SE81,0.000E+00,3.070E-04
SE81M,0.000E+00,2.290E-05
SE82,5.110E+01,3.510E+01
SE83,0.000E+00,3.380E-04
SE83M,0.000E+00,2.360E-05
SE84,0.000E+00,1.810E-04
SE85,0.000E+00,1.840E-05
SE85M,0.000E+00,6.920E-06
SE86,0.000E+00,1.420E-05
SE87,0.000E+00,4.210E-06
SE88,0.000E+00,4.240E-07
SE89,0.000E+00,3.500E-08
SE90,0.000E+00,1.170E-08
SE91,0.000E+00,7.460E-10
SE92,0.000E+00,7.780E-11
SE93,0.000E+00,0.000E+00
BR79,0.000E+00,1.820E-04
BR79M,0.000E+00,7.740E-13
BR80,0.000E+00,7.460E-09
BR80M,0.000E+00,7.470E-08
BR81,0.000E+00,2.440E+01
BR82,0.000E+00,4.520E-03
BR82M,0.000E+00,4.810E-06
BR83,0.000E+00,5.230E-03
BR84,0.000E+00,1.850E-03
BR84M,0.000E+00,1.940E-05
BR85,0.000E+00,1.940E-04
BR86,0.000E+00,4.220E-05
BR86M,0.000E+00,3.450E-06
BR87,0.000E+00,9.730E-05
BR88,0.000E+00,2.650E-05
BR89,0.000E+00,4.290E-06
BR90,0.000E+00,8.210E-07
BR91,0.000E+00,1.240E-07
BR92,0.000E+00,1.350E-08
BR93,0.000E+00,1.380E-09
BR94,0.000E+00,6.900E-11
BR95,0.000E+00,7.140E-12
BR96,0.000E+00,2.650E-13
KR78,0.000E+00,0.000E+00
KR79,0.000E+00,2.150E-12
KR79M,0.000E+00,0.000E+00
KR80,3.590E-04,5.780E-04
KR81,4.220E-05,7.240E-05
KR81M,0.000E+00,4.490E-12
KR82,2.040E+00,1.580E+00
KR83,5.860E+01,4.500E+01
KR83M,0.000E+00,4.020E-03
KR84,1.750E+02,1.050E+02
KR85,2.490E+01,2.060E+01
KR85M,0.000E+00,1.840E-02
KR86,2.860E+02,1.580E+02
KR87,0.000E+00,9.560E-03
KR88,0.000E+00,2.990E-02
KR89,0.000E+00,6.370E-04
KR90,0.000E+00,1.080E-04
KR91,0.000E+00,2.180E-05
KR92,0.000E+00,2.710E-06
KR93,0.000E+00,7.580E-07
KR94,0.000E+00,3.310E-08
KR95,0.000E+00,1.820E-08
KR96,0.000E+00,2.330E-09
KR97,0.000E+00,5.430E-11
KR98,0.000E+00,8.710E-12
RB85,1.580E+02,8.600E+01
RB86,0.000E+00,1.770E-02
RB86M,0.000E+00,8.360E-08
RB87,3.670E+02,1.980E+02
RB88,0.000E+00,3.200E-03
RB89,0.000E+00,3.450E-03
RB90,0.000E+00,5.480E-04
RB90M,0.000E+00,2.600E-04
RB91,0.000E+00,2.870E-04
RB92,0.000E+00,2.090E-05
RB93,0.000E+00,2.180E-05
RB94,0.000E+00,5.730E-06
RB95,0.000E+00,3.560E-07
RB96,0.000E+00,7.090E-08
RB97,0.000E+00,1.180E-08
RB98,0.000E+00,2.180E-09
RB99,0.000E+00,1.250E-10
RB100,0.000E+00,1.500E-11
RB101,0.000E+00,0.000E+00
SR84,0.000E+00,0.000E+00
SR85,0.000E+00,0.000E+00
SR85M,0.000E+00,0.000E+00
SR86,9.360E-01,4.970E-01
SR87,7.690E-03,6.030E-03
SR87M,0.000E+00,4.610E-07
SR88,5.270E+02,2.760E+02
SR89,3.220E-10,1.680E+01
SR90,7.000E+02,4.100E+02
SR91,0.000E+00,1.880E-01
SR92,0.000E+00,6.450E-02
SR93,0.000E+00,3.720E-03
SR94,0.000E+00,6.190E-04
SR95,0.000E+00,2.010E-04
SR96,0.000E+00,2.210E-05
SR97,0.000E+00,6.000E-07
SR98,0.000E+00,1.020E-06
SR99,0.000E+00,1.980E-07
SR100,0.000E+00,7.600E-08
SR101,0.000E+00,2.570E-09
SR102,0.000E+00,4.130E-10
SR103,0.000E+00,5.140E-12
SR104,0.000E+00,3.330E-13
Y89,6.860E+02,3.330E+02
Y89M,0.000E+00,8.060E-11
Y90,1.760E-01,1.050E-01
Y90M,0.000E+00,1.620E-06
Y91,1.580E-08,2.820E+01
Y91M,0.000E+00,9.540E-03
Y92,0.000E+00,8.480E-02
Y93,0.000E+00,3.110E-01
Y94,0.000E+00,1.060E-02
Y95,0.000E+00,6.620E-03
Y96,0.000E+00,1.420E-03
Y97,0.000E+00,1.020E-05
Y98,0.000E+00,1.990E-06
Y99,0.000E+00,3.120E-06
Y100,0.000E+00,1.340E-06
Y101,0.000E+00,5.610E-07
Y102,0.000E+00,4.210E-08
Y103,0.000E+00,9.230E-09
Y104,0.000E+00,3.890E-10
Y105,0.000E+00,2.290E-11
Y106,0.000E+00,0.000E+00
Y107,0.000E+00,5.050E-15
ZR89,0.000E+00,0.000E+00
ZR90,1.340E+02,2.080E+01
ZR90M,0.000E+00,4.000E-14
ZR91,8.890E+02,4.780E+02
ZR92,9.690E+02,6.140E+02
ZR93,1.090E+03,7.700E+02
ZR94,1.140E+03,8.650E+02
ZR95,1.710E-07,6.020E+01
ZR96,1.220E+03,1.040E+03
ZR97,0.000E+00,7.420E-01
ZR98,0.000E+00,3.970E-04
ZR99,0.000E+00,3.120E-05
ZR100,0.000E+00,8.530E-05
ZR101,0.000E+00,2.570E-05
ZR102,0.000E+00,1.350E-04
ZR103,0.000E+00,3.420E-06
ZR104,0.000E+00,2.070E-06
ZR105,0.000E+00,4.310E-08
ZR106,0.000E+00,7.610E-09
ZR107,0.000E+00,8.460E-11
ZR108,0.000E+00,3.150E-11
ZR109,0.000E+00,8.060E-13
NB91,0.000E+00,0.000E+00
NB92,0.000E+00,3.630E-12
NB93,7.600E-04,1.170E-04
NB93M,2.820E-03,6.660E-04
NB94,1.180E-03,2.190E-03
NB94M,0.000E+00,4.560E-09
NB95,2.170E-07,3.320E+01
NB95M,7.170E-11,2.440E-02
NB96,0.000E+00,2.250E-03
NB97,0.000E+00,5.340E-02
NB97M,0.000E+00,6.950E-04
NB98,0.000E+00,3.660E-05
NB98M,0.000E+00,5.040E-04
NB99,0.000E+00,1.950E-04
NB99M,0.000E+00,1.010E-04
NB100,0.000E+00,1.870E-05
NB100M,0.000E+00,1.880E-05
NB101,0.000E+00,9.390E-05
NB102,0.000E+00,3.650E-05
NB103,0.000E+00,1.440E-04
NB104,0.000E+00,5.080E-06
NB105,0.000E+00,3.350E-06
NB106,0.000E+00,2.800E-07
NB107,0.000E+00,5.800E-08
NB108,0.000E+00,2.550E-09
NB109,0.000E+00,6.150E-10
NB110,0.000E+00,2.930E-11
NB111,0.000E+00,3.110E-12
NB112,0.000E+00,0.000E+00
MO92,0.000E+00,0.000E+00
MO93,0.000E+00,0.000E+00
MO93M,0.000E+00,0.000E+00
MO94,0.000E+00,0.000E+00
MO95,1.130E+03,8.320E+02
MO96,8.250E+01,5.760E+01
MO97,1.210E+03,1.110E+03
MO98,1.250E+03,1.200E+03
MO99,0.000E+00,3.530E+00
MO100,1.440E+03,1.440E+03
MO101,0.000E+00,1.280E-02
MO102,0.000E+00,9.960E-03
MO103,0.000E+00,9.440E-04
MO104,0.000E+00,1.350E-03
MO105,0.000E+00,5.780E-04
MO106,0.000E+00,5.900E-05
MO107,0.000E+00,1.730E-05
MO108,0.000E+00,9.790E-07
MO109,0.000E+00,1.810E-07
MO110,0.000E+00,5.460E-08
MO111,0.000E+00,2.150E-09
MO112,0.000E+00,6.850E-10
MO113,0.000E+00,1.400E-11
MO114,0.000E+00,2.340E-12
MO115,0.000E+00,5.660E-14
TC97,0.000E+00,0.000E+00
TC97M,0.000E+00,0.000E+00
TC98,1.090E-02,1.480E-02
TC99,1.150E+03,1.120E+03
TC99M,0.000E+00,2.820E-01
TC100,0.000E+00,7.210E-05
TC101,0.000E+00,1.250E-02
TC102,0.000E+00,7.910E-05
TC102M,0.000E+00,5.480E-06
TC103,0.000E+00,8.000E-04
TC104,0.000E+00,1.650E-02
TC105,0.000E+00,6.330E-03
TC106,0.000E+00,3.850E-04
TC107,0.000E+00,1.870E-04
TC108,0.000E+00,1.880E-05
TC109,0.000E+00,7.950E-05
TC110,0.000E+00,2.980E-07
TC111,0.000E+00,1.320E-07
TC112,0.000E+00,1.030E-08
TC113,0.000E+00,3.390E-09
TC114,0.000E+00,2.760E-10
TC115,0.000E+00,7.420E-11
TC116,0.000E+00,2.200E-12
TC117,0.000E+00,1.190E-13
TC118,0.000E+00,0.000E+00
RU96,0.000E+00,0.000E+00
RU97,0.000E+00,0.000E+00
RU98,0.000E+00,0.000E+00
RU99,2.630E-02,7.360E-03
RU100,2.200E+02,2.030E+02
RU101,1.180E+03,1.250E+03
RU102,1.230E+03,1.420E+03
RU103,4.900E-13,5.520E+01
RU104,8.640E+02,1.360E+03
RU105,0.000E+00,2.150E-01
RU106,6.790E+00,3.480E+02
RU107,0.000E+00,2.310E-03
RU108,0.000E+00,1.770E-03
RU109,0.000E+00,1.420E-04
RU110,0.000E+00,2.810E-05
RU111,0.000E+00,1.140E-05
RU112,0.000E+00,2.000E-07
RU113,0.000E+00,3.730E-07
RU114,0.000E+00,2.690E-07
RU115,0.000E+00,1.690E-08
RU116,0.000E+00,7.170E-09
RU117,0.000E+00,2.240E-10
RU118,0.000E+00,3.040E-09
RU119,0.000E+00,0.000E+00
RU120,0.000E+00,3.120E-13
RH99,0.000E+00,0.000E+00
RH99M,0.000E+00,0.000E+00
RH100,0.000E+00,0.000E+00
RH101,0.000E+00,0.000E+00
RH101M,0.000E+00,0.000E+00
RH102,4.600E-04,3.360E-03
RH102M,0.000E+00,0.000E+00
RH103,6.110E+02,8.740E+02
RH103M,4.380E-16,4.930E-02
RH104,0.000E+00,4.660E-04
RH104M,0.000E+00,2.210E-04
RH105,0.000E+00,1.640E+00
RH105M,0.000E+00,1.700E-04
RH106,6.380E-06,3.400E-04
RH106M,0.000E+00,1.470E-03
RH107,0.000E+00,1.200E-02
RH108,0.000E+00,1.110E-04
RH108M,0.000E+00,2.080E-05
RH109,0.000E+00,3.800E-04
RH109M,0.000E+00,1.060E-04
RH110,0.000E+00,5.520E-05
RH110M,0.000E+00,4.340E-07
RH111,0.000E+00,6.550E-05
RH112,0.000E+00,2.330E-06
RH113,0.000E+00,2.900E-07
RH114,0.000E+00,2.830E-07
RH115,0.000E+00,6.760E-07
RH116,0.000E+00,4.210E-08
RH117,0.000E+00,2.440E-08
RH118,0.000E+00,1.150E-08
RH119,0.000E+00,1.680E-09
RH120,0.000E+00,8.120E-11
RH121,0.000E+00,1.740E-11
RH122,0.000E+00,1.010E-12
RH123,0.000E+00,1.080E-13
PD100,0.000E+00,0.000E+00
PD101,0.000E+00,0.000E+00
PD102,0.000E+00,0.000E+00
PD103,0.000E+00,0.000E+00
PD104,4.680E+02,5.220E+02
PD105,6.130E+02,1.090E+03
PD106,5.820E+02,7.940E+02
PD107,3.600E+02,7.750E+02
PD107M,0.000E+00,4.560E-08
PD108,2.480E+02,5.460E+02
PD109,0.000E+00,2.890E-01
PD109M,0.000E+00,6.020E-04
PD110,8.200E+01,1.780E+02
PD111,0.000E+00,1.430E-03
PD111M,0.000E+00,3.580E-04
PD112,0.000E+00,3.870E-02
PD113,0.000E+00,3.590E-05
PD114,0.000E+00,3.690E-05
PD115,0.000E+00,8.720E-06
PD116,0.000E+00,2.290E-06
PD117,0.000E+00,6.700E-07
PD118,0.000E+00,3.480E-07
PD119,0.000E+00,1.530E-07
PD120,0.000E+00,1.290E-07
PD121,0.000E+00,7.220E-09
PD122,0.000E+00,4.460E-09
PD123,0.000E+00,2.420E-10
PD124,0.000E+00,8.710E-11
PD125,0.000E+00,0.000E+00
PD126,0.000E+00,7.660E-13
AG102,0.000E+00,0.000E+00
AG103,0.000E+00,0.000E+00
AG104,0.000E+00,0.000E+00
AG104M,0.000E+00,0.000E+00
AG105,0.000E+00,0.000E+00
AG106,0.000E+00,2.600E-11
AG106M,0.000E+00,0.000E+00
AG107,2.500E-04,1.590E-04
AG108,5.910E-15,8.290E-09
AG108M,1.870E-06,4.100E-06
AG109,1.150E+02,2.430E+02
AG109M,6.700E-14,2.360E-04
AG110,1.400E-10,1.000E-04
AG110M,9.260E-03,3.070E+00
AG111,0.000E+00,7.050E-01
AG111M,0.000E+00,7.040E-05
AG112,0.000E+00,6.050E-03
AG113,0.000E+00,6.860E-03
AG113M,0.000E+00,2.670E-06
AG114,0.000E+00,1.180E-06
AG115,0.000E+00,2.070E-04
AG115M,0.000E+00,1.140E-06
AG116,0.000E+00,1.500E-05
AG116M,0.000E+00,9.690E-07
AG117,0.000E+00,6.490E-06
AG117M,0.000E+00,4.700E-07
AG118,0.000E+00,4.380E-07
AG118M,0.000E+00,2.340E-07
AG119,0.000E+00,1.020E-06
AG120,0.000E+00,1.310E-07
AG121,0.000E+00,2.270E-07
AG122,0.000E+00,4.570E-09
AG123,0.000E+00,2.020E-08
AG124,0.000E+00,3.000E-09
AG125,0.000E+00,1.430E-09
AG126,0.000E+00,1.920E-10
AG127,0.000E+00,0.000E+00
AG128,0.000E+00,6.250E-12
CD104,0.000E+00,0.000E+00
CD105,0.000E+00,0.000E+00
CD106,0.000E+00,0.000E+00
CD107,0.000E+00,0.000E+00
CD108,6.910E-04,2.720E-03
CD109,6.790E-08,4.270E-06
CD110,7.680E+01,1.960E+02
CD111,4.520E+01,9.290E+01
CD111M,0.000E+00,2.910E-06
CD112,2.700E+01,4.950E+01
CD113,2.120E-01,5.490E-01
CD113M,3.500E-01,7.590E-01
CD114,3.510E+01,5.570E+01
CD115,0.000E+00,4.540E-02
CD115M,3.480E-14,8.780E-02
CD116,1.270E+01,1.630E+01
CD117,0.000E+00,1.110E-03
CD117M,0.000E+00,7.880E-04
CD118,0.000E+00,5.550E-04
CD119,0.000E+00,5.260E-05
CD119M,0.000E+00,1.790E-05
CD120,0.000E+00,9.270E-06
CD121,0.000E+00,2.290E-06
CD122,0.000E+00,9.200E-07
CD123,0.000E+00,1.330E-06
CD124,0.000E+00,2.470E-06
CD125,0.000E+00,1.810E-07
CD126,0.000E+00,3.130E-07
CD127,0.000E+00,3.700E-08
CD128,0.000E+00,2.810E-08
CD129,0.000E+00,2.780E-09
CD130,0.000E+00,2.870E-09
CD131,0.000E+00,1.050E-10
CD132,0.000E+00,1.120E-11
IN109,0.000E+00,0.000E+00
IN110,0.000E+00,0.000E+00
IN110M,0.000E+00,0.000E+00
IN111,0.000E+00,0.000E+00
IN112,0.000E+00,0.000E+00
IN113,1.240E-01,5.730E-02
IN113M,0.000E+00,3.470E-13
IN114,3.450E-20,1.930E-08
IN114M,2.140E-15,4.390E-04
IN115,2.720E+00,3.940E+00
IN115M,9.840E-21,3.650E-03
IN116,0.000E+00,1.970E-06
IN116M,0.000E+00,3.610E-04
IN117,0.000E+00,2.890E-04
IN117M,0.000E+00,9.660E-04
IN118,0.000E+00,9.200E-07
IN118M,0.000E+00,2.460E-08
IN119,0.000E+00,8.050E-06
IN119M,0.000E+00,1.510E-04
IN120,0.000E+00,4.150E-06
IN120M,0.000E+00,2.880E-07
IN121,0.000E+00,4.280E-06
IN121M,0.000E+00,7.570E-06
IN122,0.000E+00,1.820E-06
IN122M,0.000E+00,2.180E-08
IN123,0.000E+00,9.010E-07
IN123M,0.000E+00,3.140E-06
IN124,0.000E+00,7.760E-07
IN125,0.000E+00,3.910E-07
IN125M,0.000E+00,1.490E-06
IN126,0.000E+00,5.530E-07
IN127,0.000E+00,4.710E-07
IN127M,0.000E+00,8.570E-07
IN128,0.000E+00,1.370E-06
IN129,0.000E+00,2.590E-07
IN130,0.000E+00,1.510E-07
IN131,0.000E+00,3.080E-08
IN132,0.000E+00,2.740E-09
IN133,0.000E+00,3.150E-10
IN134,0.000E+00,1.270E-11
SN110,0.000E+00,0.000E+00
SN111,0.000E+00,0.000E+00
SN112,0.000E+00,0.000E+00
SN113,0.000E+00,0.000E+00
SN113M,0.000E+00,0.000E+00
SN114,4.230E-03,7.090E-03
SN115,4.950E-01,6.940E-01
SN116,1.240E+01,1.670E+01
SN117,1.280E+01,1.590E+01
SN117M,0.000E+00,2.260E-03
SN118,1.300E+01,1.620E+01
SN119,1.290E+01,1.640E+01
SN119M,3.620E-04,7.420E-02
SN120,1.310E+01,1.640E+01
SN121,0.000E+00,1.850E-02
SN121M,5.110E-03,9.250E-03
SN122,1.440E+01,1.750E+01
SN123,2.530E-05,4.970E-01
SN123M,0.000E+00,4.320E-04
SN124,1.950E+01,2.330E+01
SN125,0.000E+00,1.320E-01
SN125M,0.000E+00,1.570E-04
SN126,4.280E+01,5.620E+01
SN127,0.000E+00,6.690E-03
SN127M,0.000E+00,1.020E-04
SN128,0.000E+00,6.680E-03
SN129,0.000E+00,6.120E-04
SN129M,0.000E+00,2.070E-04
SN130,0.000E+00,9.010E-04
SN131,0.000E+00,2.130E-04
SN132,0.000E+00,6.620E-05
SN133,0.000E+00,6.990E-07
SN134,0.000E+00,6.330E-08
SN135,0.000E+00,2.230E-09
SN136,0.000E+00,2.820E-10
SB115,0.000E+00,0.000E+00
SB116,0.000E+00,0.000E+00
SB116M,0.000E+00,0.000E+00
SB117,0.000E+00,0.000E+00
SB118,0.000E+00,0.000E+00
SB119,0.000E+00,0.000E+00
SB120,0.000E+00,0.000E+00
SB121,1.230E+01,1.520E+01
SB122,0.000E+00,8.860E-03
SB122M,0.000E+00,7.160E-08
SB123,1.540E+01,1.810E+01
SB124,8.920E-11,1.390E-01
SB124M,0.000E+00,0.000E+00
SB125,5.470E+00,2.430E+01
SB126,2.030E-06,1.690E-02
SB126M,1.550E-08,7.310E-06
SB127,0.000E+00,4.610E-01
SB128,0.000E+00,6.270E-03
SB128M,0.000E+00,1.300E-03
SB129,0.000E+00,6.070E-02
SB130,0.000E+00,3.130E-03
SB130M,0.000E+00,2.020E-03
SB131,0.000E+00,1.260E-02
SB132,0.000E+00,8.700E-04
SB132M,0.000E+00,8.880E-04
SB133,0.000E+00,7.990E-04
SB134,0.000E+00,1.220E-05
SB134M,0.000E+00,1.110E-05
SB135,0.000E+00,8.500E-07
SB136,0.000E+00,2.330E-08
SB137,0.000E+00,4.470E-09
SB138,0.000E+00,2.540E-10
SB139,0.000E+00,2.470E-11
TE116,0.000E+00,0.000E+00
TE117,0.000E+00,0.000E+00
TE118,0.000E+00,0.000E+00
TE119,0.000E+00,0.000E+00
TE120,0.000E+00,0.000E+00
TE121,0.000E+00,0.000E+00
TE121M,0.000E+00,0.000E+00
TE122,1.260E+00,1.550E+00
TE123,2.130E-02,2.320E-02
TE123M,9.850E-08,4.210E-03
TE124,9.770E-01,1.100E+00
TE125,2.370E+01,1.400E+01
TE125M,7.650E-02,3.100E-01
TE126,1.310E+00,1.810E+00
TE127,5.130E-08,4.660E-02
TE127M,1.460E-05,1.820E+00
TE128,1.720E+02,2.110E+02
TE129,6.270E-20,1.600E-02
TE129M,6.690E-17,1.670E+00
TE130,5.510E+02,6.400E+02
TE131,0.000E+00,1.490E-02
TE131M,0.000E+00,1.820E-01
TE132,0.000E+00,4.420E+00
TE133,0.000E+00,9.680E-03
TE133M,0.000E+00,2.300E-02
TE134,0.000E+00,4.080E-02
TE135,0.000E+00,1.770E-04
TE136,0.000E+00,9.400E-05
TE137,0.000E+00,4.700E-06
TE138,0.000E+00,5.150E-07
TE139,0.000E+00,2.570E-08
TE140,0.000E+00,5.520E-09
TE141,0.000E+00,7.990E-11
TE142,0.000E+00,1.890E-11
I120,0.000E+00,0.000E+00
I120M,0.000E+00,0.000E+00
I121,0.000E+00,0.000E+00
I122,0.000E+00,0.000E+00
I123,0.000E+00,0.000E+00
I124,0.000E+00,0.000E+00
I125,0.000E+00,0.000E+00
I126,0.000E+00,0.000E+00
I127,8.450E+01,1.140E+02
I128,0.000E+00,3.770E-04
I129,2.750E+02,3.480E+02
I130,0.000E+00,2.080E-02
I130M,0.000E+00,9.410E-05
I131,0.000E+00,7.810E+00
I132,0.000E+00,1.330E-01
I133,0.000E+00,1.620E+00
I133M,0.000E+00,7.030E-06
I134,0.000E+00,7.500E-02
I134M,0.000E+00,6.290E-04
I135,0.000E+00,4.960E-01
I136,0.000E+00,8.300E-04
I136M,0.000E+00,2.590E-04
I137,0.000E+00,2.260E-04
I138,0.000E+00,2.800E-05
I139,0.000E+00,4.390E-06
I140,0.000E+00,4.010E-07
I141,0.000E+00,3.110E-08
I142,0.000E+00,2.500E-09
I143,0.000E+00,2.960E-10
I144,0.000E+00,9.680E-12
I145,0.000E+00,0.000E+00
XE124,0.000E+00,0.000E+00
XE125,0.000E+00,0.000E+00
XE125M,0.000E+00,0.000E+00
XE126,0.000E+00,0.000E+00
XE127,2.940E-21,7.140E-06
XE127M,0.000E+00,0.000E+00
