isotope,ST1-charged (g),ST1-discharged (g)
H3,0.000E+00,2.017E-01
HE4,0.000E+00,1.156E+01
CO72,0.000E+00,2.440E-13
CO73,0.000E+00,5.610E-15
CO74,0.000E+00,9.790E-15
CO75,0.000E+00,1.980E-15
NI72,0.000E+00,4.641E-10
NI73,0.000E+00,6.231E-12
NI74,0.000E+00,1.680E-11
NI75,0.000E+00,1.890E-12
NI76,0.000E+00,8.407E-13
NI77,0.000E+00,1.170E-13
NI78,0.000E+00,2.750E-14
CU72,0.000E+00,5.661E-09
CU73,0.000E+00,1.451E-09
CU74,0.000E+00,3.691E-10
CU75,0.000E+00,2.911E-10
CU76,0.000E+00,4.540E-11
CU77,0.000E+00,3.560E-11
CU78,0.000E+00,6.691E-12
CU79,0.000E+00,1.920E-12
CU80,0.000E+00,3.430E-13
CU81,0.000E+00,3.090E-14
ZN72,0.000E+00,2.434E-04
ZN73,0.000E+00,4.070E-08
ZN74,0.000E+00,3.381E-07
ZN75,0.000E+00,4.001E-08
ZN76,0.000E+00,2.991E-08
ZN77,0.000E+00,7.311E-09
ZN78,0.000E+00,7.961E-09
ZN79,0.000E+00,6.221E-10
ZN80,0.000E+00,7.931E-10
ZN81,0.000E+00,5.271E-11
ZN82,0.000E+00,9.934E-12
ZN83,0.000E+00,5.721E-13
GA72,0.000E+00,7.449E-05
GA73,0.000E+00,3.439E-05
GA74,0.000E+00,1.970E-06
GA75,0.000E+00,7.341E-07
GA76,0.000E+00,3.301E-07
GA77,0.000E+00,2.770E-07
GA78,0.000E+00,1.130E-07
GA79,0.000E+00,5.721E-08
GA80,0.000E+00,2.860E-08
GA81,0.000E+00,9.191E-09
GA82,0.000E+00,1.070E-09
GA83,0.000E+00,3.060E-10
GA84,0.000E+00,4.300E-11
GE72,0.000E+00,1.266E-01
GE73,0.000E+00,1.655E-01
GE73M,0.000E+00,1.040E-09
GE74,0.000E+00,3.580E-01
GE75,0.000E+00,3.311E-05
GE75M,0.000E+00,1.680E-08
GE76,0.000E+00,1.205E+00
GE77,0.000E+00,5.155E-04
GE77M,0.000E+00,1.290E-06
GE78,0.000E+00,2.794E-04
GE79,0.000E+00,4.021E-06
GE80,0.000E+00,2.911E-06
GE81,0.000E+00,1.390E-06
GE82,0.000E+00,6.531E-07
GE83,0.000E+00,2.010E-07
GE84,0.000E+00,6.631E-08
GE85,0.000E+00,2.400E-09
GE86,0.000E+00,5.931E-10
GE87,0.000E+00,3.511E-11
GE88,0.000E+00,3.161E-12
AS75,0.000E+00,5.510E-01
AS76,0.000E+00,6.734E-05
AS77,0.000E+00,4.424E-03
AS78,0.000E+00,3.036E-04
AS79,0.000E+00,5.800E-05
AS80,0.000E+00,2.760E-06
AS81,0.000E+00,7.941E-06
AS82,0.000E+00,4.921E-06
AS82M,0.000E+00,1.550E-06
AS83,0.000E+00,7.217E-06
AS84,0.000E+00,2.570E-06
AS85,0.000E+00,3.861E-07
AS86,0.000E+00,8.831E-08
AS87,0.000E+00,9.790E-09
AS88,0.000E+00,1.110E-09
AS89,0.000E+00,1.260E-10
SE76,0.000E+00,2.621E-02
SE77,0.000E+00,2.446E+00
SE77M,0.000E+00,1.670E-09
SE78,0.000E+00,5.169E+00
SE79,0.000E+00,9.191E+00
SE79M,0.000E+00,2.512E-05
SE80,0.000E+00,1.527E+01
SE81,0.000E+00,3.049E-04
SE81M,0.000E+00,4.006E-05
SE82,0.000E+00,4.300E+01
SE83,0.000E+00,6.290E-04
SE83M,0.000E+00,4.294E-05
SE84,0.000E+00,3.120E-04
SE85,0.000E+00,3.074E-05
SE85M,0.000E+00,1.130E-05
SE86,0.000E+00,2.117E-05
SE87,0.000E+00,4.201E-06
SE88,0.000E+00,6.831E-07
SE89,0.000E+00,6.551E-08
SE90,0.000E+00,2.010E-08
SE91,0.000E+00,1.070E-09
SE92,0.000E+00,1.790E-10
BR79,0.000E+00,2.168E-04
BR79M,0.000E+00,6.451E-13
BR80,0.000E+00,9.614E-09
BR80M,0.000E+00,6.871E-08
BR81,0.000E+00,2.288E+01
BR82,0.000E+00,3.934E-03
BR82M,0.000E+00,3.891E-07
BR83,0.000E+00,9.590E-03
BR84,0.000E+00,3.202E-03
BR84M,0.000E+00,3.677E-05
BR85,0.000E+00,3.389E-04
BR86,0.000E+00,7.034E-05
BR86M,0.000E+00,5.771E-06
BR87,0.000E+00,1.277E-04
BR88,0.000E+00,3.428E-05
BR89,0.000E+00,6.290E-06
BR90,0.000E+00,1.110E-06
BR91,0.000E+00,1.620E-07
BR92,0.000E+00,2.730E-08
BR93,0.000E+00,3.571E-09
BR94,0.000E+00,2.090E-10
BR95,0.000E+00,1.630E-11
BR96,0.000E+00,8.200E-13
KR80,0.000E+00,6.935E-04
KR81,0.000E+00,2.791E-05
KR81M,0.000E+00,7.331E-13
KR82,0.000E+00,1.430E+00
KR83,0.000E+00,9.079E+01
KR83M,0.000E+00,7.432E-03
KR84,0.000E+00,1.636E+02
KR85,0.000E+00,3.497E+01
KR85M,0.000E+00,3.215E-02
KR86,0.000E+00,2.544E+02
KR87,0.000E+00,1.511E-02
KR88,0.000E+00,4.783E-02
