isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,8.545E-02,0.000E+00,8.062E-01
HE4,0.000E+00,9.177E-01,0.000E+00,8.156E+01
LI6,0.000E+00,2.419E-04,0.000E+00,4.494E-03
LI7,0.000E+00,1.550E-05,0.000E+00,1.163E-04
BE9,0.000E+00,2.979E-05,0.000E+00,2.215E-04
BE10,0.000E+00,1.989E-04,0.000E+00,1.498E-03
C14,0.000E+00,4.019E-05,0.000E+00,3.027E-04
CO72,0.000E+00,1.180E-12,0.000E+00,1.176E-11
CO73,0.000E+00,3.659E-13,0.000E+00,2.696E-12
CO74,0.000E+00,6.606E-14,0.000E+00,2.139E-13
CO75,0.000E+00,6.587E-15,0.000E+00,1.679E-14
NI72,0.000E+00,4.478E-10,0.000E+00,8.737E-09
NI73,0.000E+00,6.148E-11,0.000E+00,8.114E-10
NI74,0.000E+00,6.029E-11,0.000E+00,3.871E-10
NI75,0.000E+00,6.819E-12,0.000E+00,3.347E-11
NI76,0.000E+00,2.629E-12,0.000E+00,1.170E-11
NI77,0.000E+00,1.750E-13,0.000E+00,3.591E-13
NI78,0.000E+00,2.759E-14,0.000E+00,5.088E-14
CU66,0.000E+00,1.150E-13,0.000E+00,3.336E-12
CU67,0.000E+00,1.210E-16,0.000E+00,5.327E-16
CU72,0.000E+00,2.200E-09,0.000E+00,6.223E-08
CU73,0.000E+00,1.889E-09,0.000E+00,3.716E-08
CU74,0.000E+00,3.599E-10,0.000E+00,4.396E-09
CU75,0.000E+00,4.759E-10,0.000E+00,4.289E-09
CU76,0.000E+00,1.020E-10,0.000E+00,7.832E-10
CU77,0.000E+00,6.340E-11,0.000E+00,2.696E-10
CU78,0.000E+00,9.359E-12,0.000E+00,3.479E-11
CU79,0.000E+00,3.549E-12,0.000E+00,5.809E-12
CU80,0.000E+00,2.319E-13,0.000E+00,3.870E-13
CU81,0.000E+00,1.429E-14,0.000E+00,8.916E-15
ZN66,0.000E+00,5.348E-08,0.000E+00,6.987E-07
ZN67,0.000E+00,2.229E-09,0.000E+00,1.903E-08
ZN68,0.000E+00,2.129E-03,0.000E+00,1.199E-10
ZN69,0.000E+00,5.126E-10,0.000E+00,1.595E-17
ZN69M,0.000E+00,4.988E-10,0.000E+00,1.548E-17
ZN70,0.000E+00,7.578E-03,0.000E+00,0.000E+00
ZN71,0.000E+00,3.159E-12,0.000E+00,0.000E+00
ZN71M,0.000E+00,3.249E-11,0.000E+00,0.000E+00
