isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
AS88,0.000E+00,6.451E-10,0.000E+00,0.000E+00
AS89,0.000E+00,7.030E-11,0.000E+00,0.000E+00
SE76,0.000E+00,1.220E-02,0.000E+00,0.000E+00
SE77,0.000E+00,1.510E+00,2.522E-11,1.450E+00
SE77M,0.000E+00,8.458E-10,0.000E+00,0.000E+00
SE78,0.000E+00,3.689E+00,3.562E-10,3.801E+00
SE79,0.000E+00,8.867E+00,4.872E-09,8.484E+00
SE79M,0.000E+00,2.089E-05,0.000E+00,2.811E-05
SE80,0.000E+00,2.020E+01,4.142E-07,1.691E+01
SE81,0.000E+00,3.619E-04,0.000E+00,4.451E-04
SE81M,0.000E+00,2.949E-05,0.000E+00,1.120E-04
SE82,0.000E+00,5.038E+01,3.432E-06,4.671E+01
SE83,0.000E+00,3.939E-04,0.000E+00,1.180E-03
SE83M,0.000E+00,2.959E-05,0.000E+00,2.271E-06
SE84,0.000E+00,2.360E-04,0.000E+00,1.981E-04
SE85,0.000E+00,2.639E-05,0.000E+00,4.051E-06
SE85M,0.000E+00,9.596E-06,0.000E+00,0.000E+00
SE86,0.000E+00,2.169E-05,0.000E+00,1.150E-07
SE87,0.000E+00,6.106E-06,0.000E+00,9.803E-11
SE88,0.000E+00,6.236E-07,0.000E+00,0.000E+00
SE89,0.000E+00,5.028E-08,0.000E+00,0.000E+00
SE90,0.000E+00,2.000E-08,0.000E+00,0.000E+00
SE91,0.000E+00,1.060E-09,0.000E+00,0.000E+00
SE92,0.000E+00,8.657E-11,0.000E+00,0.000E+00
BR79,0.000E+00,1.990E-04,4.252E-12,4.281E-03
BR79M,0.000E+00,6.620E-13,0.000E+00,0.000E+00
BR80,0.000E+00,6.800E-09,0.000E+00,0.000E+00
BR80M,0.000E+00,6.600E-08,0.000E+00,0.000E+00
BR81,0.000E+00,3.199E+01,9.283E-09,3.031E+01
BR82,0.000E+00,6.660E-03,0.000E+00,3.001E-03
BR82M,0.000E+00,7.449E-06,0.000E+00,0.000E+00
BR83,0.000E+00,6.311E-03,0.000E+00,9.191E-03
BR84,0.000E+00,2.370E-03,0.000E+00,3.171E-03
BR84M,0.000E+00,1.900E-05,0.000E+00,3.901E-05
BR85,0.000E+00,2.569E-04,0.000E+00,2.771E-04
BR86,0.000E+00,5.827E-05,0.000E+00,4.061E-05
BR86M,0.000E+00,4.789E-06,0.000E+00,0.000E+00
BR87,0.000E+00,1.360E-04,0.000E+00,3.701E-05
BR88,0.000E+00,4.129E-05,0.000E+00,2.701E-07
BR89,0.000E+00,7.689E-06,0.000E+00,1.480E-10
BR90,0.000E+00,1.700E-06,0.000E+00,0.000E+00
BR91,0.000E+00,2.310E-07,0.000E+00,0.000E+00
BR92,0.000E+00,1.530E-08,0.000E+00,0.000E+00
BR93,0.000E+00,1.759E-09,0.000E+00,0.000E+00
BR94,0.000E+00,8.378E-11,0.000E+00,0.000E+00
BR95,0.000E+00,7.759E-12,0.000E+00,0.000E+00
BR96,0.000E+00,2.959E-13,0.000E+00,0.000E+00
KR79,0.000E+00,1.020E-12,0.000E+00,0.000E+00
KR80,0.000E+00,3.589E-04,0.000E+00,0.000E+00
KR81,0.000E+00,4.239E-05,0.000E+00,0.000E+00
KR81M,0.000E+00,3.889E-12,0.000E+00,0.000E+00
KR82,0.000E+00,2.010E+00,1.111E-10,9.533E-01
KR83,0.000E+00,5.777E+01,3.922E-09,6.300E+01
KR83M,0.000E+00,4.849E-03,0.000E+00,0.000E+00
KR84,0.000E+00,1.730E+02,8.923E-08,1.290E+02
KR85,0.000E+00,3.409E+01,2.622E-07,3.511E+01
KR85M,0.000E+00,2.449E-02,0.000E+00,3.441E-02
KR86,0.000E+00,2.819E+02,3.562E-06,2.011E+02
KR87,0.000E+00,1.330E-02,0.000E+00,1.861E-02
KR88,0.000E+00,4.209E-02,0.000E+00,5.369E-02
KR89,0.000E+00,9.436E-04,0.000E+00,7.230E-04
KR90,0.000E+00,1.600E-04,0.000E+00,1.480E-05
KR91,0.000E+00,3.239E-05,0.000E+00,3.641E-09
KR92,0.000E+00,3.569E-06,0.000E+00,7.444E-11
KR93,0.000E+00,9.396E-07,0.000E+00,0.000E+00
KR94,0.000E+00,5.148E-08,0.000E+00,0.000E+00
KR95,0.000E+00,1.950E-08,0.000E+00,0.000E+00
KR96,0.000E+00,2.639E-09,0.000E+00,0.000E+00
KR97,0.000E+00,5.617E-11,0.000E+00,0.000E+00
KR98,0.000E+00,9.716E-12,0.000E+00,0.000E+00
RB85,0.000E+00,1.470E+02,2.841E-09,1.130E+02
RB86,0.000E+00,3.419E-02,0.000E+00,0.000E+00
RB86M,0.000E+00,1.300E-07,0.000E+00,0.000E+00
RB87,0.000E+00,3.619E+02,3.722E-07,2.691E+02
RB88,0.000E+00,4.479E-03,0.000E+00,5.920E-03
RB89,0.000E+00,4.909E-03,0.000E+00,5.892E-03
RB90,0.000E+00,8.008E-04,0.000E+00,6.423E-04
RB90M,0.000E+00,3.349E-04,0.000E+00,3.661E-04
RB91,0.000E+00,3.939E-04,0.000E+00,1.170E-04
RB92,0.000E+00,2.730E-05,0.000E+00,7.392E-10
