isotope,ST1-charged (g),ST1-discharged (g)
RB99,0.000E+00,1.445E-10
RB100,0.000E+00,1.698E-11
SR86,0.000E+00,5.547E-01
SR87,0.000E+00,4.803E-03
SR87M,0.000E+00,4.988E-07
SR88,0.000E+00,3.710E+02
SR89,0.000E+00,2.435E+01
SR90,0.000E+00,5.575E+02
SR91,0.000E+00,2.532E-01
SR92,0.000E+00,8.189E-02
SR93,0.000E+00,4.478E-03
SR94,0.000E+00,7.293E-04
SR95,0.000E+00,2.377E-04
SR96,0.000E+00,2.607E-05
SR97,0.000E+00,7.116E-07
SR98,0.000E+00,1.224E-06
SR99,0.000E+00,2.307E-07
SR100,0.000E+00,8.719E-08
SR101,0.000E+00,2.982E-09
SR102,0.000E+00,4.630E-10
SR103,0.000E+00,5.460E-12
SR104,0.000E+00,3.333E-13
Y89,0.000E+00,5.148E+02
Y89M,0.000E+00,6.635E-11
Y90,0.000E+00,1.439E-01
Y90M,0.000E+00,1.424E-06
Y91,0.000E+00,3.844E+01
Y91M,0.000E+00,1.283E-02
Y92,0.000E+00,1.074E-01
Y93,0.000E+00,3.720E-01
Y94,0.000E+00,1.219E-02
Y95,0.000E+00,7.457E-03
Y96,0.000E+00,1.586E-03
Y97,0.000E+00,1.129E-05
Y98,0.000E+00,2.214E-06
Y99,0.000E+00,3.487E-06
Y100,0.000E+00,1.510E-06
Y101,0.000E+00,6.446E-07
Y102,0.000E+00,4.647E-08
Y103,0.000E+00,9.602E-09
Y104,0.000E+00,3.746E-10
Y105,0.000E+00,2.372E-11
Y107,0.000E+00,6.981E-15
ZR90,0.000E+00,2.557E+01
ZR90M,0.000E+00,3.228E-14
ZR91,0.000E+00,6.866E+02
ZR92,0.000E+00,7.137E+02
ZR93,0.000E+00,8.624E+02
ZR94,0.000E+00,8.801E+02
ZR95,0.000E+00,7.022E+01
ZR96,0.000E+00,1.028E+03
ZR97,0.000E+00,7.909E-01
ZR98,0.000E+00,4.166E-04
ZR99,0.000E+00,3.260E-05
ZR100,0.000E+00,8.969E-05
ZR101,0.000E+00,2.745E-05
ZR102,0.000E+00,1.409E-04
ZR103,0.000E+00,3.414E-06
ZR104,0.000E+00,1.930E-06
ZR105,0.000E+00,4.071E-08
ZR106,0.000E+00,7.761E-09
ZR107,0.000E+00,8.977E-11
ZR108,0.000E+00,3.630E-11
ZR109,0.000E+00,9.125E-13
NB92,0.000E+00,3.079E-12
NB93,0.000E+00,8.858E-05
NB93M,0.000E+00,6.118E-04
NB94,0.000E+00,1.257E-03
NB94M,0.000E+00,3.714E-09
NB95,0.000E+00,3.868E+01
NB95M,0.000E+00,2.764E-02
NB96,0.000E+00,2.318E-03
NB97,0.000E+00,5.678E-02
NB97M,0.000E+00,7.400E-04
NB98,0.000E+00,3.830E-05
NB98M,0.000E+00,4.446E-04
NB99,0.000E+00,2.026E-04
NB99M,0.000E+00,9.220E-05
NB100,0.000E+00,1.916E-05
NB100M,0.000E+00,1.924E-05
NB101,0.000E+00,9.532E-05
NB102,0.000E+00,3.606E-05
NB103,0.000E+00,1.364E-04
NB104,0.000E+00,4.610E-06
NB105,0.000E+00,2.980E-06
NB106,0.000E+00,2.492E-07
NB107,0.000E+00,5.156E-08
NB108,0.000E+00,2.773E-09
NB109,0.000E+00,6.705E-10
NB110,0.000E+00,3.318E-11
NB111,0.000E+00,3.527E-12
MO95,0.000E+00,8.493E+02
MO96,0.000E+00,5.744E+01
MO97,0.000E+00,1.032E+03
MO98,0.000E+00,1.119E+03
MO99,0.000E+00,3.642E+00
MO100,0.000E+00,1.267E+03
MO101,0.000E+00,1.286E-02
MO102,0.000E+00,9.643E-03
MO103,0.000E+00,8.669E-04
MO104,0.000E+00,1.191E-03
MO105,0.000E+00,4.943E-04
MO106,0.000E+00,4.898E-05
MO107,0.000E+00,1.425E-05
MO108,0.000E+00,8.579E-07
MO109,0.000E+00,1.670E-07
MO110,0.000E+00,5.781E-08
MO111,0.000E+00,2.402E-09
MO112,0.000E+00,7.732E-10
MO113,0.000E+00,1.578E-11
MO114,0.000E+00,2.650E-12
MO115,0.000E+00,6.430E-14
TC98,0.000E+00,1.231E-02
TC99,0.000E+00,1.048E+03
TC99M,0.000E+00,2.909E-01
TC100,0.000E+00,7.248E-05
TC101,0.000E+00,1.250E-02
TC102,0.000E+00,7.654E-05
TC102M,0.000E+00,4.548E-06
TC103,0.000E+00,7.338E-04
TC104,0.000E+00,1.444E-02
TC105,0.000E+00,5.362E-03
TC106,0.000E+00,3.155E-04
TC107,0.000E+00,1.508E-04
TC108,0.000E+00,1.526E-05
TC109,0.000E+00,6.557E-05
TC110,0.000E+00,2.627E-07
TC111,0.000E+00,1.294E-07
TC112,0.000E+00,1.106E-08
TC113,0.000E+00,3.713E-09
TC114,0.000E+00,3.104E-10
TC115,0.000E+00,8.402E-11
TC116,0.000E+00,2.494E-12
TC117,0.000E+00,1.358E-13
RU99,0.000E+00,5.432E-03
RU100,0.000E+00,1.368E+02
RU101,0.000E+00,1.072E+03
RU102,0.000E+00,1.133E+03
RU103,0.000E+00,5.247E+01
RU104,0.000E+00,9.035E+02
RU105,0.000E+00,1.978E-01
RU106,0.000E+00,2.511E+02
RU107,0.000E+00,1.858E-03
RU108,0.000E+00,1.412E-03
RU109,0.000E+00,1.133E-04
RU110,0.000E+00,2.294E-05
RU111,0.000E+00,9.676E-06
RU112,0.000E+00,1.848E-07
RU113,0.000E+00,3.712E-07
RU114,0.000E+00,2.883E-07
RU115,0.000E+00,1.885E-08
RU116,0.000E+00,8.065E-09
RU117,0.000E+00,2.627E-10
RU118,0.000E+00,3.453E-09
RU120,0.000E+00,3.524E-13
RH102,0.000E+00,2.350E-03
RH103,0.000E+00,6.751E+02
RH103M,0.000E+00,4.491E-02
RH104,0.000E+00,3.944E-04
RH104M,0.000E+00,1.872E-04
RH105,0.000E+00,1.515E+00
RH105M,0.000E+00,1.436E-04
RH106,0.000E+00,2.483E-04
RH106M,0.000E+00,1.415E-03
RH107,0.000E+00,9.643E-03
RH108,0.000E+00,8.862E-05
RH108M,0.000E+00,1.634E-05
RH109,0.000E+00,3.044E-04
RH109M,0.000E+00,8.456E-05
RH110,0.000E+00,4.487E-05
RH110M,0.000E+00,3.408E-07
RH111,0.000E+00,5.469E-05
RH112,0.000E+00,2.052E-06
RH113,0.000E+00,2.676E-07
RH114,0.000E+00,2.805E-07
RH115,0.000E+00,7.120E-07
RH116,0.000E+00,4.573E-08
RH117,0.000E+00,3.158E-08
RH118,0.000E+00,1.304E-08
RH119,0.000E+00,1.659E-09
RH120,0.000E+00,9.068E-11
RH121,0.000E+00,1.950E-11
RH122,0.000E+00,1.127E-12
RH123,0.000E+00,1.221E-13
PD104,0.000E+00,3.100E+02
PD105,0.000E+00,6.866E+02
PD106,0.000E+00,6.356E+02
PD107,0.000E+00,4.117E+02
PD107M,0.000E+00,2.881E-08
PD108,0.000E+00,2.886E+02
PD109,0.000E+00,2.203E-01
PD109M,0.000E+00,4.807E-04
PD110,0.000E+00,1.058E+02
PD111,0.000E+00,1.185E-03
PD111M,0.000E+00,2.803E-04
PD112,0.000E+00,3.386E-02
PD113,0.000E+00,3.240E-05
PD114,0.000E+00,3.489E-05
PD115,0.000E+00,8.599E-06
PD116,0.000E+00,2.335E-06
PD117,0.000E+00,7.198E-07
PD118,0.000E+00,3.725E-07
PD119,0.000E+00,1.510E-07
PD120,0.000E+00,1.405E-07
PD121,0.000E+00,7.946E-09
PD122,0.000E+00,4.943E-09
PD123,0.000E+00,2.718E-10
PD124,0.000E+00,9.520E-11
PD126,0.000E+00,7.889E-13
AG106,0.000E+00,1.364E-11
AG107,0.000E+00,7.396E-05
AG108,0.000E+00,5.719E-09
AG108M,0.000E+00,2.186E-06
AG109,0.000E+00,1.446E+02
AG109M,0.000E+00,1.800E-04
AG110,0.000E+00,6.923E-05
AG110M,0.000E+00,1.885E+00
AG111,0.000E+00,5.843E-01
AG111M,0.000E+00,5.834E-05
AG112,0.000E+00,5.292E-03
AG113,0.000E+00,6.192E-03
AG113M,0.000E+00,2.408E-06
AG114,0.000E+00,1.111E-06
AG115,0.000E+00,2.036E-04
AG115M,0.000E+00,1.115E-06
AG116,0.000E+00,1.503E-05
AG116M,0.000E+00,9.721E-07
AG117,0.000E+00,6.615E-06
AG117M,0.000E+00,4.787E-07
AG118,0.000E+00,4.515E-07
AG118M,0.000E+00,2.385E-07
AG119,0.000E+00,1.023E-06
AG120,0.000E+00,1.379E-07
AG121,0.000E+00,2.433E-07
AG122,0.000E+00,4.971E-09
AG123,0.000E+00,2.224E-08
AG124,0.000E+00,3.244E-09
AG125,0.000E+00,1.493E-09
AG126,0.000E+00,1.958E-10
AG128,0.000E+00,5.945E-12
CD108,0.000E+00,1.431E-03
CD109,0.000E+00,2.210E-06
CD110,0.000E+00,8.119E+01
CD111,0.000E+00,4.409E+01
CD111M,0.000E+00,1.757E-06
CD112,0.000E+00,3.283E+01
CD113,0.000E+00,2.566E-01
CD113M,0.000E+00,5.234E-01
CD114,0.000E+00,4.026E+01
CD115,0.000E+00,4.400E-02
CD115M,0.000E+00,8.410E-02
CD116,0.000E+00,1.335E+01
CD117,0.000E+00,1.124E-03
CD117M,0.000E+00,7.975E-04
CD118,0.000E+00,5.625E-04
CD119,0.000E+00,5.292E-05
CD119M,0.000E+00,1.803E-05
CD120,0.000E+00,9.413E-06
CD121,0.000E+00,2.338E-06
CD122,0.000E+00,9.586E-07
CD123,0.000E+00,1.397E-06
CD124,0.000E+00,2.612E-06
