isotope,ST1-DF-charge (g),ST1-DF-discharge (g),ST1-BB-charge (g),ST1-BB-discharge (g),ST2-charge (g),ST2-discharge (g),ST3-charge (g),ST3-discharge (g)
MO107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.048E-04
MO108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.671E-06
MO109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.351E-06
MO110,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.068E-07
TC98,1.474E-27,2.557E-02,0.000E+00,5.138E-03,2.774E-28,8.656E-03,0.000E+00,2.016E-01
TC99,1.795E-13,2.180E+03,1.953E-13,6.758E+02,1.952E-13,1.078E+03,0.000E+00,4.579E+03
TC99M,0.000E+00,1.829E-01,0.000E+00,1.012E-01,1.455E-27,2.642E-01,0.000E+00,2.135E+00
TC100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E-04
TC101,2.807E-25,7.598E-03,0.000E+00,2.980E-03,1.518E-24,8.047E-03,0.000E+00,1.068E-01
TC102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.655E-04
TC102M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.655E-05
TC103,1.438E-22,4.270E-04,3.364E-28,9.525E-05,0.000E+00,0.000E+00,0.000E+00,6.478E-03
TC104,1.663E-22,7.126E-03,3.087E-27,1.217E-03,1.007E-22,3.461E-03,0.000E+00,1.390E-01
TC105,9.340E-23,2.409E-03,2.118E-26,2.558E-04,0.000E+00,0.000E+00,0.000E+00,4.784E-02
TC106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.155E-03
TC107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.463E-03
TC108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.239E-04
TC109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.182E-04
TC110,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E-06
TC111,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.653E-07
TC112,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.175E-08
RU99,1.795E-13,1.132E-01,1.953E-13,3.407E-02,1.952E-13,4.634E-02,0.000E+00,1.404E-02
RU100,1.816E-13,3.658E+02,1.977E-13,1.573E+02,1.971E-13,2.061E+02,0.000E+00,2.214E+02
RU101,1.831E-13,2.101E+03,1.996E-13,5.059E+02,1.992E-13,7.995E+02,0.000E+00,5.106E+03
RU102,1.852E-13,2.185E+03,2.012E-13,4.506E+02,2.010E-13,7.199E+02,0.000E+00,5.653E+03
RU103,1.868E-13,2.714E+01,2.031E-13,6.046E+00,2.029E-13,1.709E+01,0.000E+00,4.640E+02
RU104,1.889E-13,1.273E+03,2.055E-13,1.719E+02,2.050E-13,2.817E+02,0.000E+00,5.496E+03
RU105,1.905E-13,8.593E-02,2.075E-13,9.366E-03,2.071E-13,2.769E-02,0.000E+00,1.680E+00
RU106,1.926E-13,1.195E+02,2.090E-13,8.695E+00,2.089E-13,2.470E+01,0.000E+00,2.234E+03
RU107,2.356E-25,6.601E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.720E-02
RU108,6.612E-25,5.345E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.305E-02
RU109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.219E-03
RU110,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.096E-04
RU111,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.896E-05
RU112,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.338E-06
RU113,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.845E-06
RU114,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.302E-07
RU115,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.477E-08
RH102,0.000E+00,9.641E-04,0.000E+00,1.138E-04,0.000E+00,3.449E-04,0.000E+00,6.655E-02
RH103,1.868E-13,9.535E+02,2.031E-13,1.368E+02,2.029E-13,2.374E+02,0.000E+00,4.856E+03
RH103M,0.000E+00,2.667E-02,0.000E+00,5.928E-03,0.000E+00,1.678E-02,0.000E+00,4.144E-01
RH104,0.000E+00,2.687E-04,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.896E-04
RH104M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.764E-04
RH105,1.905E-13,6.653E-01,2.075E-13,7.075E-02,2.071E-13,1.976E-01,0.000E+00,1.331E+01
RH105M,0.000E+00,6.497E-05,0.000E+00,7.075E-06,0.000E+00,2.095E-05,0.000E+00,1.325E-03
RH106,0.000E+00,1.147E-04,0.000E+00,8.853E-06,2.006E-26,2.669E-05,0.000E+00,2.102E-03
RH106M,0.000E+00,1.305E-04,0.000E+00,2.289E-05,2.006E-26,1.097E-04,0.000E+00,4.356E-03
RH107,1.123E-27,3.867E-03,0.000E+00,1.778E-04,0.000E+00,0.000E+00,0.000E+00,8.962E-02
RH108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.237E-04
RH108M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.115E-04
RH109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.261E-03
RH109M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.095E-04
RH110,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.144E-04
RH110M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.631E-06
RH111,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.403E-04
RH112,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.148E-05
RH113,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.194E-06
RH114,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.010E-06
RH115,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.333E-06
RH116,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.436E-07
RH117,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.721E-08
PD102,1.852E-13,1.305E-03,2.012E-13,1.198E-04,2.010E-13,1.773E-04,0.000E+00,0.000E+00
PD104,1.889E-13,7.387E+02,2.055E-13,1.316E+02,2.050E-13,1.931E+02,0.000E+00,3.836E+02
PD105,1.905E-13,8.488E+02,2.075E-13,7.905E+01,2.071E-13,1.306E+02,0.000E+00,4.092E+03
PD106,1.926E-13,5.868E+02,2.090E-13,4.782E+01,2.089E-13,6.885E+01,0.000E+00,2.148E+03
PD107,1.941E-13,3.957E+02,2.110E-13,2.012E+01,2.108E-13,3.253E+01,0.000E+00,2.800E+03
PD108,1.957E-13,2.577E+02,2.134E-13,1.391E+01,2.129E-13,2.158E+01,0.000E+00,2.266E+03
PD109,0.000E+00,8.749E-02,0.000E+00,3.888E-03,3.569E-28,1.200E-02,0.000E+00,1.865E+00
PD109M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.126E-03
PD110,1.995E-13,8.749E+01,2.170E-13,8.261E+00,2.168E-13,1.209E+01,0.000E+00,6.590E+02
PD111,7.294E-27,4.447E-04,0.000E+00,4.545E-05,1.304E-25,1.205E-04,0.000E+00,1.219E-02
PD111M,1.805E-26,1.294E-05,4.822E-28,3.992E-06,2.471E-25,9.835E-06,0.000E+00,3.052E-03
PD112,3.254E-25,1.116E-02,6.245E-27,1.774E-03,2.316E-24,4.609E-03,0.000E+00,3.617E-01
PD113,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.032E-04
PD114,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.408E-04
PD115,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.511E-05
PD116,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E-05
PD117,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.363E-06
PD118,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.707E-06
PD119,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.285E-06
PD120,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.696E-07
AG107,1.941E-13,1.587E-04,2.110E-13,8.062E-06,2.108E-13,6.683E-06,0.000E+00,2.775E-04
AG108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.966E-07
AG108M,0.000E+00,4.339E-04,0.000E+00,1.502E-05,0.000E+00,2.873E-05,0.000E+00,2.556E-05
AG109,1.978E-13,1.310E+02,2.154E-13,5.336E+00,2.148E-13,1.005E+01,0.000E+00,1.509E+03
AG109M,0.000E+00,7.021E-05,0.000E+00,3.119E-06,0.000E+00,9.631E-06,0.000E+00,1.522E-03
AG110,0.000E+00,2.273E-05,0.000E+00,1.265E-06,0.000E+00,3.411E-06,0.000E+00,9.752E-05
AG110M,0.000E+00,6.288E-01,2.001E-28,3.486E-02,4.478E-28,6.831E-02,0.000E+00,1.048E+01
AG111,2.015E-13,2.090E-01,2.190E-13,2.114E-02,2.187E-13,5.648E-02,0.000E+00,5.971E+00
AG111M,0.000E+00,2.027E-05,0.000E+00,2.060E-06,4.081E-28,5.480E-06,0.000E+00,5.989E-04
AG112,1.800E-27,1.666E-03,1.478E-26,2.645E-04,3.988E-26,6.877E-04,0.000E+00,5.660E-02
AG113,1.249E-27,1.347E-03,0.000E+00,3.012E-04,1.810E-26,7.679E-04,0.000E+00,5.793E-02
AG113M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.266E-05
AG114,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.094E-05
AG115,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.832E-03
AG115M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.054E-05
AG116,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.291E-04
AG116M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.369E-06
AG117,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.338E-05
AG117M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.860E-06
AG118,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.664E-06
AG118M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.964E-06
AG119,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.160E-06
AG120,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.038E-07
AG121,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.100E-06
AG122,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.674E-08
AG123,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.077E-08
CD108,1.957E-13,6.340E-04,2.134E-13,2.415E-05,2.129E-13,4.314E-05,0.000E+00,5.324E-02
CD109,0.000E+00,9.798E-05,0.000E+00,5.138E-06,0.000E+00,7.804E-06,0.000E+00,5.964E-04
CD110,1.995E-13,7.598E+01,2.170E-13,4.980E+00,2.168E-13,5.767E+00,0.000E+00,8.435E+01
CD111,2.015E-13,4.470E+01,2.190E-13,5.177E+00,2.187E-13,7.320E+00,0.000E+00,3.671E+02
CD111M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.709E-07
CD112,2.030E-13,2.394E+01,2.210E-13,3.992E+00,2.208E-13,5.567E+00,0.000E+00,2.234E+02
CD113,2.052E-13,1.666E-01,2.234E-13,2.095E-02,2.226E-13,3.016E-02,0.000E+00,1.417E+02
CD113M,0.000E+00,2.462E-03,0.000E+00,3.016E-04,2.318E-28,4.438E-04,0.000E+00,2.707E+00
CD114,2.067E-13,3.070E+01,2.249E-13,7.549E+00,2.247E-13,1.042E+01,0.000E+00,1.054E+02
CD115,1.836E-27,1.132E-02,0.000E+00,4.742E-03,2.496E-26,1.180E-02,0.000E+00,4.072E-01
CD115M,2.088E-13,1.430E-02,2.269E-13,5.889E-03,2.266E-13,1.468E-02,0.000E+00,7.842E-01
CD116,2.105E-13,1.221E+01,2.288E-13,3.786E+00,2.289E-13,5.261E+00,0.000E+00,6.854E+01
CD117,2.310E-25,4.879E-04,5.099E-28,2.119E-04,7.625E-25,5.259E-04,0.000E+00,9.622E-03
CD117M,7.767E-25,1.734E-05,2.754E-27,2.007E-05,2.590E-24,4.887E-05,0.000E+00,6.721E-03
CD118,3.751E-24,1.525E-04,1.814E-26,7.667E-05,1.273E-23,1.895E-04,0.000E+00,5.054E-03
CD119,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.777E-04
CD119M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.628E-04
CD120,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.171E-05
CD121,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.924E-05
CD122,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.117E-06
CD123,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.752E-06
CD124,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.647E-05
CD125,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.246E-06
CD126,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.680E-06
CD127,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.819E-07
CD128,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.239E-07
IN113,2.052E-13,8.540E-04,2.234E-13,8.221E-05,2.226E-13,9.257E-05,0.000E+00,1.094E-01
IN114M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.036E-04
IN115,2.088E-13,3.044E+00,2.269E-13,1.020E+00,2.266E-13,1.589E+00,0.000E+00,5.858E+01
IN115M,0.000E+00,9.535E-04,0.000E+00,3.992E-04,0.000E+00,9.924E-04,0.000E+00,3.275E-02
IN116,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.109E-06
IN116M,0.000E+00,6.864E-05,0.000E+00,2.728E-05,6.436E-28,7.843E-05,0.000E+00,4.198E-03
IN117,7.923E-28,8.645E-05,0.000E+00,4.032E-05,1.833E-26,1.000E-04,0.000E+00,2.491E-03
IN117M,0.000E+00,2.954E-04,0.000E+00,1.281E-04,4.198E-27,3.183E-04,0.000E+00,8.369E-03
IN118,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.369E-06
IN118M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.329E-07
IN119,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.315E-05
IN119M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.371E-03
IN120,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.730E-05
IN120M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.583E-06
IN121,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.737E-05
IN121M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.315E-05
IN122,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.496E-05
IN122M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.144E-07
IN123,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.709E-06
IN123M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.209E-05
IN124,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.052E-06
IN125,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.775E-06
IN125M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.575E-05
IN126,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.592E-06
IN127,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.367E-06
IN127M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.122E-06
IN128,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.500E-06
IN129,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.344E-06
IN130,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.565E-07
IN131,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.344E-07
SN114,2.067E-13,2.305E-04,2.249E-13,3.056E-05,2.247E-13,4.091E-05,0.000E+00,6.293E-03
SN115,2.088E-13,5.345E-01,2.269E-13,1.751E-01,2.266E-13,2.538E-01,0.000E+00,3.162E+00
SN116,2.105E-13,4.884E+00,2.288E-13,1.711E+00,2.289E-13,2.305E+00,0.000E+00,3.189E+01
SN117,2.125E-13,1.127E+01,2.312E-13,4.071E+00,2.307E-13,5.577E+00,0.000E+00,6.550E+01
SN117M,0.000E+00,7.335E-04,0.000E+00,2.501E-04,0.000E+00,7.218E-04,0.000E+00,3.453E-03
SN118,2.140E-13,1.069E+01,2.328E-13,4.189E+00,2.326E-13,5.810E+00,0.000E+00,7.182E+01
SN119,2.157E-13,1.079E+01,2.347E-13,4.703E+00,2.355E-13,6.596E+00,0.000E+00,7.248E+01
SN119M,2.466E-28,1.687E-02,0.000E+00,6.601E-03,1.159E-26,1.673E-02,0.000E+00,5.020E-01
SN120,2.177E-13,1.095E+01,2.367E-13,5.336E+00,2.355E-13,7.529E+00,0.000E+00,7.182E+01
SN121,7.346E-25,5.239E-03,0.000E+00,3.182E-03,5.038E-25,7.775E-03,0.000E+00,1.661E-01
SN121M,6.245E-26,5.815E-01,0.000E+00,3.573E-01,1.150E-24,5.286E-01,0.000E+00,1.180E-01
SN122,2.215E-13,1.373E+01,2.408E-13,9.051E+00,2.403E-13,1.281E+01,0.000E+00,7.446E+01
SN123,2.229E-13,3.296E-01,2.427E-13,3.506E-01,2.426E-13,8.436E-01,0.000E+00,5.140E+00
SN123M,0.000E+00,0.000E+00,8.617E-28,1.194E-04,0.000E+00,0.000E+00,0.000E+00,3.894E-03
SN124,2.252E-13,2.206E+01,2.447E-13,1.585E+01,2.448E-13,2.264E+01,0.000E+00,1.114E+02
SN125,2.267E-13,7.178E-02,2.471E-13,8.853E-02,2.471E-13,2.089E-01,0.000E+00,1.081E+00
SN125M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.707E-03
SN126,2.287E-13,4.699E+01,2.486E-13,4.742E+01,2.471E-13,6.721E+01,0.000E+00,2.676E+02
SN127,2.052E-22,3.337E-03,7.076E-25,4.032E-03,6.880E-22,9.558E-03,0.000E+00,5.714E-02
SN127M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.034E-03
SN128,3.520E-22,3.096E-03,1.103E-24,3.335E-03,6.926E-22,8.016E-03,0.000E+00,5.423E-02
SN129,0.000E+00,0.000E+00,2.763E-24,1.474E-04,0.000E+00,0.000E+00,0.000E+00,4.836E-03
SN129M,4.576E-22,1.913E-04,7.787E-25,1.708E-04,0.000E+00,0.000E+00,0.000E+00,1.621E-03
SN130,1.301E-21,2.740E-04,5.850E-24,1.308E-04,0.000E+00,0.000E+00,0.000E+00,7.052E-03
SN131,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.608E-03
SN132,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.689E-04
SN133,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.529E-06
SN134,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.535E-07
SB121,2.194E-13,1.011E+01,2.391E-13,4.624E+00,2.378E-13,6.565E+00,0.000E+00,6.984E+01
SB122,4.120E-28,2.725E-03,0.000E+00,1.601E-03,4.430E-26,4.534E-03,0.000E+00,4.131E-02
SB122M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.721E-07
SB123,2.229E-13,1.289E+01,2.427E-13,1.182E+01,2.426E-13,1.633E+01,0.000E+00,8.237E+01
SB124,2.252E-13,4.720E-02,2.447E-13,4.742E-02,2.448E-13,1.201E-01,0.000E+00,5.218E-01
SB125,2.267E-13,1.064E+01,2.471E-13,1.051E+01,2.471E-13,2.098E+01,0.000E+00,1.436E+02
SB126,2.287E-13,3.777E-03,2.486E-13,2.936E-03,2.471E-13,9.939E-03,0.000E+00,3.315E-01
SB126M,3.710E-24,4.108E-06,5.495E-28,2.213E-06,2.565E-24,6.480E-06,0.000E+00,1.002E-04
SB127,1.606E-23,1.907E-01,1.126E-26,2.470E-01,3.731E-23,5.802E-01,0.000E+00,4.257E+00
SB128,2.472E-23,3.018E-02,5.297E-26,3.399E-02,1.549E-22,8.136E-02,0.000E+00,6.351E-02
SB128M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.074E-02
SB129,1.511E-22,2.824E-02,3.126E-25,3.355E-02,9.117E-22,7.962E-02,0.000E+00,5.173E-01
SB130,4.937E-22,4.406E-03,8.301E-25,2.794E-03,8.862E-22,7.070E-03,0.000E+00,2.707E-02
SB130M,8.134E-22,7.493E-04,8.261E-25,5.297E-04,1.315E-21,1.335E-03,0.000E+00,1.621E-02
SB131,3.846E-21,7.335E-03,6.403E-24,3.849E-03,3.195E-21,1.006E-02,0.000E+00,1.074E-01
SB132,3.133E-21,7.282E-04,6.956E-24,1.881E-04,0.000E+00,0.000E+00,0.000E+00,6.273E-03
SB132M,2.131E-21,4.093E-04,7.036E-24,1.616E-04,0.000E+00,0.000E+00,0.000E+00,7.117E-03
SB133,5.457E-21,6.497E-04,2.905E-23,1.948E-04,0.000E+00,0.000E+00,0.000E+00,5.119E-03
SB134,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.655E-05
SB134M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.300E-05
SB135,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.966E-06
SB136,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.984E-08
TE122,2.215E-13,1.079E+00,2.408E-13,5.652E-01,2.403E-13,7.694E-01,0.000E+00,3.322E+00
TE123,2.229E-13,1.184E-02,2.427E-13,6.007E-03,2.426E-13,7.742E-03,0.000E+00,8.171E-02
TE123M,0.000E+00,1.593E-03,0.000E+00,8.892E-04,0.000E+00,1.745E-03,0.000E+00,5.622E-03
TE124,2.252E-13,8.960E-01,2.447E-13,7.944E-01,2.448E-13,9.282E-01,0.000E+00,1.773E+00
TE125,2.267E-13,1.740E+01,2.471E-13,1.336E+01,2.471E-13,1.276E+01,0.000E+00,3.500E+01
TE125M,0.000E+00,1.436E-01,0.000E+00,1.395E-01,0.000E+00,2.736E-01,0.000E+00,1.720E+00
TE126,2.287E-13,1.745E+00,2.486E-13,7.706E-01,2.471E-13,1.127E+00,0.000E+00,1.265E+01
TE127,1.196E-27,1.902E-02,0.000E+00,2.442E-02,2.403E-27,5.748E-02,0.000E+00,4.297E-01
TE127M,2.304E-13,1.887E-01,2.506E-13,1.988E-01,2.496E-13,3.607E-01,0.000E+00,1.661E+01
TE128,2.324E-13,2.284E+02,2.526E-13,1.822E+02,2.519E-13,2.623E+02,0.000E+00,8.369E+02
TE129,5.353E-26,7.493E-03,7.509E-28,8.971E-03,1.870E-23,2.131E-02,0.000E+00,1.390E-01
TE129M,2.339E-13,2.934E-03,2.545E-13,8.062E-02,2.542E-13,1.720E-01,0.000E+00,1.469E+01
TE130,2.356E-13,1.032E+03,2.565E-13,4.585E+02,2.565E-13,6.835E+02,0.000E+00,2.471E+03
TE131,2.203E-22,8.908E-03,8.023E-26,5.731E-03,1.026E-21,1.449E-02,0.000E+00,1.278E-01
TE131M,5.353E-22,9.326E-02,2.929E-25,1.652E-01,2.297E-21,3.833E-01,0.000E+00,1.614E+00
TE132,2.397E-13,2.635E+00,2.604E-13,1.865E+00,2.612E-13,4.671E+00,0.000E+00,3.631E+01
TE133,2.797E-21,6.079E-03,3.921E-24,2.905E-03,2.822E-21,7.710E-03,0.000E+00,7.446E-02
