isotope,ST1-DF-charge (g),ST1-DF-discharge (g),ST1-BB-charge (g),ST1-BB-discharge (g),ST2-charge (g),ST2-discharge (g),ST3-charge (g),ST3-discharge (g)
GE82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.234E-06
GE83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.721E-07
GE84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.291E-08
AS75,1.359E-13,3.531E-01,1.483E-13,9.801E-01,1.479E-13,1.413E+00,0.000E+00,1.667E+00
AS76,2.567E-28,1.787E-05,0.000E+00,5.533E-05,1.010E-26,1.581E-04,0.000E+00,2.984E-04
AS77,6.664E-27,1.242E-03,0.000E+00,3.056E-03,1.763E-25,6.987E-03,0.000E+00,2.399E-02
AS78,1.863E-25,1.284E-04,1.119E-27,2.486E-04,1.567E-24,5.968E-04,0.000E+00,1.753E-03
AS79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.401E-04
AS80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.693E-05
AS81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.164E-05
AS82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.313E-05
AS82M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.973E-06
AS83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.203E-05
AS84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.896E-06
AS85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.133E-06
AS86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.779E-07
SE76,1.380E-13,1.865E-02,1.502E-13,4.427E-02,1.497E-13,6.413E-02,0.000E+00,6.286E-02
SE77,1.396E-13,2.394E+00,1.522E-13,3.122E+00,1.518E-13,4.617E+00,0.000E+00,7.182E+00
SE78,1.417E-13,6.812E+00,1.541E-13,7.470E+00,1.537E-13,1.069E+01,0.000E+00,1.410E+01
SE79,1.558E-26,1.404E+01,0.000E+00,1.837E+01,3.569E-25,2.621E+01,0.000E+00,2.741E+01
SE79M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.476E-04
SE80,1.453E-13,3.904E+01,1.581E-13,3.245E+01,1.577E-13,4.669E+01,0.000E+00,4.493E+01
SE81,1.448E-24,2.462E-04,1.960E-27,3.593E-04,4.268E-24,8.658E-04,0.000E+00,1.614E-03
SE81M,9.707E-24,5.160E-05,1.822E-26,7.114E-05,2.868E-23,1.710E-04,0.000E+00,2.155E-04
SE82,1.490E-13,1.006E+02,1.620E-13,8.300E+01,1.616E-13,1.192E+02,0.000E+00,1.021E+02
SE83,2.088E-22,6.392E-04,1.768E-24,1.087E-03,5.387E-22,2.611E-03,0.000E+00,3.083E-03
SE83M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.063E-04
SE84,9.288E-22,1.682E-04,8.182E-24,2.565E-04,0.000E+00,0.000E+00,0.000E+00,1.463E-03
SE85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.305E-04
SE85M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.482E-05
SE86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.896E-05
SE87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.496E-05
SE88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.338E-06
SE89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.579E-08
