isotope,ST1-charged (g),ST1-discharged (g)
H3,0.000E+00,6.193E-02
HE4,0.000E+00,3.441E-02
LI6,0.000E+00,3.229E-04
LI7,0.000E+00,7.732E-06
BE9,0.000E+00,1.487E-05
BE10,0.000E+00,9.946E-05
C14,0.000E+00,2.011E-05
CO72,0.000E+00,1.875E-12
CO73,0.000E+00,5.129E-13
CO74,0.000E+00,7.922E-14
CO75,0.000E+00,8.330E-15
NI72,0.000E+00,1.442E-09
NI73,0.000E+00,1.334E-10
NI74,0.000E+00,1.666E-10
NI75,0.000E+00,1.440E-11
NI76,0.000E+00,5.052E-12
NI77,0.000E+00,2.840E-13
NI78,0.000E+00,3.444E-14
CU66,0.000E+00,2.660E-12
CU67,0.000E+00,9.486E-17
CU72,0.000E+00,4.980E-09
CU73,0.000E+00,5.912E-09
CU74,0.000E+00,1.046E-09
CU75,0.000E+00,1.230E-09
CU76,0.000E+00,2.667E-10
CU77,0.000E+00,1.496E-10
CU78,0.000E+00,1.619E-11
CU79,0.000E+00,3.905E-12
CU80,0.000E+00,2.738E-13
CU81,0.000E+00,1.628E-14
ZN66,0.000E+00,5.650E-07
ZN67,0.000E+00,2.366E-08
ZN68,0.000E+00,3.775E-11
ZN69,0.000E+00,1.111E-18
ZN69M,0.000E+00,1.094E-18
ZN70,0.000E+00,1.636E-20
ZN71,0.000E+00,1.113E-13
ZN72,0.000E+00,1.458E-04
ZN73,0.000E+00,4.641E-08
ZN74,0.000E+00,3.623E-07
ZN75,0.000E+00,6.003E-08
ZN76,0.000E+00,5.951E-08
ZN77,0.000E+00,2.725E-08
ZN78,0.000E+00,1.555E-08
ZN79,0.000E+00,5.038E-09
ZN80,0.000E+00,9.433E-10
ZN81,0.000E+00,4.619E-11
ZN82,0.000E+00,6.069E-12
ZN83,0.000E+00,3.610E-13
GA69,0.000E+00,6.532E-15
GA71,0.000E+00,6.612E-06
GA72,0.000E+00,4.426E-05
GA73,0.000E+00,3.541E-05
GA74,0.000E+00,5.330E-07
GA75,0.000E+00,8.410E-07
GA76,0.000E+00,4.790E-07
GA77,0.000E+00,3.568E-07
GA78,0.000E+00,2.121E-07
GA79,0.000E+00,1.192E-07
GA80,0.000E+00,6.273E-08
GA81,0.000E+00,2.680E-08
GA82,0.000E+00,4.743E-09
GA83,0.000E+00,6.654E-10
GA84,0.000E+00,2.992E-11
GE70,0.000E+00,3.971E-18
GE72,0.000E+00,5.184E-02
GE73,0.000E+00,1.235E-01
GE73M,0.000E+00,9.968E-10
GE74,0.000E+00,6.877E-02
GE75,0.000E+00,3.331E-05
GE75M,0.000E+00,1.593E-08
GE76,0.000E+00,9.359E-01
GE77,0.000E+00,3.080E-04
GE77M,0.000E+00,1.510E-06
GE78,0.000E+00,3.094E-04
GE79,0.000E+00,1.670E-06
GE80,0.000E+00,5.123E-06
GE81,0.000E+00,1.615E-06
GE82,0.000E+00,9.392E-07
GE83,0.000E+00,2.912E-07
GE84,0.000E+00,7.748E-08
GE85,0.000E+00,3.378E-09
GE86,0.000E+00,5.548E-10
GE87,0.000E+00,3.017E-11
GE88,0.000E+00,1.592E-12
AS75,0.000E+00,4.084E-01
AS76,0.000E+00,2.202E-05
AS77,0.000E+00,4.216E-03
AS78,0.000E+00,3.212E-04
AS79,0.000E+00,4.983E-05
AS80,0.000E+00,2.995E-06
AS81,0.000E+00,9.941E-06
AS82,0.000E+00,5.904E-06
AS82M,0.000E+00,1.428E-06
AS83,0.000E+00,7.820E-06
AS84,0.000E+00,3.177E-06
AS85,0.000E+00,6.695E-07
AS86,0.000E+00,1.423E-07
AS87,0.000E+00,1.465E-08
AS88,0.000E+00,1.020E-09
AS89,0.000E+00,8.901E-11
SE76,0.000E+00,6.938E-03
SE77,0.000E+00,1.837E+00
SE77M,0.000E+00,1.688E-09
SE78,0.000E+00,3.703E+00
SE79,0.000E+00,5.689E+00
SE79M,0.000E+00,2.140E-05
SE80,0.000E+00,1.233E+01
SE81,0.000E+00,3.428E-04
SE81M,0.000E+00,5.214E-05
SE82,0.000E+00,2.854E+01
SE83,0.000E+00,3.858E-04
SE83M,0.000E+00,3.662E-05
SE84,0.000E+00,3.088E-04
SE85,0.000E+00,2.390E-05
SE85M,0.000E+00,1.215E-05
SE86,0.000E+00,2.774E-05
SE87,0.000E+00,7.343E-06
SE88,0.000E+00,1.045E-06
SE89,0.000E+00,8.168E-08
SE90,0.000E+00,1.852E-08
SE91,0.000E+00,1.539E-09
SE92,0.000E+00,6.171E-11
BR79,0.000E+00,1.881E-05
BR79M,0.000E+00,6.491E-14
BR80,0.000E+00,1.114E-09
BR80M,0.000E+00,8.474E-09
BR81,0.000E+00,1.894E+01
BR82,0.000E+00,1.685E-03
BR82M,0.000E+00,9.113E-07
BR83,0.000E+00,7.059E-03
BR84,0.000E+00,3.121E-03
BR84M,0.000E+00,1.008E-05
BR85,0.000E+00,2.802E-04
BR86,0.000E+00,1.222E-04
BR86M,0.000E+00,1.814E-06
BR87,0.000E+00,1.636E-04
BR88,0.000E+00,5.391E-05
BR89,0.000E+00,1.005E-05
BR90,0.000E+00,2.395E-06
BR91,0.000E+00,2.232E-07
BR92,0.000E+00,2.162E-08
BR93,0.000E+00,1.384E-09
BR94,0.000E+00,1.090E-10
BR95,0.000E+00,8.157E-12
BR96,0.000E+00,3.348E-13
KR79,0.000E+00,3.808E-13
KR80,0.000E+00,3.918E-05
KR81,0.000E+00,2.120E-06
KR81M,0.000E+00,1.311E-13
KR82,0.000E+00,4.076E-01
KR83,0.000E+00,4.911E+01
KR83M,0.000E+00,5.383E-03
KR84,0.000E+00,1.046E+02
KR85,0.000E+00,2.013E+01
KR85M,0.000E+00,2.632E-02
KR86,0.000E+00,1.730E+02
KR87,0.000E+00,1.621E-02
KR88,0.000E+00,5.270E-02
KR89,0.000E+00,1.177E-03
KR90,0.000E+00,2.049E-04
KR91,0.000E+00,3.596E-05
KR92,0.000E+00,3.496E-06
KR93,0.000E+00,8.264E-07
KR94,0.000E+00,6.146E-08
KR95,0.000E+00,4.302E-08
KR96,0.000E+00,2.092E-09
KR97,0.000E+00,4.539E-11
KR98,0.000E+00,7.247E-12
RB85,0.000E+00,8.129E+01
RB86,0.000E+00,4.475E-02
RB86M,0.000E+00,2.019E-08
RB87,0.000E+00,2.232E+02
RB88,0.000E+00,5.559E-03
RB89,0.000E+00,5.962E-03
RB90,0.000E+00,9.693E-04
RB90M,0.000E+00,3.513E-04
RB91,0.000E+00,4.315E-04
RB92,0.000E+00,2.934E-05
RB93,0.000E+00,2.835E-05
RB94,0.000E+00,8.843E-06
RB95,0.000E+00,5.904E-07
RB96,0.000E+00,9.739E-08
RB97,0.000E+00,1.644E-08
RB98,0.000E+00,2.245E-09
RB99,0.000E+00,1.059E-10
RB100,0.000E+00,1.635E-11
SR86,0.000E+00,8.077E-01
SR87,0.000E+00,4.368E-03
SR87M,0.000E+00,1.359E-07
SR88,0.000E+00,3.268E+02
SR89,0.000E+00,2.895E+01
SR90,0.000E+00,4.677E+02
SR91,0.000E+00,2.857E-01
SR92,0.000E+00,8.584E-02
SR93,0.000E+00,4.346E-03
SR94,0.000E+00,6.850E-04
SR95,0.000E+00,2.183E-04
SR96,0.000E+00,6.756E-06
SR97,0.000E+00,1.502E-06
SR98,0.000E+00,9.673E-07
SR99,0.000E+00,1.089E-07
SR100,0.000E+00,1.667E-08
SR101,0.000E+00,2.306E-09
SR102,0.000E+00,2.909E-10
SR103,0.000E+00,3.684E-12
SR104,0.000E+00,1.952E-13
Y89,0.000E+00,3.808E+02
Y89M,0.000E+00,9.924E-09
Y90,0.000E+00,1.251E-01
Y90M,0.000E+00,4.886E-07
Y91,0.000E+00,4.263E+01
Y91M,0.000E+00,1.442E-02
Y92,0.000E+00,1.127E-01
Y93,0.000E+00,2.369E-01
Y94,0.000E+00,1.083E-02
Y95,0.000E+00,6.519E-03
Y96,0.000E+00,5.791E-05
Y97,0.000E+00,2.851E-05
Y98,0.000E+00,4.178E-06
Y99,0.000E+00,5.565E-06
Y100,0.000E+00,1.358E-06
Y101,0.000E+00,3.199E-07
Y102,0.000E+00,1.318E-07
Y103,0.000E+00,5.068E-09
Y104,0.000E+00,1.974E-10
Y105,0.000E+00,3.132E-11
Y107,0.000E+00,9.698E-15
ZR90,0.000E+00,2.084E+01
ZR90M,0.000E+00,9.723E-15
ZR91,0.000E+00,4.754E+02
ZR92,0.000E+00,5.487E+02
ZR93,0.000E+00,4.007E+02
ZR94,0.000E+00,5.929E+02
ZR95,0.000E+00,5.829E+01
ZR96,0.000E+00,6.210E+02
ZR97,0.000E+00,5.904E-01
ZR98,0.000E+00,3.146E-04
ZR99,0.000E+00,2.086E-05
ZR100,0.000E+00,6.850E-05
ZR101,0.000E+00,1.359E-05
ZR102,0.000E+00,1.097E-05
ZR103,0.000E+00,1.642E-06
ZR104,0.000E+00,6.952E-07
ZR105,0.000E+00,3.485E-08
ZR106,0.000E+00,6.215E-09
ZR107,0.000E+00,9.954E-11
ZR108,0.000E+00,3.552E-11
ZR109,0.000E+00,7.988E-13
NB92,0.000E+00,1.058E-10
NB93,0.000E+00,1.238E-05
NB93M,0.000E+00,2.412E-04
NB94,0.000E+00,2.178E-04
NB94M,0.000E+00,1.153E-09
NB95,0.000E+00,3.193E+01
NB95M,0.000E+00,3.656E-02
NB96,0.000E+00,1.654E-03
NB97,0.000E+00,4.258E-02
NB97M,0.000E+00,5.543E-04
NB98,0.000E+00,2.950E-05
NB98M,0.000E+00,1.876E-04
NB99,0.000E+00,9.938E-05
NB99M,0.000E+00,6.000E-04
NB100,0.000E+00,1.575E-05
NB100M,0.000E+00,2.535E-06
NB101,0.000E+00,7.007E-05
NB102,0.000E+00,1.061E-05
NB103,0.000E+00,7.429E-06
NB104,0.000E+00,1.094E-05
NB105,0.000E+00,2.694E-06
NB106,0.000E+00,2.339E-07
NB107,0.000E+00,3.918E-08
NB108,0.000E+00,3.174E-09
NB109,0.000E+00,6.681E-10
NB110,0.000E+00,3.130E-11
NB111,0.000E+00,3.485E-12
MO95,0.000E+00,5.383E+02
MO96,0.000E+00,7.426E+00
MO97,0.000E+00,5.843E+02
MO98,0.000E+00,6.287E+02
MO99,0.000E+00,2.512E+00
MO100,0.000E+00,6.805E+02
MO101,0.000E+00,9.124E-03
MO102,0.000E+00,6.304E-03
MO103,0.000E+00,5.013E-04
MO104,0.000E+00,3.372E-04
MO105,0.000E+00,1.164E-04
MO106,0.000E+00,1.454E-05
MO107,0.000E+00,2.661E-06
MO108,0.000E+00,4.619E-07
MO109,0.000E+00,1.531E-07
MO110,0.000E+00,7.357E-08
MO111,0.000E+00,2.553E-09
MO112,0.000E+00,9.905E-10
MO113,0.000E+00,1.644E-11
MO114,0.000E+00,2.791E-12
MO115,0.000E+00,6.229E-14
TC98,0.000E+00,1.233E-02
TC99,0.000E+00,6.146E+02
TC99M,0.000E+00,2.014E-01
TC100,0.000E+00,7.266E-06
TC101,0.000E+00,8.876E-03
TC102,0.000E+00,4.911E-05
TC102M,0.000E+00,1.583E-06
TC103,0.000E+00,4.067E-04
TC104,0.000E+00,6.508E-03
TC105,0.000E+00,1.700E-03
TC106,0.000E+00,8.893E-05
TC107,0.000E+00,3.086E-05
TC108,0.000E+00,4.092E-06
TC109,0.000E+00,6.665E-07
TC110,0.000E+00,1.439E-07
TC111,0.000E+00,1.493E-07
TC112,0.000E+00,1.218E-08
TC113,0.000E+00,4.823E-09
TC114,0.000E+00,3.405E-10
TC115,0.000E+00,9.257E-11
TC116,0.000E+00,2.480E-12
TC117,0.000E+00,1.493E-13
RU99,0.000E+00,2.704E-03
RU100,0.000E+00,1.358E+01
RU101,0.000E+00,5.995E+02
RU102,0.000E+00,5.540E+02
RU103,0.000E+00,2.591E+01
RU104,0.000E+00,3.240E+02
RU105,0.000E+00,6.108E-02
RU106,0.000E+00,6.152E+01
RU107,0.000E+00,3.885E-04
RU108,0.000E+00,3.157E-04
RU109,0.000E+00,2.923E-05
RU110,0.000E+00,6.924E-06
RU111,0.000E+00,4.900E-07
RU112,0.000E+00,7.134E-07
RU113,0.000E+00,3.767E-07
RU114,0.000E+00,4.886E-07
RU115,0.000E+00,2.275E-08
RU116,0.000E+00,9.659E-09
RU117,0.000E+00,3.940E-10
RU118,0.000E+00,3.306E-09
RU120,0.000E+00,3.775E-13
RH102,0.000E+00,1.228E-03
RH103,0.000E+00,3.894E+02
RH103M,0.000E+00,2.565E-02
RH104,0.000E+00,2.172E-05
RH104M,0.000E+00,2.144E-05
RH105,0.000E+00,4.922E-01
RH105M,0.000E+00,4.883E-05
RH106,0.000E+00,5.716E-05
RH106M,0.000E+00,4.889E-05
RH107,0.000E+00,2.253E-03
RH108,0.000E+00,1.956E-05
RH108M,0.000E+00,2.981E-06
RH109,0.000E+00,6.816E-05
RH109M,0.000E+00,2.130E-05
RH110,0.000E+00,6.411E-08
RH110M,0.000E+00,1.374E-05
RH111,0.000E+00,4.065E-06
RH112,0.000E+00,4.318E-07
RH113,0.000E+00,2.234E-07
RH114,0.000E+00,3.055E-07
RH115,0.000E+00,1.107E-06
RH116,0.000E+00,6.124E-08
RH117,0.000E+00,9.229E-08
RH118,0.000E+00,1.284E-08
RH119,0.000E+00,1.350E-09
RH120,0.000E+00,8.992E-11
RH121,0.000E+00,1.968E-11
RH122,0.000E+00,1.016E-12
RH123,0.000E+00,1.111E-13
PD102,0.000E+00,3.348E-04
PD104,0.000E+00,1.401E+01
PD105,0.000E+00,1.937E+02
PD106,0.000E+00,7.194E+01
PD107,0.000E+00,8.195E+01
PD107M,0.000E+00,1.056E-09
PD108,0.000E+00,5.697E+01
PD109,0.000E+00,4.288E-02
PD109M,0.000E+00,1.887E-07
PD110,0.000E+00,2.592E+01
PD111,0.000E+00,5.316E-04
PD111M,0.000E+00,3.985E-05
PD112,0.000E+00,2.259E-02
PD113,0.000E+00,2.619E-05
PD114,0.000E+00,3.676E-05
PD115,0.000E+00,9.624E-06
PD116,0.000E+00,2.802E-06
PD117,0.000E+00,1.094E-06
PD118,0.000E+00,4.641E-07
PD119,0.000E+00,1.511E-07
PD120,0.000E+00,1.396E-07
PD121,0.000E+00,7.980E-09
PD122,0.000E+00,5.043E-09
PD123,0.000E+00,2.442E-10
PD124,0.000E+00,7.641E-11
PD126,0.000E+00,5.380E-13
AG106,0.000E+00,8.226E-15
AG107,0.000E+00,1.069E-05
AG108,0.000E+00,3.152E-09
AG108M,0.000E+00,2.674E-07
AG109,0.000E+00,3.940E+01
AG109M,0.000E+00,3.441E-05
AG110,0.000E+00,7.751E-07
AG110M,0.000E+00,9.651E-02
AG111,0.000E+00,2.423E-01
AG111M,0.000E+00,2.438E-05
AG112,0.000E+00,3.430E-03
AG113,0.000E+00,5.250E-03
AG113M,0.000E+00,3.593E-06
AG114,0.000E+00,1.159E-06
AG115,0.000E+00,2.266E-04
AG115M,0.000E+00,1.301E-06
AG116,0.000E+00,3.734E-05
AG116M,0.000E+00,1.211E-07
AG117,0.000E+00,8.653E-06
AG117M,0.000E+00,6.348E-07
AG118,0.000E+00,6.100E-07
AG118M,0.000E+00,2.291E-07
AG119,0.000E+00,4.307E-07
AG120,0.000E+00,1.772E-07
AG121,0.000E+00,7.652E-08
AG122,0.000E+00,2.589E-08
AG123,0.000E+00,1.049E-08
AG124,0.000E+00,2.862E-09
AG125,0.000E+00,1.139E-09
AG126,0.000E+00,1.411E-10
AG128,0.000E+00,3.477E-12
CD108,0.000E+00,5.747E-04
CD109,0.000E+00,2.618E-06
CD110,0.000E+00,9.312E-01
CD111,0.000E+00,2.003E+01
CD111M,0.000E+00,2.595E-09
CD112,0.000E+00,1.759E+01
CD113,0.000E+00,1.630E+01
CD113M,0.000E+00,2.730E-01
CD114,0.000E+00,1.519E+01
CD115,0.000E+00,4.955E-02
CD115M,0.000E+00,4.205E-02
CD116,0.000E+00,1.486E+01
CD117,0.000E+00,1.858E-03
CD117M,0.000E+00,4.175E-04
CD118,0.000E+00,7.396E-04
CD119,0.000E+00,2.895E-05
CD119M,0.000E+00,8.532E-06
CD120,0.000E+00,1.257E-05
CD121,0.000E+00,3.226E-06
CD122,0.000E+00,1.226E-06
CD123,0.000E+00,1.864E-06
CD124,0.000E+00,1.582E-07
CD125,0.000E+00,1.732E-07
CD126,0.000E+00,3.860E-08
CD127,0.000E+00,2.032E-08
CD128,0.000E+00,1.485E-08
CD129,0.000E+00,1.532E-09
CD130,0.000E+00,3.069E-09
CD131,0.000E+00,1.101E-10
CD132,0.000E+00,1.219E-11
IN113,0.000E+00,1.753E-02
IN113M,0.000E+00,8.325E-14
IN114,0.000E+00,1.806E-09
IN114M,0.000E+00,3.163E-05
IN115,0.000E+00,1.227E+01
IN115M,0.000E+00,4.164E-03
IN116,0.000E+00,1.345E-07
IN116M,0.000E+00,2.681E-04
IN117,0.000E+00,3.725E-04
IN117M,0.000E+00,1.323E-03
IN118,0.000E+00,1.226E-06
IN118M,0.000E+00,1.437E-08
IN119,0.000E+00,1.251E-05
IN119M,0.000E+00,1.747E-04
IN120,0.000E+00,7.682E-07
IN120M,0.000E+00,9.100E-08
IN121,0.000E+00,2.342E-07
IN121M,0.000E+00,5.733E-05
IN122,0.000E+00,3.808E-07
IN122M,0.000E+00,2.057E-07
IN123,0.000E+00,1.207E-06
IN123M,0.000E+00,4.244E-06
IN124,0.000E+00,1.021E-06
IN125,0.000E+00,4.150E-07
IN125M,0.000E+00,1.632E-06
IN126,0.000E+00,3.968E-07
IN127,0.000E+00,1.995E-07
IN127M,0.000E+00,6.524E-07
IN128,0.000E+00,2.807E-07
IN129,0.000E+00,1.203E-07
IN130,0.000E+00,9.433E-08
IN131,0.000E+00,3.132E-08
IN132,0.000E+00,4.950E-09
IN133,0.000E+00,3.601E-10
IN134,0.000E+00,1.551E-11
SN114,0.000E+00,4.859E-04
SN115,0.000E+00,7.638E-01
SN116,0.000E+00,2.901E+00
SN117,0.000E+00,1.452E+01
SN117M,0.000E+00,6.315E-04
SN118,0.000E+00,1.503E+01
SN119,0.000E+00,1.498E+01
SN119M,0.000E+00,2.330E-02
SN120,0.000E+00,1.538E+01
SN121,0.000E+00,2.471E-02
SN121M,0.000E+00,7.280E-02
SN122,0.000E+00,1.680E+01
SN123,0.000E+00,1.263E-01
SN123M,0.000E+00,6.927E-04
SN124,0.000E+00,2.143E+01
SN125,0.000E+00,8.008E-02
SN125M,0.000E+00,1.959E-04
SN126,0.000E+00,3.135E+01
SN127,0.000E+00,2.662E-03
SN127M,0.000E+00,1.595E-04
SN128,0.000E+00,5.774E-03
SN129,0.000E+00,1.322E-04
SN129M,0.000E+00,3.554E-04
SN130,0.000E+00,6.976E-04
SN131,0.000E+00,1.209E-04
SN132,0.000E+00,6.852E-05
SN133,0.000E+00,7.834E-07
SN134,0.000E+00,9.323E-08
SN135,0.000E+00,3.714E-09
SN136,0.000E+00,5.650E-10
SB121,0.000E+00,1.505E+01
SB122,0.000E+00,2.719E-03
SB122M,0.000E+00,1.781E-08
SB123,0.000E+00,1.781E+01
SB124,0.000E+00,3.709E-02
SB125,0.000E+00,1.864E+01
SB126,0.000E+00,1.889E-02
SB126M,0.000E+00,7.704E-06
SB127,0.000E+00,3.593E-01
SB128,0.000E+00,6.348E-03
SB128M,0.000E+00,1.098E-03
SB129,0.000E+00,4.249E-02
SB130,0.000E+00,1.802E-03
SB130M,0.000E+00,1.477E-03
SB131,0.000E+00,9.715E-03
SB132,0.000E+00,7.043E-04
SB132M,0.000E+00,7.572E-04
SB133,0.000E+00,8.146E-04
SB134,0.000E+00,9.930E-07
SB134M,0.000E+00,1.140E-05
SB135,0.000E+00,9.477E-07
SB136,0.000E+00,9.262E-08
SB137,0.000E+00,8.749E-09
SB138,0.000E+00,3.938E-10
SB139,0.000E+00,3.607E-11
TE122,0.000E+00,3.348E-01
TE123,0.000E+00,3.957E-03
TE123M,0.000E+00,2.040E-04
TE124,0.000E+00,2.018E-01
TE125,0.000E+00,6.819E+00
TE125M,0.000E+00,2.342E-01
TE126,0.000E+00,1.219E+00
TE127,0.000E+00,3.621E-02
TE127M,0.000E+00,1.766E+00
TE128,0.000E+00,1.132E+02
TE129,0.000E+00,1.118E-02
TE129M,0.000E+00,1.555E+00
TE130,0.000E+00,2.868E+02
TE131,0.000E+00,1.097E-02
TE131M,0.000E+00,1.124E-01
TE132,0.000E+00,3.190E+00
TE133,0.000E+00,7.544E-03
TE133M,0.000E+00,1.952E-02
TE134,0.000E+00,3.742E-02
TE135,0.000E+00,1.606E-04
TE136,0.000E+00,7.487E-05
TE137,0.000E+00,4.972E-06
TE138,0.000E+00,5.107E-07
TE139,0.000E+00,3.932E-08
TE140,0.000E+00,7.553E-09
TE141,0.000E+00,1.036E-10
TE142,0.000E+00,2.640E-11
I127,0.000E+00,6.014E+01
I128,0.000E+00,7.547E-05
I129,0.000E+00,1.644E+02
I130,0.000E+00,4.721E-03
