,keff,burnup,Power (W/cm),Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/(GWe.y)),discharge step,discharge time,volume_Ueq,mass U
549.0,1.142171129387897,14.69193095649732,161.2204724409449,1560258375165.4976,3106332583.2840357,0.14552545493989094,10730664.859204078,2002.135034379369,147632179302.72116,2.4264719234243773e+18,2.0124553610603204e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
560.5117548184344,0.0,0.0,0.0,1566122647741.7358,3118007816.8676376,0.14597694316269677,10763956.415027136,2010.186997223007,148225909896.2419,2.483880335767942e+18,2.060068468006031e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
560.5517548184343,0.0,0.0,0.0,1232039630908.1606,2452878901.5353374,0.12005963771225503,8852882.37676224,1991.6979080308683,146862573016.41757,2.4840828900096276e+18,2.060236461447723e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
561.5517548184343,0.0,0.0,0.0,936682769849.6753,1864850241.7916265,0.08717494804503977,6428051.724533235,1759.307178573517,129726690945.31995,2.4861055342800927e+18,2.0619139922142326e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
568.5517548184343,0.0,0.0,0.0,456132295375.3785,908117933.5200717,0.04881930597183794,3599807.410044616,1080.1060489477975,79644183407.26184,2.4910541731041577e+18,2.0660182699663467e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
598.5517548184343,0.0,0.0,0.0,214297690234.62637,426647219.6489379,0.02112952487959932,1558035.672940152,514.6386997399679,37948106142.44208,2.5056616131429816e+18,2.078133316810166e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
628.5517548184343,0.0,0.0,0.0,149502408448.7148,297645704.0933504,0.01345769739827175,992335.2627008462,396.5513077293041,29240651984.079998,2.5135283948168274e+18,2.0846578295403525e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
928.5517548184343,0.0,0.0,0.0,28280259915.40638,56303426.55885451,0.0012691237098595718,93581.84931287752,177.57042832170424,13093577037.863039,2.522690522747837e+18,2.092256670184451e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
1293.5517548184343,0.0,0.0,0.0,15270457507.384937,30402092.673793647,0.0006294780211222202,46416.056102951596,121.56272999878054,8963716454.455536,2.522709243247882e+18,2.0922721965007924e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
1658.5517548184346,0.0,0.0,0.0,10656298361.698387,21215721.283744972,0.0005056889831835374,37288.177547877,96.760058447832,7134832592.617914,2.522709142057987e+18,2.0922721125764142e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2023.5517548184346,0.0,0.0,0.0,8348345572.512626,16620797.094366046,0.00043779158862401496,32281.60198944757,84.2894175267423,6215280282.274938,2.5227090307630653e+18,2.0922720202711787e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2388.5517548184343,0.0,0.0,0.0,7068736711.532578,14073212.180233045,0.0003942385434960885,29070.11482344895,77.40973485158209,5707990549.662114,2.522708919462758e+18,2.0922719279614773e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2425.0517548184343,0.0,0.0,0.0,6973380172.507406,13883365.979810197,0.00039073236410958143,28811.5783636358,76.89756357163422,5670224384.575049,2.522708908332852e+18,2.0922719187306103e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2571.0517548184343,0.0,0.0,0.0,6633056916.262317,13205813.315104067,0.00037786771731151996,27862.973094687837,75.06805596490219,5535321298.42208,2.5227088638129203e+18,2.092271881806888e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2662.3017548184343,0.0,0.0,0.0,6448603167.394757,12838582.66963138,0.000370656165618531,27331.21221227552,74.0742185395082,5462038336.751614,2.52270883598775e+18,2.0922718587293846e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
2753.5517548184343,0.0,0.0,0.0,6281961974.747422,12506815.204269867,0.00036399317637897984,26839.900884510633,73.17379332993073,5395643346.550447,2.522708808162547e+18,2.0922718356518553e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
3483.5517548184343,0.0,0.0,0.0,5352828172.409655,10656994.270524675,0.0003245508823797493,23931.52971083,68.02535509344492,5016011032.142907,2.5227085855621704e+18,2.0922716510326483e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
4213.551754818434,0.0,0.0,0.0,4786951360.29359,9530384.980948146,0.00029955192327537093,22088.172120305127,64.60174548292176,4763563050.760898,2.5227083629618504e+18,2.092271466413489e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
4761.051754818434,0.0,0.0,0.0,4472064313.648483,8903473.497172888,0.00028572919019664026,21068.920085206806,62.49540193393652,4608246809.270066,2.522708196011628e+18,2.092271327949134e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
6038.551754818434,0.0,0.0,0.0,3922302428.2863903,7808947.5617701765,0.0002617375863659758,19299.842226986093,58.297773256366675,4298724694.661381,2.5227078064611517e+18,2.092271004865674e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
7863.551754818434,0.0,0.0,0.0,3358117125.094819,6685705.912688775,0.00023643344480513321,17433.981283610832,53.19086035928101,3922154349.7247615,2.5227072499606415e+18,2.092270543318015e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
8958.551754818434,0.0,0.0,0.0,3083847800.4295316,6139660.620855157,0.00022357864966377562,16486.10244995517,50.440877755777365,3719377854.718937,2.522706916060432e+18,2.0922702663895e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
9688.551754818434,0.0,0.0,0.0,2918591870.830289,5810651.088289393,0.0002156268706978134,15899.759152465029,48.71336775164947,3591995803.9095063,2.5227066934602496e+18,2.092270081770454e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
11513.551754818434,0.0,0.0,0.0,2552615993.9649315,5082026.387984727,0.0001974480175342614,14559.298262627355,44.723594796249195,3297800424.36989,2.522706136959964e+18,2.0922696202229826e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
13338.551754818434,0.0,0.0,0.0,2240354052.4463186,4460341.249870397,0.0001813015237030782,13368.6982124492,41.15629304312407,3034756961.7657146,2.5227055804597463e+18,2.0922691586755655e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
15163.551754818434,0.0,0.0,0.0,1971247349.4015176,3924574.2683539307,0.00016688934269728817,12305.981835254583,37.964554913707175,2799406574.4450746,2.522705023959641e+18,2.0922686971282433e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
16988.551754818436,0.0,0.0,0.0,1738127140.260255,3460453.1246999623,0.00015400157482436047,11355.671678967994,35.1084429846549,2588804381.6967754,2.5227044674596526e+18,2.0922682355810173e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
18813.551754818436,0.0,0.0,0.0,1535480807.2174084,3057002.698005568,0.0001424667750203065,10505.125834830682,32.5524649610078,2400333274.9025955,2.522703910959857e+18,2.0922677740339507e+25,0.33,0.433,73.73737373737373,31.928282828282825,39,549.0,0.6636889619319588,6.024397993167556
