,0.0
Discharge Step,40.0
Discharge Time,560.5117548184344
Efficiency,0.33
Volume Model (cm3),0.433
SNF mass (t/GWe.y),73.73737373737373
SNF volume (m3/GWe.y),31.928282828282825
Volume Ueq,0.6636889619319588
Mass U,6.024397993167556
