Days,Keff,Discharge Step,Discharge Time,Power (W/cm),Burnup,Activity (Bq/g),Activity (Ci/GWe.y),Decay heat (W/g),Decay heat (W/GWe.y),Radiotoxicity (Sv/g),Radiotoxicity (Sv/GWe.y),I129 (atom/cm3),I129 (atom/GWe.y),Efficiency,Volume Model (cm3),SNF mass (t/GWe.y),SNF volume (m3/GWe.y),Volume Ueq,Mass U
560.5517548184343,0.0,40,560.5117548184344,0.0,0.0,1232039630908.1606,2452878901.535338,0.12005963771225507,8852882.376762243,1991.6979080308688,146862573016.4176,2.4840828900096276e+18,2.0179234558625526e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
561.5517548184343,0.0,40,560.5117548184344,0.0,0.0,936682769849.6746,1864850241.7916248,0.08717494804503977,6428051.724533235,1759.307178573517,129726690945.31995,2.4861055342800927e+18,2.0195665336087316e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
568.5517548184343,0.0,40,560.5117548184344,0.0,0.0,456132295375.37866,908117933.5200721,0.048819305971837965,3599807.4100446175,1080.1060489477977,79644183407.26186,2.4910541731041577e+18,2.0235865179650646e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
598.5517548184343,0.0,40,560.5117548184344,0.0,0.0,214297690234.6264,426647219.64893806,0.021129524879599335,1558035.672940153,514.6386997399679,37948106142.44208,2.5056616131429816e+18,2.0354527467463167e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
628.5517548184343,0.0,40,560.5117548184344,0.0,0.0,149502408448.7148,297645704.0933504,0.013457697398271753,992335.2627008465,396.5513077293041,29240651984.079998,2.5135283948168274e+18,2.041843259448468e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
928.5517548184343,0.0,40,560.5117548184344,0.0,0.0,28280259915.406384,56303426.55885453,0.0012691237098595722,93581.84931287754,177.57042832170424,13093577037.863039,2.522690522747837e+18,2.0492860355860736e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
1293.5517548184343,0.0,40,560.5117548184344,0.0,0.0,15270457507.384941,30402092.67379366,0.00062947802112222,46416.056102951574,121.56272999878053,8963716454.455534,2.522709243247882e+18,2.0493012430239166e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
1658.5517548184346,0.0,40,560.5117548184344,0.0,0.0,10656298361.698387,21215721.283744972,0.0005056889831835373,37288.17754787699,96.760058447832,7134832592.617914,2.522709142057987e+18,2.049301160823172e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
2023.5517548184346,0.0,40,560.5117548184344,0.0,0.0,8348345572.512623,16620797.09436604,0.000437791588624015,32281.60198944757,84.2894175267423,6215280282.274938,2.5227090307630653e+18,2.049301070413696e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
2388.5517548184343,0.0,40,560.5117548184344,0.0,0.0,7068736711.53258,14073212.180233046,0.0003942385434960885,29070.11482344895,77.4097348515821,5707990549.662114,2.522708919462758e+18,2.0493009799998445e+25,0.33,0.433,73.73737373737373,31.928282828282825,0.6636889619319588,6.024397993167556
