Years,Waste
id,snf
n_wf,7
name,uox
pkg_diameter,0.78
pkg_length,5.0
0.0,39172.42249248902
0.0027397260273972603,27232.368664040358
0.021917808219178082,15721.72707744235
0.10410958904109589,7795.548071397365
0.1863013698630137,5601.032550868715
1.0082191780821919,1882.274125060687
2.0082191780821916,1479.9960254608745
3.0082191780821916,1345.2115644963687
4.008219178082192,1266.1289928654185
5.008219178082192,1210.572860150083
5.108219178082192,1205.842017904157
5.508219178082192,1188.0832736316725
5.758219178082192,1177.8325402163202
6.008219178082192,1168.1578797702261
8.008219178082191,1106.208544691329
10.008219178082191,1061.7475248993128
11.508219178082191,1034.9239864145648
15.008219178082191,984.1674019033456
20.008219178082186,926.0736083982451
23.008219178082186,895.6258280374317
25.008219178082186,876.6369536345172
30.008219178082186,832.9406954448966
35.008219178082186,793.8377669900914
40.008219178082186,758.66150264243
45.00821917808219,726.9243745112269
50.008219178082214,698.2323714488181
60.008219178082214,648.6974044929284
70.00821917808219,607.8804097367647
80.00821917808219,574.0857366331333
90.00821917808219,545.9622779229104
100.00821917808219,522.4240316588914
125.00821917808219,478.30614877652636
150.0082191780822,448.1946441543854
175.00821917808221,426.5011244071199
200.00821917808224,409.9960184180873
225.00821917808227,396.8033182981187
250.00821917808227,385.8180982249985
300.0082191780823,368.06439918613313
350.0082191780823,353.8636083952986
400.0082191780823,341.9570923120948
450.0082191780823,331.69072601615943
500.0082191780823,322.6711355170331
600.0082191780823,307.40723126320535
700.0082191780821,294.85127999081544
800.0082191780822,284.27178991468844
900.0082191780822,275.21803499164645
1000.0082191780823,267.387247510858
1250.0082191780823,251.84765951950016
1500.0082191780823,240.41335262184123
1750.0082191780823,231.70688011975741
2000.0082191780825,224.83948399719722
2250.0082191780825,219.22301600752462
2500.0082191780825,214.46483177982557
3000.008219178082,206.55741121624146
4000.008219178082,194.37234401590837
5000.008219178082,183.54260975891725
6000.008219178084,173.7137728979407
7000.008219178084,164.66103738674357
8000.008219178084,156.28700327035585
9000.008219178084,148.5250236605983
10000.008219178084,141.3191962088089
20000.00821917808,90.99475658412796
50000.00821917809,1237.8936323107591
100000.00821917808,1212.4372196190466
200000.00821917804,1205.2763282714732
500000.00821917807,0.7310478448567661
1000000.0082191781,1205.4112010145084
