Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
20.0,48.089591567852445,37.316043648646314,0.0017945132979915,6.0,1,452.0574760041256,Ref_PWR
20.0,40.07465963987703,30.94557529232353,0.0012401333972,3.0,4,435.0375384414452,SPWR
20.0,31.578765227021044,37.71493998619819,0.0011909912353753,2.0,42,499.958139100218,HTGR
20.0,38.27729118426793,38.24936474863144,0.0014640820720966,2.0,42,508.93026519059345,HPR
20.0,36.23102090083222,61.38104247581219,0.002223897832856,4.0,18,660.9828248332668,HTGR_FCM
20.0,25.746289712770164,36.26835003806797,0.0009337754474842,1.0,3,396.8886893135336,SFR
