Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
50.0,48.089591567852445,23.714545454545455,1140.4228051262999,6.0,1,285.423546823873,Ref_PWR
50.0,40.07465963987703,23.900909090909092,957.8207969018,3.0,4,262.138866037364,SPWR
50.0,31.578765227021044,23.973066201086773,757.0398293359,2.0,42,329.14151947774917,HTGR
50.0,38.27729118426793,24.85796675319388,951.4956316608,2.0,42,336.2000963658739,HPR
50.0,36.23102090083222,40.63561085875677,1472.2696663417,4.0,18,463.01874332333693,HTGR_FCM
50.0,25.746289712770164,33.04054115511752,850.6713448462999,1.0,3,299.2424449066363,SFR
