Years,#packages per GWe.y,Area per package (m2),Total area (m2),Required st (y),n_wf,Decay heat (W/Pkg),Reactor
10.0,48.089591567852445,54.61107407798355,2626.2242474919003,6.0,1,592.7990869458465,Ref_PWR
10.0,53.43287951983604,25.79776918941618,1378.4490929786,2.0,3,413.38165412001194,SPWR
10.0,31.578765227021044,42.30239501487262,1335.8574007153002,2.0,42,619.7238864048314,HTGR
10.0,38.27729118426793,42.65054152685077,1632.5471971899,2.0,42,628.8475955232349,HPR
10.0,108.69306270249665,22.847729545454545,2483.3897000937,1.0,6,265.17361806580055,HTGR_FCM
10.0,25.746289712770164,37.7538250339195,972.0209170884999,1.0,3,455.03465352827686,SFR
