,0.0
Discharge Step,54.0
Discharge Time,10076.74267298146
Efficiency,0.4
Volume Model (cm3),0.912
SNF mass (t/GWe.y),7.604166666666667
SNF volume (m3/GWe.y),6.9350000000000005
Volume Ueq,1504.0640578268658
Mass U,20993.213896530953
