isotope,Batch1-charged (g),Batch1-discharged (g),Batch2-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch4-discharged (g),Batch5-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch8-discharged (g)
ZN74,4.837E-22,5.139E-07,5.907E-22,4.827E-07,0.000E+00,5.571E-07,0.000E+00,5.834E-07,0.000E+00,1.844E-07
ZN75,4.837E-22,7.592E-08,5.907E-22,7.219E-08,0.000E+00,8.325E-08,0.000E+00,8.713E-08,0.000E+00,2.755E-08
ZN76,4.837E-22,7.742E-08,5.907E-22,8.266E-08,0.000E+00,9.539E-08,0.000E+00,9.993E-08,0.000E+00,3.158E-08
ZN77,4.837E-22,2.427E-08,5.907E-22,2.706E-08,0.000E+00,3.123E-08,0.000E+00,3.270E-08,0.000E+00,1.034E-08
ZN78,4.837E-22,3.349E-08,5.907E-22,3.756E-08,0.000E+00,4.334E-08,0.000E+00,4.538E-08,0.000E+00,1.434E-08
ZN79,4.837E-22,2.901E-09,5.907E-22,2.041E-09,0.000E+00,2.356E-09,0.000E+00,2.467E-09,0.000E+00,7.798E-10
ZN80,4.837E-22,1.837E-09,5.907E-22,1.367E-09,0.000E+00,1.578E-09,0.000E+00,1.652E-09,0.000E+00,5.221E-10
ZN81,4.837E-22,7.732E-11,5.907E-22,4.312E-11,0.000E+00,4.977E-11,0.000E+00,5.212E-11,0.000E+00,1.647E-11
ZN82,4.837E-22,1.079E-11,5.907E-22,4.753E-12,0.000E+00,5.484E-12,0.000E+00,5.743E-12,0.000E+00,1.815E-12
ZN83,4.837E-22,6.259E-13,5.907E-22,2.219E-13,0.000E+00,2.561E-13,0.000E+00,2.682E-13,0.000E+00,8.480E-14
GA69,4.837E-22,5.473E-13,5.907E-22,3.328E-13,1.741E-13,1.683E-12,9.068E-13,4.347E-12,2.399E-12,1.461E-11
GA70,3.356E-21,4.314E-20,5.907E-22,2.857E-20,0.000E+00,1.509E-19,0.000E+00,4.044E-19,0.000E+00,4.552E-19
GA71,4.837E-22,3.141E-05,5.907E-22,1.972E-05,1.031E-05,3.598E-05,1.939E-05,4.834E-05,2.668E-05,7.271E-05
GA72,4.837E-22,7.359E-05,5.907E-22,4.903E-05,0.000E+00,5.659E-05,0.000E+00,5.925E-05,0.000E+00,1.873E-05
GA73,4.837E-22,5.284E-05,5.907E-22,4.640E-05,0.000E+00,5.355E-05,0.000E+00,5.608E-05,0.000E+00,1.773E-05
GA74,4.837E-22,2.766E-06,5.907E-22,2.558E-06,0.000E+00,2.952E-06,0.000E+00,3.091E-06,0.000E+00,9.770E-07
GA75,4.837E-22,1.112E-06,5.907E-22,1.032E-06,0.000E+00,1.191E-06,0.000E+00,1.248E-06,0.000E+00,3.943E-07
GA76,4.837E-22,5.546E-07,5.907E-22,5.722E-07,0.000E+00,6.601E-07,0.000E+00,6.918E-07,0.000E+00,2.186E-07
GA77,4.837E-22,4.806E-07,5.907E-22,5.217E-07,0.000E+00,6.021E-07,0.000E+00,6.305E-07,0.000E+00,1.993E-07
GA78,4.837E-22,2.673E-07,5.907E-22,3.111E-07,0.000E+00,3.590E-07,0.000E+00,3.760E-07,0.000E+00,1.188E-07
GA79,4.837E-22,1.598E-07,5.907E-22,1.505E-07,0.000E+00,1.737E-07,0.000E+00,1.819E-07,0.000E+00,5.751E-08
GA80,4.837E-22,8.595E-08,5.907E-22,9.029E-08,0.000E+00,1.042E-07,0.000E+00,1.092E-07,0.000E+00,3.450E-08
GA81,4.837E-22,2.154E-08,5.907E-22,1.943E-08,0.000E+00,2.241E-08,0.000E+00,2.347E-08,0.000E+00,7.420E-09
GA82,4.837E-22,1.778E-09,5.907E-22,1.389E-09,0.000E+00,1.604E-09,0.000E+00,1.680E-09,0.000E+00,5.308E-10
GA83,4.837E-22,4.795E-10,5.907E-22,3.286E-10,0.000E+00,3.792E-10,0.000E+00,3.971E-10,0.000E+00,1.255E-10
GA84,4.837E-22,4.887E-11,5.907E-22,2.446E-11,0.000E+00,2.823E-11,0.000E+00,2.956E-11,0.000E+00,9.348E-12
GA85,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
GE70,4.837E-22,1.404E-15,5.907E-22,8.734E-16,4.568E-16,7.785E-15,4.192E-15,2.871E-14,1.584E-14,1.417E-13
GE71,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
GE71M,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
GE72,4.837E-22,2.666E-01,5.907E-22,1.160E-01,6.078E-02,2.113E-01,1.140E-01,2.836E-01,1.566E-01,4.259E-01
GE73,4.837E-22,5.798E-01,5.907E-22,3.043E-01,1.591E-01,5.408E-01,2.914E-01,7.099E-01,3.917E-01,1.022E+00
GE73M,4.837E-22,1.595E-09,5.907E-22,1.400E-09,0.000E+00,1.616E-09,0.000E+00,1.692E-09,0.000E+00,5.347E-10
GE74,4.837E-22,1.195E+00,5.907E-22,6.521E-01,3.409E-01,1.211E+00,6.522E-01,1.652E+00,9.115E-01,2.557E+00
GE75,4.837E-22,4.930E-05,5.907E-22,4.540E-05,0.000E+00,5.263E-05,0.000E+00,5.533E-05,0.000E+00,1.765E-05
GE75M,4.837E-22,2.070E-08,5.907E-22,1.832E-08,0.000E+00,2.116E-08,0.000E+00,2.217E-08,0.000E+00,7.021E-09
GE76,4.837E-22,4.427E+00,5.907E-22,2.598E+00,1.359E+00,4.755E+00,2.561E+00,6.409E+00,3.537E+00,9.696E+00
GE77,4.837E-22,6.031E-04,5.907E-22,6.006E-04,0.000E+00,6.967E-04,0.000E+00,7.334E-04,0.000E+00,2.346E-04
GE77M,4.837E-22,1.916E-06,5.907E-22,2.023E-06,0.000E+00,2.336E-06,0.000E+00,2.446E-06,0.000E+00,7.739E-07
GE78,4.837E-22,4.197E-04,5.907E-22,4.596E-04,0.000E+00,5.304E-04,0.000E+00,5.554E-04,0.000E+00,1.756E-04
GE79,4.837E-22,5.614E-06,5.907E-22,5.298E-06,0.000E+00,6.113E-06,0.000E+00,6.401E-06,0.000E+00,2.023E-06
GE80,4.837E-22,5.541E-06,5.907E-22,6.124E-06,0.000E+00,7.066E-06,0.000E+00,7.401E-06,0.000E+00,2.339E-06
GE81,4.837E-22,3.025E-06,5.907E-22,3.245E-06,0.000E+00,3.745E-06,0.000E+00,3.921E-06,0.000E+00,1.239E-06
GE82,4.837E-22,1.281E-06,5.907E-22,1.308E-06,0.000E+00,1.510E-06,0.000E+00,1.581E-06,0.000E+00,4.998E-07
GE83,4.837E-22,4.023E-07,5.907E-22,3.957E-07,0.000E+00,4.566E-07,0.000E+00,4.782E-07,0.000E+00,1.511E-07
GE84,4.837E-22,1.104E-07,5.907E-22,9.420E-08,0.000E+00,1.087E-07,0.000E+00,1.139E-07,0.000E+00,3.601E-08
GE85,4.837E-22,4.487E-09,5.907E-22,3.847E-09,0.000E+00,4.439E-09,0.000E+00,4.649E-09,0.000E+00,1.469E-09
GE86,4.837E-22,8.702E-10,5.907E-22,6.177E-10,0.000E+00,7.128E-10,0.000E+00,7.468E-10,0.000E+00,2.360E-10
GE87,4.837E-22,4.480E-11,5.907E-22,2.508E-11,0.000E+00,2.895E-11,0.000E+00,3.031E-11,0.000E+00,9.585E-12
GE88,4.837E-22,3.076E-12,5.907E-22,1.018E-12,0.000E+00,1.175E-12,0.000E+00,1.230E-12,0.000E+00,3.888E-13
AS75,4.837E-22,1.887E+00,5.907E-22,1.037E+00,5.420E-01,1.834E+00,9.884E-01,2.396E+00,1.322E+00,3.422E+00
AS76,4.837E-22,1.534E-04,5.907E-22,9.165E-05,0.000E+00,1.693E-04,0.000E+00,2.295E-04,0.000E+00,1.099E-04
AS77,4.837E-22,5.977E-03,5.907E-22,6.177E-03,0.000E+00,7.147E-03,0.000E+00,7.494E-03,0.000E+00,2.380E-03
AS78,4.837E-22,4.430E-04,5.907E-22,4.820E-04,0.000E+00,5.562E-04,0.000E+00,5.825E-04,0.000E+00,1.841E-04
AS79,4.837E-22,7.505E-05,5.907E-22,6.976E-05,0.000E+00,8.058E-05,0.000E+00,8.439E-05,0.000E+00,2.666E-05
AS80,4.837E-22,4.430E-06,5.907E-22,4.750E-06,0.000E+00,5.481E-06,0.000E+00,5.740E-06,0.000E+00,1.814E-06
AS81,4.837E-22,1.362E-05,5.907E-22,1.430E-05,0.000E+00,1.649E-05,0.000E+00,1.728E-05,0.000E+00,5.460E-06
AS82,4.837E-22,8.964E-06,5.907E-22,9.201E-06,0.000E+00,1.062E-05,0.000E+00,1.112E-05,0.000E+00,3.516E-06
AS82M,4.837E-22,1.926E-06,5.907E-22,2.000E-06,0.000E+00,2.308E-06,0.000E+00,2.418E-06,0.000E+00,7.643E-07
AS83,4.837E-22,1.090E-05,5.907E-22,1.130E-05,0.000E+00,1.305E-05,0.000E+00,1.366E-05,0.000E+00,4.319E-06
AS84,4.837E-22,4.505E-06,5.907E-22,4.752E-06,0.000E+00,5.483E-06,0.000E+00,5.742E-06,0.000E+00,1.815E-06
AS85,4.837E-22,8.901E-07,5.907E-22,9.739E-07,0.000E+00,1.124E-06,0.000E+00,1.177E-06,0.000E+00,3.721E-07
AS86,4.837E-22,1.907E-07,5.907E-22,1.980E-07,0.000E+00,2.286E-07,0.000E+00,2.394E-07,0.000E+00,7.569E-08
AS87,4.837E-22,2.003E-08,5.907E-22,1.924E-08,0.000E+00,2.221E-08,0.000E+00,2.326E-08,0.000E+00,7.351E-09
AS88,4.837E-22,1.468E-09,5.907E-22,1.044E-09,0.000E+00,1.205E-09,0.000E+00,1.262E-09,0.000E+00,3.989E-10
AS89,4.837E-22,1.527E-10,5.907E-22,8.018E-11,0.000E+00,9.254E-11,0.000E+00,9.684E-11,0.000E+00,3.062E-11
AS90,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
SE76,4.837E-22,1.398E-01,5.907E-22,6.805E-02,3.561E-02,1.943E-01,1.047E-01,3.427E-01,1.892E-01,7.328E-01
