isotope,Batch1-charged (g),Batch1-discharged (g),Batch2-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch4-discharged (g),Batch5-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch8-discharged (g)
RB88,4.837E-22,7.509E-03,5.907E-22,8.290E-03,0.000E+00,9.583E-03,0.000E+00,1.005E-02,0.000E+00,3.192E-03
RB89,4.837E-22,8.115E-03,5.907E-22,8.911E-03,0.000E+00,1.028E-02,0.000E+00,1.078E-02,0.000E+00,3.405E-03
RB90,4.837E-22,1.325E-03,5.907E-22,1.502E-03,0.000E+00,1.734E-03,0.000E+00,1.816E-03,0.000E+00,5.738E-04
RB90M,4.837E-22,5.090E-04,5.907E-22,5.335E-04,0.000E+00,6.156E-04,0.000E+00,6.447E-04,0.000E+00,2.038E-04
RB91,4.837E-22,5.958E-04,5.907E-22,6.349E-04,0.000E+00,7.327E-04,0.000E+00,7.675E-04,0.000E+00,2.425E-04
RB92,4.837E-22,4.054E-05,5.907E-22,4.270E-05,0.000E+00,4.928E-05,0.000E+00,5.160E-05,0.000E+00,1.632E-05
RB93,4.837E-22,4.017E-05,5.907E-22,4.089E-05,0.000E+00,4.720E-05,0.000E+00,4.942E-05,0.000E+00,1.562E-05
RB94,4.837E-22,1.189E-05,5.907E-22,1.279E-05,0.000E+00,1.476E-05,0.000E+00,1.546E-05,0.000E+00,4.887E-06
RB95,4.837E-22,7.708E-07,5.907E-22,7.467E-07,0.000E+00,8.610E-07,0.000E+00,9.021E-07,0.000E+00,2.851E-07
RB96,4.837E-22,1.470E-07,5.907E-22,1.220E-07,0.000E+00,1.408E-07,0.000E+00,1.474E-07,0.000E+00,4.660E-08
RB97,4.837E-22,2.364E-08,5.907E-22,1.924E-08,0.000E+00,2.220E-08,0.000E+00,2.324E-08,0.000E+00,7.348E-09
RB98,4.837E-22,4.613E-09,5.907E-22,2.032E-09,0.000E+00,2.345E-09,0.000E+00,2.455E-09,0.000E+00,7.761E-10
RB99,4.837E-22,2.438E-10,5.907E-22,6.994E-11,0.000E+00,8.070E-11,0.000E+00,8.452E-11,0.000E+00,2.672E-11
RB100,4.837E-22,3.156E-11,5.907E-22,5.215E-12,0.000E+00,6.018E-12,0.000E+00,6.302E-12,0.000E+00,1.993E-12
RB101,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
SR86,4.837E-22,1.825E+01,5.907E-22,9.834E+00,5.264E+00,3.008E+01,1.644E+01,5.557E+01,3.101E+01,1.279E+02
SR87,4.837E-22,1.942E-01,5.907E-22,1.037E-01,5.425E-02,5.130E-01,2.764E-01,1.312E+00,7.241E-01,4.360E+00
SR87M,4.837E-22,3.096E-06,5.907E-22,1.740E-06,0.000E+00,5.519E-06,0.000E+00,1.056E-05,0.000E+00,8.139E-06
SR88,4.837E-22,1.509E+03,5.907E-22,9.402E+02,4.916E+02,1.727E+03,9.309E+02,2.335E+03,1.289E+03,3.556E+03
SR89,4.837E-22,3.948E+01,5.907E-22,4.148E+01,1.245E-14,4.868E+01,1.506E-14,5.134E+01,1.626E-14,1.632E+01
SR90,4.837E-22,2.085E+03,5.907E-22,1.322E+03,5.855E+02,2.229E+03,1.017E+03,2.822E+03,1.318E+03,3.406E+03
SR91,4.837E-22,3.974E-01,5.907E-22,4.244E-01,0.000E+00,4.909E-01,0.000E+00,5.149E-01,0.000E+00,1.632E-01
SR92,4.837E-22,1.217E-01,5.907E-22,1.255E-01,0.000E+00,1.449E-01,0.000E+00,1.517E-01,0.000E+00,4.796E-02
SR93,4.837E-22,6.331E-03,5.907E-22,6.308E-03,0.000E+00,7.277E-03,0.000E+00,7.628E-03,0.000E+00,2.411E-03
SR94,4.837E-22,9.928E-04,5.907E-22,9.840E-04,0.000E+00,1.136E-03,0.000E+00,1.189E-03,0.000E+00,3.761E-04
SR95,4.837E-22,3.277E-04,5.907E-22,3.207E-04,0.000E+00,3.701E-04,0.000E+00,3.876E-04,0.000E+00,1.225E-04
SR96,4.837E-22,3.615E-05,5.907E-22,3.589E-05,0.000E+00,4.141E-05,0.000E+00,4.337E-05,0.000E+00,1.371E-05
SR97,4.837E-22,1.015E-06,5.907E-22,9.728E-07,0.000E+00,1.122E-06,0.000E+00,1.175E-06,0.000E+00,3.715E-07
SR98,4.837E-22,1.846E-06,5.907E-22,1.538E-06,0.000E+00,1.775E-06,0.000E+00,1.859E-06,0.000E+00,5.875E-07
SR99,4.837E-22,3.554E-07,5.907E-22,2.148E-07,0.000E+00,2.480E-07,0.000E+00,2.597E-07,0.000E+00,8.206E-08
SR100,4.837E-22,1.424E-07,5.907E-22,6.953E-08,0.000E+00,8.027E-08,0.000E+00,8.405E-08,0.000E+00,2.657E-08
SR101,4.837E-22,5.081E-09,5.907E-22,2.056E-09,0.000E+00,2.372E-09,0.000E+00,2.484E-09,0.000E+00,7.850E-10
SR102,4.837E-22,7.611E-10,5.907E-22,1.977E-10,0.000E+00,2.281E-10,0.000E+00,2.389E-10,0.000E+00,7.554E-11
SR103,4.837E-22,8.072E-12,5.907E-22,1.348E-12,0.000E+00,1.556E-12,0.000E+00,1.629E-12,0.000E+00,5.149E-13
SR104,4.837E-22,4.554E-13,5.907E-22,3.499E-14,0.000E+00,4.037E-14,0.000E+00,4.227E-14,0.000E+00,1.337E-14
Y89,4.837E-22,1.862E+03,5.907E-22,1.140E+03,6.179E+02,2.114E+03,1.165E+03,2.862E+03,1.608E+03,4.391E+03
Y89M,4.837E-22,6.549E-11,5.907E-22,7.935E-12,0.000E+00,9.155E-12,0.000E+00,9.584E-12,0.000E+00,3.035E-12
Y90,4.837E-22,5.488E-01,5.907E-22,3.492E-01,1.469E-01,5.927E-01,2.550E-01,7.548E-01,3.305E-01,8.784E-01
Y90M,4.837E-22,1.449E-06,5.907E-22,2.924E-07,0.000E+00,3.710E-07,0.000E+00,4.184E-07,0.000E+00,1.555E-07
Y91,4.837E-22,5.958E+01,5.907E-22,6.065E+01,2.236E-12,7.141E+01,2.712E-12,7.548E+01,2.936E-12,2.404E+01
Y91M,4.837E-22,2.011E-02,5.907E-22,2.147E-02,0.000E+00,2.483E-02,0.000E+00,2.605E-02,0.000E+00,8.251E-03
Y92,4.837E-22,1.599E-01,5.907E-22,1.646E-01,0.000E+00,1.900E-01,0.000E+00,1.989E-01,0.000E+00,6.287E-02
Y93,4.837E-22,5.216E-01,5.907E-22,5.152E-01,0.000E+00,5.946E-01,0.000E+00,6.226E-01,0.000E+00,1.968E-01
Y94,4.837E-22,1.623E-02,5.907E-22,1.567E-02,0.000E+00,1.808E-02,0.000E+00,1.894E-02,0.000E+00,5.986E-03
Y95,4.837E-22,9.773E-03,5.907E-22,9.112E-03,0.000E+00,1.051E-02,0.000E+00,1.102E-02,0.000E+00,3.482E-03
Y96,4.837E-22,2.025E-03,5.907E-22,1.887E-03,0.000E+00,2.178E-03,0.000E+00,2.280E-03,0.000E+00,7.208E-04
Y97,4.837E-22,1.434E-05,5.907E-22,1.329E-05,0.000E+00,1.534E-05,0.000E+00,1.605E-05,0.000E+00,5.076E-06
Y98,4.837E-22,2.872E-06,5.907E-22,2.666E-06,0.000E+00,3.076E-06,0.000E+00,3.221E-06,0.000E+00,1.019E-06
Y99,4.837E-22,4.514E-06,5.907E-22,3.854E-06,0.000E+00,4.447E-06,0.000E+00,4.657E-06,0.000E+00,1.472E-06
Y100,4.837E-22,2.082E-06,5.907E-22,1.718E-06,0.000E+00,1.982E-06,0.000E+00,2.076E-06,0.000E+00,6.563E-07
Y101,4.837E-22,9.410E-07,5.907E-22,7.065E-07,0.000E+00,8.151E-07,0.000E+00,8.539E-07,0.000E+00,2.698E-07
Y102,4.837E-22,6.443E-08,5.907E-22,3.647E-08,0.000E+00,4.209E-08,0.000E+00,4.408E-08,0.000E+00,1.393E-08
Y103,4.837E-22,1.238E-08,5.907E-22,4.646E-09,0.000E+00,5.362E-09,0.000E+00,5.615E-09,0.000E+00,1.775E-09
Y104,4.837E-22,4.138E-10,5.907E-22,8.692E-11,0.000E+00,1.002E-10,0.000E+00,1.050E-10,0.000E+00,3.319E-11
Y105,4.837E-22,5.085E-11,5.907E-22,4.791E-11,0.000E+00,5.529E-11,0.000E+00,5.791E-11,0.000E+00,1.830E-11
Y106,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
Y107,4.837E-22,1.458E-14,5.907E-22,1.517E-14,0.000E+00,1.751E-14,0.000E+00,1.833E-14,0.000E+00,5.795E-15
ZR90,4.837E-22,2.314E+02,5.907E-22,1.300E+02,1.742E+02,4.375E+02,4.201E+02,7.816E+02,6.704E+02,2.073E+03
ZR90M,4.837E-22,3.566E-14,5.907E-22,1.375E-15,0.000E+00,1.586E-15,0.000E+00,1.662E-15,0.000E+00,5.280E-16
ZR91,4.837E-22,2.358E+03,5.907E-22,1.422E+03,7.758E+02,2.631E+03,1.457E+03,3.552E+03,2.002E+03,5.424E+03
ZR92,4.837E-22,2.628E+03,5.907E-22,1.576E+03,8.240E+02,2.903E+03,1.565E+03,3.936E+03,2.173E+03,6.024E+03
ZR93,4.837E-22,2.901E+03,5.907E-22,1.705E+03,8.921E+02,3.112E+03,1.678E+03,4.185E+03,2.310E+03,6.308E+03
ZR94,4.837E-22,2.881E+03,5.907E-22,1.678E+03,8.778E+02,3.102E+03,1.671E+03,4.217E+03,2.327E+03,6.490E+03
ZR95,4.837E-22,8.862E+01,5.907E-22,7.810E+01,3.817E-11,9.223E+01,4.645E-11,9.772E+01,5.040E-11,3.139E+01
ZR96,4.837E-22,3.069E+03,5.907E-22,1.722E+03,9.001E+02,3.143E+03,1.693E+03,4.226E+03,2.332E+03,6.362E+03
ZR97,4.837E-22,9.715E-01,5.907E-22,8.420E-01,0.000E+00,9.806E-01,0.000E+00,1.035E+00,0.000E+00,3.335E-01
ZR98,4.837E-22,4.993E-04,5.907E-22,4.290E-04,0.000E+00,4.951E-04,0.000E+00,5.185E-04,0.000E+00,1.639E-04
ZR99,4.837E-22,3.716E-05,5.907E-22,3.119E-05,0.000E+00,3.599E-05,0.000E+00,3.769E-05,0.000E+00,1.192E-05
ZR100,4.837E-22,1.060E-04,5.907E-22,9.183E-05,0.000E+00,1.059E-04,0.000E+00,1.109E-04,0.000E+00,3.507E-05
ZR101,4.837E-22,3.372E-05,5.907E-22,2.964E-05,0.000E+00,3.421E-05,0.000E+00,3.582E-05,0.000E+00,1.133E-05
ZR102,4.837E-22,1.691E-04,5.907E-22,1.310E-04,0.000E+00,1.512E-04,0.000E+00,1.583E-04,0.000E+00,5.004E-05
ZR103,4.837E-22,3.657E-06,5.907E-22,2.303E-06,0.000E+00,2.658E-06,0.000E+00,2.783E-06,0.000E+00,8.799E-07
ZR104,4.837E-22,1.781E-06,5.907E-22,7.763E-07,0.000E+00,8.957E-07,0.000E+00,9.376E-07,0.000E+00,2.964E-07
ZR105,4.837E-22,5.677E-08,5.907E-22,4.840E-08,0.000E+00,5.585E-08,0.000E+00,5.850E-08,0.000E+00,1.850E-08
ZR106,4.837E-22,9.216E-09,5.907E-22,8.899E-09,0.000E+00,1.027E-08,0.000E+00,1.076E-08,0.000E+00,3.400E-09
ZR107,4.837E-22,1.356E-10,5.907E-22,1.411E-10,0.000E+00,1.628E-10,0.000E+00,1.705E-10,0.000E+00,5.390E-11
ZR108,4.837E-22,7.277E-11,5.907E-22,1.082E-11,0.000E+00,1.249E-11,0.000E+00,1.307E-11,0.000E+00,4.133E-12
ZR109,4.837E-22,1.744E-12,5.907E-22,1.818E-14,0.000E+00,2.098E-14,0.000E+00,2.197E-14,0.000E+00,6.944E-15
NB91,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
NB92,4.837E-22,5.662E-10,5.907E-22,3.136E-10,0.000E+00,2.339E-09,0.000E+00,5.839E-09,0.000E+00,7.776E-09
NB93,4.837E-22,8.387E-04,5.907E-22,4.267E-04,1.143E-03,3.022E-03,3.881E-03,7.253E-03,7.554E-03,2.880E-02
NB93M,4.837E-22,4.347E-03,5.907E-22,2.237E-03,3.078E-03,7.320E-03,7.010E-03,1.254E-02,1.070E-02,3.100E-02
NB94,4.837E-22,2.057E-03,5.907E-22,1.814E-04,9.484E-05,4.637E-04,2.498E-04,9.289E-04,5.124E-04,2.866E-03
NB94M,4.837E-22,3.945E-09,5.907E-22,2.753E-10,0.000E+00,3.199E-10,0.000E+00,3.388E-10,0.000E+00,1.138E-10
NB95,4.837E-22,4.892E+01,5.907E-22,4.235E+01,4.655E-11,5.032E+01,5.664E-11,5.347E+01,6.145E-11,1.723E+01
NB95M,4.837E-22,3.590E-02,5.907E-22,3.157E-02,1.598E-14,3.728E-02,1.944E-14,3.951E-02,2.109E-14,1.269E-02
NB96,4.837E-22,3.936E-03,5.907E-22,3.348E-03,0.000E+00,4.145E-03,0.000E+00,4.564E-03,0.000E+00,5.279E-04
NB97,4.837E-22,6.986E-02,5.907E-22,6.077E-02,0.000E+00,7.079E-02,0.000E+00,7.474E-02,0.000E+00,2.405E-02
NB97M,4.837E-22,9.104E-04,5.907E-22,7.893E-04,0.000E+00,9.192E-04,0.000E+00,9.705E-04,0.000E+00,3.126E-04
NB98,4.837E-22,4.555E-05,5.907E-22,3.893E-05,0.000E+00,4.493E-05,0.000E+00,4.705E-05,0.000E+00,1.488E-05
NB98M,4.837E-22,4.356E-04,5.907E-22,1.806E-04,0.000E+00,2.084E-04,0.000E+00,2.182E-04,0.000E+00,6.900E-05
NB99,4.837E-22,2.292E-04,5.907E-22,1.901E-04,0.000E+00,2.194E-04,0.000E+00,2.298E-04,0.000E+00,7.263E-05
NB99M,4.837E-22,8.537E-05,5.907E-22,4.736E-05,0.000E+00,5.465E-05,0.000E+00,5.724E-05,0.000E+00,1.809E-05
NB100,4.837E-22,2.172E-05,5.907E-22,1.802E-05,0.000E+00,2.080E-05,0.000E+00,2.178E-05,0.000E+00,6.885E-06
NB100M,4.837E-22,2.182E-05,5.907E-22,1.810E-05,0.000E+00,2.088E-05,0.000E+00,2.187E-05,0.000E+00,6.915E-06
NB101,4.837E-22,1.105E-04,5.907E-22,8.952E-05,0.000E+00,1.033E-04,0.000E+00,1.082E-04,0.000E+00,3.421E-05
NB102,4.837E-22,4.072E-05,5.907E-22,3.005E-05,0.000E+00,3.467E-05,0.000E+00,3.631E-05,0.000E+00,1.148E-05
NB103,4.837E-22,1.342E-04,5.907E-22,8.751E-05,0.000E+00,1.010E-04,0.000E+00,1.058E-04,0.000E+00,3.345E-05
NB104,4.837E-22,4.110E-06,5.907E-22,2.222E-06,0.000E+00,2.565E-06,0.000E+00,2.686E-06,0.000E+00,8.488E-07
NB105,4.837E-22,2.699E-06,5.907E-22,1.789E-06,0.000E+00,2.065E-06,0.000E+00,2.162E-06,0.000E+00,6.834E-07
NB106,4.837E-22,1.985E-07,5.907E-22,1.416E-07,0.000E+00,1.634E-07,0.000E+00,1.711E-07,0.000E+00,5.407E-08
NB107,4.837E-22,4.814E-08,5.907E-22,4.587E-08,0.000E+00,5.295E-08,0.000E+00,5.544E-08,0.000E+00,1.752E-08
NB108,4.837E-22,5.129E-09,5.907E-22,1.663E-09,0.000E+00,1.919E-09,0.000E+00,2.010E-09,0.000E+00,6.353E-10
NB109,4.837E-22,1.236E-09,5.907E-22,7.899E-11,0.000E+00,9.118E-11,0.000E+00,9.544E-11,0.000E+00,3.017E-11
NB110,4.837E-22,6.128E-11,5.907E-22,1.859E-12,0.000E+00,2.145E-12,0.000E+00,2.246E-12,0.000E+00,7.102E-13
NB111,4.837E-22,6.482E-12,5.907E-22,2.644E-14,0.000E+00,3.051E-14,0.000E+00,3.195E-14,0.000E+00,1.010E-14
NB112,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
MO95,4.837E-22,2.812E+03,5.907E-22,1.560E+03,8.791E+02,2.851E+03,1.613E+03,3.784E+03,2.172E+03,5.632E+03
MO96,4.837E-22,1.684E+02,5.907E-22,8.562E+01,4.478E+01,2.540E+02,1.369E+02,4.592E+02,2.534E+02,1.022E+03
MO97,4.837E-22,2.923E+03,5.907E-22,1.613E+03,8.438E+02,2.888E+03,1.556E+03,3.816E+03,2.106E+03,5.569E+03
MO98,4.837E-22,3.231E+03,5.907E-22,1.743E+03,9.112E+02,3.249E+03,1.751E+03,4.450E+03,2.455E+03,6.923E+03
MO99,4.837E-22,4.135E+00,5.907E-22,3.345E+00,0.000E+00,3.950E+00,0.000E+00,4.219E+00,0.000E+00,1.398E+00
MO100,4.837E-22,3.382E+03,5.907E-22,1.804E+03,9.434E+02,3.280E+03,1.767E+03,4.394E+03,2.425E+03,6.577E+03
MO101,4.837E-22,1.557E-02,5.907E-22,1.179E-02,0.000E+00,1.384E-02,0.000E+00,1.471E-02,0.000E+00,4.807E-03
MO102,4.837E-22,1.068E-02,5.907E-22,7.444E-03,0.000E+00,8.591E-03,0.000E+00,8.995E-03,0.000E+00,2.844E-03
MO103,4.837E-22,8.295E-04,5.907E-22,4.871E-04,0.000E+00,5.623E-04,0.000E+00,5.888E-04,0.000E+00,1.861E-04
MO104,4.837E-22,1.074E-03,5.907E-22,5.268E-04,0.000E+00,6.079E-04,0.000E+00,6.367E-04,0.000E+00,2.013E-04
MO105,4.837E-22,3.713E-04,5.907E-22,1.505E-04,0.000E+00,1.737E-04,0.000E+00,1.819E-04,0.000E+00,5.752E-05
MO106,4.837E-22,3.372E-05,5.907E-22,1.234E-05,0.000E+00,1.424E-05,0.000E+00,1.492E-05,0.000E+00,4.715E-06
MO107,4.837E-22,9.099E-06,5.907E-22,4.848E-06,0.000E+00,5.595E-06,0.000E+00,5.860E-06,0.000E+00,1.852E-06
MO108,4.837E-22,8.174E-07,5.907E-22,3.929E-07,0.000E+00,4.534E-07,0.000E+00,4.748E-07,0.000E+00,1.501E-07
MO109,4.837E-22,2.336E-07,5.907E-22,5.344E-08,0.000E+00,6.168E-08,0.000E+00,6.459E-08,0.000E+00,2.042E-08
MO110,4.837E-22,9.778E-08,5.907E-22,1.376E-08,0.000E+00,1.587E-08,0.000E+00,1.662E-08,0.000E+00,5.254E-09
MO111,4.837E-22,4.328E-09,5.907E-22,1.705E-10,0.000E+00,1.967E-10,0.000E+00,2.059E-10,0.000E+00,6.511E-11
MO112,4.837E-22,1.411E-09,5.907E-22,4.809E-11,0.000E+00,5.550E-11,0.000E+00,5.812E-11,0.000E+00,1.837E-11
MO113,4.837E-22,2.879E-11,5.907E-22,5.242E-13,0.000E+00,6.049E-13,0.000E+00,6.335E-13,0.000E+00,2.003E-13
MO114,4.837E-22,4.839E-12,5.907E-22,7.858E-14,0.000E+00,9.068E-14,0.000E+00,9.504E-14,0.000E+00,3.001E-14
MO115,4.837E-22,1.174E-13,5.907E-22,5.519E-16,0.000E+00,6.372E-16,0.000E+00,6.670E-16,0.000E+00,2.108E-16
TC98,4.837E-22,2.561E-01,5.907E-22,1.244E-01,6.508E-02,3.603E-01,1.941E-01,6.448E-01,3.559E-01,1.414E+00
TC99,4.837E-22,2.909E+03,5.907E-22,1.550E+03,8.116E+02,2.735E+03,1.476E+03,3.572E+03,1.975E+03,5.110E+03
TC99M,4.837E-22,3.302E-01,5.907E-22,2.671E-01,0.000E+00,3.154E-01,0.000E+00,3.368E-01,0.000E+00,1.116E-01
TC100,4.837E-22,5.202E-05,5.907E-22,3.018E-05,0.000E+00,5.566E-05,0.000E+00,7.541E-05,0.000E+00,3.615E-05
TC101,4.837E-22,1.512E-02,5.907E-22,1.145E-02,0.000E+00,1.344E-02,0.000E+00,1.429E-02,0.000E+00,4.668E-03
TC102,4.837E-22,8.479E-05,5.907E-22,5.903E-05,0.000E+00,6.812E-05,0.000E+00,7.133E-05,0.000E+00,2.255E-05
TC102M,4.837E-22,4.399E-06,5.907E-22,1.037E-06,0.000E+00,1.196E-06,0.000E+00,1.253E-06,0.000E+00,3.964E-07
TC103,4.837E-22,7.010E-04,5.907E-22,4.086E-04,0.000E+00,4.716E-04,0.000E+00,4.939E-04,0.000E+00,1.561E-04
TC104,4.837E-22,1.311E-02,5.907E-22,6.225E-03,0.000E+00,7.184E-03,0.000E+00,7.521E-03,0.000E+00,2.377E-03
TC105,4.837E-22,4.010E-03,5.907E-22,1.400E-03,0.000E+00,1.616E-03,0.000E+00,1.692E-03,0.000E+00,5.350E-04
TC106,4.837E-22,2.256E-04,5.907E-22,5.799E-05,0.000E+00,6.694E-05,0.000E+00,7.006E-05,0.000E+00,2.216E-05
TC107,4.837E-22,9.928E-05,5.907E-22,3.038E-05,0.000E+00,3.506E-05,0.000E+00,3.672E-05,0.000E+00,1.161E-05
TC108,4.837E-22,9.201E-06,5.907E-22,3.043E-06,0.000E+00,3.511E-06,0.000E+00,3.678E-06,0.000E+00,1.162E-06
TC109,4.837E-22,5.803E-05,5.907E-22,1.433E-05,0.000E+00,1.653E-05,0.000E+00,1.731E-05,0.000E+00,5.476E-06
TC110,4.837E-22,2.835E-07,5.907E-22,8.958E-08,0.000E+00,1.034E-07,0.000E+00,1.083E-07,0.000E+00,3.423E-08
TC111,4.837E-22,1.928E-07,5.907E-22,4.533E-08,0.000E+00,5.232E-08,0.000E+00,5.479E-08,0.000E+00,1.732E-08
TC112,4.837E-22,1.922E-08,5.907E-22,3.133E-09,0.000E+00,3.616E-09,0.000E+00,3.787E-09,0.000E+00,1.197E-09
TC113,4.837E-22,6.632E-09,5.907E-22,7.136E-10,0.000E+00,8.232E-10,0.000E+00,8.620E-10,0.000E+00,2.725E-10
TC114,4.837E-22,5.745E-10,5.907E-22,4.767E-11,0.000E+00,5.501E-11,0.000E+00,5.761E-11,0.000E+00,1.821E-11
TC115,4.837E-22,1.536E-10,5.907E-22,4.927E-12,0.000E+00,5.686E-12,0.000E+00,5.954E-12,0.000E+00,1.882E-12
TC116,4.837E-22,4.594E-12,5.907E-22,1.526E-13,0.000E+00,1.761E-13,0.000E+00,1.844E-13,0.000E+00,5.830E-14
TC117,4.837E-22,2.596E-13,5.907E-22,2.475E-14,0.000E+00,2.857E-14,0.000E+00,2.992E-14,0.000E+00,9.459E-15
TC118,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
RU99,4.837E-22,3.476E-02,5.907E-22,1.663E-02,2.719E-02,6.000E-02,6.596E-02,1.079E-01,1.045E-01,3.077E-01
RU100,4.837E-22,2.778E+02,5.907E-22,1.350E+02,7.059E+01,3.852E+02,2.076E+02,6.798E+02,3.751E+02,1.457E+03
RU101,4.837E-22,2.883E+03,5.907E-22,1.468E+03,7.677E+02,2.579E+03,1.390E+03,3.353E+03,1.850E+03,4.765E+03
RU102,4.837E-22,3.056E+03,5.907E-22,1.454E+03,7.597E+02,2.758E+03,1.486E+03,3.828E+03,2.113E+03,6.071E+03
RU103,4.837E-22,5.226E+01,5.907E-22,2.936E+01,3.893E-19,3.639E+01,5.041E-19,4.024E+01,5.679E-19,1.436E+01
RU104,4.837E-22,1.841E+03,5.907E-22,6.787E+02,3.548E+02,1.227E+03,6.612E+02,1.636E+03,9.026E+02,2.419E+03
RU105,4.837E-22,1.445E-01,5.907E-22,5.050E-02,0.000E+00,6.112E-02,0.000E+00,6.646E-02,0.000E+00,2.282E-02
RU106,4.837E-22,1.954E+02,5.907E-22,4.441E+01,1.886E-01,5.461E+01,2.389E-01,5.894E+01,2.641E-01,1.935E+01
RU107,4.837E-22,1.110E-03,5.907E-22,2.714E-04,0.000E+00,3.135E-04,0.000E+00,3.285E-04,0.000E+00,1.032E-04
RU108,4.837E-22,8.115E-04,5.907E-22,1.775E-04,0.000E+00,2.048E-04,0.000E+00,2.145E-04,0.000E+00,6.784E-05
RU109,4.837E-22,7.747E-05,5.907E-22,1.601E-05,0.000E+00,1.847E-05,0.000E+00,1.935E-05,0.000E+00,6.119E-06
RU110,4.837E-22,1.660E-05,5.907E-22,5.308E-06,0.000E+00,6.125E-06,0.000E+00,6.415E-06,0.000E+00,2.028E-06
RU111,4.837E-22,9.584E-06,5.907E-22,3.601E-06,0.000E+00,4.157E-06,0.000E+00,4.353E-06,0.000E+00,1.376E-06
RU112,4.837E-22,2.519E-07,5.907E-22,1.048E-07,0.000E+00,1.210E-07,0.000E+00,1.267E-07,0.000E+00,4.004E-08
RU113,4.837E-22,6.162E-07,5.907E-22,2.394E-07,0.000E+00,2.762E-07,0.000E+00,2.893E-07,0.000E+00,9.147E-08
RU114,4.837E-22,5.434E-07,5.907E-22,1.696E-07,0.000E+00,1.957E-07,0.000E+00,2.050E-07,0.000E+00,6.480E-08
RU115,4.837E-22,3.568E-08,5.907E-22,6.325E-09,0.000E+00,7.302E-09,0.000E+00,7.642E-09,0.000E+00,2.416E-09
RU116,4.837E-22,1.529E-08,5.907E-22,2.152E-09,0.000E+00,2.483E-09,0.000E+00,2.601E-09,0.000E+00,8.221E-10
RU117,4.837E-22,6.011E-10,5.907E-22,2.428E-10,0.000E+00,2.802E-10,0.000E+00,2.935E-10,0.000E+00,9.273E-11
RU118,4.837E-22,6.302E-09,5.907E-22,1.241E-11,0.000E+00,1.432E-11,0.000E+00,1.500E-11,0.000E+00,4.741E-12
RU119,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
RU120,4.837E-22,6.404E-13,5.907E-22,1.404E-14,0.000E+00,1.621E-14,0.000E+00,1.697E-14,0.000E+00,5.365E-15
RH102,4.837E-22,3.920E-02,5.907E-22,1.630E-02,1.599E-03,3.598E-02,3.637E-03,5.292E-02,5.481E-03,4.265E-02
RH103,4.837E-22,2.055E+03,5.907E-22,8.751E+02,4.730E+02,1.542E+03,8.507E+02,2.005E+03,1.129E+03,2.876E+03
RH103M,4.837E-22,4.669E-02,5.907E-22,2.624E-02,0.000E+00,3.252E-02,0.000E+00,3.596E-02,0.000E+00,1.283E-02
RH104,4.837E-22,1.735E-04,5.907E-22,8.053E-05,0.000E+00,1.481E-04,0.000E+00,1.998E-04,0.000E+00,9.607E-05
RH104M,4.837E-22,1.713E-04,5.907E-22,7.947E-05,0.000E+00,1.462E-04,0.000E+00,1.973E-04,0.000E+00,9.481E-05
RH105,4.837E-22,1.155E+00,5.907E-22,4.125E-01,0.000E+00,4.985E-01,0.000E+00,5.414E-01,0.000E+00,1.860E-01
RH105M,4.837E-22,1.140E-04,5.907E-22,3.982E-05,0.000E+00,4.819E-05,0.000E+00,5.240E-05,0.000E+00,1.800E-05
RH106,4.837E-22,1.838E-04,5.907E-22,4.177E-05,1.772E-07,5.136E-05,2.246E-07,5.544E-05,2.483E-07,1.819E-05
RH106M,4.837E-22,1.769E-04,5.907E-22,6.562E-05,0.000E+00,8.281E-05,0.000E+00,9.330E-05,0.000E+00,1.074E-05
RH107,4.837E-22,5.759E-03,5.907E-22,1.402E-03,0.000E+00,1.620E-03,0.000E+00,1.697E-03,0.000E+00,5.334E-04
RH108,4.837E-22,5.100E-05,5.907E-22,1.105E-05,0.000E+00,1.275E-05,0.000E+00,1.335E-05,0.000E+00,4.222E-06
RH108M,4.837E-22,1.097E-05,5.907E-22,9.207E-08,0.000E+00,1.064E-07,0.000E+00,1.118E-07,0.000E+00,3.614E-08
RH109,4.837E-22,2.045E-04,5.907E-22,4.160E-05,0.000E+00,4.801E-05,0.000E+00,5.028E-05,0.000E+00,1.590E-05
RH109M,4.837E-22,5.682E-05,5.907E-22,1.156E-05,0.000E+00,1.334E-05,0.000E+00,1.396E-05,0.000E+00,4.418E-06
