isotope,SNF (g),FP1 (g)
AS88,5.20E-09,0.00E+00
AS89,1.56E-11,0.00E+00
AS90,8.13E-13,0.00E+00
AS91,1.75E-14,0.00E+00
AS92,6.94E-16,0.00E+00
SE72,2.53E-27,9.55E-21
SE73,5.51E-19,2.08E-12
SE73M,1.03E-20,3.90E-14
SE74,8.17E-13,3.08E-06
SE75,1.02E-13,3.87E-07
SE76,2.06E-06,7.77E+00
SE77,1.31E-05,4.94E+01
SE77M,8.75E-12,3.30E-05
SE78,8.55E-05,3.22E+02
SE79,2.41E-04,9.11E+02
SE79M,2.98E-07,1.12E+00
SE80,4.08E-04,1.54E+03
SE81,4.01E-06,1.51E+01
SE81M,7.87E-07,2.97E+00
SE82,1.05E-03,3.97E+03
SE83,1.20E-05,4.53E+01
SE83M,6.53E-08,2.46E-01
SE84,2.83E-06,1.07E+01
SE85,4.18E-07,1.58E+00
SE86,1.44E-07,5.45E-01
SE87,2.27E-08,8.55E-02
SE88,2.28E-09,8.61E-03
SE89,1.03E-10,3.90E-04
SE90,1.26E-11,4.74E-05
SE91,3.74E-13,1.41E-06
SE92,1.72E-14,6.50E-08
SE93,8.67E-15,3.27E-08
SE94,8.02E-18,3.02E-11
BR75,2.19E-20,8.27E-14
BR77,1.27E-14,4.81E-08
BR77M,2.11E-17,7.96E-11
BR78,3.76E-15,1.42E-08
BR79,1.22E-03,4.51E-01
BR79M,4.90E-15,1.85E-08
BR80,1.19E-10,4.51E-04
BR80M,1.18E-09,4.43E-03
BR81,6.30E+00,2.33E+03
BR82,3.99E-06,1.51E+01
BR82M,1.26E-08,4.75E-02
BR83,8.65E-05,3.26E+02
BR84,3.06E-05,1.15E+02
BR84M,5.04E-07,1.90E+00
BR85,3.85E-06,1.45E+01
BR86,1.30E-06,4.91E+00
BR87,1.26E-06,4.74E+00
BR88,2.39E-07,9.00E-01
BR89,3.26E-08,1.23E-01
BR90,5.59E-09,2.11E-02
BR91,3.90E-10,1.47E-03
BR92,3.20E-11,1.21E-04
BR93,9.82E-12,3.71E-05
BR94,3.52E-14,1.33E-07
BR95,5.46E-16,2.06E-09
BR96,8.68E-17,3.28E-10
BR97,2.36E-18,8.90E-12
KR77,3.45E-27,1.30E-20
KR78,2.07E-16,7.81E-10
KR79,6.80E-15,2.57E-08
KR79M,1.78E-18,6.71E-12
KR80,1.75E-08,6.59E-02
KR81,1.50E-10,5.68E-04
KR81M,1.79E-15,6.74E-09
KR82,3.58E-06,1.35E+01
KR83,1.68E-03,6.33E+03
KR83M,6.52E-05,2.46E+02
KR84,3.11E-03,1.17E+04
KR85,1.08E-03,4.08E+03
KR85M,3.45E-04,1.30E+03
KR86,5.37E-03,2.03E+04
KR87,1.93E-04,7.26E+02
KR88,5.64E-04,2.13E+03
KR89,1.09E-05,4.11E+01
KR90,1.52E-06,5.73E+00
KR91,2.00E-07,7.55E-01
KR92,1.76E-08,6.63E-02
KR93,2.69E-09,1.02E-02
KR94,8.15E-11,3.07E-04
KR95,1.79E-12,6.76E-06
KR96,2.39E-12,9.03E-06
KR97,1.20E-14,4.53E-08
KR98,6.00E-14,2.27E-07
KR99,1.15E-17,4.33E-11
KR100,4.52E-17,1.70E-10
RB81,3.34E-14,0.00E+00
RB83,1.94E-08,0.00E+00
RB84,3.56E-06,0.00E+00
RB85,8.02E+02,0.00E+00
RB86,6.69E-01,0.00E+00
RB86M,3.23E-06,0.00E+00
RB87,2.25E+03,0.00E+00
RB88,3.39E-02,0.00E+00
RB89,3.31E-02,0.00E+00
RB90,4.41E-03,0.00E+00
RB90M,2.79E-03,0.00E+00
RB91,1.91E-03,0.00E+00
RB92,1.04E-04,0.00E+00
RB93,7.63E-05,0.00E+00
RB94,1.18E-05,0.00E+00
RB95,6.19E-07,0.00E+00
RB96,5.90E-08,0.00E+00
RB97,1.20E-08,0.00E+00
RB98,1.37E-08,0.00E+00
RB99,1.36E-11,0.00E+00
RB100,7.13E-10,0.00E+00
RB101,2.90E-14,0.00E+00
RB102,1.40E-15,0.00E+00
SR83,6.24E-14,0.00E+00
SR84,2.19E-06,0.00E+00
SR85,1.12E-07,0.00E+00
SR85M,6.32E-10,0.00E+00
SR86,3.60E+01,0.00E+00
SR87,7.52E-01,0.00E+00
SR87M,1.24E-04,0.00E+00
SR88,3.12E+03,0.00E+00
SR89,1.55E+02,0.00E+00
SR90,3.75E+03,0.00E+00
SR91,1.35E+00,0.00E+00
SR92,3.74E-01,0.00E+00
SR93,1.78E-02,0.00E+00
SR94,2.57E-03,0.00E+00
SR95,5.43E-04,0.00E+00
SR96,1.34E-05,0.00E+00
SR97,2.02E-06,0.00E+00
SR98,1.18E-06,0.00E+00
SR99,5.98E-08,0.00E+00
SR100,7.66E-09,0.00E+00
SR101,3.95E-10,0.00E+00
SR102,1.03E-11,0.00E+00
SR103,1.01E-12,0.00E+00
SR104,1.74E-14,0.00E+00
SR105,2.28E-15,0.00E+00
Y85,8.87E-16,0.00E+00
Y87,1.04E-09,0.00E+00
Y87M,1.79E-14,0.00E+00
Y88,1.05E-05,0.00E+00
Y89,3.54E+03,0.00E+00
Y89M,1.06E-06,0.00E+00
Y90,1.13E+00,0.00E+00
Y90M,2.12E-05,0.00E+00
Y91,1.55E+02,0.00E+00
Y91M,6.80E-02,0.00E+00
Y92,5.10E-01,0.00E+00
Y93,1.55E+00,0.00E+00
Y93M,2.94E-06,0.00E+00
Y94,4.71E-02,0.00E+00
Y95,2.36E-02,0.00E+00
Y96,7.62E-05,0.00E+00
Y96M,1.51E-04,0.00E+00
Y97,4.93E-05,0.00E+00
Y97M,9.81E-06,0.00E+00
Y98,3.91E-06,0.00E+00
Y98M,8.86E-06,0.00E+00
Y99,7.99E-06,0.00E+00
Y100,8.13E-07,0.00E+00
Y101,2.06E-07,0.00E+00
Y102,4.36E-08,0.00E+00
Y103,1.08E-09,0.00E+00
Y104,5.47E-11,0.00E+00
Y105,1.09E-12,0.00E+00
Y106,2.21E-13,0.00E+00
Y107,2.31E-15,0.00E+00
Y108,6.20E-16,0.00E+00
ZR87,1.95E-19,7.35E-13
ZR88,3.92E-15,1.48E-08
ZR89,9.89E-11,3.73E-04
ZR89M,2.08E-14,7.85E-08
ZR90,5.18E+01,5.51E+03
ZR90M,8.45E-13,3.19E-06
ZR91,3.23E+02,3.42E+04
ZR92,3.76E+02,3.97E+04
ZR93,3.61E+02,3.81E+04
ZR94,4.55E+02,4.81E+04
ZR95,1.45E+02,1.53E+04
ZR96,3.89E+02,4.11E+04
ZR97,3.80E-03,1.43E+04
ZR98,1.87E-06,7.07E+00
ZR99,1.07E-07,4.02E-01
ZR100,3.01E-07,1.13E+00
ZR101,4.31E-08,1.63E-01
ZR102,2.58E-08,9.75E-02
ZR103,2.64E-09,9.94E-03
ZR104,3.43E-10,1.29E-03
ZR105,6.98E-11,2.63E-04
ZR106,2.63E-13,9.91E-07
ZR107,1.39E-14,5.25E-08
ZR108,2.80E-15,1.06E-08
ZR109,4.94E-16,1.86E-09
ZR110,1.06E-17,4.01E-11
NB89,1.18E-20,4.46E-14
NB90,1.33E-17,5.00E-11
NB91,3.66E-14,1.38E-07
NB91M,8.56E-21,3.23E-14
NB92,3.71E-12,1.40E-05
NB92M,2.18E-17,8.20E-11
NB93,3.22E-10,1.22E-03
NB93M,2.52E-09,9.50E-03
NB94,1.05E-08,3.97E-02
NB94M,9.40E-12,3.54E-05
NB95,8.54E-03,3.22E+04
NB95M,7.29E-05,2.75E+02
NB96,6.00E-06,2.26E+01
