isotope,SNF (g),FP1 (g)
TE131,6.49E-05,2.45E+02
TE131M,1.51E-03,5.69E+03
TE132,1.03E-02,3.87E+04
TE133,3.41E-05,1.28E+02
TE133M,1.68E-04,6.35E+02
TE134,1.77E-04,6.67E+02
TE135,5.86E-07,2.21E+00
TE136,2.31E-07,8.72E-01
TE137,4.84E-09,1.83E-02
TE138,6.30E-10,2.38E-03
TE139,9.93E-12,3.74E-05
TE140,6.30E-12,2.38E-05
TE141,9.91E-14,3.74E-07
TE142,1.73E-15,6.54E-09
I121,1.84E-20,6.93E-14
I123,9.76E-16,3.68E-09
I124,4.00E-18,1.51E-11
I125,5.10E-16,1.92E-09
I126,6.36E-11,2.40E-04
I127,2.05E+00,7.56E+02
I128,5.58E-08,2.10E-01
I129,4.03E+01,1.49E+04
I130,9.73E-03,3.60E+00
I130M,1.43E-07,5.41E-01
I131,1.47E+01,5.42E+03
I132,3.21E-04,1.21E+03
I132M,7.53E-06,2.84E+01
I133,6.60E-03,2.49E+04
I133M,5.04E-08,1.90E-01
I134,3.27E-04,1.23E+03
I134M,2.99E-06,1.13E+01
I135,1.03E+00,3.82E+02
I136,2.67E-06,1.01E+01
I136M,8.86E-07,3.34E+00
I137,7.24E-07,2.73E+00
I138,7.36E-08,2.78E-01
I139,1.04E-08,3.93E-02
I140,5.41E-10,2.04E-03
I141,4.24E-11,1.60E-04
I142,2.37E-12,8.92E-06
I143,2.29E-13,8.62E-07
I144,2.82E-15,1.07E-08
XE124,1.29E-22,0.00E+00
XE125,4.90E-21,1.85E-14
XE125M,2.19E-24,8.25E-18
XE126,2.65E-12,9.98E-06
XE127,4.31E-14,1.63E-07
XE127M,5.80E-18,2.19E-11
XE128,5.95E-06,2.25E+01
XE129,7.12E-10,2.68E-03
XE129M,8.61E-11,3.25E-04
XE130,8.30E-05,3.13E+02
XE131,7.13E-03,2.69E+04
XE131M,7.80E-05,2.94E+02
XE132,4.01E-03,1.51E+04
XE133,9.35E-03,3.53E+04
XE133M,1.54E-04,5.82E+02
XE134,1.87E-02,7.06E+04
XE134M,6.75E-10,2.55E-03
XE135,2.74E-04,1.03E+03
XE135M,1.96E-05,7.39E+01
XE136,3.83E-02,1.45E+05
XE137,2.36E-05,8.90E+01
XE138,7.26E-05,2.74E+02
XE139,2.23E-06,8.40E+00
XE140,4.14E-07,1.56E+00
XE141,1.27E-08,4.80E-02
XE142,2.72E-09,1.02E-02
XE143,1.01E-10,3.82E-04
XE144,1.54E-11,5.81E-05
XE145,5.49E-13,2.07E-06
XE146,2.41E-14,9.11E-08
XE147,3.49E-16,1.32E-09
CS127,9.23E-31,0.00E+00
CS129,4.05E-15,0.00E+00
CS131,2.14E-09,0.00E+00
CS132,2.37E-06,0.00E+00
CS133,1.42E+02,0.00E+00
CS134,6.54E+01,0.00E+00
CS134M,3.18E-03,0.00E+00
CS135,4.54E+02,0.00E+00
CS135M,1.70E-04,0.00E+00
CS136,2.50E+00,0.00E+00
CS136M,1.10E-05,0.00E+00
CS137,5.69E+03,0.00E+00
CS138,1.08E-01,0.00E+00
CS138M,1.07E-03,0.00E+00
CS139,2.98E-02,0.00E+00
CS140,2.72E-03,0.00E+00
CS141,8.64E-04,0.00E+00
CS142,2.32E-05,0.00E+00
CS143,8.48E-06,0.00E+00
CS144,1.32E-06,0.00E+00
CS145,1.87E-07,0.00E+00
CS146,9.72E-09,0.00E+00
CS147,5.16E-10,0.00E+00
CS148,1.86E-11,0.00E+00
CS149,2.72E-13,0.00E+00
CS150,4.85E-15,0.00E+00
CS151,6.46E-16,0.00E+00
BA129,1.15E-31,0.00E+00
BA131,2.36E-15,0.00E+00
BA132,7.53E-09,0.00E+00
BA133,8.25E-07,0.00E+00
BA134,8.73E+01,0.00E+00
BA135,6.78E+00,0.00E+00
BA135M,7.46E-04,0.00E+00
BA136,2.61E+02,0.00E+00
BA136M,8.10E-08,0.00E+00
BA137,5.20E+02,0.00E+00
BA137M,8.74E-04,0.00E+00
BA138,5.55E+03,0.00E+00
BA139,2.93E-01,0.00E+00
BA140,6.50E+01,0.00E+00
BA141,6.49E-02,0.00E+00
BA142,3.72E-02,0.00E+00
BA143,5.77E-04,0.00E+00
BA144,3.72E-04,0.00E+00
BA145,5.21E-05,0.00E+00
BA146,8.65E-06,0.00E+00
BA147,5.33E-07,0.00E+00
BA148,4.44E-08,0.00E+00
BA149,1.63E-09,0.00E+00
BA150,7.68E-11,0.00E+00
BA151,5.34E-12,0.00E+00
BA152,1.15E-14,0.00E+00
BA153,9.55E-17,0.00E+00
LA133,3.96E-17,0.00E+00
LA135,4.57E-11,0.00E+00
LA137,1.26E-06,0.00E+00
LA138,1.47E-04,0.00E+00
LA139,5.02E+03,0.00E+00
LA140,9.87E+00,0.00E+00
LA141,8.38E-01,0.00E+00
LA142,3.42E-01,0.00E+00
LA143,4.82E-02,0.00E+00
LA144,1.81E-03,0.00E+00
LA145,7.24E-04,0.00E+00
LA146,5.85E-05,0.00E+00
LA146M,5.43E-05,0.00E+00
LA147,2.39E-05,0.00E+00
LA148,1.95E-06,0.00E+00
LA149,3.76E-07,0.00E+00
LA150,2.11E-08,0.00E+00
LA151,3.40E-09,0.00E+00
LA152,7.73E-11,0.00E+00
LA153,1.87E-12,0.00E+00
LA154,7.07E-15,0.00E+00
LA155,6.50E-17,0.00E+00
CE135,7.63E-20,0.00E+00
CE137,6.00E-12,0.00E+00
CE138,5.44E-09,0.00E+00
CE139,1.50E-04,0.00E+00
CE139M,1.59E-08,0.00E+00
CE140,6.80E+03,0.00E+00
CE141,1.49E+02,0.00E+00
CE142,6.29E+03,0.00E+00
CE143,6.85E+00,0.00E+00
CE144,9.19E+02,0.00E+00
CE145,6.12E-03,0.00E+00
CE146,2.05E-02,0.00E+00
CE147,9.28E-04,0.00E+00
CE148,6.49E-04,0.00E+00
CE149,2.74E-05,0.00E+00
CE150,8.76E-06,0.00E+00
CE151,4.63E-07,0.00E+00
CE152,1.09E-07,0.00E+00
CE153,5.13E-09,0.00E+00
CE154,2.10E-10,0.00E+00
CE155,3.68E-12,0.00E+00
CE156,3.75E-14,0.00E+00
CE157,1.87E-16,0.00E+00
PR139,4.89E-13,0.00E+00
PR140,6.65E-08,0.00E+00
PR141,4.41E+03,0.00E+00
PR142,7.54E-01,0.00E+00
PR142M,3.35E-03,0.00E+00
PR143,6.55E+01,0.00E+00
PR144,4.00E-02,0.00E+00
PR144M,5.21E-04,0.00E+00
PR145,7.28E-01,0.00E+00
PR146,3.69E-02,0.00E+00
PR147,1.40E-02,0.00E+00
PR148,1.69E-03,0.00E+00
PR148M,8.69E-05,0.00E+00
PR149,1.04E-03,0.00E+00
PR150,2.71E-05,0.00E+00
PR151,4.00E-05,0.00E+00
PR152,2.43E-06,0.00E+00
PR153,7.11E-07,0.00E+00
PR154,4.44E-08,0.00E+00
PR155,1.94E-09,0.00E+00
PR156,1.11E-10,0.00E+00
PR157,2.25E-12,0.00E+00
PR158,3.48E-14,0.00E+00
PR159,4.39E-16,0.00E+00
ND140,7.54E-13,0.00E+00
ND141,4.74E-07,0.00E+00
ND142,8.21E+02,0.00E+00
ND143,1.00E+03,0.00E+00
ND144,8.24E+03,0.00E+00
ND145,1.34E+03,0.00E+00
ND146,4.67E+03,0.00E+00
ND147,1.66E+01,0.00E+00
ND148,1.33E+03,0.00E+00
ND149,5.92E-02,0.00E+00
ND150,4.83E+02,0.00E+00
ND151,2.76E-03,0.00E+00
ND152,1.45E-03,0.00E+00
ND153,2.99E-05,0.00E+00
ND154,9.37E-06,0.00E+00
ND155,7.96E-07,0.00E+00
ND156,1.28E-07,0.00E+00
ND157,4.67E-09,0.00E+00
ND158,2.13E-10,0.00E+00
ND159,5.19E-12,0.00E+00
ND160,8.35E-14,0.00E+00
ND161,1.27E-15,0.00E+00
PM143,6.16E-15,0.00E+00
PM144,6.90E-13,0.00E+00
PM145,1.28E-08,0.00E+00
PM146,7.34E-06,0.00E+00
PM147,1.37E+02,0.00E+00
PM148,3.09E+00,0.00E+00
PM148M,7.40E-01,0.00E+00
PM149,2.43E+00,0.00E+00
PM150,6.07E-03,0.00E+00
PM151,3.74E-01,0.00E+00
PM152,5.36E-04,0.00E+00
PM152M,3.28E-05,0.00E+00
PM153,3.42E-04,0.00E+00
PM154,6.79E-05,0.00E+00
PM154M,6.26E-06,0.00E+00
PM155,8.37E-06,0.00E+00
PM156,2.20E-06,0.00E+00
PM157,2.71E-07,0.00E+00
PM158,1.55E-08,0.00E+00
PM159,8.34E-10,0.00E+00
PM160,8.53E-11,0.00E+00
PM161,2.16E-12,0.00E+00
PM162,3.00E-14,0.00E+00
PM163,7.13E-16,0.00E+00
SM143,3.08E-23,0.00E+00
SM143M,1.60E-24,0.00E+00
SM144,1.50E-12,0.00E+00
SM145,1.30E-10,0.00E+00
SM146,3.09E-06,0.00E+00
SM147,3.16E+01,0.00E+00
SM148,6.80E+02,0.00E+00
SM149,1.20E+00,0.00E+00
SM150,3.99E+02,0.00E+00
SM151,1.21E+01,0.00E+00
SM152,1.05E+02,0.00E+00
SM153,2.71E+00,0.00E+00
SM154,9.43E+01,0.00E+00
SM155,6.90E-04,0.00E+00
SM156,4.50E-03,0.00E+00
SM157,3.08E-05,0.00E+00
SM158,6.55E-06,0.00E+00
SM159,7.75E-08,0.00E+00
SM160,1.67E-08,0.00E+00
SM161,1.21E-09,0.00E+00
SM162,2.00E-11,0.00E+00
SM163,8.65E-13,0.00E+00
SM164,2.96E-14,0.00E+00
SM165,6.36E-16,0.00E+00
EU147,1.29E-19,0.00E+00
EU149,3.73E-13,0.00E+00
EU151,2.74E-03,0.00E+00
EU152,2.81E-03,0.00E+00
EU152M,3.84E-05,0.00E+00
EU153,1.46E+02,0.00E+00
EU154,2.82E+01,0.00E+00
EU154M,6.69E-04,0.00E+00
EU155,9.03E+00,0.00E+00
EU156,1.81E+01,0.00E+00
EU157,7.59E-02,0.00E+00
EU158,7.43E-05,0.00E+00
EU159,1.02E-05,0.00E+00
EU160,1.18E-07,0.00E+00
EU161,2.47E-08,0.00E+00
EU162,6.62E-10,0.00E+00
EU163,9.68E-11,0.00E+00
EU164,3.70E-12,0.00E+00
EU165,2.55E-13,0.00E+00
EU166,1.02E-14,0.00E+00
EU167,3.98E-16,0.00E+00
GD147,3.46E-33,0.00E+00
GD149,1.31E-20,0.00E+00
GD151,1.80E-10,0.00E+00
GD152,5.43E-03,0.00E+00
GD153,8.64E-05,0.00E+00
GD153M,2.44E-28,0.00E+00
GD154,3.53E+00,0.00E+00
GD155,3.76E-02,0.00E+00
GD155M,1.01E-13,0.00E+00
GD156,8.95E+02,0.00E+00
GD157,4.44E-01,0.00E+00
GD158,4.75E+02,0.00E+00
GD159,9.41E-02,0.00E+00
GD160,4.43E-01,0.00E+00
GD161,3.52E-07,0.00E+00
GD162,7.82E-08,0.00E+00
GD163,4.52E-09,0.00E+00
GD164,9.13E-10,0.00E+00
GD165,4.84E-11,0.00E+00
GD166,9.94E-12,0.00E+00
GD167,3.29E-13,0.00E+00
GD168,3.98E-15,0.00E+00
GD169,1.48E-15,0.00E+00
TB151,7.93E-29,0.00E+00
TB153,4.31E-16,0.00E+00
TB155,9.91E-13,0.00E+00
TB156,2.82E-11,0.00E+00
TB156M,9.55E-13,0.00E+00
TB157,1.62E-09,0.00E+00
TB158,1.72E-06,0.00E+00
TB158M,3.13E-11,0.00E+00
TB159,2.96E+01,0.00E+00
TB160,1.73E+00,0.00E+00
TB161,5.61E-02,0.00E+00
TB162,1.59E-06,0.00E+00
TB163,8.70E-08,0.00E+00
TB164,4.70E-09,0.00E+00
TB165,1.16E-09,0.00E+00
TB166,8.27E-11,0.00E+00
TB167,1.34E-11,0.00E+00
TB168,1.02E-12,0.00E+00
TB169,5.60E-14,0.00E+00
TB170,1.27E-14,0.00E+00
TB171,3.03E-16,0.00E+00
DY155,4.21E-20,0.00E+00
DY156,2.08E-15,0.00E+00
DY157,1.37E-14,0.00E+00
DY158,3.16E-09,0.00E+00
DY159,1.37E-07,0.00E+00
DY160,4.11E+00,0.00E+00
DY161,2.08E+00,0.00E+00
DY162,1.78E+00,0.00E+00
DY163,2.62E+00,0.00E+00
DY164,5.81E-01,0.00E+00
DY165,1.62E-03,0.00E+00
DY165M,9.39E-06,0.00E+00
DY166,3.04E-04,0.00E+00
DY167,8.74E-10,0.00E+00
DY168,3.64E-10,0.00E+00
DY169,9.56E-12,0.00E+00
DY170,2.27E-12,0.00E+00
DY171,8.75E-14,0.00E+00
DY172,7.71E-15,0.00E+00
HO159,2.80E-17,0.00E+00
HO159M,1.52E-20,0.00E+00
HO161,7.46E-14,0.00E+00
HO161M,7.34E-18,0.00E+00
HO162,7.16E-14,0.00E+00
HO162M,3.05E-13,0.00E+00
HO163,2.46E-10,0.00E+00
HO163M,2.28E-16,0.00E+00
HO164,2.16E-09,0.00E+00
HO164M,1.27E-09,0.00E+00
HO165,3.54E+00,0.00E+00
HO166,1.08E-02,0.00E+00
HO166M,1.10E-03,0.00E+00
HO167,2.33E-05,0.00E+00
HO168,1.63E-10,0.00E+00
HO169,1.36E-10,0.00E+00
HO170,2.51E-11,0.00E+00
HO170M,3.26E-12,0.00E+00
HO171,5.10E-12,0.00E+00
HO172,6.84E-13,0.00E+00
ER161,1.95E-20,0.00E+00
ER162,4.49E-15,0.00E+00
ER163,2.80E-15,0.00E+00
ER164,8.76E-08,0.00E+00
ER165,3.01E-08,0.00E+00
ER166,3.07E+00,0.00E+00
ER167,4.61E-02,0.00E+00
ER167M,3.79E-08,0.00E+00
ER168,4.01E-03,0.00E+00
ER169,8.94E-07,0.00E+00
ER170,6.08E-08,0.00E+00
ER171,5.66E-09,0.00E+00
ER172,1.43E-08,0.00E+00
TM165,2.26E-15,0.00E+00
TM166,1.38E-14,0.00E+00
TM167,1.49E-12,0.00E+00
TM168,1.36E-11,0.00E+00
TM169,7.04E-08,0.00E+00
TM170,7.65E-10,0.00E+00
TM171,3.33E-08,0.00E+00
TM172,8.51E-09,0.00E+00
TM173,1.15E-24,0.00E+00
YB166,1.90E-27,0.00E+00
YB167,1.46E-22,0.00E+00
YB168,6.57E-15,0.00E+00
YB169,1.30E-13,0.00E+00
YB169M,4.93E-18,0.00E+00
YB170,7.13E-12,0.00E+00
YB171,6.07E-11,0.00E+00
YB172,2.95E-09,0.00E+00
YB173,9.04E-24,0.00E+00
YB174,1.17E-22,0.00E+00
YB175,1.92E-20,0.00E+00
YB176,5.92E-18,0.00E+00
YB177,1.52E-23,0.00E+00
LU169,2.77E-27,0.00E+00
LU169M,4.02E-30,0.00E+00
LU171,5.78E-15,0.00E+00
LU171M,1.45E-18,0.00E+00
LU172,7.74E-14,0.00E+00
LU172M,5.74E-17,0.00E+00
LU173,2.73E-22,0.00E+00
LU174,1.11E-19,0.00E+00
LU174M,4.72E-20,0.00E+00
LU175,1.81E-12,0.00E+00
LU176,1.49E-12,0.00E+00
LU176M,4.91E-16,0.00E+00
LU177,2.87E-13,0.00E+00
LU177M,3.51E-16,0.00E+00
HF173,1.92E-34,0.00E+00
HF174,1.56E-27,0.00E+00
HF175,1.77E-22,0.00E+00
HF176,6.19E-15,0.00E+00
HF177,4.89E-14,0.00E+00
HF178,1.14E-15,0.00E+00
HF178M,1.25E-25,0.00E+00
HF179,5.07E-18,0.00E+00
HF179M,1.27E-21,0.00E+00
HF180,8.94E-20,0.00E+00
HF180M,1.83E-23,0.00E+00
HF181,3.78E-21,0.00E+00
HF182,1.78E-23,0.00E+00
TA177,1.41E-33,0.00E+00
TA179,2.19E-22,0.00E+00
TA180,1.89E-20,0.00E+00
TA180M,7.35E-20,0.00E+00
TA181,1.87E-12,0.00E+00
TA182,7.93E-15,0.00E+00
TA182M,6.63E-25,0.00E+00
TA183,3.21E-15,0.00E+00
W178,2.87E-32,0.00E+00
W180,1.37E-20,0.00E+00
W181,1.15E-19,0.00E+00
W182,1.89E-12,0.00E+00
W183,2.70E-12,0.00E+00
W183M,3.70E-20,0.00E+00
W184,1.37E-11,0.00E+00
W185,2.81E-15,0.00E+00
W185M,3.06E-21,0.00E+00
W186,1.93E-12,0.00E+00
W187,3.92E-15,0.00E+00
W188,3.49E-17,0.00E+00
W189,6.22E-23,0.00E+00
RE181,5.40E-35,0.00E+00
RE182,5.78E-31,0.00E+00
RE182M,2.92E-31,0.00E+00
RE183,5.07E-23,0.00E+00
RE184,8.90E-20,0.00E+00
RE184M,2.82E-20,0.00E+00
RE185,1.90E-12,0.00E+00
RE186,2.35E-14,0.00E+00
RE186M,4.57E-17,0.00E+00
RE187,1.95E-12,0.00E+00
RE188,2.72E-15,0.00E+00
RE188M,1.41E-18,0.00E+00
RE189,1.76E-18,0.00E+00
OS184,2.58E-27,0.00E+00
OS185,1.23E-22,0.00E+00
OS186,6.66E-15,0.00E+00
OS187,9.18E-18,0.00E+00
OS188,5.71E-15,0.00E+00
OS189,5.00E-18,0.00E+00
OS189M,2.55E-19,0.00E+00
OS190,1.07E-20,0.00E+00
OS190M,3.01E-28,0.00E+00
OS191,7.57E-25,0.00E+00
OS191M,5.17E-25,0.00E+00
OS192,1.68E-27,0.00E+00
OS193,2.63E-32,0.00E+00
OS194,9.37E-34,0.00E+00
IR191,1.71E-26,0.00E+00
IR191M,2.81E-30,0.00E+00
IR192,1.36E-28,0.00E+00
IR192M,3.38E-31,0.00E+00
IR193,4.75E-26,0.00E+00
IR193M,3.94E-26,0.00E+00
IR194,5.68E-24,0.00E+00
IR194M,1.14E-31,0.00E+00
IR196,1.88E-30,0.00E+00
IR196M,3.59E-28,0.00E+00
PT192,4.78E-31,0.00E+00
PT193,1.10E-31,0.00E+00
PT193M,9.18E-32,0.00E+00
PT194,1.03E-23,0.00E+00
PT195,1.19E-24,0.00E+00
PT195M,5.51E-25,0.00E+00
PT196,1.41E-20,0.00E+00
PT197,1.75E-23,0.00E+00
PT197M,1.27E-24,0.00E+00
PT198,3.47E-25,0.00E+00
PT199,1.06E-27,0.00E+00
PT199M,2.41E-30,0.00E+00
PT200,2.07E-32,0.00E+00
AU194,2.04E-31,0.00E+00
AU195,1.65E-23,0.00E+00
AU195M,1.57E-27,0.00E+00
AU196,8.53E-20,0.00E+00
AU197,2.03E-12,0.00E+00
AU198,9.07E-15,0.00E+00
AU198M,1.36E-17,0.00E+00
AU199,1.04E-14,0.00E+00
AU200,7.30E-19,0.00E+00
AU200M,5.42E-21,0.00E+00
HG195,1.84E-30,0.00E+00
HG195M,4.71E-30,0.00E+00
HG196,1.07E-21,0.00E+00
HG197,9.18E-23,0.00E+00
HG197M,3.50E-23,0.00E+00
HG198,4.99E-15,0.00E+00
HG199,2.91E-15,0.00E+00
HG199M,3.87E-22,0.00E+00
HG200,6.22E-17,0.00E+00
HG201,9.18E-22,0.00E+00
HG202,9.20E-26,0.00E+00
HG203,2.21E-30,0.00E+00
HG206,2.24E-23,0.00E+00
TL203,1.38E-32,0.00E+00
TL205,1.81E-25,0.00E+00
TL206,1.92E-22,0.00E+00
TL207,1.89E-15,0.00E+00
TL208,9.75E-11,0.00E+00
TL209,1.97E-16,0.00E+00
TL210,8.97E-22,0.00E+00
PB204,5.59E-31,0.00E+00
PB205,3.17E-25,0.00E+00
PB206,1.10E-18,0.00E+00
PB207,3.21E-13,0.00E+00
PB207M,1.07E-20,0.00E+00
PB208,7.89E-08,0.00E+00
PB209,6.24E-13,0.00E+00
PB210,6.30E-11,0.00E+00
PB211,1.46E-14,0.00E+00
PB212,5.68E-08,0.00E+00
PB214,8.97E-17,0.00E+00
BI206,4.07E-31,0.00E+00
BI207,5.39E-24,0.00E+00
BI208,2.67E-20,0.00E+00
BI209,2.04E-12,0.00E+00
BI210,3.83E-15,0.00E+00
BI210M,3.40E-19,0.00E+00
BI211,8.68E-16,0.00E+00
BI212,5.48E-09,0.00E+00
BI213,1.99E-13,0.00E+00
BI214,6.66E-17,0.00E+00
PO208,1.04E-27,0.00E+00
PO209,6.59E-24,0.00E+00
PO210,3.26E-16,0.00E+00
PO211,9.63E-21,0.00E+00
PO211M,6.00E-28,0.00E+00
PO212,2.89E-19,0.00E+00
PO213,2.99E-22,0.00E+00
PO214,1.74E-19,0.00E+00
PO215,1.23E-20,0.00E+00
PO216,3.23E-13,0.00E+00
PO218,1.06E-17,0.00E+00
AT216,2.93E-27,0.00E+00
AT217,2.39E-18,0.00E+00
AT218,1.71E-23,0.00E+00
RN216,1.54E-30,0.00E+00
RN217,2.80E-24,0.00E+00
RN218,3.77E-17,0.00E+00
RN219,2.78E-17,0.00E+00
RN220,1.26E-10,0.00E+00
RN222,1.91E-14,0.00E+00
FR220,2.73E-22,0.00E+00
FR221,2.21E-14,0.00E+00
FR222,4.67E-19,0.00E+00
FR223,2.46E-14,0.00E+00
RA220,6.28E-28,0.00E+00
RA222,4.16E-14,0.00E+00
RA223,7.05E-12,0.00E+00
RA224,7.30E-07,0.00E+00
RA225,1.85E-09,0.00E+00
RA226,1.30E-08,0.00E+00
RA227,1.07E-12,0.00E+00
RA228,4.15E-07,0.00E+00
AC224,1.12E-18,0.00E+00
AC225,6.62E-11,0.00E+00
AC226,9.81E-13,0.00E+00
AC227,9.43E-07,0.00E+00
AC228,3.49E-09,0.00E+00
TH226,2.05E-12,0.00E+00
TH227,1.53E-10,0.00E+00
TH228,5.98E-04,0.00E+00
TH229,4.81E-04,0.00E+00
TH230,1.76E-01,0.00E+00
TH231,1.15E-01,0.00E+00
TH232,8.98E+05,0.00E+00
TH233,2.57E+00,0.00E+00
TH234,8.19E-12,0.00E+00
PA228,1.35E-18,0.00E+00
PA229,2.64E-10,0.00E+00
PA230,4.01E-07,0.00E+00
PA231,5.64E+00,0.00E+00
PA232,6.82E-02,0.00E+00
PA233,4.10E+03,0.00E+00
PA234,1.86E+00,0.00E+00
PA234M,5.70E-03,0.00E+00
PA235,2.00E-10,0.00E+00
U230,2.02E-09,0.00E+00
U231,1.44E-08,0.00E+00
U232,7.43E+00,0.00E+00
U233,1.37E+04,0.00E+00
U234,8.39E+03,0.00E+00
U235,1.12E+03,0.00E+00
U236,9.09E+02,0.00E+00
U237,2.05E+00,0.00E+00
U238,4.64E+00,0.00E+00
U239,8.21E-05,0.00E+00
U240,3.02E-17,0.00E+00
U241,6.51E-21,0.00E+00
NP234,1.80E-17,0.00E+00
NP235,7.40E-10,0.00E+00
NP236,2.62E-07,0.00E+00
NP236M,4.20E-07,0.00E+00
NP237,2.42E+01,0.00E+00
NP238,1.82E-01,0.00E+00
NP239,7.31E-03,0.00E+00
NP240,3.19E-07,0.00E+00
NP240M,6.29E-08,0.00E+00
NP241,3.84E-14,0.00E+00
PU236,3.06E-07,0.00E+00
PU237,5.36E-07,0.00E+00
PU237M,1.20E-13,0.00E+00
PU238,8.00E+00,0.00E+00
PU239,1.05E+00,0.00E+00
PU240,4.44E-01,0.00E+00
PU241,4.96E-01,0.00E+00
PU242,6.81E-01,0.00E+00
PU243,7.67E-04,0.00E+00
PU244,2.10E-06,0.00E+00
PU245,3.14E-10,0.00E+00
PU246,2.01E-27,0.00E+00
PU247,5.17E-30,0.00E+00
AM239,3.72E-14,0.00E+00
AM240,4.27E-11,0.00E+00
AM241,3.75E-03,0.00E+00
AM242,5.34E-05,0.00E+00
AM242M,1.67E-05,0.00E+00
AM243,0.00E+00,0.00E+00
AM244,0.00E+00,0.00E+00
AM244M,0.00E+00,0.00E+00
AM245,0.00E+00,0.00E+00
AM246,0.00E+00,0.00E+00
AM247,0.00E+00,0.00E+00
CM240,0.00E+00,0.00E+00
CM241,0.00E+00,0.00E+00
CM242,0.00E+00,0.00E+00
CM243,0.00E+00,0.00E+00
CM244,0.00E+00,0.00E+00
CM245,0.00E+00,0.00E+00
CM246,0.00E+00,0.00E+00
CM247,0.00E+00,0.00E+00
CM248,0.00E+00,0.00E+00
CM249,0.00E+00,0.00E+00
CM250,0.00E+00,0.00E+00
CM251,0.00E+00,0.00E+00
BK247,0.00E+00,0.00E+00
BK248,0.00E+00,0.00E+00
BK248M,0.00E+00,0.00E+00
BK249,0.00E+00,0.00E+00
BK250,0.00E+00,0.00E+00
BK251,0.00E+00,0.00E+00
CF248,0.00E+00,0.00E+00
CF249,0.00E+00,0.00E+00
CF250,0.00E+00,0.00E+00
CF251,0.00E+00,0.00E+00
CF252,0.00E+00,0.00E+00
CF253,0.00E+00,0.00E+00
CF254,0.00E+00,0.00E+00
ES253,0.00E+00,0.00E+00
ES254,0.00E+00,0.00E+00
ES254M,0.00E+00,0.00E+00
