isotope,ST1-charged (g),ST1-discharged (g)
H3,0.00E+00,9.63E-03
HE4,0.00E+00,5.78E+00
BE9,0.00E+00,1.27E-07
BE10,0.00E+00,1.26E-06
C14,0.00E+00,3.25E-05
ZN66,0.00E+00,1.74E-05
ZN67,0.00E+00,5.02E-05
ZN68,0.00E+00,9.77E-05
ZN70,0.00E+00,4.77E-04
GA69,0.00E+00,1.97E-04
GA71,0.00E+00,9.54E-04
GE70,0.00E+00,5.36E-07
GE72,0.00E+00,2.34E-03
GE73,0.00E+00,4.98E-03
GE74,0.00E+00,1.21E-02
GE76,0.00E+00,6.66E-02
AS75,0.00E+00,2.77E-02
SE76,0.00E+00,2.68E-04
SE77,0.00E+00,1.60E-01
SE78,0.00E+00,4.64E-01
SE79,0.00E+00,1.00E+00
SE80,0.00E+00,2.38E+00
SE82,0.00E+00,6.42E+00
BR79,0.00E+00,5.59E-04
BR81,0.00E+00,4.31E+00
KR80,0.00E+00,2.89E-05
KR81,0.00E+00,3.37E-06
KR82,0.00E+00,4.17E-02
KR83,0.00E+00,8.38E+00
KR84,0.00E+00,1.83E+01
KR85,0.00E+00,3.39E+00
KR86,0.00E+00,3.11E+01
RB85,0.00E+00,1.76E+01
RB87,0.00E+00,4.09E+01
SR86,0.00E+00,1.77E-02
SR87,0.00E+00,4.58E-04
SR88,0.00E+00,5.50E+01
SR90,0.00E+00,7.97E+01
Y89,0.00E+00,7.35E+01
Y90,0.00E+00,2.02E-02
Y91,0.00E+00,1.32E-08
ZR90,0.00E+00,1.09E+01
ZR91,0.00E+00,1.00E+02
ZR92,0.00E+00,1.14E+02
ZR93,0.00E+00,1.34E+02
ZR94,0.00E+00,1.46E+02
ZR95,0.00E+00,1.48E-07
ZR96,0.00E+00,1.65E+02
NB91,0.00E+00,1.25E-09
NB92,0.00E+00,1.09E-07
NB93,0.00E+00,4.83E-05
NB93M,0.00E+00,2.83E-04
NB94,0.00E+00,3.02E-04
NB95,0.00E+00,1.85E-07
MO95,0.00E+00,1.58E+02
MO96,0.00E+00,1.14E+00
MO97,0.00E+00,1.75E+02
MO98,0.00E+00,1.81E+02
MO100,0.00E+00,2.13E+02
TC98,0.00E+00,2.18E-04
TC99,0.00E+00,1.98E+02
RU99,0.00E+00,1.00E-02
RU100,0.00E+00,5.52E+00
RU101,0.00E+00,1.90E+02
RU102,0.00E+00,1.91E+02
RU104,0.00E+00,1.71E+02
RU106,0.00E+00,3.23E+00
RH102,0.00E+00,1.18E-07
RH103,0.00E+00,1.79E+02
RH106,0.00E+00,3.02E-06
PD102,0.00E+00,1.37E-05
PD104,0.00E+00,1.58E+01
PD105,0.00E+00,1.22E+02
PD106,0.00E+00,1.42E+02
PD107,0.00E+00,9.02E+01
PD108,0.00E+00,6.22E+01
PD110,0.00E+00,2.10E+01
AG107,0.00E+00,5.10E-05
AG108M,0.00E+00,1.48E-05
AG109,0.00E+00,3.97E+01
AG110M,0.00E+00,9.59E-04
CD108,0.00E+00,2.32E-05
CD109,0.00E+00,1.43E-07
CD110,0.00E+00,4.59E+00
CD111,0.00E+00,1.00E+01
CD112,0.00E+00,5.02E+00
CD113,0.00E+00,6.53E-02
CD113M,0.00E+00,6.37E-04
CD114,0.00E+00,5.31E+00
CD116,0.00E+00,1.53E+00
IN113,0.00E+00,2.00E-04
IN115,0.00E+00,1.16E+00
SN114,0.00E+00,1.85E-06
SN115,0.00E+00,7.19E-02
SN116,0.00E+00,1.98E-01
SN117,0.00E+00,1.36E+00
SN118,0.00E+00,1.18E+00
SN119,0.00E+00,1.16E+00
SN119M,0.00E+00,3.94E-04
SN120,0.00E+00,1.16E+00
SN121,0.00E+00,5.29E-06
SN121M,0.00E+00,9.70E-02
SN122,0.00E+00,1.51E+00
SN123,0.00E+00,8.30E-06
SN124,0.00E+00,2.44E+00
SN126,0.00E+00,5.71E+00
SB121,0.00E+00,1.21E+00
SB123,0.00E+00,1.54E+00
SB125,0.00E+00,8.88E-01
SB126,0.00E+00,1.18E-07
TE122,0.00E+00,1.46E-02
TE123,0.00E+00,6.46E-05
TE124,0.00E+00,1.42E-02
TE125,0.00E+00,2.46E+00
TE125M,0.00E+00,1.24E-02
TE126,0.00E+00,1.10E-01
TE127,0.00E+00,1.49E-08
TE127M,0.00E+00,4.25E-06
TE128,0.00E+00,2.47E+01
TE130,0.00E+00,8.88E+01
I127,0.00E+00,1.32E+01
I129,0.00E+00,4.29E+01
XE126,0.00E+00,3.57E-06
XE128,0.00E+00,1.40E-01
XE129,0.00E+00,4.04E-04
XE130,0.00E+00,9.90E-01
XE131,0.00E+00,1.34E+02
XE132,0.00E+00,2.28E+02
XE134,0.00E+00,3.41E+02
XE136,0.00E+00,5.92E+02
CS133,0.00E+00,2.85E+02
CS134,0.00E+00,1.58E+00
CS135,0.00E+00,3.12E+01
CS137,0.00E+00,2.54E+02
BA132,0.00E+00,4.96E-06
BA133,0.00E+00,1.50E-07
BA134,0.00E+00,7.45E+00
BA135,0.00E+00,1.19E-03
BA136,0.00E+00,2.64E+00
BA137,0.00E+00,3.33E+01
BA137M,0.00E+00,3.88E-05
BA138,0.00E+00,2.86E+02
LA138,0.00E+00,2.04E-03
LA139,0.00E+00,2.68E+02
CE139,0.00E+00,1.72E-08
CE140,0.00E+00,2.61E+02
CE142,0.00E+00,2.39E+02
CE144,0.00E+00,1.83E+00
PR141,0.00E+00,2.43E+02
PR144,0.00E+00,7.69E-05
PR144M,0.00E+00,3.06E-07
ND142,0.00E+00,1.47E+00
ND143,0.00E+00,1.89E+02
ND144,0.00E+00,2.41E+02
ND145,0.00E+00,1.51E+02
ND146,0.00E+00,1.36E+02
ND148,0.00E+00,8.68E+01
ND150,0.00E+00,4.59E+01
PM145,0.00E+00,7.84E-07
PM146,0.00E+00,1.84E-05
PM147,0.00E+00,2.12E+01
SM146,0.00E+00,2.41E-05
SM147,0.00E+00,6.41E+01
SM148,0.00E+00,7.95E+00
SM149,0.00E+00,1.60E+00
SM150,0.00E+00,6.16E+01
SM151,0.00E+00,2.98E+00
SM152,0.00E+00,4.79E+01
SM154,0.00E+00,1.18E+01
EU151,0.00E+00,1.18E-01
EU152,0.00E+00,5.85E-04
EU153,0.00E+00,2.40E+01
EU154,0.00E+00,1.76E+00
EU155,0.00E+00,9.48E-01
GD152,0.00E+00,1.69E-03
GD153,0.00E+00,2.76E-07
GD154,0.00E+00,9.18E-01
GD155,0.00E+00,1.02E+00
GD156,0.00E+00,1.32E+01
GD157,0.00E+00,3.44E-02
GD158,0.00E+00,5.86E+00
GD160,0.00E+00,4.98E-01
TB159,0.00E+00,1.04E+00
DY160,0.00E+00,3.27E-02
DY161,0.00E+00,1.76E-01
DY162,0.00E+00,1.34E-01
DY163,0.00E+00,6.10E-02
DY164,0.00E+00,9.22E-03
HO165,0.00E+00,2.28E-02
HO166M,0.00E+00,2.85E-05
ER166,0.00E+00,5.05E-03
ER167,0.00E+00,8.26E-04
ER168,0.00E+00,1.49E-03
ER170,0.00E+00,1.66E-04
TM169,0.00E+00,3.21E-04
TM170,0.00E+00,1.58E-09
TM171,0.00E+00,1.20E-05
YB170,0.00E+00,4.22E-05
YB171,0.00E+00,6.96E-05
YB172,0.00E+00,7.41E-05
PB208,0.00E+00,5.51E-06
PB212,0.00E+00,3.32E-09
RA224,0.00E+00,2.89E-08
RA226,0.00E+00,2.10E-08
AC227,0.00E+00,1.09E-09
TH228,0.00E+00,5.60E-06
TH229,0.00E+00,9.91E-08
TH230,0.00E+00,8.56E-04
TH231,0.00E+00,8.14E-09
TH232,0.00E+00,5.01E-04
TH234,0.00E+00,1.42E-05
PA231,0.00E+00,1.58E-05
PA233,0.00E+00,5.01E-06
U232,1.40E-04,2.79E-04
U233,2.84E-04,5.66E-04
U234,5.72E+01,6.14E+01
U235,4.52E+03,2.00E+03
U236,4.14E+02,7.88E+02
U237,1.08E-05,2.16E-05
U238,9.82E+05,9.76E+05
NP235,0.00E+00,2.68E-08
NP236,0.00E+00,3.59E-05
NP237,1.46E+02,1.48E+02
NP238,0.00E+00,2.22E-07
NP239,0.00E+00,8.29E-04
PU236,0.00E+00,6.95E-05
PU238,3.08E+02,3.14E+02
PU239,3.16E+03,3.20E+03
PU240,3.54E+03,3.60E+03
PU241,6.81E+02,6.92E+02
PU242,3.56E+03,3.74E+03
PU244,0.00E+00,7.80E-02
AM241,3.15E+02,3.21E+02
AM242,0.00E+00,1.54E-05
AM242M,1.17E+00,1.19E+00
AM243,9.13E+02,9.64E+02
CM242,4.01E-02,4.09E-02
CM243,1.70E+00,1.74E+00
CM244,5.62E+02,6.02E+02
CM245,1.70E+01,1.81E+01
CM246,3.68E+01,4.24E+01
CM247,9.93E-01,1.18E+00
CM248,3.45E-01,4.61E-01
CM250,0.00E+00,6.10E-08
BK249,0.00E+00,5.89E-05
CF249,0.00E+00,3.43E-03
CF250,0.00E+00,1.90E-03
CF251,0.00E+00,6.91E-04
CF252,0.00E+00,2.98E-04
