isotope,ST1-charged (g),ST1-discharged (g)
H3,0.00E+00,3.04E-01
HE4,0.00E+00,9.92E+00
LI6,0.00E+00,2.51E-03
LI7,0.00E+00,8.62E-05
BE9,0.00E+00,1.58E-04
BE10,0.00E+00,1.11E-03
C14,0.00E+00,2.25E-04
CO72,0.00E+00,7.50E-13
CO73,0.00E+00,2.28E-13
CO74,0.00E+00,3.91E-14
CO75,0.00E+00,3.88E-15
NI72,0.00E+00,3.40E-10
NI73,0.00E+00,3.81E-11
NI74,0.00E+00,3.45E-11
NI75,0.00E+00,3.74E-12
NI76,0.00E+00,1.35E-12
NI77,0.00E+00,9.41E-14
NI78,0.00E+00,1.50E-14
CU66,0.00E+00,7.67E-14
CU67,0.00E+00,2.02E-18
CU72,0.00E+00,2.20E-09
CU73,0.00E+00,1.29E-09
CU74,0.00E+00,2.28E-10
CU75,0.00E+00,2.54E-10
CU76,0.00E+00,4.63E-11
CU77,0.00E+00,2.88E-11
CU78,0.00E+00,3.96E-12
CU79,0.00E+00,1.94E-12
CU80,0.00E+00,1.24E-13
CU81,0.00E+00,8.32E-15
ZN66,0.00E+00,3.65E-07
ZN67,0.00E+00,1.68E-08
ZN68,0.00E+00,4.42E-10
ZN69,0.00E+00,9.72E-18
ZN69M,0.00E+00,9.47E-18
ZN72,0.00E+00,8.15E-05
ZN73,0.00E+00,1.60E-08
ZN74,0.00E+00,1.13E-07
ZN75,0.00E+00,1.54E-08
ZN76,0.00E+00,1.23E-08
ZN77,0.00E+00,3.12E-09
ZN78,0.00E+00,3.77E-09
ZN79,0.00E+00,5.64E-10
ZN80,0.00E+00,3.34E-10
ZN81,0.00E+00,1.68E-11
ZN82,0.00E+00,2.61E-12
ZN83,0.00E+00,1.62E-13
GA69,0.00E+00,1.26E-12
GA70,0.00E+00,4.84E-20
GA71,0.00E+00,5.38E-05
GA72,0.00E+00,2.49E-05
GA73,0.00E+00,1.28E-05
GA74,0.00E+00,6.42E-07
GA75,0.00E+00,2.52E-07
GA76,0.00E+00,1.08E-07
GA77,0.00E+00,8.40E-08
GA78,0.00E+00,3.64E-08
GA79,0.00E+00,2.78E-08
GA80,0.00E+00,1.14E-08
GA81,0.00E+00,3.28E-09
GA82,0.00E+00,3.11E-10
GA83,0.00E+00,9.24E-11
GA84,0.00E+00,1.12E-11
GE70,0.00E+00,1.28E-14
GE72,0.00E+00,6.50E-01
GE73,0.00E+00,8.49E-01
GE73M,0.00E+00,3.88E-10
GE74,0.00E+00,2.02E+00
GE75,0.00E+00,1.16E-05
GE75M,0.00E+00,5.32E-09
GE76,0.00E+00,5.96E+00
GE77,0.00E+00,1.44E-04
GE77M,0.00E+00,3.74E-07
GE78,0.00E+00,7.91E-05
GE79,0.00E+00,1.29E-06
GE80,0.00E+00,9.16E-07
GE81,0.00E+00,4.47E-07
GE82,0.00E+00,1.89E-07
GE83,0.00E+00,5.94E-08
GE84,0.00E+00,1.78E-08
GE85,0.00E+00,6.92E-10
GE86,0.00E+00,1.60E-10
GE87,0.00E+00,9.61E-12
GE88,0.00E+00,8.11E-13
AS75,0.00E+00,2.50E+00
AS76,0.00E+00,9.91E-05
AS77,0.00E+00,1.26E-03
