isotope,ST1-charged (g),ST1-discharged (g),ST2-DF-charged (g),ST2-DF-discharged (g),ST2-BB-charged (g),ST2-BB-discharged (g),ST3-charged (g),ST3-discharged (g)
Y104,0.000E+00,3.279E-10,0.000E+00,6.551E-10,0.000E+00,2.120E-11,0.000E+00,0.000E+00
Y105,0.000E+00,1.989E-11,0.000E+00,3.611E-11,0.000E+00,1.398E-12,0.000E+00,0.000E+00
Y107,0.000E+00,6.299E-15,0.000E+00,8.343E-15,0.000E+00,4.588E-16,0.000E+00,0.000E+00
ZR90,0.000E+00,4.449E+01,0.000E+00,4.281E+01,0.000E+00,1.289E+01,0.000E+00,5.495E+01
ZR90M,0.000E+00,3.279E-14,0.000E+00,1.412E-13,0.000E+00,3.134E-14,0.000E+00,0.000E+00
ZR91,0.000E+00,8.376E+02,0.000E+00,9.626E+02,0.000E+00,3.250E+02,0.000E+00,9.902E+02
ZR92,0.000E+00,9.554E+02,0.000E+00,1.245E+03,0.000E+00,3.708E+02,0.000E+00,1.123E+03
ZR93,0.000E+00,1.069E+03,0.000E+00,1.564E+03,0.000E+00,4.057E+02,0.000E+00,1.243E+03
ZR94,0.000E+00,1.130E+03,0.000E+00,1.712E+03,0.000E+00,3.806E+02,0.000E+00,1.298E+03
ZR95,0.000E+00,6.725E+01,0.000E+00,1.200E+02,0.000E+00,3.853E+01,0.000E+00,7.485E+01
ZR96,0.000E+00,1.210E+03,0.000E+00,2.070E+03,0.000E+00,3.404E+02,0.000E+00,1.270E+03
ZR97,0.000E+00,7.727E-01,0.000E+00,1.464E+00,0.000E+00,3.610E-01,0.000E+00,8.639E-01
ZR98,0.000E+00,4.038E-04,0.000E+00,7.804E-04,0.000E+00,1.682E-04,0.000E+00,4.470E-04
ZR99,0.000E+00,3.139E-05,0.000E+00,5.951E-05,0.000E+00,1.193E-05,0.000E+00,3.400E-05
ZR100,0.000E+00,8.625E-05,0.000E+00,1.608E-04,0.000E+00,2.558E-05,0.000E+00,9.003E-05
ZR101,0.000E+00,2.589E-05,0.000E+00,4.553E-05,0.000E+00,5.315E-06,0.000E+00,2.588E-05
ZR102,0.000E+00,1.309E-04,0.000E+00,2.443E-04,0.000E+00,1.249E-05,0.000E+00,1.285E-04
ZR103,0.000E+00,3.108E-06,0.000E+00,5.636E-06,0.000E+00,7.095E-07,0.000E+00,3.314E-06
ZR104,0.000E+00,1.669E-06,0.000E+00,3.110E-06,0.000E+00,1.894E-07,0.000E+00,1.804E-06
ZR105,0.000E+00,3.419E-08,0.000E+00,5.836E-08,0.000E+00,3.599E-09,0.000E+00,0.000E+00
ZR106,0.000E+00,6.568E-09,0.000E+00,9.066E-09,0.000E+00,8.692E-10,0.000E+00,0.000E+00
ZR107,0.000E+00,7.527E-11,0.000E+00,1.083E-10,0.000E+00,9.718E-12,0.000E+00,0.000E+00
ZR108,0.000E+00,3.518E-11,0.000E+00,8.981E-11,0.000E+00,5.225E-13,0.000E+00,0.000E+00
ZR109,0.000E+00,8.925E-13,0.000E+00,2.385E-12,0.000E+00,5.049E-15,0.000E+00,0.000E+00
NB92,0.000E+00,2.069E-11,0.000E+00,2.314E-10,0.000E+00,2.116E-11,0.000E+00,0.000E+00
NB93,0.000E+00,1.380E-04,0.000E+00,2.761E-04,0.000E+00,4.139E-05,0.000E+00,1.920E-04
NB93M,0.000E+00,9.477E-04,0.000E+00,1.376E-03,0.000E+00,2.529E-04,0.000E+00,1.131E-03
NB94,0.000E+00,1.180E-03,0.000E+00,7.218E-03,0.000E+00,1.347E-03,0.000E+00,3.742E-03
NB94M,0.000E+00,3.788E-09,0.000E+00,1.530E-08,0.000E+00,5.176E-09,0.000E+00,0.000E+00
NB95,0.000E+00,3.738E+01,0.000E+00,6.615E+01,0.000E+00,2.124E+01,0.000E+00,4.149E+01
NB95M,0.000E+00,2.719E-02,0.000E+00,4.772E-02,0.000E+00,1.555E-02,0.000E+00,3.037E-02
NB96,0.000E+00,2.199E-03,0.000E+00,7.847E-03,0.000E+00,1.739E-03,0.000E+00,3.186E-03
NB97,0.000E+00,5.547E-02,0.000E+00,1.048E-01,0.000E+00,2.603E-02,0.000E+00,6.223E-02
NB97M,0.000E+00,7.228E-04,0.000E+00,1.370E-03,0.000E+00,3.384E-04,0.000E+00,8.084E-04
NB98,0.000E+00,3.718E-05,0.000E+00,7.175E-05,0.000E+00,1.584E-05,0.000E+00,4.128E-05
NB98M,0.000E+00,4.507E-04,0.000E+00,1.309E-03,0.000E+00,4.014E-04,0.000E+00,6.608E-04
NB99,0.000E+00,1.959E-04,0.000E+00,3.750E-04,0.000E+00,7.823E-05,0.000E+00,2.139E-04
NB99M,0.000E+00,9.266E-05,0.000E+00,2.255E-04,0.000E+00,5.019E-05,0.000E+00,1.185E-04
NB100,0.000E+00,1.859E-05,0.000E+00,3.614E-05,0.000E+00,6.494E-06,0.000E+00,2.021E-05
NB100M,0.000E+00,1.869E-05,0.000E+00,3.630E-05,0.000E+00,6.518E-06,0.000E+00,2.030E-05
NB101,0.000E+00,9.124E-05,0.000E+00,1.836E-04,0.000E+00,2.587E-05,0.000E+00,9.773E-05
NB102,0.000E+00,3.409E-05,0.000E+00,7.370E-05,0.000E+00,6.081E-06,0.000E+00,3.614E-05
NB103,0.000E+00,1.279E-04,0.000E+00,2.636E-04,0.000E+00,2.759E-05,0.000E+00,1.401E-04
NB104,0.000E+00,4.138E-06,0.000E+00,8.837E-06,0.000E+00,5.587E-07,0.000E+00,4.513E-06
NB105,0.000E+00,2.609E-06,0.000E+00,4.812E-06,0.000E+00,3.098E-07,0.000E+00,2.844E-06
NB106,0.000E+00,2.099E-07,0.000E+00,3.651E-07,0.000E+00,3.233E-08,0.000E+00,2.159E-07
NB107,0.000E+00,4.126E-08,0.000E+00,6.823E-08,0.000E+00,6.760E-09,0.000E+00,0.000E+00
NB108,0.000E+00,2.589E-09,0.000E+00,6.087E-09,0.000E+00,1.861E-10,0.000E+00,0.000E+00
NB109,0.000E+00,6.506E-10,0.000E+00,1.832E-09,0.000E+00,2.640E-11,0.000E+00,0.000E+00
NB110,0.000E+00,3.239E-11,0.000E+00,8.223E-11,0.000E+00,2.049E-13,0.000E+00,0.000E+00
NB111,0.000E+00,3.439E-12,0.000E+00,8.781E-12,0.000E+00,4.593E-15,0.000E+00,0.000E+00
MO95,0.000E+00,1.010E+03,0.000E+00,1.905E+03,0.000E+00,3.438E+02,0.000E+00,1.078E+03
MO96,0.000E+00,8.138E+01,0.000E+00,7.698E+01,0.000E+00,6.465E+00,0.000E+00,1.086E+02
MO97,0.000E+00,1.200E+03,0.000E+00,2.134E+03,0.000E+00,3.002E+02,0.000E+00,1.262E+03
MO98,0.000E+00,1.239E+03,0.000E+00,2.434E+03,0.000E+00,2.960E+02,0.000E+00,1.281E+03
MO99,0.000E+00,3.588E+00,0.000E+00,6.767E+00,0.000E+00,1.395E+00,0.000E+00,4.020E+00
MO100,0.000E+00,1.420E+03,0.000E+00,2.782E+03,0.000E+00,2.765E+02,0.000E+00,1.352E+03
MO101,0.000E+00,1.239E-02,0.000E+00,2.766E-02,0.000E+00,3.702E-03,0.000E+00,1.346E-02
MO102,0.000E+00,9.197E-03,0.000E+00,2.106E-02,0.000E+00,2.046E-03,0.000E+00,1.007E-02
MO103,0.000E+00,8.318E-04,0.000E+00,1.889E-03,0.000E+00,1.541E-04,0.000E+00,9.345E-04
MO104,0.000E+00,1.109E-03,0.000E+00,2.750E-03,0.000E+00,1.354E-04,0.000E+00,1.264E-03
MO105,0.000E+00,4.599E-04,0.000E+00,1.022E-03,0.000E+00,4.383E-05,0.000E+00,5.239E-04
MO106,0.000E+00,4.318E-05,0.000E+00,1.025E-04,0.000E+00,5.440E-06,0.000E+00,4.876E-05
MO107,0.000E+00,1.170E-05,0.000E+00,2.594E-05,0.000E+00,1.624E-06,0.000E+00,1.266E-05
MO108,0.000E+00,7.516E-07,0.000E+00,1.549E-06,0.000E+00,9.327E-08,0.000E+00,8.555E-07
MO109,0.000E+00,1.569E-07,0.000E+00,4.825E-07,0.000E+00,2.095E-08,0.000E+00,1.938E-07
MO110,0.000E+00,5.528E-08,0.000E+00,1.378E-07,0.000E+00,2.815E-09,0.000E+00,6.972E-08
MO111,0.000E+00,2.319E-09,0.000E+00,5.927E-09,0.000E+00,3.277E-11,0.000E+00,0.000E+00
MO112,0.000E+00,7.497E-10,0.000E+00,1.900E-09,0.000E+00,5.151E-12,0.000E+00,0.000E+00
MO113,0.000E+00,1.539E-11,0.000E+00,3.913E-11,0.000E+00,9.067E-14,0.000E+00,0.000E+00
MO114,0.000E+00,2.579E-12,0.000E+00,6.524E-12,0.000E+00,1.789E-14,0.000E+00,0.000E+00
MO115,0.000E+00,6.288E-14,0.000E+00,1.590E-13,0.000E+00,1.934E-16,0.000E+00,0.000E+00
TC98,0.000E+00,1.079E-02,0.000E+00,1.361E-01,0.000E+00,6.863E-03,0.000E+00,1.283E-02
TC99,0.000E+00,1.130E+03,0.000E+00,2.422E+03,0.000E+00,2.864E+02,0.000E+00,1.108E+03
TC99M,0.000E+00,2.869E-01,0.000E+00,5.404E-01,0.000E+00,1.114E-01,0.000E+00,3.208E-01
TC100,0.000E+00,8.295E-05,0.000E+00,5.308E-05,0.000E+00,3.818E-06,0.000E+00,1.093E-04
TC101,0.000E+00,1.200E-02,0.000E+00,2.689E-02,0.000E+00,3.599E-03,0.000E+00,1.307E-02
TC102,0.000E+00,7.309E-05,0.000E+00,1.672E-04,0.000E+00,1.628E-05,0.000E+00,7.998E-05
TC102M,0.000E+00,4.618E-06,0.000E+00,1.524E-05,0.000E+00,3.179E-06,0.000E+00,6.630E-06
TC103,0.000E+00,7.048E-04,0.000E+00,1.608E-03,0.000E+00,1.292E-04,0.000E+00,7.934E-04
TC104,0.000E+00,1.359E-02,0.000E+00,3.430E-02,0.000E+00,1.601E-03,0.000E+00,1.546E-02
TC105,0.000E+00,5.048E-03,0.000E+00,1.181E-02,0.000E+00,4.379E-04,0.000E+00,5.838E-03
TC106,0.000E+00,2.869E-04,0.000E+00,7.620E-04,0.000E+00,2.980E-05,0.000E+00,3.314E-04
TC107,0.000E+00,1.289E-04,0.000E+00,3.481E-04,0.000E+00,1.382E-05,0.000E+00,1.452E-04
TC108,0.000E+00,1.349E-05,0.000E+00,3.017E-05,0.000E+00,1.108E-06,0.000E+00,1.542E-05
TC109,0.000E+00,5.988E-05,0.000E+00,1.808E-04,0.000E+00,8.089E-06,0.000E+00,7.122E-05
TC110,0.000E+00,2.389E-07,0.000E+00,5.956E-07,0.000E+00,3.192E-08,0.000E+00,2.844E-07
TC111,0.000E+00,1.190E-07,0.000E+00,3.147E-07,0.000E+00,9.767E-09,0.000E+00,1.461E-07
TC112,0.000E+00,1.030E-08,0.000E+00,2.702E-08,0.000E+00,5.153E-10,0.000E+00,0.000E+00
TC113,0.000E+00,3.518E-09,0.000E+00,9.183E-09,0.000E+00,1.236E-10,0.000E+00,0.000E+00
TC114,0.000E+00,2.989E-10,0.000E+00,7.644E-10,0.000E+00,5.726E-12,0.000E+00,0.000E+00
TC115,0.000E+00,8.126E-11,0.000E+00,2.073E-10,0.000E+00,8.527E-13,0.000E+00,0.000E+00
TC116,0.000E+00,2.419E-12,0.000E+00,6.161E-12,0.000E+00,1.082E-12,0.000E+00,0.000E+00
TC117,0.000E+00,1.319E-13,0.000E+00,3.329E-13,0.000E+00,1.272E-15,0.000E+00,0.000E+00
RU99,0.000E+00,7.478E-03,0.000E+00,1.556E-02,0.000E+00,1.310E-03,0.000E+00,7.078E-03
RU100,0.000E+00,2.179E+02,0.000E+00,1.488E+02,0.000E+00,7.568E+00,0.000E+00,2.588E+02
RU101,0.000E+00,1.170E+03,0.000E+00,2.678E+03,0.000E+00,2.031E+02,0.000E+00,1.071E+03
RU102,0.000E+00,1.220E+03,0.000E+00,3.022E+03,0.000E+00,1.577E+02,0.000E+00,1.125E+03
RU103,0.000E+00,4.837E+01,0.000E+00,1.146E+02,0.000E+00,8.933E+00,0.000E+00,5.367E+01
RU104,0.000E+00,8.625E+02,0.000E+00,2.846E+03,0.000E+00,7.229E+01,0.000E+00,8.469E+02
RU105,0.000E+00,1.719E-01,0.000E+00,4.172E-01,0.000E+00,1.490E-02,0.000E+00,1.986E-01
RU106,0.000E+00,2.149E+02,0.000E+00,6.852E+02,0.000E+00,1.859E+01,0.000E+00,2.374E+02
RU107,0.000E+00,1.689E-03,0.000E+00,4.054E-03,0.000E+00,1.294E-04,0.000E+00,1.958E-03
RU108,0.000E+00,1.269E-03,0.000E+00,3.070E-03,0.000E+00,7.501E-05,0.000E+00,1.471E-03
RU109,0.000E+00,1.020E-04,0.000E+00,2.886E-04,0.000E+00,1.125E-05,0.000E+00,1.193E-04
RU110,0.000E+00,2.049E-05,0.000E+00,5.198E-05,0.000E+00,2.815E-06,0.000E+00,2.374E-05
RU111,0.000E+00,8.518E-06,0.000E+00,2.448E-05,0.000E+00,1.497E-06,0.000E+00,9.988E-06
RU112,0.000E+00,1.609E-07,0.000E+00,4.753E-07,0.000E+00,3.690E-08,0.000E+00,1.922E-07
RU113,0.000E+00,3.318E-07,0.000E+00,9.365E-07,0.000E+00,4.675E-08,0.000E+00,4.020E-07
RU114,0.000E+00,2.659E-07,0.000E+00,7.298E-07,0.000E+00,2.477E-08,0.000E+00,3.294E-07
RU115,0.000E+00,1.789E-08,0.000E+00,4.716E-08,0.000E+00,7.859E-10,0.000E+00,0.000E+00
RU116,0.000E+00,7.708E-09,0.000E+00,1.991E-08,0.000E+00,5.821E-09,0.000E+00,0.000E+00
RU117,0.000E+00,2.509E-10,0.000E+00,6.231E-10,0.000E+00,6.742E-12,0.000E+00,0.000E+00
RU118,0.000E+00,3.368E-09,0.000E+00,8.535E-09,0.000E+00,2.451E-12,0.000E+00,0.000E+00
RU120,0.000E+00,3.409E-13,0.000E+00,8.773E-13,0.000E+00,1.474E-14,0.000E+00,0.000E+00
RH102,0.000E+00,1.519E-03,0.000E+00,4.217E-02,0.000E+00,8.717E-04,0.000E+00,1.599E-03
RH103,0.000E+00,5.608E+02,0.000E+00,2.634E+03,0.000E+00,1.198E+02,0.000E+00,4.811E+02
RH103M,0.000E+00,4.330E-02,0.000E+00,1.024E-01,0.000E+00,7.982E-03,0.000E+00,4.811E-02
RH104,0.000E+00,4.587E-04,0.000E+00,2.723E-04,0.000E+00,7.537E-06,0.000E+00,5.303E-04
RH104M,0.000E+00,1.849E-04,0.000E+00,2.689E-04,0.000E+00,7.439E-06,0.000E+00,2.139E-04
RH105,0.000E+00,1.269E+00,0.000E+00,3.313E+00,0.000E+00,1.185E-01,0.000E+00,1.433E+00
RH105M,0.000E+00,1.349E-04,0.000E+00,3.289E-04,0.000E+00,1.175E-05,0.000E+00,1.565E-04
RH106,0.000E+00,2.179E-04,0.000E+00,6.444E-04,0.000E+00,1.749E-05,0.000E+00,2.481E-04
RH106M,0.000E+00,1.949E-03,0.000E+00,6.255E-04,0.000E+00,1.332E-05,0.000E+00,2.952E-03
RH107,0.000E+00,8.756E-03,0.000E+00,2.103E-02,0.000E+00,6.686E-04,0.000E+00,1.018E-02
RH108,0.000E+00,7.977E-05,0.000E+00,1.933E-04,0.000E+00,4.675E-06,0.000E+00,9.239E-05
RH108M,0.000E+00,1.559E-05,0.000E+00,4.806E-05,0.000E+00,1.675E-07,0.000E+00,1.869E-05
RH109,0.000E+00,2.729E-04,0.000E+00,7.687E-04,0.000E+00,2.955E-05,0.000E+00,3.208E-04
RH109M,0.000E+00,7.585E-05,0.000E+00,2.136E-04,0.000E+00,8.209E-06,0.000E+00,8.897E-05
RH110,0.000E+00,4.000E-05,0.000E+00,1.020E-04,0.000E+00,5.408E-06,0.000E+00,4.662E-05
RH110M,0.000E+00,3.039E-07,0.000E+00,8.135E-07,0.000E+00,3.165E-08,0.000E+00,3.528E-07
RH111,0.000E+00,4.787E-05,0.000E+00,1.396E-04,0.000E+00,9.005E-06,0.000E+00,5.581E-05
RH112,0.000E+00,1.759E-06,0.000E+00,6.095E-06,0.000E+00,5.911E-07,0.000E+00,2.079E-06
RH113,0.000E+00,2.329E-07,0.000E+00,7.242E-07,0.000E+00,7.582E-08,0.000E+00,2.759E-07
RH114,0.000E+00,2.459E-07,0.000E+00,7.898E-07,0.000E+00,8.473E-08,0.000E+00,2.952E-07
RH115,0.000E+00,6.449E-07,0.000E+00,1.945E-06,0.000E+00,1.321E-07,0.000E+00,7.977E-07
RH116,0.000E+00,4.226E-08,0.000E+00,1.174E-07,0.000E+00,4.291E-08,0.000E+00,0.000E+00
RH117,0.000E+00,2.859E-08,0.000E+00,6.671E-08,0.000E+00,2.562E-09,0.000E+00,0.000E+00
RH118,0.000E+00,1.259E-08,0.000E+00,3.227E-08,0.000E+00,1.691E-10,0.000E+00,0.000E+00
RH119,0.000E+00,1.599E-09,0.000E+00,5.396E-09,0.000E+00,6.041E-11,0.000E+00,0.000E+00
RH120,0.000E+00,8.625E-11,0.000E+00,2.269E-10,0.000E+00,4.515E-12,0.000E+00,0.000E+00
RH121,0.000E+00,1.869E-11,0.000E+00,4.865E-11,0.000E+00,9.431E-13,0.000E+00,0.000E+00
RH122,0.000E+00,1.089E-12,0.000E+00,2.814E-12,0.000E+00,4.908E-14,0.000E+00,0.000E+00
RH123,0.000E+00,1.180E-13,0.000E+00,3.057E-13,0.000E+00,3.445E-15,0.000E+00,0.000E+00
PD104,0.000E+00,4.649E+02,0.000E+00,2.843E+02,0.000E+00,5.567E+00,0.000E+00,4.791E+02
PD105,0.000E+00,6.107E+02,0.000E+00,2.104E+03,0.000E+00,4.365E+01,0.000E+00,6.009E+02
PD106,0.000E+00,3.758E+02,0.000E+00,1.577E+03,0.000E+00,2.363E+01,0.000E+00,4.063E+02
PD107,0.000E+00,3.608E+02,0.000E+00,1.396E+03,0.000E+00,2.478E+01,0.000E+00,3.892E+02
PD107M,0.000E+00,2.639E-08,0.000E+00,4.102E-08,0.000E+00,3.686E-10,0.000E+00,0.000E+00
PD108,0.000E+00,2.489E+02,0.000E+00,1.146E+03,0.000E+00,1.449E+01,0.000E+00,2.695E+02
PD109,0.000E+00,1.909E-01,0.000E+00,4.449E-01,0.000E+00,1.615E-02,0.000E+00,2.353E-01
PD109M,0.000E+00,4.307E-04,0.000E+00,1.208E-03,0.000E+00,4.626E-05,0.000E+00,5.069E-04
PD110,0.000E+00,8.226E+01,0.000E+00,3.430E+02,0.000E+00,9.805E+00,0.000E+00,9.131E+01
PD111,0.000E+00,1.039E-03,0.000E+00,3.163E-03,0.000E+00,1.964E-04,0.000E+00,1.215E-03
PD111M,0.000E+00,2.449E-04,0.000E+00,7.183E-04,0.000E+00,6.022E-05,0.000E+00,2.994E-04
PD112,0.000E+00,2.909E-02,0.000E+00,1.007E-01,0.000E+00,1.056E-02,0.000E+00,3.444E-02
PD113,0.000E+00,2.819E-05,0.000E+00,9.127E-05,0.000E+00,1.203E-05,0.000E+00,3.358E-05
PD114,0.000E+00,3.049E-05,0.000E+00,1.069E-04,0.000E+00,1.886E-05,0.000E+00,3.678E-05
PD115,0.000E+00,7.566E-06,0.000E+00,2.665E-05,0.000E+00,4.307E-06,0.000E+00,9.239E-06
PD116,0.000E+00,2.089E-06,0.000E+00,6.799E-06,0.000E+00,1.944E-06,0.000E+00,2.588E-06
PD117,0.000E+00,6.526E-07,0.000E+00,1.959E-06,0.000E+00,2.790E-07,0.000E+00,7.827E-07
PD118,0.000E+00,3.399E-07,0.000E+00,1.012E-06,0.000E+00,8.822E-08,0.000E+00,4.213E-07
PD119,0.000E+00,1.410E-07,0.000E+00,4.884E-07,0.000E+00,1.867E-08,0.000E+00,1.749E-07
PD120,0.000E+00,1.299E-07,0.000E+00,3.622E-07,0.000E+00,1.770E-08,0.000E+00,1.630E-07
PD121,0.000E+00,7.447E-09,0.000E+00,2.013E-08,0.000E+00,6.827E-10,0.000E+00,0.000E+00
PD122,0.000E+00,4.687E-09,0.000E+00,1.237E-08,0.000E+00,3.378E-10,0.000E+00,0.000E+00
PD123,0.000E+00,2.599E-10,0.000E+00,6.777E-10,0.000E+00,1.298E-11,0.000E+00,0.000E+00
PD124,0.000E+00,8.925E-11,0.000E+00,2.387E-10,0.000E+00,5.574E-12,0.000E+00,0.000E+00
PD126,0.000E+00,7.105E-13,0.000E+00,1.920E-12,0.000E+00,1.123E-13,0.000E+00,0.000E+00
AG106,0.000E+00,7.098E-12,0.000E+00,2.104E-10,0.000E+00,1.609E-12,0.000E+00,0.000E+00
AG107,0.000E+00,5.658E-05,0.000E+00,2.883E-04,0.000E+00,3.617E-06,0.000E+00,5.838E-05
AG108,0.000E+00,2.999E-09,0.000E+00,1.112E-07,0.000E+00,1.437E-09,0.000E+00,0.000E+00
AG108M,0.000E+00,1.929E-06,0.000E+00,1.231E-05,0.000E+00,3.150E-09,0.000E+00,2.181E-06
AG109,0.000E+00,1.150E+02,0.000E+00,7.495E+02,0.000E+00,1.595E+01,0.000E+00,1.191E+02
AG109M,0.000E+00,1.559E-04,0.000E+00,3.633E-04,0.000E+00,1.319E-05,0.000E+00,1.926E-04
AG110,0.000E+00,5.516E-05,0.000E+00,2.734E-05,0.000E+00,3.532E-07,0.000E+00,7.678E-05
AG110M,0.000E+00,1.489E+00,0.000E+00,4.198E+00,0.000E+00,4.608E-02,0.000E+00,1.986E+00
AG111,0.000E+00,5.128E-01,0.000E+00,1.549E+00,0.000E+00,9.637E-02,0.000E+00,6.052E-01
AG111M,0.000E+00,5.117E-05,0.000E+00,1.553E-04,0.000E+00,9.659E-06,0.000E+00,6.009E-05
AG112,0.000E+00,4.537E-03,0.000E+00,1.573E-02,0.000E+00,1.647E-03,0.000E+00,5.367E-03
AG113,0.000E+00,5.389E-03,0.000E+00,1.744E-02,0.000E+00,2.307E-03,0.000E+00,6.416E-03
AG113M,0.000E+00,2.099E-06,0.000E+00,6.804E-06,0.000E+00,9.257E-07,0.000E+00,2.502E-06
AG114,0.000E+00,9.696E-07,0.000E+00,3.417E-06,0.000E+00,6.199E-07,0.000E+00,1.170E-06
AG115,0.000E+00,1.789E-04,0.000E+00,6.388E-04,0.000E+00,1.117E-04,0.000E+00,2.203E-04
AG115M,0.000E+00,9.808E-07,0.000E+00,3.569E-06,0.000E+00,6.968E-07,0.000E+00,1.204E-06
AG116,0.000E+00,1.349E-05,0.000E+00,4.542E-05,0.000E+00,1.168E-05,0.000E+00,1.656E-05
AG116M,0.000E+00,8.694E-07,0.000E+00,2.939E-06,0.000E+00,7.553E-07,0.000E+00,1.071E-06
AG117,0.000E+00,6.019E-06,0.000E+00,1.983E-05,0.000E+00,4.235E-06,0.000E+00,7.378E-06
AG117M,0.000E+00,4.357E-07,0.000E+00,1.436E-06,0.000E+00,3.065E-07,0.000E+00,5.347E-07
AG118,0.000E+00,4.050E-07,0.000E+00,1.351E-06,0.000E+00,2.576E-07,0.000E+00,4.897E-07
AG118M,0.000E+00,2.129E-07,0.000E+00,7.252E-07,0.000E+00,1.382E-07,0.000E+00,2.609E-07
AG119,0.000E+00,9.278E-07,0.000E+00,3.225E-06,0.000E+00,3.956E-07,0.000E+00,1.136E-06
AG120,0.000E+00,1.239E-07,0.000E+00,3.841E-07,0.000E+00,5.498E-08,0.000E+00,1.519E-07
AG121,0.000E+00,2.219E-07,0.000E+00,6.577E-07,0.000E+00,6.929E-08,0.000E+00,2.737E-07
AG122,0.000E+00,4.599E-09,0.000E+00,1.297E-08,0.000E+00,1.268E-09,0.000E+00,0.000E+00
AG123,0.000E+00,2.079E-08,0.000E+00,5.732E-08,0.000E+00,4.354E-09,0.000E+00,0.000E+00
AG124,0.000E+00,2.989E-09,0.000E+00,8.242E-09,0.000E+00,4.173E-10,0.000E+00,0.000E+00
AG125,0.000E+00,1.359E-09,0.000E+00,3.777E-09,0.000E+00,1.279E-10,0.000E+00,0.000E+00
AG126,0.000E+00,1.739E-10,0.000E+00,4.612E-10,0.000E+00,1.518E-11,0.000E+00,0.000E+00
AG128,0.000E+00,5.086E-12,0.000E+00,1.322E-11,0.000E+00,1.041E-12,0.000E+00,0.000E+00
CD108,0.000E+00,6.936E-04,0.000E+00,3.361E-02,0.000E+00,3.043E-04,0.000E+00,9.131E-04
CD109,0.000E+00,1.049E-06,0.000E+00,3.819E-04,0.000E+00,1.946E-06,0.000E+00,1.651E-06
CD110,0.000E+00,7.566E+01,0.000E+00,5.543E+01,0.000E+00,4.953E-01,0.000E+00,9.923E+01
CD111,0.000E+00,4.518E+01,0.000E+00,2.035E+02,0.000E+00,7.327E+00,0.000E+00,5.089E+01
CD111M,0.000E+00,1.589E-06,0.000E+00,2.865E-07,0.000E+00,1.714E-09,0.000E+00,2.802E-06
CD112,0.000E+00,2.689E+01,0.000E+00,1.345E+02,0.000E+00,7.475E+00,0.000E+00,3.080E+01
CD113,0.000E+00,2.059E-01,0.000E+00,9.175E+01,0.000E+00,6.630E+00,0.000E+00,1.839E-01
CD113M,0.000E+00,4.418E-01,0.000E+00,1.729E+00,0.000E+00,1.123E-01,0.000E+00,5.239E-01
CD114,0.000E+00,3.498E+01,0.000E+00,7.122E+01,0.000E+00,6.963E+00,0.000E+00,3.935E+01
CD115,0.000E+00,3.858E-02,0.000E+00,1.420E-01,0.000E+00,2.415E-02,0.000E+00,4.791E-02
CD115M,0.000E+00,7.408E-02,0.000E+00,2.633E-01,0.000E+00,5.109E-02,0.000E+00,9.111E-02
CD116,0.000E+00,1.259E+01,0.000E+00,5.161E+01,0.000E+00,7.311E+00,0.000E+00,1.435E+01
CD117,0.000E+00,1.020E-03,0.000E+00,3.550E-03,0.000E+00,7.738E-04,0.000E+00,1.262E-03
CD117M,0.000E+00,7.266E-04,0.000E+00,2.435E-03,0.000E+00,5.685E-04,0.000E+00,8.961E-04
CD118,0.000E+00,5.048E-04,0.000E+00,1.747E-03,0.000E+00,3.976E-04,0.000E+00,6.180E-04
CD119,0.000E+00,4.748E-05,0.000E+00,1.645E-04,0.000E+00,3.414E-05,0.000E+00,5.838E-05
CD119M,0.000E+00,1.619E-05,0.000E+00,5.599E-05,0.000E+00,1.162E-05,0.000E+00,1.985E-05
CD120,0.000E+00,8.468E-06,0.000E+00,2.883E-05,0.000E+00,6.874E-06,0.000E+00,1.041E-05
CD121,0.000E+00,2.119E-06,0.000E+00,7.066E-06,0.000E+00,1.486E-06,0.000E+00,2.609E-06
CD122,0.000E+00,8.744E-07,0.000E+00,2.822E-06,0.000E+00,7.204E-07,0.000E+00,1.093E-06
CD123,0.000E+00,1.279E-06,0.000E+00,4.097E-06,0.000E+00,9.956E-07,0.000E+00,1.606E-06
CD124,0.000E+00,2.389E-06,0.000E+00,7.380E-06,0.000E+00,1.378E-06,0.000E+00,2.972E-06
CD125,0.000E+00,1.669E-07,0.000E+00,5.201E-07,0.000E+00,6.717E-08,0.000E+00,2.076E-07
CD126,0.000E+00,2.889E-07,0.000E+00,7.804E-07,0.000E+00,5.906E-08,0.000E+00,3.444E-07
CD127,0.000E+00,2.999E-08,0.000E+00,7.332E-08,0.000E+00,3.994E-09,0.000E+00,0.000E+00
CD128,0.000E+00,2.249E-08,0.000E+00,5.388E-08,0.000E+00,2.640E-09,0.000E+00,0.000E+00
CD129,0.000E+00,2.409E-09,0.000E+00,5.772E-09,0.000E+00,1.598E-10,0.000E+00,0.000E+00
CD130,0.000E+00,3.069E-09,0.000E+00,7.567E-09,0.000E+00,2.006E-10,0.000E+00,0.000E+00
CD131,0.000E+00,1.130E-10,0.000E+00,2.953E-10,0.000E+00,6.518E-12,0.000E+00,0.000E+00
CD132,0.000E+00,1.249E-11,0.000E+00,3.310E-11,0.000E+00,7.644E-13,0.000E+00,0.000E+00
