isotope,ST1-charged (g),ST1-discharged (g),ST2-DF-charged (g),ST2-DF-discharged (g),ST2-BB-charged (g),ST2-BB-discharged (g),ST3-charged (g),ST3-discharged (g)
GA71,0.000E+00,2.259E-06,0.000E+00,1.971E-05,0.000E+00,9.588E-05,0.000E+00,3.550E-05
GA72,0.000E+00,2.209E-05,0.000E+00,1.340E-04,0.000E+00,1.885E-04,0.000E+00,4.084E-05
GA73,0.000E+00,1.489E-05,0.000E+00,7.047E-05,0.000E+00,7.579E-05,0.000E+00,2.502E-05
GA74,0.000E+00,7.808E-07,0.000E+00,3.289E-06,0.000E+00,3.885E-06,0.000E+00,1.382E-06
GA75,0.000E+00,3.788E-07,0.000E+00,1.301E-06,0.000E+00,2.404E-06,0.000E+00,7.634E-07
GA76,0.000E+00,1.889E-07,0.000E+00,5.684E-07,0.000E+00,9.742E-07,0.000E+00,3.314E-07
GA77,0.000E+00,1.619E-07,0.000E+00,4.268E-07,0.000E+00,3.279E-07,0.000E+00,2.374E-07
GA78,0.000E+00,1.049E-07,0.000E+00,1.944E-07,0.000E+00,2.011E-07,0.000E+00,1.411E-07
GA79,0.000E+00,7.186E-08,0.000E+00,1.398E-07,0.000E+00,1.179E-07,0.000E+00,9.944E-08
GA80,0.000E+00,4.077E-08,0.000E+00,5.932E-08,0.000E+00,4.416E-08,0.000E+00,0.000E+00
GA81,0.000E+00,1.010E-08,0.000E+00,1.500E-08,0.000E+00,6.923E-09,0.000E+00,0.000E+00
GA82,0.000E+00,8.418E-10,0.000E+00,1.390E-09,0.000E+00,7.627E-10,0.000E+00,0.000E+00
GA83,0.000E+00,2.279E-10,0.000E+00,4.025E-10,0.000E+00,1.982E-10,0.000E+00,0.000E+00
GA84,0.000E+00,2.119E-11,0.000E+00,4.748E-11,0.000E+00,2.504E-11,0.000E+00,0.000E+00
GE70,0.000E+00,3.308E-08,0.000E+00,2.031E-17,0.000E+00,4.113E-17,0.000E+00,8.639E-08
GE72,0.000E+00,3.289E-02,0.000E+00,2.403E-01,0.000E+00,1.830E-01,0.000E+00,1.121E-01
GE73,0.000E+00,6.656E-02,0.000E+00,3.571E-01,0.000E+00,2.113E-01,0.000E+00,1.778E-01
GE73M,0.000E+00,4.487E-10,0.000E+00,2.128E-09,0.000E+00,2.288E-09,0.000E+00,0.000E+00
GE74,0.000E+00,1.469E-01,0.000E+00,6.356E-01,0.000E+00,3.997E-01,0.000E+00,4.341E-01
GE75,0.000E+00,1.679E-05,0.000E+00,5.801E-05,0.000E+00,1.059E-04,0.000E+00,3.378E-05
GE75M,0.000E+00,7.585E-09,0.000E+00,2.718E-08,0.000E+00,4.646E-08,0.000E+00,0.000E+00
GE76,0.000E+00,7.478E-01,0.000E+00,2.097E+00,0.000E+00,1.888E+00,0.000E+00,2.107E+00
GE77,0.000E+00,2.369E-04,0.000E+00,7.039E-04,0.000E+00,4.883E-04,0.000E+00,3.636E-04
GE77M,0.000E+00,6.806E-07,0.000E+00,1.892E-06,0.000E+00,1.361E-06,0.000E+00,1.009E-06
GE78,0.000E+00,1.899E-04,0.000E+00,4.140E-04,0.000E+00,3.968E-04,0.000E+00,2.930E-04
GE79,0.000E+00,3.279E-06,0.000E+00,6.633E-06,0.000E+00,6.523E-06,0.000E+00,5.089E-06
GE80,0.000E+00,3.469E-06,0.000E+00,4.884E-06,0.000E+00,4.928E-06,0.000E+00,4.534E-06
GE81,0.000E+00,1.709E-06,0.000E+00,2.215E-06,0.000E+00,1.697E-06,0.000E+00,1.948E-06
GE82,0.000E+00,6.637E-07,0.000E+00,9.263E-07,0.000E+00,8.194E-07,0.000E+00,7.314E-07
GE83,0.000E+00,1.969E-07,0.000E+00,2.841E-07,0.000E+00,1.984E-07,0.000E+00,1.945E-07
GE84,0.000E+00,4.357E-08,0.000E+00,8.100E-08,0.000E+00,4.964E-08,0.000E+00,0.000E+00
GE85,0.000E+00,2.029E-09,0.000E+00,3.057E-09,0.000E+00,1.825E-09,0.000E+00,0.000E+00
GE86,0.000E+00,4.307E-10,0.000E+00,6.903E-10,0.000E+00,3.749E-10,0.000E+00,0.000E+00
GE87,0.000E+00,2.829E-11,0.000E+00,4.036E-11,0.000E+00,1.639E-11,0.000E+00,0.000E+00
GE88,0.000E+00,1.439E-12,0.000E+00,3.345E-12,0.000E+00,9.168E-13,0.000E+00,0.000E+00
AS75,0.000E+00,2.979E-01,0.000E+00,1.023E+00,0.000E+00,1.037E+00,0.000E+00,1.071E+00
AS76,0.000E+00,3.139E-05,0.000E+00,1.029E-04,0.000E+00,6.342E-05,0.000E+00,1.510E-04
AS77,0.000E+00,2.209E-03,0.000E+00,6.297E-03,0.000E+00,4.457E-03,0.000E+00,3.314E-03
AS78,0.000E+00,2.039E-04,0.000E+00,4.460E-04,0.000E+00,4.209E-04,0.000E+00,3.144E-04
AS79,0.000E+00,4.810E-05,0.000E+00,9.309E-05,0.000E+00,8.891E-05,0.000E+00,7.228E-05
AS80,0.000E+00,3.179E-06,0.000E+00,4.449E-06,0.000E+00,4.307E-06,0.000E+00,4.277E-06
AS81,0.000E+00,9.635E-06,0.000E+00,1.220E-05,0.000E+00,9.215E-06,0.000E+00,1.187E-05
AS82,0.000E+00,5.297E-06,0.000E+00,7.578E-06,0.000E+00,7.215E-06,0.000E+00,6.394E-06
AS82M,0.000E+00,1.400E-06,0.000E+00,2.073E-06,0.000E+00,2.147E-06,0.000E+00,1.897E-06
AS83,0.000E+00,5.957E-06,0.000E+00,9.722E-06,0.000E+00,8.080E-06,0.000E+00,6.928E-06
AS84,0.000E+00,2.129E-06,0.000E+00,3.273E-06,0.000E+00,2.739E-06,0.000E+00,2.438E-06
AS85,0.000E+00,4.238E-07,0.000E+00,5.161E-07,0.000E+00,4.106E-07,0.000E+00,4.084E-07
AS86,0.000E+00,9.946E-08,0.000E+00,1.104E-07,0.000E+00,7.314E-08,0.000E+00,8.191E-08
AS87,0.000E+00,1.569E-08,0.000E+00,1.186E-08,0.000E+00,6.117E-09,0.000E+00,0.000E+00
AS88,0.000E+00,6.449E-10,0.000E+00,1.158E-09,0.000E+00,3.393E-10,0.000E+00,0.000E+00
AS89,0.000E+00,7.028E-11,0.000E+00,1.426E-10,0.000E+00,4.043E-11,0.000E+00,0.000E+00
SE76,0.000E+00,1.220E-02,0.000E+00,4.857E-02,0.000E+00,2.069E-02,0.000E+00,6.073E-02
SE77,0.000E+00,1.509E+00,0.000E+00,3.945E+00,0.000E+00,1.562E+00,0.000E+00,3.058E+00
SE77M,0.000E+00,8.456E-10,0.000E+00,2.009E-09,0.000E+00,1.399E-09,0.000E+00,0.000E+00
SE78,0.000E+00,3.689E+00,0.000E+00,7.655E+00,0.000E+00,3.894E+00,0.000E+00,8.319E+00
SE79,0.000E+00,8.867E+00,0.000E+00,1.594E+01,0.000E+00,8.290E+00,0.000E+00,1.865E+01
SE79M,0.000E+00,2.089E-05,0.000E+00,4.033E-05,0.000E+00,3.847E-05,0.000E+00,3.144E-05
SE80,0.000E+00,2.019E+01,0.000E+00,2.513E+01,0.000E+00,1.331E+01,0.000E+00,3.400E+01
SE81,0.000E+00,3.618E-04,0.000E+00,4.633E-04,0.000E+00,3.442E-04,0.000E+00,4.513E-04
SE81M,0.000E+00,2.949E-05,0.000E+00,4.926E-05,0.000E+00,4.195E-05,0.000E+00,4.063E-05
SE82,0.000E+00,5.036E+01,0.000E+00,6.156E+01,0.000E+00,3.320E+01,0.000E+00,7.891E+01
SE83,0.000E+00,3.938E-04,0.000E+00,8.055E-04,0.000E+00,5.730E-04,0.000E+00,5.347E-04
SE83M,0.000E+00,2.959E-05,0.000E+00,5.569E-05,0.000E+00,4.597E-05,0.000E+00,3.935E-05
SE84,0.000E+00,2.359E-04,0.000E+00,4.001E-04,0.000E+00,3.376E-04,0.000E+00,2.994E-04
SE85,0.000E+00,2.639E-05,0.000E+00,3.763E-05,0.000E+00,3.510E-05,0.000E+00,3.122E-05
SE85M,0.000E+00,9.596E-06,0.000E+00,1.437E-05,0.000E+00,1.398E-05,0.000E+00,1.215E-05
SE86,0.000E+00,2.169E-05,0.000E+00,2.729E-05,0.000E+00,2.437E-05,0.000E+00,2.267E-05
SE87,0.000E+00,6.119E-06,0.000E+00,5.668E-06,0.000E+00,5.149E-06,0.000E+00,6.180E-06
SE88,0.000E+00,6.238E-07,0.000E+00,7.746E-07,0.000E+00,3.244E-07,0.000E+00,5.453E-07
SE89,0.000E+00,5.036E-08,0.000E+00,7.186E-08,0.000E+00,2.390E-08,0.000E+00,0.000E+00
SE90,0.000E+00,1.999E-08,0.000E+00,2.486E-08,0.000E+00,9.014E-09,0.000E+00,0.000E+00
SE91,0.000E+00,1.059E-09,0.000E+00,1.832E-09,0.000E+00,2.507E-10,0.000E+00,0.000E+00
SE92,0.000E+00,8.656E-11,0.000E+00,2.049E-10,0.000E+00,2.636E-11,0.000E+00,0.000E+00
BR79,0.000E+00,1.989E-04,0.000E+00,3.577E-04,0.000E+00,1.259E-04,0.000E+00,4.341E-04
BR79M,0.000E+00,6.618E-13,0.000E+00,8.967E-13,0.000E+00,1.883E-13,0.000E+00,0.000E+00
BR80,0.000E+00,6.798E-09,0.000E+00,1.233E-08,0.000E+00,1.366E-08,0.000E+00,0.000E+00
BR80M,0.000E+00,6.606E-08,0.000E+00,9.418E-08,0.000E+00,5.091E-08,0.000E+00,9.944E-08
BR81,0.000E+00,3.199E+01,0.000E+00,3.617E+01,0.000E+00,1.563E+01,0.000E+00,4.341E+01
BR82,0.000E+00,6.656E-03,0.000E+00,6.201E-03,0.000E+00,1.693E-03,0.000E+00,1.195E-02
BR82M,0.000E+00,7.447E-06,0.000E+00,3.489E-06,0.000E+00,1.022E-06,0.000E+00,1.352E-05
BR83,0.000E+00,6.307E-03,0.000E+00,1.231E-02,0.000E+00,9.479E-03,0.000E+00,8.491E-03
BR84,0.000E+00,2.369E-03,0.000E+00,4.092E-03,0.000E+00,3.398E-03,0.000E+00,3.037E-03
BR84M,0.000E+00,1.899E-05,0.000E+00,4.457E-05,0.000E+00,2.730E-05,0.000E+00,2.994E-05
BR85,0.000E+00,2.569E-04,0.000E+00,4.174E-04,0.000E+00,3.784E-04,0.000E+00,3.358E-04
BR86,0.000E+00,5.827E-05,0.000E+00,8.853E-05,0.000E+00,7.903E-05,0.000E+00,7.014E-05
BR86M,0.000E+00,4.787E-06,0.000E+00,7.236E-06,0.000E+00,6.460E-06,0.000E+00,5.731E-06
BR87,0.000E+00,1.359E-04,0.000E+00,1.653E-04,0.000E+00,1.405E-04,0.000E+00,1.507E-04
BR88,0.000E+00,4.126E-05,0.000E+00,4.353E-05,0.000E+00,4.439E-05,0.000E+00,4.427E-05
BR89,0.000E+00,7.696E-06,0.000E+00,7.322E-06,0.000E+00,6.194E-06,0.000E+00,6.864E-06
BR90,0.000E+00,1.709E-06,0.000E+00,1.346E-06,0.000E+00,1.298E-06,0.000E+00,1.407E-06
BR91,0.000E+00,2.309E-07,0.000E+00,2.335E-07,0.000E+00,6.449E-08,0.000E+00,1.717E-07
BR92,0.000E+00,1.529E-08,0.000E+00,2.891E-08,0.000E+00,5.866E-09,0.000E+00,0.000E+00
BR93,0.000E+00,1.759E-09,0.000E+00,2.969E-09,0.000E+00,5.746E-10,0.000E+00,0.000E+00
BR94,0.000E+00,8.376E-11,0.000E+00,1.576E-10,0.000E+00,2.491E-11,0.000E+00,0.000E+00
BR95,0.000E+00,7.758E-12,0.000E+00,1.851E-11,0.000E+00,1.071E-12,0.000E+00,0.000E+00
BR96,0.000E+00,2.959E-13,0.000E+00,7.386E-13,0.000E+00,3.838E-14,0.000E+00,0.000E+00
KR79,0.000E+00,1.020E-12,0.000E+00,1.657E-11,0.000E+00,6.360E-12,0.000E+00,0.000E+00
KR80,0.000E+00,3.598E-04,0.000E+00,9.237E-04,0.000E+00,5.819E-04,0.000E+00,1.358E-03
