isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g),ST2-charged (g),ST2-discharged (g)
GE75M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.169E-09
GE76,0.000E+00,1.536E+00,0.000E+00,2.664E-01,0.000E+00,5.734E-01
GE77,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.029E-04
GE77M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.527E-07
GE78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.723E-04
GE79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.898E-06
GE80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.674E-06
GE81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.173E-06
GE82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.131E-07
GE83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.156E-07
GE84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.471E-08
GE85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.307E-09
GE86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.782E-10
GE87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.543E-11
GE88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.203E-12
AS75,0.000E+00,7.537E-01,0.000E+00,1.438E-01,0.000E+00,2.684E-01
AS76,0.000E+00,9.446E-14,0.000E+00,1.050E-14,0.000E+00,2.511E-05
AS77,0.000E+00,5.649E-09,0.000E+00,1.412E-09,0.000E+00,1.831E-03
AS78,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.869E-04
AS79,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.184E-05
AS80,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.679E-06
AS81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.803E-06
AS82,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.647E-06
AS82M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.091E-06
AS83,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.742E-06
AS84,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.425E-06
AS85,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.388E-07
AS86,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.090E-08
AS87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.594E-09
AS88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.640E-10
AS89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.423E-11
SE76,0.000E+00,3.826E-02,0.000E+00,3.622E-03,0.000E+00,1.048E-02
SE77,0.000E+00,2.975E+00,0.000E+00,4.975E-01,0.000E+00,1.146E+00
SE77M,0.000E+00,1.756E-15,0.000E+00,4.388E-16,0.000E+00,7.054E-10
SE78,0.000E+00,5.655E+00,0.000E+00,8.719E-01,0.000E+00,3.317E+00
SE79,0.000E+00,1.191E+01,0.000E+00,2.040E+00,0.000E+00,7.292E+00
SE79M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.818E-05
SE80,0.000E+00,1.835E+01,0.000E+00,3.019E+00,0.000E+00,1.598E+01
SE81,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.984E-04
SE81M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.191E-05
SE82,0.000E+00,4.657E+01,0.000E+00,8.470E+00,0.000E+00,3.379E+01
