isotope,ST1-charged (g),ST1-discharged (g)
H3,0.000E+00,4.922E-02
HE4,0.000E+00,3.653E-01
LI6,0.000E+00,2.901E-04
LI7,0.000E+00,6.985E-06
BE9,0.000E+00,1.341E-05
BE10,0.000E+00,8.983E-05
C14,0.000E+00,1.816E-05
ZN66,0.000E+00,6.112E-07
ZN67,0.000E+00,2.566E-08
ZN68,0.000E+00,4.769E-11
GA69,0.000E+00,1.007E-14
GA71,0.000E+00,6.711E-06
GE70,0.000E+00,7.683E-18
GE72,0.000E+00,3.952E-02
GE73,0.000E+00,1.066E-01
GE74,0.000E+00,2.172E-01
GE76,0.000E+00,8.805E-01
AS75,0.000E+00,3.653E-01
SE76,0.000E+00,7.318E-03
SE77,0.000E+00,1.775E+00
SE78,0.000E+00,3.653E+00
SE79,0.000E+00,5.313E+00
SE80,0.000E+00,1.180E+01
SE82,0.000E+00,2.668E+01
BR79,0.000E+00,1.986E-04
BR81,0.000E+00,1.845E+01
KR80,0.000E+00,2.395E-05
KR81,0.000E+00,2.064E-06
KR82,0.000E+00,4.599E-01
KR83,0.000E+00,4.594E+01
KR84,0.000E+00,8.950E+01
KR85,0.000E+00,1.864E+01
KR86,0.000E+00,1.689E+02
RB85,0.000E+00,8.960E+01
RB86,0.000E+00,9.970E-09
RB87,0.000E+00,2.151E+02
SR86,0.000E+00,1.052E+00
SR87,0.000E+00,5.188E-03
SR88,0.000E+00,3.173E+02
SR89,0.000E+00,9.704E-02
SR90,0.000E+00,4.462E+02
Y89,0.000E+00,4.005E+02
Y90,0.000E+00,1.119E-01
Y91,0.000E+00,3.107E-01
ZR90,0.000E+00,4.457E+01
ZR91,0.000E+00,5.049E+02
ZR92,0.000E+00,5.305E+02
ZR93,0.000E+00,5.795E+02
ZR94,0.000E+00,5.627E+02
ZR95,0.000E+00,6.026E-01
ZR96,0.000E+00,5.848E+02
NB93,0.000E+00,1.379E-04
NB93M,0.000E+00,8.013E-04
NB94,0.000E+00,6.173E-05
NB95,0.000E+00,7.247E-01
NB95M,0.000E+00,2.522E-04
MO95,0.000E+00,5.863E+02
MO96,0.000E+00,8.422E+00
MO97,0.000E+00,5.610E+02
MO98,0.000E+00,5.780E+02
MO100,0.000E+00,6.158E+02
