isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,8.548E-02,0.000E+00,1.016E-01
HE4,0.000E+00,9.176E-01,0.000E+00,2.179E+01
LI6,0.000E+00,2.420E-04,0.000E+00,3.542E-04
LI7,0.000E+00,1.548E-05,0.000E+00,1.507E-05
BE9,0.000E+00,2.979E-05,0.000E+00,2.898E-05
BE10,0.000E+00,1.989E-04,0.000E+00,1.936E-04
C14,0.000E+00,4.022E-05,0.000E+00,3.915E-05
CO72,0.000E+00,1.183E-12,0.000E+00,1.177E-12
CO73,0.000E+00,3.664E-13,0.000E+00,3.629E-13
CO74,0.000E+00,6.603E-14,0.000E+00,5.988E-14
CO75,0.000E+00,6.593E-15,0.000E+00,5.946E-15
NI72,0.000E+00,4.477E-10,0.000E+00,4.827E-10
NI73,0.000E+00,6.148E-11,0.000E+00,6.443E-11
NI74,0.000E+00,6.026E-11,0.000E+00,5.472E-11
NI75,0.000E+00,6.816E-12,0.000E+00,6.118E-12
NI76,0.000E+00,2.632E-12,0.000E+00,2.301E-12
NI77,0.000E+00,1.746E-13,0.000E+00,1.491E-13
NI78,0.000E+00,2.756E-14,0.000E+00,2.363E-14
CU66,0.000E+00,1.151E-13,0.000E+00,1.015E-13
CU67,0.000E+00,1.209E-16,0.000E+00,5.672E-17
CU72,0.000E+00,2.200E-09,0.000E+00,2.529E-09
CU73,0.000E+00,1.894E-09,0.000E+00,2.034E-09
CU74,0.000E+00,3.596E-10,0.000E+00,3.336E-10
CU75,0.000E+00,4.761E-10,0.000E+00,4.259E-10
CU76,0.000E+00,1.020E-10,0.000E+00,8.580E-11
CU77,0.000E+00,6.335E-11,0.000E+00,5.096E-11
CU78,0.000E+00,9.363E-12,0.000E+00,7.456E-12
CU79,0.000E+00,3.553E-12,0.000E+00,3.076E-12
CU80,0.000E+00,2.318E-13,0.000E+00,1.958E-13
CU81,0.000E+00,1.431E-14,0.000E+00,1.216E-14
ZN66,0.000E+00,5.347E-08,0.000E+00,3.027E-08
ZN67,0.000E+00,2.227E-09,0.000E+00,9.221E-10
ZN68,0.000E+00,2.127E-03,0.000E+00,1.202E-11
ZN69,0.000E+00,5.130E-10,0.000E+00,2.000E-18
ZN69M,0.000E+00,4.991E-10,0.000E+00,1.948E-18
ZN70,0.000E+00,7.581E-03,0.000E+00,0.000E+00
ZN71,0.000E+00,3.163E-12,0.000E+00,0.000E+00
ZN71M,0.000E+00,3.251E-11,0.000E+00,0.000E+00
ZN72,0.000E+00,7.267E-05,0.000E+00,8.534E-05
ZN73,0.000E+00,1.883E-08,0.000E+00,2.058E-08
ZN74,0.000E+00,1.421E-07,0.000E+00,1.412E-07
ZN75,0.000E+00,2.461E-08,0.000E+00,2.335E-08
ZN76,0.000E+00,2.443E-08,0.000E+00,2.112E-08
ZN77,0.000E+00,6.958E-09,0.000E+00,5.565E-09
ZN78,0.000E+00,1.164E-08,0.000E+00,8.636E-09
ZN79,0.000E+00,1.277E-09,0.000E+00,1.055E-09
ZN80,0.000E+00,8.421E-10,0.000E+00,6.439E-10
ZN81,0.000E+00,3.633E-11,0.000E+00,2.833E-11
ZN82,0.000E+00,5.115E-12,0.000E+00,4.180E-12
ZN83,0.000E+00,3.020E-13,0.000E+00,2.492E-13
GA69,0.000E+00,5.661E-06,0.000E+00,1.646E-14
GA70,0.000E+00,1.669E-12,0.000E+00,0.000E+00
GA71,0.000E+00,2.256E-06,0.000E+00,2.134E-06
GA72,0.000E+00,2.211E-05,0.000E+00,2.598E-05
GA73,0.000E+00,1.487E-05,0.000E+00,1.632E-05
GA74,0.000E+00,7.808E-07,0.000E+00,7.860E-07
GA75,0.000E+00,3.789E-07,0.000E+00,3.700E-07
GA76,0.000E+00,1.893E-07,0.000E+00,1.725E-07
GA77,0.000E+00,1.620E-07,0.000E+00,1.366E-07
GA78,0.000E+00,1.051E-07,0.000E+00,8.325E-08
GA79,0.000E+00,7.191E-08,0.000E+00,6.007E-08
GA80,0.000E+00,4.079E-08,0.000E+00,2.922E-08
GA81,0.000E+00,1.010E-08,0.000E+00,7.038E-09
GA82,0.000E+00,8.416E-10,0.000E+00,6.137E-10
GA83,0.000E+00,2.280E-10,0.000E+00,1.685E-10
GA84,0.000E+00,2.121E-11,0.000E+00,1.848E-11
GE70,0.000E+00,3.308E-08,0.000E+00,6.313E-17
GE72,0.000E+00,3.293E-02,0.000E+00,4.494E-02
GE73,0.000E+00,6.654E-02,0.000E+00,7.786E-02
GE73M,0.000E+00,4.489E-10,0.000E+00,4.929E-10
GE74,0.000E+00,1.473E-01,0.000E+00,1.502E-01
GE75,0.000E+00,1.675E-05,0.000E+00,1.639E-05
GE75M,0.000E+00,7.591E-09,0.000E+00,7.623E-09
GE76,0.000E+00,7.479E-01,0.000E+00,6.211E-01
GE77,0.000E+00,2.365E-04,0.000E+00,2.142E-04
GE77M,0.000E+00,6.806E-07,0.000E+00,5.937E-07
GE78,0.000E+00,1.899E-04,0.000E+00,1.789E-04
GE79,0.000E+00,3.283E-06,0.000E+00,3.004E-06
GE80,0.000E+00,3.466E-06,0.000E+00,2.829E-06
GE81,0.000E+00,1.707E-06,0.000E+00,1.256E-06
GE82,0.000E+00,6.639E-07,0.000E+00,4.570E-07
GE83,0.000E+00,1.969E-07,0.000E+00,1.299E-07
GE84,0.000E+00,4.358E-08,0.000E+00,3.647E-08
GE85,0.000E+00,2.029E-09,0.000E+00,1.416E-09
GE86,0.000E+00,4.311E-10,0.000E+00,2.986E-10
GE87,0.000E+00,2.831E-11,0.000E+00,1.697E-11
GE88,0.000E+00,1.436E-12,0.000E+00,1.209E-12
AS75,0.000E+00,2.981E-01,0.000E+00,2.863E-01
AS76,0.000E+00,3.137E-05,0.000E+00,2.581E-05
AS77,0.000E+00,2.205E-03,0.000E+00,1.953E-03
AS78,0.000E+00,2.043E-04,0.000E+00,1.936E-04
AS79,0.000E+00,4.813E-05,0.000E+00,4.330E-05
AS80,0.000E+00,3.176E-06,0.000E+00,2.759E-06
AS81,0.000E+00,9.642E-06,0.000E+00,8.000E-06
AS82,0.000E+00,5.302E-06,0.000E+00,3.924E-06
AS82M,0.000E+00,1.404E-06,0.000E+00,1.137E-06
AS83,0.000E+00,5.960E-06,0.000E+00,4.157E-06
AS84,0.000E+00,2.130E-06,0.000E+00,1.559E-06
