isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
H3,0.000E+00,8.581E-02,0.000E+00,0.000E+00
HE4,0.000E+00,9.475E-01,0.000E+00,0.000E+00
LI6,0.000E+00,2.440E-04,0.000E+00,0.000E+00
LI7,0.000E+00,1.560E-05,0.000E+00,0.000E+00
BE9,0.000E+00,3.010E-05,0.000E+00,0.000E+00
BE10,0.000E+00,2.011E-04,0.000E+00,0.000E+00
C14,0.000E+00,4.061E-05,0.000E+00,0.000E+00
CO72,0.000E+00,1.200E-12,0.000E+00,3.239E-13
CO73,0.000E+00,3.711E-13,0.000E+00,5.969E-15
CO74,0.000E+00,6.704E-14,0.000E+00,9.909E-15
CO75,0.000E+00,6.693E-15,0.000E+00,1.850E-15
NI72,0.000E+00,4.531E-10,0.000E+00,6.779E-10
NI73,0.000E+00,6.223E-11,0.000E+00,8.540E-12
NI74,0.000E+00,6.113E-11,0.000E+00,2.219E-11
NI75,0.000E+00,6.923E-12,0.000E+00,2.050E-12
NI76,0.000E+00,2.671E-12,0.000E+00,8.440E-13
NI77,0.000E+00,1.771E-13,0.000E+00,1.090E-13
NI78,0.000E+00,2.801E-14,0.000E+00,2.520E-14
CU66,0.000E+00,1.170E-13,0.000E+00,0.000E+00
CU67,0.000E+00,1.220E-16,0.000E+00,0.000E+00
CU72,0.000E+00,2.220E-09,0.000E+00,8.360E-09
CU73,0.000E+00,1.920E-09,0.000E+00,2.130E-09
CU74,0.000E+00,3.641E-10,0.000E+00,5.380E-10
CU75,0.000E+00,4.821E-10,0.000E+00,4.009E-10
CU76,0.000E+00,1.030E-10,0.000E+00,5.929E-11
CU77,0.000E+00,6.442E-11,0.000E+00,3.929E-11
CU78,0.000E+00,9.512E-12,0.000E+00,6.469E-12
CU79,0.000E+00,3.611E-12,0.000E+00,1.790E-12
CU80,0.000E+00,2.351E-13,0.000E+00,3.150E-13
CU81,0.000E+00,1.451E-14,0.000E+00,2.830E-14
ZN66,0.000E+00,5.433E-08,0.000E+00,0.000E+00
ZN67,0.000E+00,2.261E-09,0.000E+00,0.000E+00
ZN68,0.000E+00,2.161E-03,0.000E+00,0.000E+00
ZN69,0.000E+00,5.181E-10,0.000E+00,0.000E+00
ZN69M,0.000E+00,5.051E-10,0.000E+00,0.000E+00
ZN70,0.000E+00,7.692E-03,0.000E+00,0.000E+00
ZN71,0.000E+00,3.191E-12,0.000E+00,0.000E+00
ZN71M,0.000E+00,3.281E-11,0.000E+00,0.000E+00
ZN72,0.000E+00,7.310E-05,0.000E+00,3.600E-04
ZN73,0.000E+00,1.900E-08,0.000E+00,6.020E-08
ZN74,0.000E+00,1.430E-07,0.000E+00,5.000E-07
ZN75,0.000E+00,2.481E-08,0.000E+00,5.850E-08
ZN76,0.000E+00,2.471E-08,0.000E+00,4.360E-08
ZN77,0.000E+00,7.049E-09,0.000E+00,1.020E-08
ZN78,0.000E+00,1.180E-08,0.000E+00,9.679E-09
ZN79,0.000E+00,1.301E-09,0.000E+00,6.710E-10
ZN80,0.000E+00,8.560E-10,0.000E+00,7.580E-10
ZN81,0.000E+00,3.691E-11,0.000E+00,4.890E-11
ZN82,0.000E+00,5.191E-12,0.000E+00,9.139E-12
ZN83,0.000E+00,3.071E-13,0.000E+00,5.250E-13
GA69,0.000E+00,5.752E-06,0.000E+00,0.000E+00
GA70,0.000E+00,1.680E-12,0.000E+00,0.000E+00
GA71,0.000E+00,2.271E-06,0.000E+00,0.000E+00
GA72,0.000E+00,2.220E-05,0.000E+00,1.100E-04
GA73,0.000E+00,1.500E-05,0.000E+00,5.090E-05
GA74,0.000E+00,7.870E-07,0.000E+00,2.910E-06
GA75,0.000E+00,3.821E-07,0.000E+00,1.080E-06
GA76,0.000E+00,1.910E-07,0.000E+00,4.850E-07
GA77,0.000E+00,1.630E-07,0.000E+00,4.020E-07
GA78,0.000E+00,1.060E-07,0.000E+00,1.580E-07
GA79,0.000E+00,7.274E-08,0.000E+00,7.739E-08
GA80,0.000E+00,4.141E-08,0.000E+00,3.350E-08
GA81,0.000E+00,1.030E-08,0.000E+00,9.460E-09
GA82,0.000E+00,8.550E-10,0.000E+00,1.040E-09
GA83,0.000E+00,2.321E-10,0.000E+00,2.900E-10
