isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
SE77,0.000E+00,3.201E+00,0.000E+00,1.165E+00
SE77M,0.000E+00,2.077E-09,0.000E+00,4.013E-10
SE78,0.000E+00,6.106E+00,0.000E+00,2.145E+00
SE79,0.000E+00,1.297E+01,0.000E+00,4.639E+00
SE79M,0.000E+00,4.123E-05,0.000E+00,7.996E-06
SE80,0.000E+00,1.989E+01,0.000E+00,7.276E+00
SE81,0.000E+00,4.832E-04,0.000E+00,9.905E-05
SE81M,0.000E+00,5.035E-05,0.000E+00,9.051E-06
SE82,0.000E+00,5.093E+01,0.000E+00,1.970E+01
SE83,0.000E+00,8.301E-04,0.000E+00,1.593E-04
SE83M,0.000E+00,5.753E-05,0.000E+00,1.133E-05
SE84,0.000E+00,4.136E-04,0.000E+00,8.310E-05
SE85,0.000E+00,3.917E-05,0.000E+00,8.326E-06
SE85M,0.000E+00,1.473E-05,0.000E+00,2.989E-06
SE86,0.000E+00,2.827E-05,0.000E+00,6.236E-06
SE87,0.000E+00,6.038E-06,0.000E+00,1.436E-06
SE88,0.000E+00,8.701E-07,0.000E+00,2.205E-07
SE89,0.000E+00,8.466E-08,0.000E+00,2.171E-08
SE90,0.000E+00,3.027E-08,0.000E+00,7.785E-09
SE91,0.000E+00,2.308E-09,0.000E+00,5.789E-10
SE92,0.000E+00,2.591E-10,0.000E+00,6.422E-11
BR79,0.000E+00,2.413E-04,0.000E+00,1.463E-04
BR79M,0.000E+00,9.275E-13,0.000E+00,1.564E-13
BR80,0.000E+00,1.269E-08,0.000E+00,2.163E-09
BR80M,0.000E+00,9.727E-08,0.000E+00,1.646E-08
BR81,0.000E+00,2.976E+01,0.000E+00,1.213E+01
BR82,0.000E+00,7.243E-03,0.000E+00,9.576E-04
BR82M,0.000E+00,4.038E-06,0.000E+00,5.444E-07
BR83,0.000E+00,1.270E-02,0.000E+00,2.464E-03
BR84,0.000E+00,4.228E-03,0.000E+00,8.428E-04
BR84M,0.000E+00,4.569E-05,0.000E+00,7.914E-06
BR85,0.000E+00,4.306E-04,0.000E+00,8.583E-05
BR86,0.000E+00,9.080E-05,0.000E+00,1.843E-05
BR86M,0.000E+00,7.420E-06,0.000E+00,1.506E-06
BR87,0.000E+00,1.702E-04,0.000E+00,3.614E-05
BR88,0.000E+00,4.528E-05,0.000E+00,1.022E-05
BR89,0.000E+00,7.806E-06,0.000E+00,1.882E-06
