isotope,ST1-charged (g),ST1-discharged (g)
RB100,0.00E+00,1.30E-11
SR86,0.00E+00,3.72E-01
SR87,0.00E+00,3.33E-03
SR87M,0.00E+00,2.98E-07
SR88,0.00E+00,3.41E+02
SR89,0.00E+00,2.37E+01
SR90,0.00E+00,5.15E+02
SR91,0.00E+00,2.47E-01
SR92,0.00E+00,7.97E-02
SR93,0.00E+00,4.35E-03
SR94,0.00E+00,7.12E-04
SR95,0.00E+00,2.33E-04
SR96,0.00E+00,2.58E-05
SR97,0.00E+00,7.07E-07
SR98,0.00E+00,1.19E-06
SR99,0.00E+00,2.15E-07
SR100,0.00E+00,7.81E-08
SR101,0.00E+00,2.58E-09
SR102,0.00E+00,3.90E-10
SR103,0.00E+00,4.72E-12
SR104,0.00E+00,2.94E-13
Y89,0.00E+00,5.12E+02
Y89M,0.00E+00,5.62E-11
Y90,0.00E+00,1.32E-01
Y90M,0.00E+00,1.19E-06
Y91,0.00E+00,3.72E+01
Y91M,0.00E+00,1.25E-02
Y92,0.00E+00,1.05E-01
Y93,0.00E+00,3.61E-01
Y94,0.00E+00,1.18E-02
Y95,0.00E+00,7.23E-03
Y96,0.00E+00,1.55E-03
Y97,0.00E+00,1.11E-05
Y98,0.00E+00,2.19E-06
Y99,0.00E+00,3.46E-06
Y100,0.00E+00,1.49E-06
Y101,0.00E+00,6.30E-07
Y102,0.00E+00,4.45E-08
Y103,0.00E+00,9.08E-09
Y104,0.00E+00,3.65E-10
Y105,0.00E+00,2.38E-11
Y107,0.00E+00,7.00E-15
ZR90,0.00E+00,2.29E+01
ZR90M,0.00E+00,2.71E-14
ZR91,0.00E+00,6.83E+02
ZR92,0.00E+00,6.65E+02
ZR93,0.00E+00,8.56E+02
ZR94,0.00E+00,8.30E+02
ZR95,0.00E+00,7.01E+01
ZR96,0.00E+00,1.02E+03
ZR97,0.00E+00,7.64E-01
ZR98,0.00E+00,4.05E-04
ZR99,0.00E+00,3.20E-05
ZR100,0.00E+00,8.81E-05
ZR101,0.00E+00,2.74E-05
ZR102,0.00E+00,1.41E-04
ZR103,0.00E+00,3.43E-06
ZR104,0.00E+00,2.00E-06
ZR105,0.00E+00,4.29E-08
ZR106,0.00E+00,8.54E-09
ZR107,0.00E+00,9.76E-11
ZR108,0.00E+00,2.53E-11
ZR109,0.00E+00,6.22E-13
NB92,0.00E+00,2.04E-12
NB93,0.00E+00,8.25E-05
NB93M,0.00E+00,5.71E-04
NB94,0.00E+00,1.18E-03
NB94M,0.00E+00,3.14E-09
NB95,0.00E+00,3.86E+01
NB95M,0.00E+00,2.67E-02
NB96,0.00E+00,1.98E-03
NB97,0.00E+00,5.48E-02
NB97M,0.00E+00,7.15E-04
NB98,0.00E+00,3.71E-05
NB98M,0.00E+00,3.97E-04
NB99,0.00E+00,1.98E-04
NB99M,0.00E+00,8.45E-05
NB100,0.00E+00,1.86E-05
NB100M,0.00E+00,1.87E-05
NB101,0.00E+00,9.32E-05
NB102,0.00E+00,3.54E-05
NB103,0.00E+00,1.34E-04
NB104,0.00E+00,4.72E-06
NB105,0.00E+00,3.11E-06
NB106,0.00E+00,2.75E-07
NB107,0.00E+00,5.90E-08
NB108,0.00E+00,2.21E-09
NB109,0.00E+00,4.78E-10
NB110,0.00E+00,2.28E-11
NB111,0.00E+00,2.40E-12
MO95,0.00E+00,8.47E+02
MO96,0.00E+00,5.21E+01
MO97,0.00E+00,1.03E+03
MO98,0.00E+00,1.11E+03
MO99,0.00E+00,3.51E+00
MO100,0.00E+00,1.26E+03
MO101,0.00E+00,1.25E-02
MO102,0.00E+00,9.36E-03
MO103,0.00E+00,8.32E-04
MO104,0.00E+00,1.17E-03
MO105,0.00E+00,4.88E-04
MO106,0.00E+00,5.13E-05
MO107,0.00E+00,1.60E-05
MO108,0.00E+00,8.68E-07
MO109,0.00E+00,1.43E-07
MO110,0.00E+00,4.38E-08
MO111,0.00E+00,1.69E-09
MO112,0.00E+00,5.33E-10
MO113,0.00E+00,1.09E-11
MO114,0.00E+00,1.81E-12
MO115,0.00E+00,4.37E-14
TC98,0.00E+00,8.79E-03
TC99,0.00E+00,1.05E+03
TC99M,0.00E+00,2.81E-01
TC100,0.00E+00,5.23E-05
TC101,0.00E+00,1.21E-02
TC102,0.00E+00,7.43E-05
TC102M,0.00E+00,3.94E-06
TC103,0.00E+00,7.03E-04
TC104,0.00E+00,1.41E-02
TC105,0.00E+00,5.22E-03
TC106,0.00E+00,3.19E-04
TC107,0.00E+00,1.62E-04
TC108,0.00E+00,1.59E-05
TC109,0.00E+00,6.36E-05
TC110,0.00E+00,2.47E-07
TC111,0.00E+00,1.09E-07
TC112,0.00E+00,8.38E-09
TC113,0.00E+00,2.72E-09
TC114,0.00E+00,2.18E-10
TC115,0.00E+00,5.78E-11
TC116,0.00E+00,1.71E-12
TC117,0.00E+00,9.33E-14
RU99,0.00E+00,5.54E-03
RU100,0.00E+00,1.23E+02
RU101,0.00E+00,1.08E+03
RU102,0.00E+00,1.13E+03
RU103,0.00E+00,5.22E+01
RU104,0.00E+00,9.02E+02
RU105,0.00E+00,1.95E-01
RU106,0.00E+00,2.62E+02
RU107,0.00E+00,1.89E-03
RU108,0.00E+00,1.45E-03
RU109,0.00E+00,1.14E-04
RU110,0.00E+00,2.33E-05
RU111,0.00E+00,9.56E-06
RU112,0.00E+00,1.72E-07
RU113,0.00E+00,3.20E-07
RU114,0.00E+00,2.26E-07
RU115,0.00E+00,1.37E-08
RU116,0.00E+00,5.71E-09
RU117,0.00E+00,1.88E-10
RU118,0.00E+00,2.35E-09
RU120,0.00E+00,2.43E-13
RH102,0.00E+00,1.83E-03
RH103,0.00E+00,7.43E+02
RH103M,0.00E+00,4.31E-02
RH104,0.00E+00,3.13E-04
RH104M,0.00E+00,1.49E-04
RH105,0.00E+00,1.51E+00
RH105M,0.00E+00,1.39E-04
RH106,0.00E+00,2.55E-04
RH106M,0.00E+00,9.89E-04
RH107,0.00E+00,9.79E-03
RH108,0.00E+00,9.09E-05
RH108M,0.00E+00,1.56E-05
RH109,0.00E+00,3.08E-04
RH109M,0.00E+00,8.56E-05
RH110,0.00E+00,4.57E-05
RH110M,0.00E+00,3.54E-07
RH111,0.00E+00,5.50E-05
RH112,0.00E+00,1.99E-06
RH113,0.00E+00,2.50E-07
RH114,0.00E+00,2.48E-07
RH115,0.00E+00,5.74E-07
RH116,0.00E+00,3.54E-08
RH117,0.00E+00,2.53E-08
RH118,0.00E+00,9.00E-09
RH119,0.00E+00,1.26E-09
RH120,0.00E+00,6.45E-11
RH121,0.00E+00,1.37E-11
RH122,0.00E+00,7.90E-13
RH123,0.00E+00,8.44E-14
PD104,0.00E+00,2.44E+02
PD105,0.00E+00,7.01E+02
PD106,0.00E+00,6.28E+02
PD107,0.00E+00,4.20E+02
PD107M,0.00E+00,2.14E-08
PD108,0.00E+00,3.02E+02
PD109,0.00E+00,2.12E-01
PD109M,0.00E+00,4.85E-04
PD110,0.00E+00,1.17E+02
PD111,0.00E+00,1.19E-03
PD111M,0.00E+00,2.76E-04
PD112,0.00E+00,3.30E-02
PD113,0.00E+00,3.07E-05
PD114,0.00E+00,3.19E-05
PD115,0.00E+00,7.49E-06
PD116,0.00E+00,1.99E-06
PD117,0.00E+00,5.98E-07
PD118,0.00E+00,2.96E-07
PD119,0.00E+00,1.21E-07
PD120,0.00E+00,1.07E-07
PD121,0.00E+00,5.90E-09
PD122,0.00E+00,3.60E-09
PD123,0.00E+00,1.94E-10
PD124,0.00E+00,7.10E-11
PD126,0.00E+00,6.47E-13
AG106,0.00E+00,1.14E-11
AG107,0.00E+00,8.68E-05
AG108,0.00E+00,4.90E-09
AG108M,0.00E+00,2.08E-06
AG109,0.00E+00,1.63E+02
AG109M,0.00E+00,1.73E-04
AG110,0.00E+00,5.93E-05
AG110M,0.00E+00,1.65E+00
AG111,0.00E+00,5.84E-01
AG111M,0.00E+00,5.84E-05
AG112,0.00E+00,5.15E-03
AG113,0.00E+00,5.86E-03
AG113M,0.00E+00,2.28E-06
AG114,0.00E+00,1.02E-06
AG115,0.00E+00,1.78E-04
AG115M,0.00E+00,9.76E-07
AG116,0.00E+00,1.30E-05
AG116M,0.00E+00,8.38E-07
AG117,0.00E+00,5.57E-06
AG117M,0.00E+00,4.03E-07
AG118,0.00E+00,3.85E-07
AG118M,0.00E+00,2.02E-07
AG119,0.00E+00,8.62E-07
AG120,0.00E+00,1.14E-07
AG121,0.00E+00,1.95E-07
AG122,0.00E+00,3.88E-09
AG123,0.00E+00,1.69E-08
AG124,0.00E+00,2.54E-09
AG125,0.00E+00,1.22E-09
AG126,0.00E+00,1.67E-10
AG128,0.00E+00,5.59E-12
CD108,0.00E+00,1.25E-03
CD109,0.00E+00,1.45E-06
CD110,0.00E+00,7.41E+01
CD111,0.00E+00,5.49E+01
CD111M,0.00E+00,1.10E-06
CD112,0.00E+00,3.34E+01
CD113,0.00E+00,8.81E-01
CD113M,0.00E+00,4.79E-01
CD114,0.00E+00,3.91E+01
CD115,0.00E+00,3.80E-02
CD115M,0.00E+00,7.35E-02
CD116,0.00E+00,1.18E+01
CD117,0.00E+00,9.46E-04
CD117M,0.00E+00,6.72E-04
CD118,0.00E+00,4.82E-04
CD119,0.00E+00,4.53E-05
CD119M,0.00E+00,1.55E-05
CD120,0.00E+00,8.03E-06
CD121,0.00E+00,1.98E-06
CD122,0.00E+00,8.00E-07
CD123,0.00E+00,1.15E-06
CD124,0.00E+00,2.16E-06
CD125,0.00E+00,1.55E-07
CD126,0.00E+00,2.80E-07
CD127,0.00E+00,3.39E-08
CD128,0.00E+00,2.64E-08
CD129,0.00E+00,2.45E-09
CD130,0.00E+00,2.64E-09
CD131,0.00E+00,9.10E-11
CD132,0.00E+00,9.50E-12
IN113,0.00E+00,3.27E-02
IN113M,0.00E+00,2.56E-13
IN114,0.00E+00,8.87E-09
IN114M,0.00E+00,1.99E-04
IN115,0.00E+00,4.81E+00
IN115M,0.00E+00,3.06E-03
IN116,0.00E+00,1.63E-06
IN116M,0.00E+00,2.99E-04
IN117,0.00E+00,2.47E-04
IN117M,0.00E+00,8.26E-04
IN118,0.00E+00,7.98E-07
IN118M,0.00E+00,1.79E-08
IN119,0.00E+00,6.95E-06
IN119M,0.00E+00,1.30E-04
IN120,0.00E+00,3.58E-06
IN120M,0.00E+00,2.49E-07
IN121,0.00E+00,3.68E-06
IN121M,0.00E+00,6.51E-06
IN122,0.00E+00,1.57E-06
IN122M,0.00E+00,1.78E-08
IN123,0.00E+00,7.75E-07
IN123M,0.00E+00,2.68E-06
IN124,0.00E+00,6.73E-07
IN125,0.00E+00,3.26E-07
IN125M,0.00E+00,1.23E-06
IN126,0.00E+00,4.84E-07
IN127,0.00E+00,4.17E-07
IN127M,0.00E+00,7.59E-07
IN128,0.00E+00,1.30E-06
IN129,0.00E+00,2.38E-07
IN130,0.00E+00,1.52E-07
IN131,0.00E+00,3.12E-08
IN132,0.00E+00,2.85E-09
IN133,0.00E+00,2.90E-10
IN134,0.00E+00,1.05E-11
SN114,0.00E+00,2.70E-03
SN115,0.00E+00,4.94E-01
SN116,0.00E+00,1.05E+01
SN117,0.00E+00,1.13E+01
SN117M,0.00E+00,1.13E-03
SN118,0.00E+00,1.17E+01
SN119,0.00E+00,1.17E+01
SN119M,0.00E+00,5.68E-02
SN120,0.00E+00,1.18E+01
SN121,0.00E+00,1.59E-02
SN121M,0.00E+00,5.58E-03
SN122,0.00E+00,1.25E+01
SN123,0.00E+00,4.25E-01
SN123M,0.00E+00,3.70E-04
SN124,0.00E+00,1.67E+01
SN125,0.00E+00,1.06E-01
SN125M,0.00E+00,1.29E-04
SN126,0.00E+00,3.84E+01
SN127,0.00E+00,5.70E-03
SN127M,0.00E+00,8.33E-05
SN128,0.00E+00,6.02E-03
SN129,0.00E+00,5.45E-04
SN129M,0.00E+00,1.97E-04
SN130,0.00E+00,8.56E-04
SN131,0.00E+00,2.18E-04
SN132,0.00E+00,7.28E-05
SN133,0.00E+00,7.81E-07
SN134,0.00E+00,6.10E-08
SN135,0.00E+00,2.09E-09
SN136,0.00E+00,2.41E-10
SB121,0.00E+00,1.12E+01
SB122,0.00E+00,5.35E-03
SB122M,0.00E+00,4.33E-08
SB123,0.00E+00,1.31E+01
SB124,0.00E+00,8.02E-02
SB125,0.00E+00,1.74E+01
SB126,0.00E+00,1.16E-02
SB126M,0.00E+00,5.48E-06
SB127,0.00E+00,3.85E-01
SB128,0.00E+00,4.78E-03
SB128M,0.00E+00,1.15E-03
SB129,0.00E+00,5.34E-02
SB130,0.00E+00,2.68E-03
SB130M,0.00E+00,1.90E-03
SB131,0.00E+00,1.24E-02
SB132,0.00E+00,9.06E-04
SB132M,0.00E+00,8.99E-04
SB133,0.00E+00,9.01E-04
SB134,0.00E+00,1.26E-05
SB134M,0.00E+00,1.15E-05
SB135,0.00E+00,9.75E-07
SB136,0.00E+00,2.49E-08
SB137,0.00E+00,4.10E-09
SB138,0.00E+00,2.14E-10
SB139,0.00E+00,2.01E-11
TE122,0.00E+00,7.78E-01
TE123,0.00E+00,9.86E-03
TE123M,0.00E+00,1.62E-03
TE124,0.00E+00,5.21E-01
TE125,0.00E+00,8.17E+00
TE125M,0.00E+00,2.19E-01
TE126,0.00E+00,1.03E+00
TE127,0.00E+00,3.89E-02
TE127M,0.00E+00,1.50E+00
TE128,0.00E+00,1.51E+02
TE129,0.00E+00,1.41E-02
TE129M,0.00E+00,1.46E+00
TE130,0.00E+00,4.84E+02
TE131,0.00E+00,1.43E-02
TE131M,0.00E+00,1.64E-01
TE132,0.00E+00,4.30E+00
TE133,0.00E+00,9.84E-03
TE133M,0.00E+00,2.48E-02
TE134,0.00E+00,4.57E-02
TE135,0.00E+00,1.94E-04
TE136,0.00E+00,1.09E-04
TE137,0.00E+00,5.10E-06
TE138,0.00E+00,5.42E-07
TE139,0.00E+00,2.51E-08
TE140,0.00E+00,5.11E-09
TE141,0.00E+00,7.10E-11
TE142,0.00E+00,1.51E-11
I127,0.00E+00,7.31E+01
I128,0.00E+00,2.13E-04
I129,0.00E+00,2.65E+02
I130,0.00E+00,1.24E-02
I130M,0.00E+00,5.62E-05
I131,0.00E+00,8.06E+00
I132,0.00E+00,1.29E-01
I133,0.00E+00,1.62E+00
I133M,0.00E+00,5.90E-06
I134,0.00E+00,7.68E-02
I134M,0.00E+00,5.44E-04
I135,0.00E+00,5.32E-01
I136,0.00E+00,8.65E-04
I136M,0.00E+00,2.70E-04
I137,0.00E+00,2.45E-04
I138,0.00E+00,3.12E-05
