isotope,Batch1-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch7-discharged (g),Batch8-charged (g),Batch8-discharged (g)
Y96,5.38E-22,9.03E-04,0.00E+00,1.43E-03,0.00E+00,1.12E-03,0.00E+00,9.38E-04
Y97,5.38E-22,6.23E-06,0.00E+00,9.78E-06,0.00E+00,7.64E-06,0.00E+00,6.39E-06
Y98,5.38E-22,1.18E-06,0.00E+00,1.83E-06,0.00E+00,1.42E-06,0.00E+00,1.18E-06
Y99,5.38E-22,1.92E-06,0.00E+00,2.88E-06,0.00E+00,2.19E-06,0.00E+00,1.81E-06
Y100,5.38E-22,8.71E-07,0.00E+00,1.28E-06,0.00E+00,9.47E-07,0.00E+00,7.80E-07
Y101,5.38E-22,3.96E-07,0.00E+00,5.55E-07,0.00E+00,3.97E-07,0.00E+00,3.23E-07
Y102,5.38E-22,3.24E-08,0.00E+00,4.44E-08,0.00E+00,3.12E-08,0.00E+00,2.52E-08
Y103,5.38E-22,7.22E-09,0.00E+00,9.75E-09,0.00E+00,6.75E-09,0.00E+00,5.42E-09
Y104,5.38E-22,2.71E-10,0.00E+00,3.66E-10,0.00E+00,2.54E-10,0.00E+00,2.04E-10
Y105,5.38E-22,1.46E-11,0.00E+00,1.97E-11,0.00E+00,1.37E-11,0.00E+00,1.10E-11
Y106,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Y107,5.38E-22,3.46E-15,0.00E+00,4.63E-15,0.00E+00,3.19E-15,0.00E+00,2.55E-15
ZR90,5.38E-22,9.73E+01,2.03E+02,4.93E+02,8.32E+02,1.22E+03,1.74E+03,1.81E+03
ZR90M,5.38E-22,4.69E-14,0.00E+00,7.65E-14,0.00E+00,6.10E-14,0.00E+00,5.14E-14
ZR91,5.38E-22,7.22E+02,7.75E+02,2.56E+03,2.92E+03,4.83E+03,5.64E+03,6.34E+03
ZR92,5.38E-22,9.00E+02,9.41E+02,3.28E+03,3.70E+03,6.48E+03,7.52E+03,8.68E+03
ZR93,5.38E-22,1.11E+03,1.16E+03,3.95E+03,4.46E+03,7.53E+03,8.74E+03,9.94E+03
ZR94,5.38E-22,1.19E+03,1.25E+03,4.46E+03,5.03E+03,9.00E+03,1.05E+04,1.22E+04
ZR95,5.38E-22,3.92E+01,2.21E-13,6.41E+01,3.91E-13,5.21E+01,3.27E-13,4.45E+01
ZR96,5.38E-22,1.43E+03,1.49E+03,5.14E+03,5.80E+03,9.86E+03,1.15E+04,1.30E+04
ZR97,5.38E-22,4.83E-01,0.00E+00,7.95E-01,0.00E+00,6.61E-01,0.00E+00,5.70E-01
ZR98,5.38E-22,2.55E-04,0.00E+00,4.05E-04,0.00E+00,3.20E-04,0.00E+00,2.68E-04
ZR99,5.38E-22,1.93E-05,0.00E+00,3.07E-05,0.00E+00,2.42E-05,0.00E+00,2.03E-05
ZR100,5.38E-22,5.23E-05,0.00E+00,8.28E-05,0.00E+00,6.52E-05,0.00E+00,5.46E-05
ZR101,5.38E-22,1.50E-05,0.00E+00,2.33E-05,0.00E+00,1.81E-05,0.00E+00,1.51E-05
ZR102,5.38E-22,8.28E-05,0.00E+00,1.26E-04,0.00E+00,9.66E-05,0.00E+00,8.03E-05
ZR103,5.38E-22,1.96E-06,0.00E+00,2.91E-06,0.00E+00,2.19E-06,0.00E+00,1.80E-06
ZR104,5.38E-22,1.07E-06,0.00E+00,1.55E-06,0.00E+00,1.16E-06,0.00E+00,9.47E-07
ZR105,5.38E-22,2.02E-08,0.00E+00,2.87E-08,0.00E+00,2.11E-08,0.00E+00,1.72E-08
ZR106,5.38E-22,2.71E-09,0.00E+00,3.98E-09,0.00E+00,3.03E-09,0.00E+00,2.49E-09
ZR107,5.38E-22,3.38E-11,0.00E+00,4.86E-11,0.00E+00,3.64E-11,0.00E+00,2.99E-11
ZR108,5.38E-22,4.85E-11,0.00E+00,6.20E-11,0.00E+00,4.02E-11,0.00E+00,3.15E-11
ZR109,5.38E-22,1.29E-12,0.00E+00,1.65E-12,0.00E+00,1.07E-12,0.00E+00,8.42E-13
NB91,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
NB92,5.38E-22,5.22E-10,0.00E+00,8.45E-09,0.00E+00,3.10E-08,0.00E+00,5.31E-08
NB93,5.38E-22,9.92E-04,2.95E-03,1.06E-02,2.16E-02,4.41E-02,7.50E-02,9.37E-02
NB93M,5.38E-22,2.59E-03,5.15E-03,1.51E-02,2.42E-02,4.09E-02,5.66E-02,6.44E-02
NB94,5.38E-22,4.82E-03,5.04E-03,1.78E-02,2.01E-02,3.69E-02,4.28E-02,5.27E-02
NB94M,5.38E-22,5.08E-09,0.00E+00,8.29E-09,0.00E+00,6.64E-09,0.00E+00,5.63E-09
NB95,5.38E-22,2.13E+01,2.70E-13,3.52E+01,4.76E-13,2.88E+01,3.98E-13,2.46E+01
NB95M,5.38E-22,1.59E-02,9.26E-17,2.60E-02,1.63E-16,2.12E-02,1.37E-16,1.80E-02
NB96,5.38E-22,1.75E-03,0.00E+00,3.88E-03,0.00E+00,2.91E-03,0.00E+00,2.14E-03
NB97,5.38E-22,3.46E-02,0.00E+00,5.69E-02,0.00E+00,4.74E-02,0.00E+00,4.08E-02
NB97M,5.38E-22,4.52E-04,0.00E+00,7.44E-04,0.00E+00,6.19E-04,0.00E+00,5.33E-04
NB98,5.38E-22,2.34E-05,0.00E+00,3.73E-05,0.00E+00,2.94E-05,0.00E+00,2.47E-05
NB98M,5.38E-22,4.27E-04,0.00E+00,6.98E-04,0.00E+00,5.58E-04,0.00E+00,4.71E-04
NB99,5.38E-22,1.22E-04,0.00E+00,1.94E-04,0.00E+00,1.53E-04,0.00E+00,1.28E-04
NB99M,5.38E-22,7.26E-05,0.00E+00,1.19E-04,0.00E+00,9.53E-05,0.00E+00,8.04E-05
NB100,5.38E-22,1.17E-05,0.00E+00,1.87E-05,0.00E+00,1.48E-05,0.00E+00,1.24E-05
NB100M,5.38E-22,1.18E-05,0.00E+00,1.88E-05,0.00E+00,1.49E-05,0.00E+00,1.25E-05
NB101,5.38E-22,5.97E-05,0.00E+00,9.47E-05,0.00E+00,7.47E-05,0.00E+00,6.26E-05
NB102,5.38E-22,2.40E-05,0.00E+00,3.80E-05,0.00E+00,2.99E-05,0.00E+00,2.50E-05
NB103,5.38E-22,8.53E-05,0.00E+00,1.35E-04,0.00E+00,1.06E-04,0.00E+00,8.85E-05
NB104,5.38E-22,2.79E-06,0.00E+00,4.36E-06,0.00E+00,3.42E-06,0.00E+00,2.86E-06
NB105,5.38E-22,1.49E-06,0.00E+00,2.31E-06,0.00E+00,1.80E-06,0.00E+00,1.50E-06
NB106,5.38E-22,1.01E-07,0.00E+00,1.59E-07,0.00E+00,1.27E-07,0.00E+00,1.06E-07
NB107,5.38E-22,1.64E-08,0.00E+00,2.63E-08,0.00E+00,2.16E-08,0.00E+00,1.82E-08
NB108,5.38E-22,3.04E-09,0.00E+00,3.95E-09,0.00E+00,2.62E-09,0.00E+00,2.08E-09
NB109,5.38E-22,9.21E-10,0.00E+00,1.21E-09,0.00E+00,8.13E-10,0.00E+00,6.46E-10
NB110,5.38E-22,4.44E-11,0.00E+00,5.68E-11,0.00E+00,3.69E-11,0.00E+00,2.90E-11
NB111,5.38E-22,4.77E-12,0.00E+00,6.09E-12,0.00E+00,3.94E-12,0.00E+00,3.10E-12
NB112,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
MO95,5.38E-22,1.26E+03,1.38E+03,4.34E+03,5.01E+03,7.70E+03,9.03E+03,9.76E+03
MO96,5.38E-22,7.11E+01,7.43E+01,6.49E+02,7.33E+02,2.23E+03,2.59E+03,3.54E+03
MO97,5.38E-22,1.46E+03,1.53E+03,5.01E+03,5.66E+03,9.06E+03,1.05E+04,1.16E+04
MO98,5.38E-22,1.69E+03,1.76E+03,6.44E+03,7.27E+03,1.33E+04,1.54E+04,1.81E+04
MO99,5.38E-22,2.20E+00,0.00E+00,3.74E+00,0.00E+00,3.32E+00,0.00E+00,2.98E+00
MO100,5.38E-22,1.88E+03,1.97E+03,6.76E+03,7.63E+03,1.29E+04,1.50E+04,1.70E+04
MO101,5.38E-22,9.03E-03,0.00E+00,1.51E-02,0.00E+00,1.29E-02,0.00E+00,1.13E-02
MO102,5.38E-22,6.84E-03,0.00E+00,1.09E-02,0.00E+00,8.62E-03,0.00E+00,7.24E-03
MO103,5.38E-22,6.09E-04,0.00E+00,9.76E-04,0.00E+00,7.73E-04,0.00E+00,6.50E-04
MO104,5.38E-22,8.70E-04,0.00E+00,1.40E-03,0.00E+00,1.11E-03,0.00E+00,9.36E-04
MO105,5.38E-22,3.20E-04,0.00E+00,5.13E-04,0.00E+00,4.09E-04,0.00E+00,3.44E-04
MO106,5.38E-22,3.00E-05,0.00E+00,4.88E-05,0.00E+00,3.94E-05,0.00E+00,3.32E-05
MO107,5.38E-22,6.65E-06,0.00E+00,1.11E-05,0.00E+00,9.15E-06,0.00E+00,7.74E-06
MO108,5.38E-22,5.18E-07,0.00E+00,7.75E-07,0.00E+00,5.90E-07,0.00E+00,4.88E-07
MO109,5.38E-22,1.88E-07,0.00E+00,2.76E-07,0.00E+00,2.04E-07,0.00E+00,1.68E-07
MO110,5.38E-22,6.83E-08,0.00E+00,8.98E-08,0.00E+00,6.01E-08,0.00E+00,4.78E-08
MO111,5.38E-22,3.14E-09,0.00E+00,4.04E-09,0.00E+00,2.64E-09,0.00E+00,2.08E-09
MO112,5.38E-22,1.02E-09,0.00E+00,1.31E-09,0.00E+00,8.48E-10,0.00E+00,6.67E-10
MO113,5.38E-22,2.10E-11,0.00E+00,2.69E-11,0.00E+00,1.75E-11,0.00E+00,1.37E-11
MO114,5.38E-22,3.53E-12,0.00E+00,4.51E-12,0.00E+00,2.92E-12,0.00E+00,2.30E-12
MO115,5.38E-22,8.63E-14,0.00E+00,1.10E-13,0.00E+00,7.14E-14,0.00E+00,5.60E-14
TC98,5.38E-22,4.62E-02,4.83E-02,5.16E-01,5.82E-01,1.65E+00,1.92E+00,2.49E+00
TC99,5.38E-22,1.58E+03,1.65E+03,5.02E+03,5.68E+03,8.20E+03,9.53E+03,1.01E+04
TC99M,5.38E-22,1.76E-01,0.00E+00,2.99E-01,0.00E+00,2.65E-01,0.00E+00,2.38E-01
TC100,5.38E-22,2.46E-05,0.00E+00,1.10E-04,0.00E+00,1.67E-04,0.00E+00,1.73E-04
TC101,5.38E-22,8.77E-03,0.00E+00,1.47E-02,0.00E+00,1.26E-02,0.00E+00,1.10E-02
TC102,5.38E-22,5.44E-05,0.00E+00,8.67E-05,0.00E+00,6.84E-05,0.00E+00,5.75E-05
TC102M,5.38E-22,5.01E-06,0.00E+00,8.19E-06,0.00E+00,6.54E-06,0.00E+00,5.51E-06
TC103,5.38E-22,5.19E-04,0.00E+00,8.32E-04,0.00E+00,6.60E-04,0.00E+00,5.54E-04
TC104,5.38E-22,1.09E-02,0.00E+00,1.75E-02,0.00E+00,1.40E-02,0.00E+00,1.17E-02
TC105,5.38E-22,3.72E-03,0.00E+00,6.00E-03,0.00E+00,4.78E-03,0.00E+00,4.02E-03
TC106,5.38E-22,2.30E-04,0.00E+00,3.76E-04,0.00E+00,3.03E-04,0.00E+00,2.56E-04
TC107,5.38E-22,9.74E-05,0.00E+00,1.62E-04,0.00E+00,1.32E-04,0.00E+00,1.12E-04
TC108,5.38E-22,8.55E-06,0.00E+00,1.41E-05,0.00E+00,1.14E-05,0.00E+00,9.66E-06
TC109,5.38E-22,5.72E-05,0.00E+00,9.17E-05,0.00E+00,7.29E-05,0.00E+00,6.12E-05
TC110,5.38E-22,2.14E-07,0.00E+00,3.18E-07,0.00E+00,2.39E-07,0.00E+00,1.98E-07
TC111,5.38E-22,1.34E-07,0.00E+00,1.86E-07,0.00E+00,1.31E-07,0.00E+00,1.06E-07
TC112,5.38E-22,1.31E-08,0.00E+00,1.72E-08,0.00E+00,1.15E-08,0.00E+00,9.17E-09
TC113,5.38E-22,4.63E-09,0.00E+00,6.03E-09,0.00E+00,3.99E-09,0.00E+00,3.16E-09
TC114,5.38E-22,4.03E-10,0.00E+00,5.17E-10,0.00E+00,3.38E-10,0.00E+00,2.66E-10
TC115,5.38E-22,1.11E-10,0.00E+00,1.42E-10,0.00E+00,9.23E-11,0.00E+00,7.26E-11
TC116,5.38E-22,3.32E-12,0.00E+00,4.24E-12,0.00E+00,2.75E-12,0.00E+00,2.16E-12
TC117,5.38E-22,1.80E-13,0.00E+00,2.30E-13,0.00E+00,1.49E-13,0.00E+00,1.17E-13
TC118,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
RU99,5.38E-22,3.32E-02,7.94E-02,2.01E-01,3.80E-01,5.42E-01,8.87E-01,9.51E-01
RU100,5.38E-22,1.80E+02,1.88E+02,1.54E+03,1.74E+03,4.92E+03,5.71E+03,7.55E+03
RU101,5.38E-22,1.72E+03,1.80E+03,5.30E+03,5.98E+03,8.44E+03,9.80E+03,1.03E+04
RU102,5.38E-22,2.17E+03,2.26E+03,8.76E+03,9.89E+03,1.87E+04,2.17E+04,2.57E+04
RU103,5.38E-22,3.70E+01,0.00E+00,6.83E+01,0.00E+00,6.80E+01,0.00E+00,6.42E+01
RU104,5.38E-22,1.87E+03,1.95E+03,6.64E+03,7.50E+03,1.24E+04,1.44E+04,1.62E+04
RU105,5.38E-22,1.32E-01,0.00E+00,2.36E-01,0.00E+00,2.18E-01,0.00E+00,1.98E-01
RU106,5.38E-22,1.96E+02,6.78E-01,3.57E+02,1.34E+00,3.07E+02,1.18E+00,2.64E+02
RU107,5.38E-22,1.17E-03,0.00E+00,1.93E-03,0.00E+00,1.58E-03,0.00E+00,1.33E-03
RU108,5.38E-22,8.78E-04,0.00E+00,1.46E-03,0.00E+00,1.19E-03,0.00E+00,1.01E-03
RU109,5.38E-22,8.44E-05,0.00E+00,1.39E-04,0.00E+00,1.13E-04,0.00E+00,9.58E-05
RU110,5.38E-22,1.54E-05,0.00E+00,2.50E-05,0.00E+00,2.01E-05,0.00E+00,1.70E-05
RU111,5.38E-22,7.67E-06,0.00E+00,1.20E-05,0.00E+00,9.47E-06,0.00E+00,7.93E-06
RU112,5.38E-22,1.65E-07,0.00E+00,2.43E-07,0.00E+00,1.83E-07,0.00E+00,1.51E-07
RU113,5.38E-22,3.77E-07,0.00E+00,5.26E-07,0.00E+00,3.75E-07,0.00E+00,3.04E-07
RU114,5.38E-22,3.34E-07,0.00E+00,4.45E-07,0.00E+00,3.04E-07,0.00E+00,2.43E-07
RU115,5.38E-22,2.36E-08,0.00E+00,3.07E-08,0.00E+00,2.03E-08,0.00E+00,1.61E-08
RU116,5.38E-22,1.03E-08,0.00E+00,1.33E-08,0.00E+00,8.70E-09,0.00E+00,6.87E-09
RU117,5.38E-22,3.27E-10,0.00E+00,4.20E-10,0.00E+00,2.74E-10,0.00E+00,2.16E-10
RU118,5.38E-22,4.64E-09,0.00E+00,5.93E-09,0.00E+00,3.83E-09,0.00E+00,3.01E-09
RU119,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
RU120,5.38E-22,4.66E-13,0.00E+00,5.97E-13,0.00E+00,3.89E-13,0.00E+00,3.05E-13
RH102,5.38E-22,8.99E-03,1.29E-03,6.50E-02,1.01E-02,1.10E-01,1.76E-02,1.02E-01
RH103,5.38E-22,1.77E+03,1.89E+03,5.78E+03,6.60E+03,9.78E+03,1.14E+04,1.23E+04
RH103M,5.38E-22,3.30E-02,0.00E+00,6.11E-02,0.00E+00,6.08E-02,0.00E+00,5.74E-02
RH104,5.38E-22,8.80E-05,0.00E+00,4.05E-04,0.00E+00,6.32E-04,0.00E+00,6.63E-04
RH104M,5.38E-22,1.09E-09,0.00E+00,1.78E-09,0.00E+00,1.42E-09,0.00E+00,1.20E-09
RH105,5.38E-22,1.05E+00,0.00E+00,1.87E+00,0.00E+00,1.73E+00,0.00E+00,1.57E+00
RH105M,5.38E-22,1.04E-04,0.00E+00,1.86E-04,0.00E+00,1.72E-04,0.00E+00,1.56E-04
RH106,5.38E-22,1.84E-04,6.38E-07,3.36E-04,1.26E-06,2.89E-04,1.11E-06,2.48E-04
RH106M,5.38E-22,1.30E-04,0.00E+00,3.38E-04,0.00E+00,2.75E-04,0.00E+00,2.03E-04
RH107,5.38E-22,6.06E-03,0.00E+00,1.00E-02,0.00E+00,8.18E-03,0.00E+00,6.91E-03
RH108,5.38E-22,5.54E-05,0.00E+00,9.19E-05,0.00E+00,7.51E-05,0.00E+00,6.35E-05
RH108M,5.38E-22,1.48E-05,0.00E+00,2.45E-05,0.00E+00,1.98E-05,0.00E+00,1.68E-05
RH109,5.38E-22,2.24E-04,0.00E+00,3.70E-04,0.00E+00,3.01E-04,0.00E+00,2.55E-04
RH109M,5.38E-22,6.22E-05,0.00E+00,1.03E-04,0.00E+00,8.37E-05,0.00E+00,7.07E-05
RH110,5.38E-22,3.01E-05,0.00E+00,4.90E-05,0.00E+00,3.95E-05,0.00E+00,3.33E-05
RH110M,5.38E-22,2.24E-07,0.00E+00,3.79E-07,0.00E+00,3.14E-07,0.00E+00,2.67E-07
RH111,5.38E-22,4.18E-05,0.00E+00,6.70E-05,0.00E+00,5.36E-05,0.00E+00,4.51E-05
RH112,5.38E-22,1.91E-06,0.00E+00,2.97E-06,0.00E+00,2.33E-06,0.00E+00,1.94E-06
RH113,5.38E-22,2.46E-07,0.00E+00,3.68E-07,0.00E+00,2.80E-07,0.00E+00,2.31E-07
RH114,5.38E-22,2.91E-07,0.00E+00,4.21E-07,0.00E+00,3.10E-07,0.00E+00,2.54E-07
RH115,5.38E-22,8.13E-07,0.00E+00,1.12E-06,0.00E+00,7.85E-07,0.00E+00,6.33E-07
RH116,5.38E-22,5.30E-08,0.00E+00,7.10E-08,0.00E+00,4.86E-08,0.00E+00,3.89E-08
RH117,5.38E-22,3.16E-08,0.00E+00,4.15E-08,0.00E+00,2.79E-08,0.00E+00,2.22E-08
RH118,5.38E-22,1.72E-08,0.00E+00,2.20E-08,0.00E+00,1.43E-08,0.00E+00,1.13E-08
RH119,5.38E-22,2.25E-09,0.00E+00,3.21E-09,0.00E+00,2.32E-09,0.00E+00,1.89E-09
RH120,5.38E-22,1.15E-10,0.00E+00,1.49E-10,0.00E+00,9.80E-11,0.00E+00,7.73E-11
RH121,5.38E-22,2.52E-11,0.00E+00,3.24E-11,0.00E+00,2.12E-11,0.00E+00,1.67E-11
RH122,5.38E-22,1.47E-12,0.00E+00,1.89E-12,0.00E+00,1.24E-12,0.00E+00,9.73E-13
RH123,5.38E-22,1.63E-13,0.00E+00,2.09E-13,0.00E+00,1.36E-13,0.00E+00,1.07E-13
PD102,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
PD104,5.38E-22,2.34E+02,2.44E+02,1.99E+03,2.25E+03,6.22E+03,7.22E+03,9.46E+03
PD105,5.38E-22,1.32E+03,1.39E+03,4.16E+03,4.70E+03,7.03E+03,8.16E+03,8.92E+03
PD106,5.38E-22,1.28E+03,1.54E+03,5.89E+03,7.06E+03,1.34E+04,1.59E+04,1.87E+04
PD107,5.38E-22,8.07E+02,8.43E+02,2.82E+03,3.19E+03,5.33E+03,6.19E+03,7.04E+03
PD107M,5.38E-22,3.82E-10,0.00E+00,6.24E-10,0.00E+00,4.98E-10,0.00E+00,4.20E-10
PD108,5.38E-22,7.24E+02,7.56E+02,3.25E+03,3.67E+03,7.72E+03,8.97E+03,1.11E+04
PD109,5.38E-22,1.35E-01,0.00E+00,2.92E-01,0.00E+00,3.62E-01,0.00E+00,3.77E-01
PD109M,5.38E-22,3.50E-04,0.00E+00,5.79E-04,0.00E+00,4.71E-04,0.00E+00,3.98E-04
PD110,5.38E-22,2.08E+02,2.17E+02,7.39E+02,8.34E+02,1.38E+03,1.60E+03,1.80E+03
PD111,5.38E-22,9.58E-04,0.00E+00,1.77E-03,0.00E+00,1.73E-03,0.00E+00,1.61E-03
PD111M,5.38E-22,1.89E-04,0.00E+00,3.15E-04,0.00E+00,2.58E-04,0.00E+00,2.19E-04
PD112,5.38E-22,3.12E-02,0.00E+00,4.89E-02,0.00E+00,3.85E-02,0.00E+00,3.22E-02
PD113,5.38E-22,2.98E-05,0.00E+00,4.56E-05,0.00E+00,3.53E-05,0.00E+00,2.93E-05
PD114,5.38E-22,3.61E-05,0.00E+00,5.46E-05,0.00E+00,4.17E-05,0.00E+00,3.46E-05
PD115,5.38E-22,9.42E-06,0.00E+00,1.39E-05,0.00E+00,1.04E-05,0.00E+00,8.55E-06
PD116,5.38E-22,2.51E-06,0.00E+00,3.64E-06,0.00E+00,2.69E-06,0.00E+00,2.20E-06
PD117,5.38E-22,7.77E-07,0.00E+00,1.10E-06,0.00E+00,7.90E-07,0.00E+00,6.43E-07
PD118,5.38E-22,4.25E-07,0.00E+00,5.83E-07,0.00E+00,4.09E-07,0.00E+00,3.30E-07
PD119,5.38E-22,1.89E-07,0.00E+00,2.74E-07,0.00E+00,2.02E-07,0.00E+00,1.65E-07
PD120,5.38E-22,1.65E-07,0.00E+00,2.19E-07,0.00E+00,1.49E-07,0.00E+00,1.18E-07
PD121,5.38E-22,9.66E-09,0.00E+00,1.26E-08,0.00E+00,8.45E-09,0.00E+00,6.70E-09
PD122,5.38E-22,6.15E-09,0.00E+00,7.99E-09,0.00E+00,5.29E-09,0.00E+00,4.18E-09
PD123,5.38E-22,3.47E-10,0.00E+00,4.48E-10,0.00E+00,2.95E-10,0.00E+00,2.32E-10
PD124,5.38E-22,1.16E-10,0.00E+00,1.51E-10,0.00E+00,1.00E-10,0.00E+00,7.96E-11
PD125,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
PD126,5.38E-22,8.58E-13,0.00E+00,1.13E-12,0.00E+00,7.70E-13,0.00E+00,6.13E-13
AG106,5.38E-22,2.40E-10,0.00E+00,2.17E-09,0.00E+00,5.32E-09,0.00E+00,8.08E-09
AG107,5.38E-22,5.21E-04,1.29E-03,3.11E-03,6.34E-03,8.67E-03,1.56E-02,1.63E-02
AG108,5.38E-22,1.47E-08,2.82E-14,7.84E-08,1.76E-13,1.14E-07,5.82E-13,1.17E-07
AG108M,5.38E-22,8.94E-06,8.92E-06,5.16E-05,5.57E-05,1.66E-04,1.84E-04,2.72E-04
AG109,5.38E-22,4.37E+02,4.57E+02,1.54E+03,1.73E+03,2.94E+03,3.42E+03,3.94E+03
AG109M,5.38E-22,1.10E-04,1.10E-12,2.38E-04,2.29E-11,2.96E-04,6.05E-11,3.08E-04
AG110,5.38E-22,1.37E-05,1.44E-16,6.84E-05,2.82E-16,1.21E-04,2.49E-16,1.36E-04
AG110M,5.38E-22,4.09E-05,9.50E-09,7.42E-05,1.86E-08,6.37E-05,1.64E-08,5.49E-05
AG111,5.38E-22,4.69E-01,0.00E+00,8.65E-01,0.00E+00,8.45E-01,0.00E+00,7.85E-01
AG111M,5.38E-22,4.70E-05,0.00E+00,8.68E-05,0.00E+00,8.47E-05,0.00E+00,7.87E-05
AG112,5.38E-22,4.86E-03,0.00E+00,7.63E-03,0.00E+00,6.01E-03,0.00E+00,5.02E-03
AG113,5.38E-22,5.70E-03,0.00E+00,8.72E-03,0.00E+00,6.74E-03,0.00E+00,5.60E-03
AG113M,5.38E-22,2.22E-06,0.00E+00,3.40E-06,0.00E+00,2.63E-06,0.00E+00,2.19E-06
AG114,5.38E-22,1.15E-06,0.00E+00,1.74E-06,0.00E+00,1.33E-06,0.00E+00,1.11E-06
AG115,5.38E-22,2.24E-04,0.00E+00,3.32E-04,0.00E+00,2.49E-04,0.00E+00,2.05E-04
AG115M,5.38E-22,1.24E-06,0.00E+00,1.85E-06,0.00E+00,1.39E-06,0.00E+00,1.15E-06
AG116,5.38E-22,1.63E-05,0.00E+00,2.40E-05,0.00E+00,1.80E-05,0.00E+00,1.48E-05
AG116M,5.38E-22,1.06E-06,0.00E+00,1.56E-06,0.00E+00,1.16E-06,0.00E+00,9.56E-07
AG117,5.38E-22,7.44E-06,0.00E+00,1.08E-05,0.00E+00,8.00E-06,0.00E+00,6.56E-06
AG117M,5.38E-22,5.38E-07,0.00E+00,7.83E-07,0.00E+00,5.79E-07,0.00E+00,4.75E-07
AG118,5.38E-22,4.90E-07,0.00E+00,7.15E-07,0.00E+00,5.31E-07,0.00E+00,4.36E-07
AG118M,5.38E-22,2.63E-07,0.00E+00,3.84E-07,0.00E+00,2.85E-07,0.00E+00,2.34E-07
AG119,5.38E-22,1.17E-06,0.00E+00,1.72E-06,0.00E+00,1.28E-06,0.00E+00,1.06E-06
AG120,5.38E-22,1.50E-07,0.00E+00,2.10E-07,0.00E+00,1.51E-07,0.00E+00,1.23E-07
AG121,5.38E-22,2.75E-07,0.00E+00,3.77E-07,0.00E+00,2.64E-07,0.00E+00,2.13E-07
AG122,5.38E-22,5.77E-09,0.00E+00,7.75E-09,0.00E+00,5.33E-09,0.00E+00,4.27E-09
AG123,5.38E-22,2.66E-08,0.00E+00,3.53E-08,0.00E+00,2.40E-08,0.00E+00,1.92E-08
AG124,5.38E-22,3.70E-09,0.00E+00,4.94E-09,0.00E+00,3.38E-09,0.00E+00,2.70E-09
AG125,5.38E-22,1.63E-09,0.00E+00,2.20E-09,0.00E+00,1.52E-09,0.00E+00,1.22E-09
AG126,5.38E-22,1.93E-10,0.00E+00,2.60E-10,0.00E+00,1.81E-10,0.00E+00,1.45E-10
AG127,5.38E-22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
AG128,5.38E-22,5.15E-12,0.00E+00,7.00E-12,0.00E+00,4.93E-12,0.00E+00,3.97E-12
CD108,5.38E-22,9.57E-03,5.69E-22,1.00E-01,6.50E-22,2.54E-01,7.64E-22,1.63E-01
CD109,5.38E-22,9.85E-05,0.00E+00,1.90E-03,0.00E+00,4.89E-03,0.00E+00,2.34E-03
CD110,5.38E-22,6.16E+01,5.69E-22,5.09E+02,6.50E-22,1.42E+03,7.64E-22,1.05E+03
CD111,5.38E-22,1.30E+02,5.69E-22,3.81E+02,0.00E+00,6.12E+02,0.00E+00,3.04E+02
CD111M,5.38E-22,1.23E-11,0.00E+00,2.06E-11,0.00E+00,1.68E-11,0.00E+00,1.42E-11
CD112,5.38E-22,9.23E+01,5.69E-22,2.51E+02,0.00E+00,3.30E+02,0.00E+00,1.23E+02
CD113,5.38E-22,6.65E+01,5.69E-22,1.63E+02,0.00E+00,1.91E+02,0.00E+00,7.59E+01
CD113M,5.38E-22,8.08E-01,0.00E+00,1.89E+00,0.00E+00,2.06E+00,0.00E+00,1.02E+00
CD114,5.38E-22,5.37E+01,5.69E-22,1.32E+02,0.00E+00,1.53E+02,0.00E+00,5.94E+01
CD115,5.38E-22,5.03E-02,0.00E+00,8.43E-02,0.00E+00,6.84E-02,0.00E+00,4.77E-02
CD115M,5.38E-22,9.04E-02,0.00E+00,1.35E-01,0.00E+00,1.02E-01,0.00E+00,8.47E-02
CD116,5.38E-22,4.16E+01,5.69E-22,9.37E+01,0.00E+00,1.03E+02,0.00E+00,4.26E+01
CD117,5.38E-22,1.35E-03,0.00E+00,2.13E-03,0.00E+00,1.64E-03,0.00E+00,1.21E-03
CD117M,5.38E-22,9.06E-04,0.00E+00,1.33E-03,0.00E+00,9.83E-04,0.00E+00,8.08E-04
