Years,Waste
id,snf
n_wf,19
name,uox
pkg_diameter,1.11
pkg_length,5.0
-0.7581991040587936,126553.21616803171
0.0,127311.40019196237
0.0001095890410982825,106325.14676532734
0.002849315068495543,73916.42923096669
0.022027397260276364,42673.25921020067
0.10421917808219418,21159.34476522142
0.18641095890411197,15202.802638072226
1.0083287671232901,5109.0297680218655
2.00832876712329,4017.1320691080878
3.00832876712329,3651.2885322044294
4.00832876712329,3436.6358377775646
5.00832876712329,3285.840620407368
5.10832876712329,3272.999762882712
5.50832876712329,3224.797457000254
5.75832876712329,3196.9740377300122
6.00832876712329,3170.714245090614
8.00832876712329,3002.5660498764646
10.00832876712329,2881.8861390124202
11.50832876712329,2809.0793916966754
15.00832876712329,2671.3115194519382
20.008328767123285,2513.6283656523797
23.008328767123285,2430.9843903873143
25.008328767123285,2379.443159865118
30.008328767123285,2260.839030493291
35.00832876712329,2154.7025104016766
40.00832876712329,2059.2240786008815
45.00832876712329,1973.0804451019017
50.00832876712331,1895.2021510753634
60.00832876712331,1760.7500979093772
70.00832876712329,1649.9611121426472
80.00832876712329,1558.2327137185046
90.00832876712329,1481.8976115050425
100.00832876712329,1418.0080859312766
125.00832876712329,1298.2595466791429
150.0083287671233,1216.5283198476175
175.00832876712332,1157.6459091050397
200.00832876712332,1112.8463357062371
225.00832876712334,1077.037578237751
250.00832876712334,1047.2205523249959
300.0083287671234,999.0319406480756
350.0083287671234,960.4869370729534
400.0083287671234,928.1692505614002
450.0083287671234,900.3033991867185
500.0083287671234,875.8216535462327
600.0083287671234,834.3910562858431
700.0083287671232,800.3106171179277
800.0083287671232,771.5948583398687
900.0083287671232,747.0203806916118
1000.0083287671234,725.7653861009003
1250.0083287671234,683.5865044100718
1500.0083287671234,652.5505285449976
1750.0083287671234,628.9186746107702
2000.0083287671237,610.2785994209638
2250.0083287671237,595.0339005918526
2500.0083287671237,582.1188291166694
3000.008328767123,560.655830444084
4000.008328767123,527.5820766146085
5000.008328767123,498.18708363134687
6000.008328767125,471.5088121515533
7000.008328767125,446.937101478304
8000.008328767125,424.2075803052516
9000.008328767124,403.13934993590965
10000.008328767124,383.5806754239099
20000.008328767122,246.98576787120444
50000.008328767144,3359.9970019863463
100000.00832876712,3290.901024680269
200000.0083287671,3271.464319593999
500000.0083287671,1.9842727217540794
1000000.0083287671,3271.8304027536656
